f,gain,phase
1.00000000000000e-02,-4.91979301739025e+00,9.52974994880428e+01
1.00230293249304e-02,-4.89949304786720e+00,9.53095355164148e+01
1.00461116848415e-02,-4.87919161431311e+00,9.53215980377792e+01
1.00692472018692e-02,-4.85888871022008e+00,9.53336871046377e+01
1.00924359984308e-02,-4.83858432859826e+00,9.53458027691747e+01
1.01156781972255e-02,-4.81827846302111e+00,9.53579450840463e+01
1.01389739212350e-02,-4.79797110691278e+00,9.53701141016617e+01
1.01623232937243e-02,-4.77766225365202e+00,9.53823098747866e+01
1.01857264382422e-02,-4.75735189641630e+00,9.53945324560011e+01
1.02091834786220e-02,-4.73704002856543e+00,9.54067818978926e+01
1.02326945389823e-02,-4.71672664325065e+00,9.54190582535451e+01
1.02562597437275e-02,-4.69641173365066e+00,9.54313615754911e+01
1.02798792175484e-02,-4.67609529317351e+00,9.54436919168305e+01
1.03035530854230e-02,-4.65577731470595e+00,9.54560493304650e+01
1.03272814726172e-02,-4.63545779158937e+00,9.54684338694511e+01
1.03510645046852e-02,-4.61513671675295e+00,9.54808455868744e+01
1.03749023074706e-02,-4.59481408336671e+00,9.54932845357731e+01
1.03987950071066e-02,-4.57448988456512e+00,9.55057507695187e+01
1.04227427300169e-02,-4.55416411297306e+00,9.55182443412894e+01
1.04467456029164e-02,-4.53383676199309e+00,9.55307653043090e+01
1.04708037528119e-02,-4.51350782435190e+00,9.55433137121139e+01
1.04949173070025e-02,-4.49317729312674e+00,9.55558896181339e+01
1.05190863930806e-02,-4.47284516105084e+00,9.55684930757269e+01
1.05433111389323e-02,-4.45251142104180e+00,9.55811241386083e+01
1.05675916727383e-02,-4.43217606599703e+00,9.55937828602744e+01
1.05919281229747e-02,-4.41183908847124e+00,9.56064692944679e+01
1.06163206184130e-02,-4.39150048152861e+00,9.56191834948175e+01
1.06407692881216e-02,-4.37116023778699e+00,9.56319255151891e+01
1.06652742614662e-02,-4.35081834984733e+00,9.56446954093902e+01
1.06898356681101e-02,-4.33047481050207e+00,9.56574932312713e+01
1.07144536380154e-02,-4.31012961236742e+00,9.56703190348031e+01
1.07391283014436e-02,-4.28978274819873e+00,9.56831728740403e+01
1.07638597889559e-02,-4.26943421042340e+00,9.56960548030493e+01
1.07886482314144e-02,-4.24908399150962e+00,9.57089648757962e+01
1.08134937599825e-02,-4.22873208401244e+00,9.57219031465311e+01
1.08383965061256e-02,-4.20837848067886e+00,9.57348696696300e+01
1.08633566016120e-02,-4.18802317363116e+00,9.57478644990805e+01
1.08883741785133e-02,-4.16766615543761e+00,9.57608876894566e+01
1.09134493692054e-02,-4.14730741845728e+00,9.57739392949407e+01
1.09385823063689e-02,-4.12694695513862e+00,9.57870193700457e+01
1.09637731229900e-02,-4.10658475776822e+00,9.58001279693549e+01
1.09890219523613e-02,-4.08622081837621e+00,9.58132651472243e+01
1.10143289280821e-02,-4.06585512974572e+00,9.58264309583532e+01
1.10396941840596e-02,-4.04548768364097e+00,9.58396254572982e+01
1.10651178545093e-02,-4.02511847243024e+00,9.58528486988114e+01
1.10906000739557e-02,-4.00474748842643e+00,9.58661007377254e+01
1.11161409772333e-02,-3.98437472344013e+00,9.58793816286933e+01
1.11417406994870e-02,-3.96400016983378e+00,9.58926914265287e+01
1.11673993761729e-02,-3.94362381941656e+00,9.59060301861330e+01
1.11931171430590e-02,-3.92324566469613e+00,9.59193979626853e+01
1.12188941362261e-02,-3.90286569714215e+00,9.59327948107751e+01
1.12447304920684e-02,-3.88248390896556e+00,9.59462207857881e+01
1.12706263472941e-02,-3.86210029213969e+00,9.59596759426163e+01
1.12965818389261e-02,-3.84171483844166e+00,9.59731603363933e+01
1.13225971043033e-02,-3.82132753960481e+00,9.59866740223920e+01
1.13486722810804e-02,-3.80093838781699e+00,9.60002170557178e+01
1.13748075072293e-02,-3.78054737457811e+00,9.60137894918438e+01
1.14010029210398e-02,-3.76015449175015e+00,9.60273913858160e+01
1.14272586611199e-02,-3.73975973104984e+00,9.60410227932036e+01
1.14535748663969e-02,-3.71936308425750e+00,9.60546837693785e+01
1.14799516761182e-02,-3.69896454277733e+00,9.60683743696306e+01
1.15063892298517e-02,-3.67856409850739e+00,9.60820946497126e+01
1.15328876674867e-02,-3.65816174297673e+00,9.60958446649789e+01
1.15594471292347e-02,-3.63775746762842e+00,9.61096244711210e+01
1.15860677556302e-02,-3.61735126392550e+00,9.61234341236787e+01
1.16127496875312e-02,-3.59694312339471e+00,9.61372736783398e+01
1.16394930661201e-02,-3.57653303762820e+00,9.61511431908281e+01
1.16662980329046e-02,-3.55612099794711e+00,9.61650427169876e+01
1.16931647297180e-02,-3.53570699560050e+00,9.61789723125291e+01
1.17200932987205e-02,-3.51529102204860e+00,9.61929320332830e+01
1.17470838823996e-02,-3.49487306863020e+00,9.62069219350906e+01
1.17741366235709e-02,-3.47445312660921e+00,9.62209420739781e+01
1.18012516653788e-02,-3.45403118689809e+00,9.62349925058129e+01
1.18284291512975e-02,-3.43360724128353e+00,9.62490732866825e+01
1.18556692251316e-02,-3.41318128021111e+00,9.62631844724527e+01
1.18829720310169e-02,-3.39275329542155e+00,9.62773261194296e+01
1.19103377134210e-02,-3.37232327760768e+00,9.62914982834567e+01
1.19377664171443e-02,-3.35189121800115e+00,9.63057010208892e+01
1.19652582873207e-02,-3.33145710753812e+00,9.63199343879275e+01
1.19928134694181e-02,-3.31102093695701e+00,9.63341984405897e+01
1.20204321092398e-02,-3.29058269767328e+00,9.63484932353408e+01
1.20481143529245e-02,-3.27014238025651e+00,9.63628188283104e+01
1.20758603469477e-02,-3.24969997558564e+00,9.63771752759368e+01
1.21036702381221e-02,-3.22925547457699e+00,9.63915626345176e+01
1.21315441735985e-02,-3.20880886799582e+00,9.64059809604873e+01
1.21594823008667e-02,-3.18836014636987e+00,9.64204303102473e+01
1.21874847677559e-02,-3.16790930072227e+00,9.64349107403579e+01
1.22155517224359e-02,-3.14745632152343e+00,9.64494223070834e+01
1.22436833134179e-02,-3.12700119936755e+00,9.64639650672364e+01
1.22718796895549e-02,-3.10654392503562e+00,9.64785390771050e+01
1.23001410000426e-02,-3.08608448893266e+00,9.64931443934444e+01
1.23284673944206e-02,-3.06562288151104e+00,9.65077810728380e+01
1.23568590225726e-02,-3.04515909326732e+00,9.65224491718954e+01
1.23853160347276e-02,-3.02469311474156e+00,9.65371487473049e+01
1.24138385814605e-02,-3.00422493620382e+00,9.65518798557781e+01
1.24424268136931e-02,-2.98375454824143e+00,9.65666425540257e+01
1.24710808826946e-02,-2.96328194094971e+00,9.65814368988173e+01
1.24998009400827e-02,-2.94280710442958e+00,9.65962629469664e+01
1.25285871378241e-02,-2.92233002932411e+00,9.66111207552508e+01
1.25574396282357e-02,-2.90185070547886e+00,9.66260103804797e+01
1.25863585639849e-02,-2.88136912336916e+00,9.66409318795609e+01
1.26153440980909e-02,-2.86088527281347e+00,9.66558853093619e+01
1.26443963839253e-02,-2.84039914394917e+00,9.66708707268913e+01
1.26735155752127e-02,-2.81991072679717e+00,9.66858881888651e+01
1.27027018260319e-02,-2.79942001151600e+00,9.67009377523539e+01
1.27319552908165e-02,-2.77892698788243e+00,9.67160194743741e+01
1.27612761243556e-02,-2.75843164582009e+00,9.67311334119476e+01
1.27906644817950e-02,-2.73793397531398e+00,9.67462796219546e+01
1.28201205186377e-02,-2.71743396601246e+00,9.67614581614968e+01
1.28496443907448e-02,-2.69693160788632e+00,9.67766690877077e+01
1.28792362543362e-02,-2.67642689032106e+00,9.67919124574941e+01
1.29088962659918e-02,-2.65591980353929e+00,9.68071883281457e+01
1.29386245826521e-02,-2.63541033679245e+00,9.68224967567118e+01
1.29684213616187e-02,-2.61489847970280e+00,9.68378378001865e+01
1.29982867605558e-02,-2.59438422216698e+00,9.68532115158976e+01
1.30282209374905e-02,-2.57386755342346e+00,9.68686179608637e+01
1.30582240508139e-02,-2.55334846294689e+00,9.68840571923975e+01
1.30882962592819e-02,-2.53282694041306e+00,9.68995292675778e+01
1.31184377220160e-02,-2.51230297496901e+00,9.69150342435656e+01
1.31486485985039e-02,-2.49177655621155e+00,9.69305721778060e+01
1.31789290486009e-02,-2.47124767314095e+00,9.69461431271656e+01
1.32092792325304e-02,-2.45071631536688e+00,9.69617471493389e+01
1.32396993108846e-02,-2.43018247191213e+00,9.69773843011481e+01
1.32701894446257e-02,-2.40964613199092e+00,9.69930546400403e+01
1.33007497950866e-02,-2.38910728464414e+00,9.70087582233297e+01
1.33313805239714e-02,-2.36856591924529e+00,9.70244951081278e+01
1.33620817933572e-02,-2.34802202448661e+00,9.70402653518547e+01
1.33928537656937e-02,-2.32747558972771e+00,9.70560690118089e+01
1.34236966038053e-02,-2.30692660382392e+00,9.70719061452701e+01
1.34546104708909e-02,-2.28637505542367e+00,9.70877768094623e+01
1.34855955305255e-02,-2.26582093387730e+00,9.71036810617534e+01
1.35166519466607e-02,-2.24526422758448e+00,9.71196189594247e+01
1.35477798836258e-02,-2.22470492544240e+00,9.71355905598626e+01
1.35789795061283e-02,-2.20414301639397e+00,9.71515959203104e+01
1.36102509792553e-02,-2.18357848884994e+00,9.71676350981230e+01
1.36415944684738e-02,-2.16301133143605e+00,9.71837081505183e+01
1.36730101396321e-02,-2.14244153318628e+00,9.71998151350391e+01
1.37044981589603e-02,-2.12186908217358e+00,9.72159561086469e+01
1.37360586930714e-02,-2.10129396719886e+00,9.72321311291334e+01
1.37676919089620e-02,-2.08071617652164e+00,9.72483402533655e+01
1.37993979740133e-02,-2.06013569860591e+00,9.72645835387777e+01
1.38311770559920e-02,-2.03955252200669e+00,9.72808610428960e+01
1.38630293230512e-02,-2.01896663481819e+00,9.72971728227633e+01
1.38949549437312e-02,-1.99837802550409e+00,9.73135189358751e+01
1.39269540869605e-02,-1.97778668206819e+00,9.73298994394348e+01
1.39590269220564e-02,-1.95719259293494e+00,9.73463143905560e+01
1.39911736187264e-02,-1.93659574605854e+00,9.73627638468097e+01
1.40233943470687e-02,-1.91599612954371e+00,9.73792478652701e+01
1.40556892775733e-02,-1.89539373147340e+00,9.73957665031789e+01
1.40880585811227e-02,-1.87478853995040e+00,9.74123198178883e+01
1.41205024289930e-02,-1.85418054270907e+00,9.74289078665756e+01
1.41530209928547e-02,-1.83356972770915e+00,9.74455307063293e+01
1.41856144447738e-02,-1.81295608289012e+00,9.74621883945695e+01
1.42182829572124e-02,-1.79233959598706e+00,9.74788809885006e+01
1.42510267030298e-02,-1.77172025472909e+00,9.74956085451299e+01
1.42838458554834e-02,-1.75109804683271e+00,9.75123711216460e+01
1.43167405882295e-02,-1.73047296000668e+00,9.75291687752231e+01
1.43497110753246e-02,-1.70984498179608e+00,9.75460015631004e+01
1.43827574912257e-02,-1.68921409970967e+00,9.75628695421623e+01
1.44158800107917e-02,-1.66858030128419e+00,9.75797727696501e+01
1.44490788092843e-02,-1.64794357409779e+00,9.75967113025160e+01
1.44823540623687e-02,-1.62730390537627e+00,9.76136851979038e+01
1.45157059461146e-02,-1.60666128261914e+00,9.76306945127841e+01
1.45491346369973e-02,-1.58601569286778e+00,9.76477393040721e+01
1.45826403118985e-02,-1.56536712377459e+00,9.76648196289311e+01
1.46162231481071e-02,-1.54471556220151e+00,9.76819355440702e+01
1.46498833233203e-02,-1.52406099561597e+00,9.76990871067438e+01
1.46836210156448e-02,-1.50340341078565e+00,9.77162743733765e+01
1.47174364035972e-02,-1.48274279500217e+00,9.77334974012130e+01
1.47513296661053e-02,-1.46207913512248e+00,9.77507562469529e+01
1.47853009825089e-02,-1.44141241820281e+00,9.77680509673429e+01
1.48193505325609e-02,-1.42074263115924e+00,9.77853816191721e+01
1.48534784964281e-02,-1.40006976073329e+00,9.78027482592455e+01
1.48876850546922e-02,-1.37939379372447e+00,9.78201509441249e+01
1.49219703883507e-02,-1.35871471712886e+00,9.78375897306549e+01
1.49563346788182e-02,-1.33803251714831e+00,9.78550646752224e+01
1.49907781079269e-02,-1.31734718077824e+00,9.78725758346587e+01
1.50253008579275e-02,-1.29665869452171e+00,9.78901232653379e+01
1.50599031114909e-02,-1.27596704512074e+00,9.79077070238648e+01
1.50945850517084e-02,-1.25527221875125e+00,9.79253271666985e+01
1.51293468620929e-02,-1.23457420180372e+00,9.79429837501174e+01
1.51641887265801e-02,-1.21387298101370e+00,9.79606768309128e+01
1.51991108295291e-02,-1.19316854238851e+00,9.79784064650577e+01
1.52341133557238e-02,-1.17246087225089e+00,9.79961727088933e+01
1.52691964903733e-02,-1.15174995695181e+00,9.80139756187890e+01
1.53043604191136e-02,-1.13103578262146e+00,9.80318152509134e+01
1.53396053280079e-02,-1.11031833531455e+00,9.80496916613892e+01
1.53749314035482e-02,-1.08959760094221e+00,9.80676049061791e+01
1.54103388326557e-02,-1.06887356583695e+00,9.80855550417950e+01
1.54458278026821e-02,-1.04814621559381e+00,9.81035421237286e+01
1.54813985014108e-02,-1.02741553630210e+00,9.81215662081058e+01
1.55170511170574e-02,-1.00668151391079e+00,9.81396273509604e+01
1.55527858382710e-02,-9.85944133950928e-01,9.81577256079609e+01
1.55886028541353e-02,-9.65203382315847e-01,9.81758610349012e+01
1.56245023541691e-02,-9.44459244550777e-01,9.81940336874778e+01
1.56604845283281e-02,-9.23711706347692e-01,9.82122436216253e+01
1.56965495670051e-02,-9.02960753350906e-01,9.82304908926462e+01
1.57326976610316e-02,-8.82206370717718e-01,9.82487755559869e+01
1.57689290016783e-02,-8.61448544524805e-01,9.82670976677172e+01
1.58052437806567e-02,-8.40687259758798e-01,9.82854572826726e+01
1.58416421901196e-02,-8.19922501552636e-01,9.83038544563243e+01
1.58781244226623e-02,-7.99154255550081e-01,9.83222892440810e+01
1.59146906713238e-02,-7.78382506790292e-01,9.83407617009585e+01
