tpd_arr,energy_conv_arr
1.875079999999999814e+01,1.078369999999999891e+03
4.247139999999999560e+01,1.409369999999999891e+03
1.798049999999999926e+01,1.045390000000000100e+03
2.963889999999999958e+01,1.230329999999999927e+03
2.506950000000000145e+01,1.155329999999999927e+03
3.311309999999999576e+01,1.324450000000000045e+03
4.990979999999999706e+01,1.522910000000000082e+03
5.831530000000000058e+01,1.667990000000000009e+03
1.327529999999999966e+01,9.659479999999999791e+02
4.308850000000000335e+01,1.474849999999999909e+03
2.189609999999999701e+01,1.146490000000000009e+03
3.662950000000000017e+01,1.355150000000000091e+03
1.296849999999999881e+01,9.678909999999999627e+02
5.051399999999999579e+01,1.566359999999999900e+03
3.627660000000000196e+01,1.357109999999999900e+03
2.888009999999999877e+01,1.195789999999999964e+03
4.384299999999999642e+01,1.490079999999999927e+03
2.930989999999999895e+01,1.212500000000000000e+03
6.575109999999999388e+01,1.782950000000000045e+03
2.002550000000000097e+01,1.107640000000000100e+03
1.472710000000000008e+01,1.010919999999999959e+03
2.058429999999999893e+01,1.091430000000000064e+03
2.743830000000000169e+01,1.214289999999999964e+03
2.355979999999999919e+01,1.113759999999999991e+03
3.347640000000000526e+01,1.290210000000000036e+03
2.769889999999999830e+01,1.219329999999999927e+03
3.186029999999999873e+01,1.249539999999999964e+03
2.294910000000000139e+01,1.157640000000000100e+03
2.839720000000000155e+01,1.218460000000000036e+03
3.864370000000000260e+01,1.397029999999999973e+03
1.839890000000000114e+01,1.036990000000000009e+03
3.084269999999999712e+01,1.212380000000000109e+03
4.132999999999999829e+01,1.371990000000000009e+03
3.649989999999999668e+01,1.330509999999999991e+03
5.888029999999999831e+01,1.726240000000000009e+03
3.406190000000000140e+01,1.296480000000000018e+03
2.721549999999999869e+01,1.221509999999999991e+03
1.754020000000000223e+01,1.025990000000000009e+03
3.475909999999999656e+01,1.311990000000000009e+03
3.009779999999999944e+01,1.320329999999999927e+03
4.199800000000000466e+01,1.437420000000000073e+03
4.346490000000000009e+01,1.450740000000000009e+03
3.568509999999999849e+01,1.330380000000000109e+03
2.055790000000000006e+01,1.093960000000000036e+03
2.907789999999999964e+01,1.242190000000000055e+03
2.959479999999999933e+01,1.225119999999999891e+03
2.230289999999999750e+01,1.145720000000000027e+03
3.918619999999999948e+01,1.395920000000000073e+03
2.315780000000000172e+01,1.115160000000000082e+03
2.037330000000000041e+01,1.079099999999999909e+03
2.565269999999999939e+01,1.179559999999999945e+03
2.593750000000000000e+01,1.170730000000000018e+03
2.250410000000000110e+01,1.084880000000000109e+03
3.317900000000000205e+01,1.289890000000000100e+03
1.995439999999999969e+01,1.088420000000000073e+03
1.940330000000000155e+01,1.054470000000000027e+03
2.191809999999999903e+01,1.115289999999999964e+03
9.200710000000000832e+01,2.078599999999999909e+03
2.543169999999999931e+01,1.170579999999999927e+03
2.955349999999999966e+01,1.236420000000000073e+03
2.960640000000000072e+01,1.249410000000000082e+03
3.436719999999999686e+01,1.308089999999999918e+03
1.476730000000000054e+01,1.028190000000000055e+03
2.308299999999999841e+01,1.126829999999999927e+03
3.181489999999999796e+01,1.264289999999999964e+03
2.052139999999999986e+01,1.107990000000000009e+03
2.053579999999999828e+01,1.062599999999999909e+03
2.724500000000000099e+01,1.240180000000000064e+03
2.523029999999999973e+01,1.186900000000000091e+03
4.233440000000000225e+01,1.440140000000000100e+03
2.000120000000000076e+01,1.085680000000000064e+03
1.891809999999999903e+01,1.062029999999999973e+03
3.388680000000000092e+01,1.326960000000000036e+03
1.251590000000000025e+01,9.735009999999999764e+02
3.713909999999999911e+01,1.331539999999999964e+03
3.372679999999999723e+01,1.364819999999999936e+03
2.927639999999999887e+01,1.286369999999999891e+03
2.203560000000000230e+01,1.103410000000000082e+03
1.811179999999999879e+01,1.062069999999999936e+03
4.106470000000000198e+01,1.462259999999999991e+03
3.715820000000000078e+01,1.326849999999999909e+03
1.995959999999999823e+01,1.071299999999999955e+03
4.095900000000000318e+01,1.405859999999999900e+03
3.960060000000000002e+01,1.521779999999999973e+03
5.106210000000000093e+01,1.602650000000000091e+03
2.781510000000000105e+01,1.235650000000000091e+03
3.330330000000000013e+01,1.349259999999999991e+03
3.497249999999999659e+01,1.302210000000000036e+03
2.535190000000000055e+01,1.164019999999999982e+03
1.760429999999999851e+01,1.044410000000000082e+03
2.532179999999999964e+01,1.161309999999999945e+03
2.048569999999999780e+01,1.097380000000000109e+03
2.967009999999999792e+01,1.248170000000000073e+03
3.693519999999999470e+01,1.360240000000000009e+03
2.813759999999999906e+01,1.162349999999999909e+03
1.470120000000000005e+01,1.004269999999999982e+03
3.611970000000000169e+01,1.327059999999999945e+03
6.995319999999999538e+01,1.821309999999999945e+03
1.990450000000000230e+01,1.083180000000000064e+03
2.412069999999999936e+01,1.166890000000000100e+03
