time,vin,vw,vh,vl,vdac
0.000000000000000000e+00,7.500000000000000000e-01,7.500000000000000000e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
4.882812500000000000e-04,7.515339783814829477e-01,7.515339783814829477e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
9.765625000000000000e-04,7.530679423245771886e-01,7.530679423245771886e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
1.464843750000000000e-03,7.546018773910299071e-01,7.546018773910299071e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
1.953125000000000000e-03,7.561357691428599592e-01,7.561357691428599592e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
2.441406250000000000e-03,7.576696031424940969e-01,7.576696031424940969e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
2.929687500000000000e-03,7.592033649529024153e-01,7.592033649529024153e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
3.417968750000000000e-03,7.607370401377347990e-01,7.607370401377347990e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
3.906250000000000000e-03,7.622706142614561475e-01,7.622706142614561475e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
4.394531250000000000e-03,7.638040728894828213e-01,7.638040728894828213e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
4.882812500000000000e-03,7.653374015883183112e-01,7.653374015883183112e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
5.371093750000000000e-03,7.668705859256887969e-01,7.668705859256887969e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
5.859375000000000000e-03,7.684036114706793708e-01,7.684036114706793708e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
6.347656250000000000e-03,7.699364637938699296e-01,7.699364637938699296e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
6.835937500000000000e-03,7.714691284674703997e-01,7.714691284674703997e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
7.324218750000000000e-03,7.730015910654572941e-01,7.730015910654572941e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
7.812500000000000000e-03,7.745338371637090491e-01,7.745338371637090491e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
8.300781250000000000e-03,7.760658523401416931e-01,7.760658523401416931e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
8.789062500000000000e-03,7.775976221748449602e-01,7.775976221748449602e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
9.277343750000000000e-03,7.791291322502178485e-01,7.791291322502178485e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
9.765625000000000000e-03,7.806603681511042891e-01,7.806603681511042891e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
1.025390625000000000e-02,7.821913154649287048e-01,7.821913154649287048e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
1.074218750000000000e-02,7.837219597818320116e-01,7.837219597818320116e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
1.123046875000000000e-02,7.852522866948069558e-01,7.852522866948069558e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
1.171875000000000000e-02,7.867822817998336715e-01,7.867822817998336715e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
1.220703125000000000e-02,7.883119306960157946e-01,7.883119306960157946e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
1.269531250000000000e-02,7.898412189857150212e-01,7.898412189857150212e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
1.318359375000000000e-02,7.913701322746878875e-01,7.913701322746878875e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
1.367187500000000000e-02,7.928986561722199955e-01,7.928986561722199955e-01,8.437500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00
