time,vin,vh,vl
0.000000000000000000e+00,7.500000000000000000e-01,9.375000000000000000e-01,7.500000000000000000e-01
9.765625000000000000e-04,7.530679423245771886e-01,9.375000000000000000e-01,7.500000000000000000e-01
1.953125000000000000e-03,7.561357691428599592e-01,9.375000000000000000e-01,7.500000000000000000e-01
2.929687500000000000e-03,7.592033649529024153e-01,9.375000000000000000e-01,7.500000000000000000e-01
3.906250000000000000e-03,7.622706142614561475e-01,9.375000000000000000e-01,7.500000000000000000e-01
4.882812500000000000e-03,7.653374015883183112e-01,9.375000000000000000e-01,7.500000000000000000e-01
5.859375000000000000e-03,7.684036114706793708e-01,9.375000000000000000e-01,7.500000000000000000e-01
6.835937500000000000e-03,7.714691284674703997e-01,9.375000000000000000e-01,7.500000000000000000e-01
7.812500000000000000e-03,7.745338371637090491e-01,9.375000000000000000e-01,7.500000000000000000e-01
8.789062500000000000e-03,7.775976221748449602e-01,9.375000000000000000e-01,7.500000000000000000e-01
9.765625000000000000e-03,7.806603681511042891e-01,9.375000000000000000e-01,7.500000000000000000e-01
1.074218750000000000e-02,7.837219597818320116e-01,9.375000000000000000e-01,7.500000000000000000e-01
1.171875000000000000e-02,7.867822817998336715e-01,9.375000000000000000e-01,7.500000000000000000e-01
1.269531250000000000e-02,7.898412189857150212e-01,9.375000000000000000e-01,7.500000000000000000e-01
1.367187500000000000e-02,7.928986561722199955e-01,9.375000000000000000e-01,7.500000000000000000e-01
1.464843750000000000e-02,7.959544782485663550e-01,9.375000000000000000e-01,7.500000000000000000e-01
1.562500000000000000e-02,7.990085701647803296e-01,9.375000000000000000e-01,7.500000000000000000e-01
1.660156250000000000e-02,8.020608169360272655e-01,9.375000000000000000e-01,7.500000000000000000e-01
1.757812500000000000e-02,8.051111036469414950e-01,9.375000000000000000e-01,7.500000000000000000e-01
1.855468750000000000e-02,8.081593154559523207e-01,9.375000000000000000e-01,7.500000000000000000e-01
