f,ps_dB
0.000000000000000000e+00,-4.107279204428411390e+01
1.000000000000000000e+00,-3.562340353620678712e+01
2.000000000000000000e+00,-3.230888381005728860e+01
3.000000000000000000e+00,-2.978325851295746673e+01
4.000000000000000000e+00,-2.785185684149637808e+01
5.000000000000000000e+00,-2.649890351090223106e+01
6.000000000000000000e+00,-2.573013796423532540e+01
7.000000000000000000e+00,-2.541618185769968363e+01
8.000000000000000000e+00,-2.534106740791772694e+01
9.000000000000000000e+00,-2.532628615745236900e+01
1.000000000000000000e+01,-2.533198122337448410e+01
1.100000000000000000e+01,-2.540349341833513819e+01
1.200000000000000000e+01,-2.553290811896666668e+01
1.300000000000000000e+01,-2.562941516087262528e+01
1.400000000000000000e+01,-2.563805056011964822e+01
1.500000000000000000e+01,-2.563852343246356469e+01
1.600000000000000000e+01,-2.577004366348065645e+01
1.700000000000000000e+01,-2.609583443035382899e+01
1.800000000000000000e+01,-2.656398152131901469e+01
1.900000000000000000e+01,-2.707082274369617636e+01
2.000000000000000000e+01,-2.756828715519776907e+01
2.100000000000000000e+01,-2.811733811761697766e+01
2.200000000000000000e+01,-2.882143436940955894e+01
2.300000000000000000e+01,-2.971842723799585784e+01
2.400000000000000000e+01,-3.074126664372886708e+01
2.500000000000000000e+01,-3.176599681592966462e+01
2.600000000000000000e+01,-3.270371897061176014e+01
2.700000000000000000e+01,-3.357204594247765073e+01
2.800000000000000000e+01,-3.449380007853043395e+01
2.900000000000000000e+01,-3.562042820338835725e+01
3.000000000000000000e+01,-3.702233754481891026e+01
3.100000000000000000e+01,-3.859052851224873848e+01
3.200000000000000000e+01,-4.002188522738943988e+01
3.300000000000000000e+01,-4.105875683420337907e+01
3.400000000000000000e+01,-4.184069329971035245e+01
3.500000000000000000e+01,-4.269241700361529723e+01
3.600000000000000000e+01,-4.352906723736032291e+01
3.700000000000000000e+01,-4.377623609912156155e+01
3.800000000000000000e+01,-4.329416562567907789e+01
3.900000000000000000e+01,-4.266331534431937911e+01
4.000000000000000000e+01,-4.226040622463631280e+01
4.100000000000000000e+01,-4.201226658770143274e+01
4.200000000000000000e+01,-4.170793371305460795e+01
4.300000000000000000e+01,-4.133229395374161896e+01
4.400000000000000000e+01,-4.106794196557662247e+01
4.500000000000000000e+01,-4.105091967379414797e+01
4.600000000000000000e+01,-4.125735856083825581e+01
4.700000000000000000e+01,-4.155997881942901984e+01
4.800000000000000000e+01,-4.184960214507930942e+01
4.900000000000000000e+01,-4.212161220685744212e+01
5.000000000000000000e+01,-4.244163678684898855e+01
5.100000000000000000e+01,-4.284697387384614586e+01
5.200000000000000000e+01,-4.330911199955417601e+01
5.300000000000000000e+01,-4.377843995355115680e+01
5.400000000000000000e+01,-4.424155603463081832e+01
5.500000000000000000e+01,-4.473251417592231860e+01
5.600000000000000000e+01,-4.530055264600363785e+01
5.700000000000000000e+01,-4.595245058552335848e+01
5.800000000000000000e+01,-4.659597930442601665e+01
5.900000000000000000e+01,-4.706783562492226736e+01
6.000000000000000000e+01,-4.728599402625016523e+01
6.100000000000000000e+01,-4.735876991460681751e+01
6.200000000000000000e+01,-4.749818811653916129e+01
6.300000000000000000e+01,-4.784908553150511779e+01
6.400000000000000000e+01,-4.839291512629709757e+01
6.500000000000000000e+01,-4.897802337138884354e+01
6.600000000000000000e+01,-4.944657017689347356e+01
6.700000000000000000e+01,-4.977946943233507682e+01
6.800000000000000000e+01,-5.014993128248723053e+01
6.900000000000000000e+01,-5.079698227879909922e+01
7.000000000000000000e+01,-5.180332273826495282e+01
7.100000000000000000e+01,-5.297007716366146468e+01
7.200000000000000000e+01,-5.395132693716863770e+01
7.300000000000000000e+01,-5.462118650376385887e+01
7.400000000000000000e+01,-5.510948691016341883e+01
7.500000000000000000e+01,-5.550218559329046286e+01
7.600000000000000000e+01,-5.585474806845843432e+01
7.700000000000000000e+01,-5.634510282168510287e+01
7.800000000000000000e+01,-5.721091563542792358e+01
7.900000000000000000e+01,-5.864695573019290720e+01
8.000000000000000000e+01,-6.085882847072056734e+01
8.100000000000000000e+01,-6.404398656794180056e+01
8.200000000000000000e+01,-6.710806321052578483e+01
8.300000000000000000e+01,-6.666371056846500665e+01
8.400000000000000000e+01,-6.510787500278073026e+01
8.500000000000000000e+01,-6.461081958129750547e+01
8.600000000000000000e+01,-6.478178526296122186e+01
8.700000000000000000e+01,-6.464957485251144931e+01
8.800000000000000000e+01,-6.355890885875609797e+01
8.900000000000000000e+01,-6.233677005003595895e+01
9.000000000000000000e+01,-6.193965794211378295e+01
9.100000000000000000e+01,-6.235147144207229530e+01
9.200000000000000000e+01,-6.307807189204260112e+01
9.300000000000000000e+01,-6.395673659908346309e+01
9.400000000000000000e+01,-6.532450065793707950e+01
9.500000000000000000e+01,-6.754639677030213818e+01
9.600000000000000000e+01,-7.079390342231567956e+01
9.700000000000000000e+01,-7.358732357104611310e+01
9.800000000000000000e+01,-7.105500231516069221e+01
9.900000000000000000e+01,-6.615110241910649336e+01
1.000000000000000000e+02,-6.174813229157906136e+01
1.010000000000000000e+02,-5.877543394842472679e+01
1.020000000000000000e+02,-5.783061647999747379e+01
1.030000000000000000e+02,-5.938104992315671637e+01
1.040000000000000000e+02,-6.345840849154740937e+01
1.050000000000000000e+02,-6.380461181494689527e+01
1.060000000000000000e+02,-6.040531951023072565e+01
1.070000000000000000e+02,-5.885494592083458087e+01
1.080000000000000000e+02,-5.867407798512048345e+01
1.090000000000000000e+02,-5.913061636068293581e+01
1.100000000000000000e+02,-5.957093811025136176e+01
1.110000000000000000e+02,-5.953907689280797655e+01
1.120000000000000000e+02,-5.917530969066010726e+01
1.130000000000000000e+02,-5.890062757092554335e+01
1.140000000000000000e+02,-5.896901217740265366e+01
1.150000000000000000e+02,-5.942796711598353454e+01
1.160000000000000000e+02,-6.011649819462054012e+01
1.170000000000000000e+02,-6.074756366988027168e+01
1.180000000000000000e+02,-6.118395184603434700e+01
1.190000000000000000e+02,-6.152444045525027150e+01
1.200000000000000000e+02,-6.192179141724565028e+01
1.210000000000000000e+02,-6.249756057185743430e+01
1.220000000000000000e+02,-6.341593063334330083e+01
1.230000000000000000e+02,-6.483709599208440011e+01
1.240000000000000000e+02,-6.652307817217300112e+01
1.250000000000000000e+02,-6.766242685668893841e+01
1.260000000000000000e+02,-6.837063204724147170e+01
1.270000000000000000e+02,-6.967588847605892965e+01
1.280000000000000000e+02,-7.152416675190278283e+01
1.290000000000000000e+02,-7.246535215737604574e+01
1.300000000000000000e+02,-7.113239948644830690e+01
1.310000000000000000e+02,-6.901682544305812428e+01
1.320000000000000000e+02,-6.765062428619798141e+01
1.330000000000000000e+02,-6.708639241637767725e+01
1.340000000000000000e+02,-6.686461432320217568e+01
1.350000000000000000e+02,-6.657532688975427959e+01
1.360000000000000000e+02,-6.595437369337288658e+01
1.370000000000000000e+02,-6.482987302434042931e+01
1.380000000000000000e+02,-6.350341442244363321e+01
1.390000000000000000e+02,-6.266671381760293258e+01
1.400000000000000000e+02,-6.264390026211678020e+01
1.410000000000000000e+02,-6.317926524716824588e+01
1.420000000000000000e+02,-6.376246341953060437e+01
1.430000000000000000e+02,-6.410545315948706957e+01
1.440000000000000000e+02,-6.425833712900080741e+01
1.450000000000000000e+02,-6.457579845135606433e+01
1.460000000000000000e+02,-6.533217904715768043e+01
1.470000000000000000e+02,-6.617507842652007355e+01
1.480000000000000000e+02,-6.665923060423342861e+01
1.490000000000000000e+02,-6.771857368916089115e+01
1.500000000000000000e+02,-7.047737848743042832e+01
1.510000000000000000e+02,-6.510709221308468386e+01
1.520000000000000000e+02,-5.856491885422996546e+01
1.530000000000000000e+02,-5.533169334826368413e+01
1.540000000000000000e+02,-5.479812583983002128e+01
1.550000000000000000e+02,-5.676670031997350918e+01
1.560000000000000000e+02,-6.135752274120301308e+01
1.570000000000000000e+02,-6.878368305757413737e+01
1.580000000000000000e+02,-7.404519826181355313e+01
1.590000000000000000e+02,-7.254930441820741294e+01
1.600000000000000000e+02,-7.203424483319111005e+01
1.610000000000000000e+02,-7.280244383031103439e+01
1.620000000000000000e+02,-7.460443431076859611e+01
1.630000000000000000e+02,-7.675573128927402422e+01
1.640000000000000000e+02,-7.799223669200020481e+01
1.650000000000000000e+02,-7.749285650168994266e+01
1.660000000000000000e+02,-7.644817130035721675e+01
1.670000000000000000e+02,-7.689437513083365161e+01
1.680000000000000000e+02,-7.942084389477726347e+01
1.690000000000000000e+02,-8.108047493487418933e+01
1.700000000000000000e+02,-7.862174442659581075e+01
1.710000000000000000e+02,-7.640217209969050316e+01
1.720000000000000000e+02,-7.591029739541153276e+01
1.730000000000000000e+02,-7.680210655482274262e+01
1.740000000000000000e+02,-7.695010598469846741e+01
1.750000000000000000e+02,-7.537404267465969099e+01
1.760000000000000000e+02,-7.343520372246922534e+01
1.770000000000000000e+02,-7.148009835827072322e+01
1.780000000000000000e+02,-6.984265047300755214e+01
1.790000000000000000e+02,-6.886993444478696347e+01
1.800000000000000000e+02,-6.855892456029297932e+01
1.810000000000000000e+02,-6.860969788029623828e+01
1.820000000000000000e+02,-6.873154969599808339e+01
1.830000000000000000e+02,-6.895004010710701436e+01
1.840000000000000000e+02,-6.939280025910611016e+01
1.850000000000000000e+02,-7.000971993681612560e+01
1.860000000000000000e+02,-7.050464686522842328e+01
1.870000000000000000e+02,-7.044109335699948815e+01
1.880000000000000000e+02,-6.992559249175633340e+01
1.890000000000000000e+02,-6.956618596977355651e+01
1.900000000000000000e+02,-6.980461671849215577e+01
1.910000000000000000e+02,-7.081554092326891237e+01
1.920000000000000000e+02,-7.251477108577739727e+01
1.930000000000000000e+02,-7.465371465894766345e+01
1.940000000000000000e+02,-7.665953214431621632e+01
1.950000000000000000e+02,-7.707499991050326571e+01
1.960000000000000000e+02,-7.585825539030676623e+01
1.970000000000000000e+02,-7.452559881824157628e+01
1.980000000000000000e+02,-7.343150957449063299e+01
1.990000000000000000e+02,-7.236608013671065009e+01
2.000000000000000000e+02,-7.164703594790883301e+01
2.010000000000000000e+02,-7.200072803527872622e+01
2.020000000000000000e+02,-7.415530371421637312e+01
2.030000000000000000e+02,-7.699548375537345635e+01
2.040000000000000000e+02,-7.436033363233102023e+01
2.050000000000000000e+02,-7.173765105150582144e+01
2.060000000000000000e+02,-7.175315414764531852e+01
2.070000000000000000e+02,-7.408111594693303914e+01
2.080000000000000000e+02,-7.856221924383022781e+01
2.090000000000000000e+02,-8.669095983206206313e+01
2.100000000000000000e+02,-9.591466004917327837e+01
2.110000000000000000e+02,-8.369141933690232804e+01
2.120000000000000000e+02,-8.011931123274570155e+01
2.130000000000000000e+02,-7.928553254782512738e+01
2.140000000000000000e+02,-8.004861576017015068e+01
2.150000000000000000e+02,-8.082612681467900018e+01
2.160000000000000000e+02,-7.976689027321781111e+01
2.170000000000000000e+02,-7.774122804733684688e+01
2.180000000000000000e+02,-7.606511381038565389e+01
2.190000000000000000e+02,-7.541783830107472397e+01
2.200000000000000000e+02,-7.643063763370540187e+01
2.210000000000000000e+02,-7.984526516386549133e+01
2.220000000000000000e+02,-8.723409269978004943e+01
2.230000000000000000e+02,-1.044519720036585255e+02
2.240000000000000000e+02,-1.015482439913679684e+02
2.250000000000000000e+02,-9.957380826870314650e+01
2.260000000000000000e+02,-8.781383534735988405e+01
2.270000000000000000e+02,-8.355583160800883036e+01
2.280000000000000000e+02,-8.177835249820107322e+01
2.290000000000000000e+02,-8.091794419845390962e+01
2.300000000000000000e+02,-8.020026878244009083e+01
2.310000000000000000e+02,-7.962098557085666073e+01
2.320000000000000000e+02,-7.934864439498429078e+01
2.330000000000000000e+02,-7.922344763106808330e+01
2.340000000000000000e+02,-7.904475798237244533e+01
2.350000000000000000e+02,-7.884213201146383199e+01
2.360000000000000000e+02,-7.870862618962851798e+01
2.370000000000000000e+02,-7.873052108376820968e+01
2.380000000000000000e+02,-7.902856234238710442e+01
