t,derivative
0.000000000000000000e+00,2.327272727272656994e+00
9.775171065493646130e-04,1.030649350649355256e+00
1.955034213098729226e-03,2.260779220779227217e+00
2.932551319648093839e-03,5.020259740259746195e+00
3.910068426197458452e-03,4.488311688311739545e+00
4.887585532746823065e-03,3.790129870129874234e+00
5.865102639296187678e-03,2.593246753246717162e+00
6.842619745845552291e-03,-1.130389610389670452e+00
7.820136852394916904e-03,-3.623896103896072418e+00
8.797653958944280650e-03,-2.393766233766143614e+00
9.775171065493646130e-03,1.662337662337449729e-01
1.075268817204301161e-02,3.956363636363619207e+00
1.173020527859237536e-02,6.117402597402588071e+00
1.270772238514173910e-02,4.288831168831109153e+00
1.368523949169110458e-02,-6.316883116882650029e-01
1.466275659824047006e-02,-4.887272727272659267e+00
1.564027370478983381e-02,-5.286233766233806364e+00
1.661779081133919755e-02,-1.795324675324707187e+00
1.759530791788856130e-02,2.028051948051938780e+00
1.857282502443792851e-02,4.222337662337622533e+00
1.955034213098729226e-02,5.053506493506574770e+00
2.052785923753665601e-02,1.296623376623415425e+00
2.150537634408602322e-02,-8.976623376624388584e-01
2.248289345063538697e-02,9.974025974025835239e-02
2.346041055718475071e-02,1.895064935064908695e+00
2.443792766373411446e-02,3.391168831168840825e+00
2.541544477028347820e-02,9.974025974026972108e-01
2.639296187683284542e-02,-4.089350649350706135e+00
2.737047898338220916e-02,-4.987012987013031307e+00
2.834799608993157291e-02,-1.562597402597361906e+00
2.932551319648094013e-02,3.125194805194780656e+00
3.030303030303030387e-02,6.782337662337681650e+00
3.128054740957966762e-02,6.117402597402644915e+00
3.225806451612903136e-02,4.654545454545484517e+00
3.323558162267839511e-02,6.316883116882650029e-01
3.421309872922775885e-02,-3.657142857142844150e+00
3.519061583577712260e-02,-4.754285714285629183e+00
3.616813294232649328e-02,-3.690389610389672725e+00
3.714565004887585703e-02,-1.263376623376700536e+00
3.812316715542522078e-02,2.560000000000002274e+00
3.910068426197458452e-02,4.288831168831165996e+00
4.007820136852394827e-02,1.496103896103875286e+00
4.105571847507331201e-02,6.316883116883218463e-01
4.203323558162267576e-02,2.127792207792197132e+00
4.301075268817204644e-02,3.989610389610390939e+00
4.398826979472141019e-02,3.557402597402642641e+00
4.496578690127077393e-02,6.316883116882650029e-01
4.594330400782013768e-02,-3.025454545454522304e+00
4.692082111436950143e-02,-5.385974025973951029e+00
4.789833822091886517e-02,-3.756883116883102502e+00
4.887585532746822892e-02,9.974025974026403674e-01
4.985337243401759266e-02,5.618701298701239466e+00
5.083088954056695641e-02,7.812987012986980062e+00
5.180840664711632709e-02,5.518961038961037957e+00
5.278592375366569084e-02,-2.028051948051995623e+00
5.376344086021505458e-02,-4.654545454545427674e+00
5.474095796676441833e-02,-1.462857142857103554e+00
5.571847507331378208e-02,-9.309090909090400601e-01
5.669599217986314582e-02,1.097142857142898720e+00
5.767350928641250957e-02,4.554805194805169322e+00
5.865102639296188025e-02,3.557402597402528954e+00
5.962854349951124400e-02,2.992207792207182138e-01
6.060606060606060774e-02,-1.263376623376643693e+00
6.158357771260997149e-02,-1.329870129870300843e-01
6.256109481915933523e-02,1.163636363636385340e+00
6.353861192570869898e-02,1.629090909090905370e+00
6.451612903225806273e-02,2.626493506493545738e+00
6.549364613880742647e-02,2.327272727273452801e-01
6.647116324535679022e-02,-3.258181818181867584e+00
6.744868035190615396e-02,-5.352727272727236141e+00
6.842619745845551771e-02,-2.094545454545368557e+00
6.940371456500488145e-02,7.414025974025946653e+00
7.038123167155424520e-02,9.475324675324600321e+00
7.135874877810362282e-02,3.490909090909042334e+00
7.233626588465298657e-02,-3.258181818181810740e+00
7.331378299120235031e-02,-5.552207792207752846e+00
7.429130009775171406e-02,-5.685194805194726086e+00
7.526881720430107781e-02,-2.958961038961092527e+00
7.624633431085044155e-02,3.058701298701180349e+00
7.722385141739980530e-02,2.825974025974119286e+00
7.820136852394916904e-02,-1.795324675324593500e+00
7.917888563049853279e-02,-5.884675324675356478e+00
8.015640273704789653e-02,-6.250389610389618156e+00
8.113391984359726028e-02,-3.158441558441609232e+00
8.211143695014662403e-02,-7.314285714285801987e-01
8.308895405669598777e-02,-5.984415584415501144e-01
8.406647116324535152e-02,-8.311688311687817077e-01
8.504398826979471526e-02,-2.859220779220777331e+00
8.602150537634409289e-02,-6.416623376623419972e+00
8.699902248289345663e-02,-5.618701298701296309e+00
8.797653958944282038e-02,2.593246753246717162e+00
8.895405669599218412e-02,9.408831168831227387e+00
8.993157380254154787e-02,6.582857142857164945e+00
9.090909090909091161e-02,-7.314285714286370421e-01
9.188660801564027536e-02,-4.887272727272659267e+00
