t,ecg_signal_offset
0.000000000000000000e+00,6.131818181818182723e-01
9.775171065493646130e-04,6.154545454545454763e-01
1.955034213098729226e-03,6.151948051948052942e-01
2.932551319648093839e-03,6.198701298701299045e-01
3.910068426197458452e-03,6.250000000000001110e-01
4.887585532746823065e-03,6.286363636363637708e-01
5.865102639296187678e-03,6.324025974025975216e-01
6.842619745845552291e-03,6.337012987012987653e-01
7.820136852394916904e-03,6.301948051948051965e-01
8.797653958944280650e-03,6.266233766233767488e-01
9.775171065493646130e-03,6.255194805194806973e-01
1.075268817204301161e-02,6.269480519480520320e-01
1.173020527859237536e-02,6.332467532467533911e-01
1.270772238514173910e-02,6.388961038961039618e-01
1.368523949169110458e-02,6.416233766233766511e-01
1.466275659824047006e-02,6.376623376623378192e-01
1.564027370478983381e-02,6.320779220779222385e-01
1.661779081133919755e-02,6.273376623376624162e-01
1.759530791788856130e-02,6.285714285714286698e-01
1.857282502443792851e-02,6.312987012987013591e-01
1.955034213098729226e-02,6.368181818181818388e-01
2.052785923753665601e-02,6.411688311688313879e-01
2.150537634408602322e-02,6.393506493506494470e-01
2.248289345063538697e-02,6.394155844155844370e-01
2.346041055718475071e-02,6.395454545454546391e-01
2.443792766373411446e-02,6.431168831168830868e-01
2.541544477028347820e-02,6.461688311688312814e-01
2.639296187683284542e-02,6.450649350649352298e-01
2.737047898338220916e-02,6.381818181818181834e-01
2.834799608993157291e-02,6.353246753246754031e-01
2.932551319648094013e-02,6.351298701298702110e-01
3.030303030303030387e-02,6.414285714285714590e-01
3.128054740957966762e-02,6.483766233766234954e-01
3.225806451612903136e-02,6.533766233766234999e-01
3.323558162267839511e-02,6.574675324675326449e-01
3.421309872922775885e-02,6.546103896103896425e-01
3.519061583577712260e-02,6.503246753246755274e-01
3.616813294232649328e-02,6.453246753246755230e-01
3.714565004887585703e-02,6.431168831168831979e-01
3.812316715542522078e-02,6.428571428571429047e-01
3.910068426197458452e-02,6.481168831168832023e-01
4.007820136852394827e-02,6.512337662337662758e-01
4.105571847507331201e-02,6.510389610389610837e-01
4.203323558162267576e-02,6.524675324675325294e-01
4.301075268817204644e-02,6.551948051948052187e-01
4.398826979472141019e-02,6.602597402597403242e-01
4.496578690127077393e-02,6.621428571428572551e-01
4.594330400782013768e-02,6.614935064935064668e-01
4.692082111436950143e-02,6.562337662337663913e-01
4.789833822091886517e-02,6.509740259740260937e-01
4.887585532746822892e-02,6.488961038961040817e-01
4.985337243401759266e-02,6.529220779220781257e-01
5.083088954056695641e-02,6.598701298701299400e-01
5.180840664711632709e-02,6.681818181818183211e-01
5.278592375366569084e-02,6.706493506493507173e-01
5.376344086021505458e-02,6.642207792207792671e-01
5.474095796676441833e-02,6.615584415584416789e-01
5.571847507331378208e-02,6.613636363636364868e-01
5.669599217986314582e-02,6.597402597402599600e-01
5.767350928641250957e-02,6.635064935064937108e-01
5.865102639296188025e-02,6.686363636363638063e-01
5.962854349951124400e-02,6.704545454545455252e-01
6.060606060606060774e-02,6.692207792207792716e-01
6.158357771260997149e-02,6.679870129870130180e-01
6.256109481915933523e-02,6.689610389610389785e-01
6.353861192570869898e-02,6.702597402597403331e-01
6.451612903225806273e-02,6.721428571428571530e-01
6.549364613880742647e-02,6.753896103896105396e-01
6.647116324535679022e-02,6.725974025974027493e-01
6.744868035190615396e-02,6.690259740259740795e-01
6.842619745845551771e-02,6.621428571428573662e-01
6.940371456500488145e-02,6.649350649350651565e-01
7.038123167155424520e-02,6.766233766233767932e-01
7.135874877810362282e-02,6.834415584415585165e-01
7.233626588465298657e-02,6.834415584415585165e-01
7.331378299120235031e-02,6.770779220779221674e-01
7.429130009775171406e-02,6.725974025974027493e-01
7.526881720430107781e-02,6.659740259740262180e-01
7.624633431085044155e-02,6.668181818181818654e-01
7.722385141739980530e-02,6.719480519480519609e-01
7.820136852394916904e-02,6.723376623376625671e-01
7.917888563049853279e-02,6.684415584415586142e-01
8.015640273704789653e-02,6.608441558441560115e-01
8.113391984359726028e-02,6.562337662337663913e-01
8.211143695014662403e-02,6.546753246753247435e-01
8.308895405669598777e-02,6.548051948051949456e-01
8.406647116324535152e-02,6.535064935064935909e-01
8.504398826979471526e-02,6.531818181818184188e-01
8.602150537634409289e-02,6.479220779220780102e-01
8.699902248289345663e-02,6.406493506493508017e-01
8.797653958944282038e-02,6.369480519480520408e-01
8.895405669599218412e-02,6.457142857142857961e-01
8.993157380254154787e-02,6.553246753246755318e-01
9.090909090909091161e-02,6.585714285714286964e-01
9.188660801564027536e-02,6.538961038961039751e-01
9.286412512218963911e-02,6.490259740259742838e-01
9.384164222873900285e-02,6.445454545454546436e-01
9.481915933528836660e-02,6.437012987012988852e-01
9.579667644183773034e-02,6.469480519480520497e-01
9.677419354838709409e-02,6.498051948051949411e-01
9.775171065493645783e-02,6.588961038961038685e-01
9.872922776148582158e-02,6.674675324675326538e-01
9.970674486803518533e-02,6.685714285714287053e-01
1.006842619745845491e-01,6.701948051948054541e-01
1.016617790811339128e-01,6.738311688311691139e-01
1.026392961876832904e-01,6.779220779220781479e-01
1.036168132942326542e-01,6.796753246753247657e-01
1.045943304007820179e-01,6.761688311688313080e-01
1.055718475073313817e-01,6.674025974025976637e-01
1.065493646138807454e-01,6.610389610389612036e-01
1.075268817204301092e-01,6.605844155844157184e-01
1.085043988269794729e-01,6.708441558441559094e-01
1.094819159335288367e-01,6.846103896103897801e-01
1.104594330400782004e-01,6.905844155844157450e-01
1.114369501466275642e-01,6.890909090909091983e-01
1.124144672531769279e-01,6.779870129870132489e-01
1.133919843597262916e-01,6.690909090909091805e-01
