 v-sweep         v(vout_comp)    v(vinp)         v(vinn)         v(dvout_comp)  
 7.50000000e-01  0.00000000e+00  7.50000000e-01  7.50000000e-01  5.84959053e-06 
 7.50001000e-01  3.93463040e-12  7.50001000e-01  7.50000000e-01  2.01979814e-06 
 7.50002000e-01  4.03955314e-12  7.50002000e-01  7.50000000e-01  1.07038892e-07 
 7.50003000e-01  4.14870804e-12  7.50003000e-01  7.50000000e-01  1.10659292e-07 
 7.50004000e-01  4.26087166e-12  7.50004000e-01  7.50000000e-01  1.13680192e-07 
 7.50005000e-01  4.37606840e-12  7.50005000e-01  7.50000000e-01  1.16666675e-07 
 7.50006000e-01  4.49420501e-12  7.50006000e-01  7.50000000e-01  1.19850775e-07 
 7.50007000e-01  4.61576999e-12  7.50007000e-01  7.50000000e-01  1.23128138e-07 
 7.50008000e-01  4.74046136e-12  7.50008000e-01  7.50000000e-01  1.26398832e-07 
 7.50009000e-01  4.86856777e-12  7.50009000e-01  7.50000000e-01  1.29891670e-07 
 7.50010000e-01  5.00024466e-12  7.50010000e-01  7.50000000e-01  1.33340003e-07 
 7.50011000e-01  5.13524778e-12  7.50011000e-01  7.50000000e-01  1.36861609e-07 
 7.50012000e-01  5.27396793e-12  7.50012000e-01  7.50000000e-01  1.40703067e-07 
 7.50013000e-01  5.41665379e-12  7.50013000e-01  7.50000000e-01  1.44526650e-07 
 7.50014000e-01  5.56302115e-12  7.50014000e-01  7.50000000e-01  1.48345797e-07 
 7.50015000e-01  5.71334535e-12  7.50015000e-01  7.50000000e-01  1.52348129e-07 
 7.50016000e-01  5.86771742e-12  7.50016000e-01  7.50000000e-01  1.56477025e-07 
 7.50017000e-01  6.02629946e-12  7.50017000e-01  7.50000000e-01  1.60702509e-07 
 7.50018000e-01  6.18912255e-12  7.50018000e-01  7.50000000e-01  1.65094648e-07 
 7.50019000e-01  6.35648867e-12  7.50019000e-01  7.50000000e-01  1.69588805e-07 
 7.50020000e-01  6.52830012e-12  7.50020000e-01  7.50000000e-01  1.74107388e-07 
 7.50021000e-01  6.70470346e-12  7.50021000e-01  7.50000000e-01  1.78771539e-07 
 7.50022000e-01  6.88584301e-12  7.50022000e-01  7.50000000e-01  1.83597518e-07 
 7.50023000e-01  7.07189862e-12  7.50023000e-01  7.50000000e-01  1.88621246e-07 
 7.50024000e-01  7.26308569e-12  7.50024000e-01  7.50000000e-01  1.93753920e-07 
 7.50025000e-01  7.45940643e-12  7.50025000e-01  7.50000000e-01  1.98920869e-07 
 7.50026000e-01  7.66092745e-12  7.50026000e-01  7.50000000e-01  2.04274333e-07 
 7.50027000e-01  7.86795518e-12  7.50027000e-01  7.50000000e-01  2.09887745e-07 
 7.50028000e-01  8.08070277e-12  7.50028000e-01  7.50000000e-01  2.15494337e-07 
 7.50029000e-01  8.29894375e-12  7.50029000e-01  7.50000000e-01  2.21280791e-07 
 7.50030000e-01  8.52326432e-12  7.50030000e-01  7.50000000e-01  2.27371440e-07 
 7.50031000e-01  8.75368666e-12  7.50031000e-01  7.50000000e-01  2.33510938e-07 
 7.50032000e-01  8.99028629e-12  7.50032000e-01  7.50000000e-01  2.39768294e-07 
 7.50033000e-01  9.23322308e-12  7.50033000e-01  7.50000000e-01  2.46184239e-07 
 7.50034000e-01  9.48265466e-12  7.50034000e-01  7.50000000e-01  2.52862004e-07 
 7.50035000e-01  9.73894743e-12  7.50035000e-01  7.50000000e-01  2.59805490e-07 
 7.50036000e-01  1.00022657e-11  7.50036000e-01  7.50000000e-01  2.66755639e-07 
 7.50037000e-01  1.02724584e-11  7.50037000e-01  7.50000000e-01  2.73918560e-07 
 7.50038000e-01  1.05501030e-11  7.50038000e-01  7.50000000e-01  2.81365894e-07 
 7.50039000e-01  1.08351905e-11  7.50039000e-01  7.50000000e-01  2.88951103e-07 
 7.50040000e-01  1.11280052e-11  7.50040000e-01  7.50000000e-01  2.96833865e-07 
 7.50041000e-01  1.14288579e-11  7.50041000e-01  7.50000000e-01  3.04828534e-07 
 7.50042000e-01  1.17376620e-11  7.50042000e-01  7.50000000e-01  3.13013936e-07 
 7.50043000e-01  1.20548860e-11  7.50043000e-01  7.50000000e-01  3.21522635e-07 
 7.50044000e-01  1.23807076e-11  7.50044000e-01  7.50000000e-01  3.30155919e-07 
 7.50045000e-01  1.27151978e-11  7.50045000e-01  7.50000000e-01  3.39095384e-07 
 7.50046000e-01  1.30588984e-11  7.50046000e-01  7.50000000e-01  3.48316844e-07 
 7.50047000e-01  1.34118316e-11  7.50047000e-01  7.50000000e-01  3.57674012e-07 
 7.50048000e-01  1.37742462e-11  7.50048000e-01  7.50000000e-01  3.67357326e-07 
 7.50049000e-01  1.41465462e-11  7.50049000e-01  7.50000000e-01  3.77339286e-07 
 7.50050000e-01  1.45289247e-11  7.50050000e-01  7.50000000e-01  3.87481116e-07 
 7.50051000e-01  1.49215085e-11  7.50051000e-01  7.50000000e-01  3.97923812e-07 
 7.50052000e-01  1.53247726e-11  7.50052000e-01  7.50000000e-01  4.08748726e-07 
 7.50053000e-01  1.57390057e-11  7.50053000e-01  7.50000000e-01  4.19762077e-07 
 7.50054000e-01  1.61642966e-11  7.50054000e-01  7.50000000e-01  4.31052984e-07 
 7.50055000e-01  1.66011116e-11  7.50055000e-01  7.50000000e-01  4.42765770e-07 
 7.50056000e-01  1.70498282e-11  7.50056000e-01  7.50000000e-01  4.54709481e-07 
 7.50057000e-01  1.75105308e-11  7.50057000e-01  7.50000000e-01  4.66977718e-07 
 7.50058000e-01  1.79837834e-11  7.50058000e-01  7.50000000e-01  4.79651954e-07 
 7.50059000e-01  1.84698346e-11  7.50059000e-01  7.50000000e-01  4.92552674e-07 
 7.50060000e-01  1.89688887e-11  7.50060000e-01  7.50000000e-01  5.05890817e-07 
 7.50061000e-01  1.94816163e-11  7.50061000e-01  7.50000000e-01  5.19584230e-07 
 7.50062000e-01  2.00080574e-11  7.50062000e-01  7.50000000e-01  5.33613319e-07 
 7.50063000e-01  2.05488426e-11  7.50063000e-01  7.50000000e-01  5.48027265e-07 
