 time            v(vout_comp)    v(vinp)         v(vinn)        
 9.95001400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95006400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95011400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95016400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95021400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95026400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95031400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95036400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95041400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95046400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95051400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95056400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95061400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95066400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95071400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95076400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95081400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95086400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95091400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95096400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95101400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95106400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95111400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95116400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95121400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95126400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95131400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95136400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95141400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95146400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95151400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95156400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95161400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95166400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95171400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95176400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95181400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95186400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95191400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95196400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95201400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95206400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95211400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95216400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95221400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95226400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95231400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95236400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95241400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95246400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95251400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95256400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95261400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95266400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95271400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95276400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95281400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95286400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95291400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95296400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95301400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95306400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95311400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95316400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95321400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95326400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95331400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95336400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95341400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95346400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95351400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95356400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95361400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95366400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95371400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95376400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95381400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95386400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95391400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95396400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95401400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95406400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
 9.95411400e-07  0.00000000e+00  0.00000000e+00  7.50000000e-01 
