 frequency       v(Cinp)         v(Cinp)         v(Cinn)         v(Cinn)        
 1.00000000e+00  1.80526448e-13  0.00000000e+00  2.58009943e-12  0.00000000e+00 
 1.02305973e+00  1.76454150e-13  0.00000000e+00  2.52196235e-12  0.00000000e+00 
 1.04665121e+00  1.72473186e-13  0.00000000e+00  2.46513572e-12  0.00000000e+00 
 1.07078670e+00  1.68582036e-13  0.00000000e+00  2.40959028e-12  0.00000000e+00 
 1.09547876e+00  1.64778169e-13  0.00000000e+00  2.35529763e-12  0.00000000e+00 
 1.12074020e+00  1.61060626e-13  0.00000000e+00  2.30222902e-12  0.00000000e+00 
 1.14658417e+00  1.57426231e-13  0.00000000e+00  2.25035706e-12  0.00000000e+00 
 1.17302409e+00  1.53873847e-13  0.00000000e+00  2.19965455e-12  0.00000000e+00 
 1.20007371e+00  1.50401164e-13  0.00000000e+00  2.15009556e-12  0.00000000e+00 
 1.22774708e+00  1.47007079e-13  0.00000000e+00  2.10165407e-12  0.00000000e+00 
 1.25605860e+00  1.43689147e-13  0.00000000e+00  2.05430509e-12  0.00000000e+00 
 1.28502297e+00  1.40445886e-13  0.00000000e+00  2.00802353e-12  0.00000000e+00 
 1.31465525e+00  1.37275830e-13  0.00000000e+00  1.96278595e-12  0.00000000e+00 
 1.34497085e+00  1.34177121e-13  0.00000000e+00  1.91856860e-12  0.00000000e+00 
 1.37598551e+00  1.31147957e-13  0.00000000e+00  1.87534823e-12  0.00000000e+00 
 1.40771537e+00  1.28187179e-13  0.00000000e+00  1.83310257e-12  0.00000000e+00 
 1.44017690e+00  1.25292860e-13  0.00000000e+00  1.79180999e-12  0.00000000e+00 
 1.47338699e+00  1.22463890e-13  0.00000000e+00  1.75144843e-12  0.00000000e+00 
 1.50736290e+00  1.19698430e-13  0.00000000e+00  1.71199743e-12  0.00000000e+00 
 1.54212228e+00  1.16995060e-13  0.00000000e+00  1.67343607e-12  0.00000000e+00 
 1.57768320e+00  1.14352745e-13  0.00000000e+00  1.63574463e-12  0.00000000e+00 
 1.61406415e+00  1.11769764e-13  0.00000000e+00  1.59890330e-12  0.00000000e+00 
 1.65128404e+00  1.09244792e-13  0.00000000e+00  1.56289322e-12  0.00000000e+00 
 1.68936220e+00  1.06776698e-13  0.00000000e+00  1.52769531e-12  0.00000000e+00 
 1.72831844e+00  1.04364204e-13  0.00000000e+00  1.49329154e-12  0.00000000e+00 
 1.76817299e+00  1.02005748e-13  0.00000000e+00  1.45966382e-12  0.00000000e+00 
 1.80894658e+00  9.97005901e-14  0.00000000e+00  1.42679495e-12  0.00000000e+00 
