 time            v(clk)          v(vinp)         v(vinn)         v(vs)           v(vcpp)         v(vcpn)         v(voutp_comp)   v(voutn_comp)   v(vout)        
 0.00000000e+00  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579797e-07  1.62579791e-07  0.00000000e+00 
 4.00000000e-13  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62610409e-07  1.62616581e-07  6.05506791e-09 
 8.00000000e-13  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62634214e-07  1.62647149e-07  1.17180220e-08 
 1.60000000e-12  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62663150e-07  1.62687594e-07  2.24503617e-08 
 3.20000000e-12  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62646733e-07  1.62679590e-07  4.09233012e-08 
 6.40000000e-12  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62561133e-07  1.62581338e-07  6.89245319e-08 
 1.28000000e-11  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62520791e-07  1.62510093e-07  1.02416623e-07 
 2.56000000e-11  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62595326e-07  1.62579999e-07  1.28164305e-07 
 5.12000000e-11  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62587470e-07  1.62593013e-07  1.36138563e-07 
 9.12000000e-11  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62570519e-07  1.62570951e-07  1.35986914e-07 
 1.31200000e-10  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62586467e-07  1.62585563e-07  1.36259484e-07 
 1.71200000e-10  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62575469e-07  1.62576032e-07  1.36125099e-07 
 2.11200000e-10  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62582538e-07  1.62582284e-07  1.36182218e-07 
 2.51200000e-10  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62578046e-07  1.62578079e-07  1.36159407e-07 
 2.91200000e-10  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62580949e-07  1.62581021e-07  1.36167628e-07 
 3.31200000e-10  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579003e-07  1.62578863e-07  1.36165592e-07 
 3.71200000e-10  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62580373e-07  1.62580525e-07  1.36164954e-07 
 4.11200000e-10  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579354e-07  1.62579184e-07  1.36166776e-07 
 4.51200000e-10  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62580154e-07  1.62580310e-07  1.36164427e-07 
 4.91200000e-10  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579496e-07  1.62579334e-07  1.36167026e-07 
 5.31200000e-10  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62580059e-07  1.62580202e-07  1.36164295e-07 
 5.71200000e-10  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579558e-07  1.62579415e-07  1.36167089e-07 
 6.11200000e-10  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62580020e-07  1.62580139e-07  1.36164269e-07 
 6.51200000e-10  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579587e-07  1.62579466e-07  1.36167108e-07 
 6.91200000e-10  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579996e-07  1.62580101e-07  1.36164260e-07 
 7.31200000e-10  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579606e-07  1.62579493e-07  1.36167104e-07 
 7.71200000e-10  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579982e-07  1.62580075e-07  1.36164268e-07 
 8.11200000e-10  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579617e-07  1.62579519e-07  1.36167088e-07 
 8.51200000e-10  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579972e-07  1.62580052e-07  1.36164291e-07 
 8.91200000e-10  0.00000000e+00  7.60000000e-01  7.50000000e-01  6.98620316e-01  1.49999996e+00  1.49999995e+00  1.62579623e-07  1.62579539e-07  1.36167064e-07 
