 time            v(clk)          v(vout)         v(vinp)         v(vinn)        
 0.00000000e+00  0.00000000e+00  0.00000000e+00  7.25000000e-01  7.50000000e-01 
 2.00000000e-11  0.00000000e+00  9.26928782e-08  7.25000000e-01  7.50000000e-01 
 4.00000000e-11  0.00000000e+00  1.21641360e-07  7.25000000e-01  7.50000000e-01 
 8.00000000e-11  0.00000000e+00  1.38340856e-07  7.25000000e-01  7.50000000e-01 
 1.60000000e-10  0.00000000e+00  1.38890692e-07  7.25000000e-01  7.50000000e-01 
 3.20000000e-10  0.00000000e+00  1.36544152e-07  7.25000000e-01  7.50000000e-01 
 6.40000000e-10  0.00000000e+00  1.36091076e-07  7.25000000e-01  7.50000000e-01 
 1.28000000e-09  0.00000000e+00  1.36151141e-07  7.25000000e-01  7.50000000e-01 
 2.00000000e-09  0.00000000e+00  1.36165759e-07  7.25000000e-01  7.50000000e-01 
 2.00100000e-09  1.50000000e-01  9.74451659e-06  7.25000005e-01  7.50000000e-01 
 2.00300000e-09  4.50000000e-01  1.48020034e-05  7.25000015e-01  7.50000000e-01 
 2.00351778e-09  5.27667431e-01  1.27451471e-05  7.25000018e-01  7.50000000e-01 
 2.00455335e-09  6.83002293e-01  6.26695573e-06  7.25000023e-01  7.50000000e-01 
 2.00554498e-09  8.31747066e-01 -2.11769507e-06  7.25000028e-01  7.50000000e-01 
 2.00648654e-09  9.72980560e-01 -1.16477723e-05  7.25000032e-01  7.50000000e-01 
 2.00750533e-09  1.12579946e+00 -2.30518363e-05  7.25000038e-01  7.50000000e-01 
 2.00850066e-09  1.27509846e+00 -3.50485217e-05  7.25000043e-01  7.50000000e-01 
 2.00933942e-09  1.40091236e+00 -4.41670234e-05  7.25000047e-01  7.50000000e-01 
 2.01000000e-09  1.50000000e+00 -4.94043726e-05  7.25000050e-01  7.50000000e-01 
 2.01007736e-09  1.50000000e+00 -5.02854062e-05  7.25000050e-01  7.50000000e-01 
 2.01023209e-09  1.50000000e+00 -5.27372172e-05  7.25000051e-01  7.50000000e-01 
 2.01045879e-09  1.50000000e+00 -5.70580209e-05  7.25000052e-01  7.50000000e-01 
 2.01072619e-09  1.50000000e+00 -6.15495048e-05  7.25000054e-01  7.50000000e-01 
 2.01100946e-09  1.50000000e+00 -6.44425585e-05  7.25000055e-01  7.50000000e-01 
 2.01140872e-09  1.50000000e+00 -6.49155545e-05  7.25000057e-01  7.50000000e-01 
 2.01197582e-09  1.50000000e+00 -6.01782559e-05  7.25000060e-01  7.50000000e-01 
 2.01311001e-09  1.50000000e+00 -4.22721671e-05  7.25000066e-01  7.50000000e-01 
 2.01405856e-09  1.50000000e+00 -2.50762412e-05  7.25000070e-01  7.50000000e-01 
 2.01489771e-09  1.50000000e+00 -1.14036933e-05  7.25000074e-01  7.50000000e-01 
 2.01576946e-09  1.50000000e+00 -3.24628614e-07  7.25000079e-01  7.50000000e-01 
 2.01672300e-09  1.50000000e+00  7.68464540e-06  7.25000084e-01  7.50000000e-01 
 2.01775769e-09  1.50000000e+00  1.18975361e-05  7.25000089e-01  7.50000000e-01 
 2.01899488e-09  1.50000000e+00  1.21199591e-05  7.25000095e-01  7.50000000e-01 
 2.02045955e-09  1.50000000e+00  8.32279252e-06  7.25000102e-01  7.50000000e-01 
 2.02230987e-09  1.50000000e+00  3.54938977e-06  7.25000112e-01  7.50000000e-01 
 2.02398720e-09  1.50000000e+00  6.50127720e-06  7.25000120e-01  7.50000000e-01 
 2.02581072e-09  1.50000000e+00  2.15250501e-05  7.25000129e-01  7.50000000e-01 
 2.02753114e-09  1.50000000e+00  3.71137771e-05  7.25000138e-01  7.50000000e-01 
 2.02935697e-09  1.50000000e+00  4.71859322e-05  7.25000147e-01  7.50000000e-01 
 2.03128264e-09  1.50000000e+00  4.84584992e-05  7.25000156e-01  7.50000000e-01 
 2.03343687e-09  1.50000000e+00  4.08606193e-05  7.25000167e-01  7.50000000e-01 
 2.03573179e-09  1.50000000e+00  2.74209075e-05  7.25000179e-01  7.50000000e-01 
 2.03836351e-09  1.50000000e+00  1.14911350e-05  7.25000192e-01  7.50000000e-01 
 2.04150677e-09  1.50000000e+00 -3.06120350e-06  7.25000208e-01  7.50000000e-01 
 2.04556581e-09  1.50000000e+00 -1.29104351e-05  7.25000228e-01  7.50000000e-01 
 2.05116415e-09  1.50000000e+00 -1.52150700e-05  7.25000256e-01  7.50000000e-01 
 2.05986867e-09  1.50000000e+00 -9.67308431e-06  7.25000299e-01  7.50000000e-01 
