 frequency       v(Cinp)         v(Cinp)         v(Cinn)         v(Cinn)        
 1.00000000e+00  2.00658621e-12  0.00000000e+00  7.90123124e-13  0.00000000e+00 
 1.02305973e+00  1.96135787e-12  0.00000000e+00  7.72354074e-13  0.00000000e+00 
 1.04665121e+00  1.91714898e-12  0.00000000e+00  7.54986241e-13  0.00000000e+00 
 1.07078670e+00  1.87393655e-12  0.00000000e+00  7.38011094e-13  0.00000000e+00 
 1.09547876e+00  1.83169813e-12  0.00000000e+00  7.21419506e-13  0.00000000e+00 
 1.12074020e+00  1.79041177e-12  0.00000000e+00  7.05202818e-13  0.00000000e+00 
 1.14658417e+00  1.75005600e-12  0.00000000e+00  6.89352569e-13  0.00000000e+00 
 1.17302409e+00  1.71060984e-12  0.00000000e+00  6.73860725e-13  0.00000000e+00 
 1.20007371e+00  1.67205281e-12  0.00000000e+00  6.58718958e-13  0.00000000e+00 
 1.22774708e+00  1.63436485e-12  0.00000000e+00  6.43919820e-13  0.00000000e+00 
 1.25605860e+00  1.59752637e-12  0.00000000e+00  6.29455123e-13  0.00000000e+00 
 1.28502297e+00  1.56151824e-12  0.00000000e+00  6.15317751e-13  0.00000000e+00 
 1.31465525e+00  1.52632172e-12  0.00000000e+00  6.01500305e-13  0.00000000e+00 
 1.34497085e+00  1.49191854e-12  0.00000000e+00  5.87995346e-13  0.00000000e+00 
 1.37598551e+00  1.45829081e-12  0.00000000e+00  5.74795821e-13  0.00000000e+00 
 1.40771537e+00  1.42542104e-12  0.00000000e+00  5.61895228e-13  0.00000000e+00 
 1.44017690e+00  1.39329216e-12  0.00000000e+00  5.49286803e-13  0.00000000e+00 
 1.47338699e+00  1.36188746e-12  0.00000000e+00  5.36963751e-13  0.00000000e+00 
 1.50736290e+00  1.33119063e-12  0.00000000e+00  5.24919809e-13  0.00000000e+00 
 1.54212228e+00  1.30118570e-12  0.00000000e+00  5.13148666e-13  0.00000000e+00 
 1.57768320e+00  1.27185709e-12  0.00000000e+00  5.01644154e-13  0.00000000e+00 
 1.61406415e+00  1.24318954e-12  0.00000000e+00  4.90400418e-13  0.00000000e+00 
 1.65128404e+00  1.21516816e-12  0.00000000e+00  4.79411558e-13  0.00000000e+00 
 1.68936220e+00  1.18777838e-12  0.00000000e+00  4.68671971e-13  0.00000000e+00 
 1.72831844e+00  1.16100596e-12  0.00000000e+00  4.58175853e-13  0.00000000e+00 
 1.76817299e+00  1.13483700e-12  0.00000000e+00  4.47918012e-13  0.00000000e+00 
 1.80894658e+00  1.10925789e-12  0.00000000e+00  4.37892895e-13  0.00000000e+00 
 1.85066040e+00  1.08425533e-12  0.00000000e+00  4.28095237e-13  0.00000000e+00 
 1.89333613e+00  1.05981633e-12  0.00000000e+00  4.18520184e-13  0.00000000e+00 
 1.93699595e+00  1.03592819e-12  0.00000000e+00  4.09162689e-13  0.00000000e+00 
 1.98166255e+00  1.01257848e-12  0.00000000e+00  4.00017822e-13  0.00000000e+00 
 2.02735916e+00  9.89755082e-13  0.00000000e+00  3.91080765e-13  0.00000000e+00 
 2.07410951e+00  9.67446122e-13  0.00000000e+00  3.82346944e-13  0.00000000e+00 
 2.12193792e+00  9.45640007e-13  0.00000000e+00  3.73811883e-13  0.00000000e+00 
 2.17086923e+00  9.24325402e-13  0.00000000e+00  3.65471198e-13  0.00000000e+00 
 2.22092889e+00  9.03491230e-13  0.00000000e+00  3.57320351e-13  0.00000000e+00 
 2.27214291e+00  8.83126662e-13  0.00000000e+00  3.49355159e-13  0.00000000e+00 
 2.32453791e+00  8.63221112e-13  0.00000000e+00  3.41571646e-13  0.00000000e+00 
 2.37814113e+00  8.43764235e-13  0.00000000e+00  3.33965449e-13  0.00000000e+00 
 2.43298042e+00  8.24745918e-13  0.00000000e+00  3.26532889e-13  0.00000000e+00 
 2.48908429e+00  8.06156275e-13  0.00000000e+00  3.19270014e-13  0.00000000e+00 
 2.54648190e+00  7.87985644e-13  0.00000000e+00  3.12173076e-13  0.00000000e+00 
 2.60520309e+00  7.70224581e-13  0.00000000e+00  3.05238298e-13  0.00000000e+00 
 2.66527837e+00  7.52863854e-13  0.00000000e+00  2.98462199e-13  0.00000000e+00 
 2.72673897e+00  7.35894439e-13  0.00000000e+00  2.91841063e-13  0.00000000e+00 
 2.78961683e+00  7.19307518e-13  0.00000000e+00  2.85371660e-13  0.00000000e+00 
