 time            v(clk)          v(voutp)        v(voutn)        v(vinp)         v(vinn)        
 0.00000000e+00  0.00000000e+00  1.42407438e-07  1.42407452e-07  7.25000000e-01  7.50000000e-01 
 2.00000000e-11  0.00000000e+00  1.42407438e-07  1.42407452e-07  7.25000000e-01  7.50000000e-01 
 4.00000000e-11  0.00000000e+00  1.42407438e-07  1.42407452e-07  7.25000000e-01  7.50000000e-01 
 8.00000000e-11  0.00000000e+00  1.42407438e-07  1.42407452e-07  7.25000000e-01  7.50000000e-01 
 1.60000000e-10  0.00000000e+00  1.42407438e-07  1.42407452e-07  7.25000000e-01  7.50000000e-01 
 3.20000000e-10  0.00000000e+00  1.42407438e-07  1.42407452e-07  7.25000000e-01  7.50000000e-01 
 6.40000000e-10  0.00000000e+00  1.42407438e-07  1.42407452e-07  7.25000000e-01  7.50000000e-01 
 1.28000000e-09  0.00000000e+00  1.42407438e-07  1.42407452e-07  7.25000000e-01  7.50000000e-01 
 2.00000000e-09  0.00000000e+00  1.42407438e-07  1.42407452e-07  7.25000000e-01  7.50000000e-01 
 2.00100000e-09  1.50000000e-01 -7.15102459e-03 -7.15102436e-03  7.25000005e-01  7.50000000e-01 
 2.00300000e-09  4.50000000e-01 -2.26178915e-02 -2.26178912e-02  7.25000015e-01  7.50000000e-01 
 2.00700000e-09  1.05000000e+00 -5.48344712e-02 -5.48344719e-02  7.25000035e-01  7.50000000e-01 
 2.01000000e-09  1.50000000e+00 -7.28689663e-02 -7.28689692e-02  7.25000050e-01  7.50000000e-01 
 2.01061410e-09  1.50000000e+00 -7.32866886e-02 -7.32866936e-02  7.25000053e-01  7.50000000e-01 
 2.01184231e-09  1.50000000e+00 -7.32211769e-02 -7.32212251e-02  7.25000059e-01  7.50000000e-01 
 2.01429873e-09  1.50000000e+00 -7.29390543e-02 -7.29398069e-02  7.25000071e-01  7.50000000e-01 
 2.01921157e-09  1.50000000e+00 -7.28024657e-02 -7.28066715e-02  7.25000096e-01  7.50000000e-01 
 2.02598631e-09  1.50000000e+00 -7.28458578e-02 -7.28565264e-02  7.25000130e-01  7.50000000e-01 
 2.03621939e-09  1.50000000e+00 -7.29370282e-02 -7.29580564e-02  7.25000181e-01  7.50000000e-01 
 2.05668556e-09  1.50000000e+00 -7.30681982e-02 -7.31097538e-02  7.25000283e-01  7.50000000e-01 
 2.09761789e-09  1.50000000e+00 -7.33022677e-02 -7.33845752e-02  7.25000488e-01  7.50000000e-01 
 2.17948256e-09  1.50000000e+00 -7.37709376e-02 -7.39346955e-02  7.25000897e-01  7.50000000e-01 
 2.34321190e-09  1.50000000e+00 -7.47087810e-02 -7.50349228e-02  7.25001716e-01  7.50000000e-01 
 2.67067057e-09  1.50000000e+00 -7.65709248e-02 -7.72131016e-02  7.25003353e-01  7.50000000e-01 
 3.32558792e-09  1.50000000e+00 -7.99043184e-02 -8.06501253e-02  7.25006628e-01  7.50000000e-01 
 4.10574084e-09  1.50000000e+00 -7.42191071e-02 -5.27559388e-02  7.25010529e-01  7.50000000e-01 
 4.75583362e-09  1.50000000e+00 -7.95448739e-03  1.34823152e-01  7.25013779e-01  7.50000000e-01 
 5.42608097e-09  1.50000000e+00  3.85019114e-02  6.47505051e-01  7.25017130e-01  7.50000000e-01 
 6.15844817e-09  1.50000000e+00  3.33124920e-03  1.39212301e+00  7.25020792e-01  7.50000000e-01 
 6.57604352e-09  1.50000000e+00  1.63313300e-04  1.49948984e+00  7.25022880e-01  7.50000000e-01 
 7.07109059e-09  1.50000000e+00 -1.05923273e-04  1.50451352e+00  7.25025355e-01  7.50000000e-01 
 7.70657196e-09  1.50000000e+00 -8.22042854e-06  1.49987824e+00  7.25028533e-01  7.50000000e-01 
 8.37922309e-09  1.50000000e+00  2.37478163e-05  1.49920695e+00  7.25031896e-01  7.50000000e-01 
 9.72452534e-09  1.50000000e+00  3.26316362e-05  1.49936582e+00  7.25038623e-01  7.50000000e-01 
 1.14556471e-08  1.50000000e+00  3.04019143e-05  1.49955721e+00  7.25047278e-01  7.50000000e-01 
 1.29123590e-08  1.50000000e+00  2.55614473e-05  1.49977120e+00  7.25054562e-01  7.50000000e-01 
 1.43662595e-08  1.50000000e+00  2.34299370e-05  1.49991518e+00  7.25061831e-01  7.50000000e-01 
 1.51098866e-08  1.50000000e+00  2.24406473e-05  1.49994808e+00  7.25065549e-01  7.50000000e-01 
 1.59602989e-08  1.50000000e+00  1.95611480e-05  1.49996897e+00  7.25069801e-01  7.50000000e-01 
 1.67528487e-08  1.50000000e+00  1.62233335e-05  1.49998032e+00  7.25073764e-01  7.50000000e-01 
 1.76288012e-08  1.50000000e+00  1.29446812e-05  1.49998756e+00  7.25078144e-01  7.50000000e-01 
