 v-sweep         v(vinp)         v(voutp)        v(voutn)       
 7.48000000e-01  7.48000000e-01  3.26417357e-02  1.47353045e+00 
 7.48010000e-01  7.48010000e-01  3.28156628e-02  1.47332276e+00 
 7.48020000e-01  7.48020000e-01  3.29933924e-02  1.47311219e+00 
 7.48030000e-01  7.48030000e-01  3.31713961e-02  1.47290089e+00 
 7.48040000e-01  7.48040000e-01  3.33503634e-02  1.47268695e+00 
 7.48050000e-01  7.48050000e-01  3.35312588e-02  1.47247145e+00 
 7.48060000e-01  7.48060000e-01  3.37139967e-02  1.47225456e+00 
 7.48070000e-01  7.48070000e-01  3.38977166e-02  1.47203485e+00 
 7.48080000e-01  7.48080000e-01  3.40832099e-02  1.47181375e+00 
 7.48090000e-01  7.48090000e-01  3.42703012e-02  1.47159066e+00 
 7.48100000e-01  7.48100000e-01  3.44569444e-02  1.47136717e+00 
 7.48110000e-01  7.48110000e-01  3.46499642e-02  1.47113899e+00 
 7.48120000e-01  7.48120000e-01  3.48406520e-02  1.47091057e+00 
 7.48130000e-01  7.48130000e-01  3.50350870e-02  1.47067921e+00 
 7.48140000e-01  7.48140000e-01  3.52298035e-02  1.47044578e+00 
 7.48150000e-01  7.48150000e-01  3.54270006e-02  1.47021123e+00 
 7.48160000e-01  7.48160000e-01  3.56247144e-02  1.46997450e+00 
 7.48170000e-01  7.48170000e-01  3.58260854e-02  1.46973411e+00 
 7.48180000e-01  7.48180000e-01  3.60291990e-02  1.46949301e+00 
 7.48190000e-01  7.48190000e-01  3.62317140e-02  1.46925009e+00 
 7.48200000e-01  7.48200000e-01  3.64400966e-02  1.46900256e+00 
 7.48210000e-01  7.48210000e-01  3.66467618e-02  1.46875571e+00 
 7.48220000e-01  7.48220000e-01  3.68568898e-02  1.46850456e+00 
 7.48230000e-01  7.48230000e-01  3.70681244e-02  1.46825215e+00 
 7.48240000e-01  7.48240000e-01  3.72820363e-02  1.46799793e+00 
 7.48250000e-01  7.48250000e-01  3.74968111e-02  1.46774110e+00 
 7.48260000e-01  7.48260000e-01  3.77157943e-02  1.46748027e+00 
 7.48270000e-01  7.48270000e-01  3.79349356e-02  1.46721856e+00 
 7.48280000e-01  7.48280000e-01  3.81547738e-02  1.46695578e+00 
 7.48290000e-01  7.48290000e-01  3.83771767e-02  1.46668954e+00 
 7.48300000e-01  7.48300000e-01  3.86038210e-02  1.46641923e+00 
 7.48310000e-01  7.48310000e-01  3.88306179e-02  1.46614882e+00 
 7.48320000e-01  7.48320000e-01  3.90596192e-02  1.46587417e+00 
 7.48330000e-01  7.48330000e-01  3.92917222e-02  1.46559747e+00 
 7.48340000e-01  7.48340000e-01  3.95245678e-02  1.46531967e+00 
 7.48350000e-01  7.48350000e-01  3.97607486e-02  1.46503795e+00 
 7.48360000e-01  7.48360000e-01  3.99982862e-02  1.46475396e+00 
 7.48370000e-01  7.48370000e-01  4.02371507e-02  1.46446663e+00 
 7.48380000e-01  7.48380000e-01  4.04806177e-02  1.46417770e+00 
 7.48390000e-01  7.48390000e-01  4.07255411e-02  1.46388545e+00 
 7.48400000e-01  7.48400000e-01  4.09721467e-02  1.46359061e+00 
 7.48410000e-01  7.48410000e-01  4.12217534e-02  1.46329179e+00 
 7.48420000e-01  7.48420000e-01  4.14732509e-02  1.46299233e+00 
 7.48430000e-01  7.48430000e-01  4.17276637e-02  1.46268786e+00 
 7.48440000e-01  7.48440000e-01  4.19830461e-02  1.46238298e+00 
 7.48450000e-01  7.48450000e-01  4.22398895e-02  1.46207446e+00 
 7.48460000e-01  7.48460000e-01  4.25030179e-02  1.46176177e+00 
 7.48470000e-01  7.48470000e-01  4.27670410e-02  1.46144666e+00 
 7.48480000e-01  7.48480000e-01  4.30335584e-02  1.46112731e+00 
 7.48490000e-01  7.48490000e-01  4.33012930e-02  1.46080765e+00 
 7.48500000e-01  7.48500000e-01  4.35717117e-02  1.46048371e+00 
 7.48510000e-01  7.48510000e-01  4.38472927e-02  1.46015586e+00 
 7.48520000e-01  7.48520000e-01  4.41237297e-02  1.45982537e+00 
 7.48530000e-01  7.48530000e-01  4.44041327e-02  1.45949124e+00 
 7.48540000e-01  7.48540000e-01  4.46842763e-02  1.45915474e+00 
 7.48550000e-01  7.48550000e-01  4.49694023e-02  1.45881423e+00 
 7.48560000e-01  7.48560000e-01  4.52573849e-02  1.45847040e+00 
 7.48570000e-01  7.48570000e-01  4.55524156e-02  1.45812073e+00 
 7.48580000e-01  7.48580000e-01  4.58445728e-02  1.45777041e+00 
 7.48590000e-01  7.48590000e-01  4.61420301e-02  1.45741601e+00 
 7.48600000e-01  7.48600000e-01  4.64417609e-02  1.45705819e+00 
 7.48610000e-01  7.48610000e-01  4.67435549e-02  1.45669700e+00 
 7.48620000e-01  7.48620000e-01  4.70486583e-02  1.45633205e+00 
 7.48630000e-01  7.48630000e-01  4.73602458e-02  1.45596267e+00 
 7.48640000e-01  7.48640000e-01  4.76704839e-02  1.45559051e+00 
 7.48650000e-01  7.48650000e-01  4.79848187e-02  1.45521433e+00 
 7.48660000e-01  7.48660000e-01  4.83018295e-02  1.45483593e+00 
 7.48670000e-01  7.48670000e-01  4.86236842e-02  1.45445174e+00 
 7.48680000e-01  7.48680000e-01  4.89516186e-02  1.45406132e+00 
 7.48690000e-01  7.48690000e-01  4.92794384e-02  1.45366919e+00 
 7.48700000e-01  7.48700000e-01  4.96135420e-02  1.45327246e+00 
 7.48710000e-01  7.48710000e-01  4.99487301e-02  1.45287187e+00 
 7.48720000e-01  7.48720000e-01  5.02880359e-02  1.45246700e+00 
 7.48730000e-01  7.48730000e-01  5.06330032e-02  1.45205742e+00 
 7.48740000e-01  7.48740000e-01  5.09770301e-02  1.45164617e+00 
 7.48750000e-01  7.48750000e-01  5.13297902e-02  1.45122583e+00 
 7.48760000e-01  7.48760000e-01  5.16807857e-02  1.45080570e+00 
 7.48770000e-01  7.48770000e-01  5.20407484e-02  1.45037620e+00 
 7.48780000e-01  7.48780000e-01  5.24035544e-02  1.44994409e+00 
 7.48790000e-01  7.48790000e-01  5.27703217e-02  1.44950733e+00 
 7.48800000e-01  7.48800000e-01  5.31389733e-02  1.44906816e+00 
 7.48810000e-01  7.48810000e-01  5.35139259e-02  1.44862164e+00 
 7.48820000e-01  7.48820000e-01  5.38938839e-02  1.44817000e+00 
 7.48830000e-01  7.48830000e-01  5.42763442e-02  1.44771354e+00 
