 frequency       v(PSRR_dB)     
 1.00000000e-02  1.16181965e+02 
 1.02305973e-02  1.16181969e+02 
 1.04665121e-02  1.16181973e+02 
 1.07078670e-02  1.16181978e+02 
 1.09547876e-02  1.16181982e+02 
 1.12074020e-02  1.16181987e+02 
 1.14658417e-02  1.16181992e+02 
 1.17302409e-02  1.16181997e+02 
 1.20007371e-02  1.16182002e+02 
 1.22774708e-02  1.16182008e+02 
 1.25605860e-02  1.16182014e+02 
 1.28502297e-02  1.16182020e+02 
 1.31465525e-02  1.16182026e+02 
 1.34497085e-02  1.16182033e+02 
 1.37598551e-02  1.16182040e+02 
 1.40771537e-02  1.16182047e+02 
 1.44017690e-02  1.16182055e+02 
 1.47338699e-02  1.16182063e+02 
 1.50736290e-02  1.16182072e+02 
 1.54212228e-02  1.16182081e+02 
 1.57768320e-02  1.16182090e+02 
 1.61406415e-02  1.16182099e+02 
 1.65128404e-02  1.16182109e+02 
 1.68936220e-02  1.16182120e+02 
 1.72831844e-02  1.16182131e+02 
 1.76817299e-02  1.16182143e+02 
 1.80894658e-02  1.16182155e+02 
 1.85066040e-02  1.16182168e+02 
 1.89333613e-02  1.16182181e+02 
 1.93699595e-02  1.16182195e+02 
 1.98166255e-02  1.16182210e+02 
 2.02735916e-02  1.16182225e+02 
 2.07410951e-02  1.16182241e+02 
 2.12193792e-02  1.16182258e+02 
 2.17086923e-02  1.16182275e+02 
 2.22092889e-02  1.16182294e+02 
 2.27214291e-02  1.16182313e+02 
 2.32453791e-02  1.16182333e+02 
 2.37814113e-02  1.16182354e+02 
 2.43298042e-02  1.16182376e+02 
 2.48908429e-02  1.16182399e+02 
 2.54648190e-02  1.16182424e+02 
 2.60520309e-02  1.16182449e+02 
 2.66527837e-02  1.16182475e+02 
 2.72673897e-02  1.16182503e+02 
 2.78961683e-02  1.16182532e+02 
 2.85394464e-02  1.16182562e+02 
 2.91975583e-02  1.16182594e+02 
 2.98708461e-02  1.16182627e+02 
 3.05596598e-02  1.16182662e+02 
 3.12643573e-02  1.16182699e+02 
 3.19853049e-02  1.16182737e+02 
 3.27228774e-02  1.16182777e+02 
 3.34774581e-02  1.16182818e+02 
 3.42494392e-02  1.16182862e+02 
 3.50392221e-02  1.16182908e+02 
 3.58472171e-02  1.16182956e+02 
 3.66738442e-02  1.16183006e+02 
 3.75195331e-02  1.16183058e+02 
 3.83847234e-02  1.16183113e+02 
 3.92698648e-02  1.16183171e+02 
 4.01754173e-02  1.16183231e+02 
 4.11018515e-02  1.16183294e+02 
 4.20496491e-02  1.16183360e+02 
 4.30193027e-02  1.16183429e+02 
 4.40113162e-02  1.16183501e+02 
 4.50262052e-02  1.16183576e+02 
 4.60644974e-02  1.16183656e+02 
 4.71267322e-02  1.16183738e+02 
 4.82134619e-02  1.16183825e+02 
 4.93252513e-02  1.16183915e+02 
 5.04626783e-02  1.16184010e+02 
 5.16263340e-02  1.16184110e+02 
 5.28168234e-02  1.16184214e+02 
 5.40347650e-02  1.16184323e+02 
 5.52807921e-02  1.16184437e+02 
 5.65555523e-02  1.16184556e+02 
 5.78597080e-02  1.16184681e+02 
 5.91939372e-02  1.16184811e+02 
 6.05589334e-02  1.16184948e+02 
 6.19554061e-02  1.16185091e+02 
 6.33840810e-02  1.16185241e+02 
 6.48457008e-02  1.16185398e+02 
 6.63410251e-02  1.16185562e+02 
 6.78708313e-02  1.16185733e+02 
 6.94359143e-02  1.16185913e+02 
 7.10370877e-02  1.16186101e+02 
 7.26751838e-02  1.16186298e+02 
 7.43510539e-02  1.16186504e+02 
 7.60655691e-02  1.16186720e+02 
 7.78196206e-02  1.16186945e+02 
 7.96141200e-02  1.16187182e+02 
 8.14500001e-02  1.16187429e+02 
 8.33282151e-02  1.16187688e+02 
 8.52497412e-02  1.16187959e+02 
 8.72155772e-02  1.16188242e+02 
 8.92267449e-02  1.16188539e+02 
 9.12842895e-02  1.16188850e+02 
 9.33892805e-02  1.16189175e+02 
 9.55428121e-02  1.16189516e+02 
 9.77460036e-02  1.16189872e+02 
 1.00000000e-01  1.16190245e+02 
 1.02305973e-01  1.16190636e+02 
 1.04665121e-01  1.16191044e+02 
 1.07078670e-01  1.16175608e+02 
 1.09547876e-01  1.16176055e+02 
 1.12074020e-01  1.16176522e+02 
 1.14658417e-01  1.16177012e+02 
 1.17302409e-01  1.16177524e+02 
 1.20007371e-01  1.16178061e+02 
 1.22774708e-01  1.16178622e+02 
 1.25605860e-01  1.16179210e+02 
 1.28502297e-01  1.16179825e+02 
 1.31465525e-01  1.16180468e+02 
 1.34497085e-01  1.16181142e+02 
 1.37598551e-01  1.16181848e+02 
 1.40771537e-01  1.16182586e+02 
 1.44017690e-01  1.16183359e+02 
 1.47338699e-01  1.16184168e+02 
 1.50736290e-01  1.16185015e+02 
 1.54212228e-01  1.16185901e+02 
 1.57768320e-01  1.16186829e+02 
