 frequency       v(inoise_spectrum) v(onoise_spectrum)
 1.50000000e-01  3.35174947e-06  2.26222213e-02 
 1.53458959e-01  3.31379550e-06  2.23660531e-02 
 1.56997682e-01  3.27627211e-06  2.21127911e-02 
 1.60618006e-01  3.23917443e-06  2.18624022e-02 
 1.64321814e-01  3.20249765e-06  2.16148540e-02 
 1.68111030e-01  3.16623698e-06  2.13701143e-02 
 1.71987625e-01  3.13038773e-06  2.11281513e-02 
 1.75953613e-01  3.09494523e-06  2.08889335e-02 
 1.80011056e-01  3.05990487e-06  2.06524299e-02 
 1.84162062e-01  3.02526212e-06  2.04186098e-02 
 1.88408790e-01  2.99101245e-06  2.01874427e-02 
 1.92753446e-01  2.95715143e-06  1.99588986e-02 
 1.97198288e-01  2.92367465e-06  1.97329479e-02 
 2.01745627e-01  2.89057777e-06  1.95095611e-02 
 2.06397827e-01  2.85785648e-06  1.92887092e-02 
 2.11157305e-01  2.82550653e-06  1.90703636e-02 
 2.16026535e-01  2.79352372e-06  1.88544958e-02 
 2.21008049e-01  2.76190388e-06  1.86410778e-02 
 2.26104435e-01  2.73064293e-06  1.84300818e-02 
 2.31318342e-01  2.69973678e-06  1.82214805e-02 
 2.36652481e-01  2.66918143e-06  1.80152468e-02 
 2.42109623e-01  2.63897290e-06  1.78113537e-02 
 2.47692605e-01  2.60910728e-06  1.76097749e-02 
 2.53404330e-01  2.57958067e-06  1.74104841e-02 
 2.59247765e-01  2.55038925e-06  1.72134555e-02 
 2.65225949e-01  2.52152921e-06  1.70186634e-02 
 2.71341987e-01  2.49299682e-06  1.68260825e-02 
 2.77599060e-01  2.46478835e-06  1.66356878e-02 
 2.84000420e-01  2.43690016e-06  1.64474546e-02 
 2.90549393e-01  2.40932860e-06  1.62613583e-02 
 2.97249383e-01  2.38207011e-06  1.60773748e-02 
 3.04103874e-01  2.35512113e-06  1.58954802e-02 
 3.11116427e-01  2.32847817e-06  1.57156508e-02 
 3.18290688e-01  2.30213777e-06  1.55378633e-02 
 3.25630385e-01  2.27609650e-06  1.53620946e-02 
 3.33139333e-01  2.25035098e-06  1.51883218e-02 
 3.40821437e-01  2.22489785e-06  1.50165223e-02 
 3.48680687e-01  2.19973383e-06  1.48466738e-02 
 3.56721169e-01  2.17485563e-06  1.46787542e-02 
 3.64947063e-01  2.15026002e-06  1.45127417e-02 
 3.73362644e-01  2.12594382e-06  1.43486148e-02 
 3.81972285e-01  2.10190384e-06  1.41863520e-02 
 3.90780463e-01  2.07813699e-06  1.40259323e-02 
 3.99791755e-01  2.05464016e-06  1.38673348e-02 
 4.09010845e-01  2.03141030e-06  1.37105390e-02 
 4.18442524e-01  2.00844439e-06  1.35555244e-02 
 4.28091696e-01  1.98573946e-06  1.34022709e-02 
 4.37963375e-01  1.96329254e-06  1.32507586e-02 
 4.48062692e-01  1.94110073e-06  1.31009677e-02 
 4.58394897e-01  1.91916113e-06  1.29528788e-02 
 4.68965359e-01  1.89747091e-06  1.28064727e-02 
 4.79779574e-01  1.87602723e-06  1.26617302e-02 
 4.90843161e-01  1.85482732e-06  1.25186326e-02 
 5.02161872e-01  1.83386842e-06  1.23771614e-02 
 5.13741589e-01  1.81314780e-06  1.22372980e-02 
 5.25588331e-01  1.79266277e-06  1.20990243e-02 
 5.37708256e-01  1.77241068e-06  1.19623223e-02 
 5.50107663e-01  1.75238888e-06  1.18271743e-02 
 5.62792997e-01  1.73259479e-06  1.16935626e-02 
 5.75770852e-01  1.71302582e-06  1.15614699e-02 
 5.89047972e-01  1.69367943e-06  1.14308791e-02 
 6.02631259e-01  1.67455311e-06  1.13017730e-02 
 6.16527773e-01  1.65564437e-06  1.11741350e-02 
 6.30744737e-01  1.63695076e-06  1.10479484e-02 
 6.45289540e-01  1.61846985e-06  1.09231969e-02 
 6.60169743e-01  1.60019924e-06  1.07998641e-02 
 6.75393078e-01  1.58213654e-06  1.06779342e-02 
 6.90967460e-01  1.56427942e-06  1.05573910e-02 
 7.06900983e-01  1.54662556e-06  1.04382191e-02 
 7.23201929e-01  1.52917265e-06  1.03204029e-02 
 7.39878770e-01  1.51191844e-06  1.02039270e-02 
 7.56940175e-01  1.49486068e-06  1.00887764e-02 
 7.74395011e-01  1.47799715e-06  9.97493594e-03 
 7.92252350e-01  1.46132567e-06  9.86239092e-03 
 8.10521476e-01  1.44484406e-06  9.75112667e-03 
 8.29211882e-01  1.42855018e-06  9.64112869e-03 
 8.48333284e-01  1.41244192e-06  9.53238267e-03 
 8.67895620e-01  1.39651719e-06  9.42487443e-03 
 8.87909059e-01  1.38077391e-06  9.31859001e-03 
 9.08384002e-01  1.36521004e-06  9.21351555e-03 
 9.29331091e-01  1.34982355e-06  9.10963738e-03 
 9.50761215e-01  1.33461245e-06  9.00694194e-03 
 9.72685512e-01  1.31957476e-06  8.90541590e-03 
 9.95115377e-01  1.30470853e-06  8.80504597e-03 
 1.01806247e+00  1.29001181e-06  8.70581914e-03 
 1.04153871e+00  1.27548272e-06  8.60772246e-03 
 1.06555632e+00  1.26111935e-06  8.51074311e-03 
 1.09012776e+00  1.24691984e-06  8.41486849e-03 
 1.11526581e+00  1.23288234e-06  8.32008609e-03 
 1.14098354e+00  1.21900503e-06  8.22638357e-03 
 1.16729431e+00  1.20528611e-06  8.13374868e-03 
 1.19421180e+00  1.19172379e-06  8.04216935e-03 
 1.22175000e+00  1.17831631e-06  7.95163364e-03 
 1.24992323e+00  1.16506193e-06  7.86212974e-03 
 1.27874612e+00  1.15195893e-06  7.77364601e-03 
 1.30823366e+00  1.13900560e-06  7.68617081e-03 
 1.33840117e+00  1.12620026e-06  7.59969278e-03 
 1.36926434e+00  1.11354124e-06  7.51420064e-03 
 1.40083921e+00  1.10102691e-06  7.42968319e-03 
 1.43314218e+00  1.08865563e-06  7.34612941e-03 
 1.46619005e+00  1.07642579e-06  7.26352836e-03 
 1.50000000e+00  1.06433581e-06  7.18186929e-03 
 1.53458959e+00  1.05238412e-06  7.10114150e-03 
 1.56997682e+00  1.04056915e-06  7.02133442e-03 
 1.60618006e+00  1.02888939e-06  6.94243761e-03 
 1.64321814e+00  1.01734330e-06  6.86444078e-03 
 1.68111030e+00  1.00592939e-06  6.78733368e-03 
 1.71987625e+00  9.94646169e-07  6.71110624e-03 
 1.75953613e+00  9.83492178e-07  6.63574847e-03 
 1.80011056e+00  9.72465965e-07  6.56125049e-03 
 1.84162062e+00  9.61566096e-07  6.48760255e-03 
 1.88408790e+00  9.50791154e-07  6.41479500e-03 
 1.92753446e+00  9.40139739e-07  6.34281824e-03 
 1.97198288e+00  9.29610465e-07  6.27166287e-03 
 2.01745627e+00  9.19201965e-07  6.20131951e-03 
 2.06397827e+00  9.08912886e-07  6.13177896e-03 
 2.11157305e+00  8.98741889e-07  6.06303206e-03 
 2.16026535e+00  8.88687652e-07  5.99506974e-03 
 2.21008049e+00  8.78748869e-07  5.92788311e-03 
 2.26104435e+00  8.68924248e-07  5.86146328e-03 
 2.31318342e+00  8.59212510e-07  5.79580153e-03 
 2.36652481e+00  8.49612394e-07  5.73088918e-03 
 2.42109623e+00  8.40122650e-07  5.66671769e-03 
 2.47692605e+00  8.30742046e-07  5.60327857e-03 
 2.53404330e+00  8.21469362e-07  5.54056343e-03 
 2.59247765e+00  8.12303391e-07  5.47856401e-03 
 2.65225949e+00  8.03242943e-07  5.41727208e-03 
 2.71341987e+00  7.94286838e-07  5.35667953e-03 
 2.77599060e+00  7.85433913e-07  5.29677834e-03 
 2.84000420e+00  7.76683015e-07  5.23756054e-03 
 2.90549393e+00  7.68033007e-07  5.17901829e-03 
 2.97249383e+00  7.59482764e-07  5.12114379e-03 
 3.04103874e+00  7.51031174e-07  5.06392935e-03 
 3.11116427e+00  7.42677137e-07  5.00736734e-03 
 3.18290688e+00  7.34419567e-07  4.95145023e-03 
 3.25630385e+00  7.26257390e-07  4.89617053e-03 
 3.33139333e+00  7.18189543e-07  4.84152087e-03 
 3.40821437e+00  7.10214978e-07  4.78749391e-03 
 3.48680687e+00  7.02332657e-07  4.73408244e-03 
 3.56721169e+00  6.94541554e-07  4.68127925e-03 
 3.64947063e+00  6.86840656e-07  4.62907727e-03 
 3.73362644e+00  6.79228960e-07  4.57746947e-03 
 3.81972285e+00  6.71705476e-07  4.52644888e-03 
 3.90780463e+00  6.64269225e-07  4.47600859e-03 
 3.99791755e+00  6.56919239e-07  4.42614180e-03 
 4.09010845e+00  6.49654561e-07  4.37684174e-03 
 4.18442524e+00  6.42474246e-07  4.32810171e-03 
 4.28091696e+00  6.35377359e-07  4.27991506e-03 
 4.37963375e+00  6.28362976e-07  4.23227525e-03 
 4.48062692e+00  6.21430183e-07  4.18517572e-03 
 4.58394897e+00  6.14578079e-07  4.13861006e-03 
 4.68965359e+00  6.07805770e-07  4.09257183e-03 
 4.79779574e+00  6.01112375e-07  4.04705473e-03 
 4.90843161e+00  5.94497021e-07  4.00205246e-03 
 5.02161872e+00  5.87958847e-07  3.95755879e-03 
 5.13741589e+00  5.81497002e-07  3.91356753e-03 
 5.25588331e+00  5.75110642e-07  3.87007257e-03 
 5.37708256e+00  5.68798937e-07  3.82706784e-03 
 5.50107663e+00  5.62561063e-07  3.78454730e-03 
 5.62792997e+00  5.56396207e-07  3.74250498e-03 
 5.75770852e+00  5.50303565e-07  3.70093497e-03 
 5.89047972e+00  5.44282344e-07  3.65983134e-03 
 6.02631259e+00  5.38331757e-07  3.61918829e-03 
 6.16527773e+00  5.32451029e-07  3.57900001e-03 
 6.30744737e+00  5.26639392e-07  3.53926075e-03 
 6.45289540e+00  5.20896089e-07  3.49996479e-03 
 6.60169743e+00  5.15220369e-07  3.46110647e-03 
 6.75393078e+00  5.09611493e-07  3.42268015e-03 
 6.90967460e+00  5.04068726e-07  3.38468022e-03 
 7.06900983e+00  4.98591347e-07  3.34710113e-03 
 7.23201929e+00  4.93178639e-07  3.30993735e-03 
 7.39878770e+00  4.87829896e-07  3.27318340e-03 
 7.56940175e+00  4.82544418e-07  3.23683380e-03 
 7.74395011e+00  4.77321514e-07  3.20088312e-03 
 7.92252350e+00  4.72160503e-07  3.16532597e-03 
 8.10521476e+00  4.67060708e-07  3.13015697e-03 
 8.29211882e+00  4.62021463e-07  3.09537078e-03 
 8.48333284e+00  4.57042108e-07  3.06096209e-03 
 8.67895620e+00  4.52121992e-07  3.02692558e-03 
 8.87909059e+00  4.47260470e-07  2.99325600e-03 
 9.08384002e+00  4.42456906e-07  2.95994810e-03 
 9.29331091e+00  4.37710671e-07  2.92699665e-03 
 9.50761215e+00  4.33021142e-07  2.89439645e-03 
 9.72685512e+00  4.28387704e-07  2.86214230e-03 
 9.95115377e+00  4.23809749e-07  2.83022904e-03 
 1.01806247e+01  4.19286678e-07  2.79865152e-03 
 1.04153871e+01  4.14817896e-07  2.76740459e-03 
 1.06555632e+01  4.10402815e-07  2.73648315e-03 
 1.09012776e+01  4.06040857e-07  2.70588209e-03 
 1.11526581e+01  4.01731448e-07  2.67559629e-03 
 1.14098354e+01  3.97474020e-07  2.64562069e-03 
 1.16729431e+01  3.93268014e-07  2.61595021e-03 
 1.19421180e+01  3.89112875e-07  2.58657980e-03 
 1.22175000e+01  3.85008056e-07  2.55750440e-03 
 1.24992323e+01  3.80953017e-07  2.52871897e-03 
 1.27874612e+01  3.76947222e-07  2.50021849e-03 
 1.30823366e+01  3.72990142e-07  2.47199792e-03 
 1.33840117e+01  3.69081255e-07  2.44405225e-03 
 1.36926434e+01  3.65220044e-07  2.41637648e-03 
 1.40083921e+01  3.61405998e-07  2.38896561e-03 
 1.43314218e+01  3.57638613e-07  2.36181465e-03 
 1.46619005e+01  3.53917390e-07  2.33491860e-03 
 1.50000000e+01  3.50241834e-07  2.30827251e-03 
 1.53458959e+01  3.46611459e-07  2.28187140e-03 
 1.56997682e+01  3.43025782e-07  2.25571033e-03 
 1.60618006e+01  3.39484327e-07  2.22978434e-03 
 1.64321814e+01  3.35986621e-07  2.20408850e-03 
 1.68111030e+01  3.32532200e-07  2.17861790e-03 
 1.71987625e+01  3.29120603e-07  2.15336762e-03 
 1.75953613e+01  3.25751374e-07  2.12833279e-03 
 1.80011056e+01  3.22424063e-07  2.10350853e-03 
 1.84162062e+01  3.19138226e-07  2.07889000e-03 
 1.88408790e+01  3.15893421e-07  2.05447235e-03 
 1.92753446e+01  3.12689214e-07  2.03025080e-03 
 1.97198288e+01  3.09525174e-07  2.00622057e-03 
 2.01745627e+01  3.06400876e-07  1.98237694e-03 
 2.06397827e+01  3.03315900e-07  1.95871518e-03 
 2.11157305e+01  3.00269829e-07  1.93523065e-03 
 2.16026535e+01  2.97262252e-07  1.91191873e-03 
 2.21008049e+01  2.94292762e-07  1.88877484e-03 
 2.26104435e+01  2.91360956e-07  1.86579448e-03 
 2.31318342e+01  2.88466438e-07  1.84297320e-03 
 2.36652481e+01  2.85608813e-07  1.82030662e-03 
 2.42109623e+01  2.82787693e-07  1.79779042e-03 
 2.47692605e+01  2.80002691e-07  1.77542038e-03 
 2.53404330e+01  2.77253429e-07  1.75319234e-03 
 2.59247765e+01  2.74539528e-07  1.73110228e-03 
 2.65225949e+01  2.71860617e-07  1.70914622e-03 
 2.71341987e+01  2.69216327e-07  1.68732034e-03 
 2.77599060e+01  2.66606294e-07  1.66562092e-03 
 2.84000420e+01  2.64030157e-07  1.64404438e-03 
 2.90549393e+01  2.61487558e-07  1.62258725e-03 
 2.97249383e+01  2.58978146e-07  1.60124623e-03 
 3.04103874e+01  2.56501571e-07  1.58001817e-03 
 3.11116427e+01  2.54057486e-07  1.55890008e-03 
 3.18290688e+01  2.51645552e-07  1.53788915e-03 
 3.25630385e+01  2.49265427e-07  1.51698274e-03 
 3.33139333e+01  2.46916779e-07  1.49617843e-03 
 3.40821437e+01  2.44599275e-07  1.47547398e-03 
 3.48680687e+01  2.42312588e-07  1.45486738e-03 
 3.56721169e+01  2.40056392e-07  1.43435682e-03 
 3.64947063e+01  2.37830366e-07  1.41394075e-03 
 3.73362644e+01  2.35634192e-07  1.39361783e-03 
 3.81972285e+01  2.33467555e-07  1.37338699e-03 
 3.90780463e+01  2.31330143e-07  1.35324740e-03 
 3.99791755e+01  2.29221647e-07  1.33319849e-03 
 4.09010845e+01  2.27141762e-07  1.31323997e-03 
 4.18442524e+01  2.25090184e-07  1.29337181e-03 
 4.28091696e+01  2.23066614e-07  1.27359426e-03 
 4.37963375e+01  2.21070754e-07  1.25390785e-03 
 4.48062692e+01  2.19102312e-07  1.23431339e-03 
 4.58394897e+01  2.17160994e-07  1.21481193e-03 
 4.68965359e+01  2.15246513e-07  1.19540490e-03 
 4.79779574e+01  2.13358583e-07  1.17609391e-03 
 4.90843161e+01  2.11496920e-07  1.15688088e-03 
 5.02161872e+01  2.09661244e-07  1.13776800e-03 
 5.13741589e+01  2.07851277e-07  1.11875771e-03 
 5.25588331e+01  2.06066742e-07  1.09985272e-03 
 5.37708256e+01  2.04307367e-07  1.08105596e-03 
 5.50107663e+01  2.02572882e-07  1.06237063e-03 
 5.62792997e+01  2.00863017e-07  1.04380011e-03 
 5.75770852e+01  1.99177507e-07  1.02534801e-03 
 5.89047972e+01  1.97516088e-07  1.00701811e-03 
 6.02631259e+01  1.95878499e-07  9.88814395e-04 
 6.16527773e+01  1.94264481e-07  9.70740975e-04 
 6.30744737e+01  1.92673776e-07  9.52802112e-04 
 6.45289540e+01  1.91106129e-07  9.35002176e-04 
 6.60169743e+01  1.89561289e-07  9.17345647e-04 
 6.75393078e+01  1.88039004e-07  8.99837065e-04 
 6.90967460e+01  1.86539026e-07  8.82481028e-04 
 7.06900983e+01  1.85061107e-07  8.65282162e-04 
 7.23201929e+01  1.83605004e-07  8.48245103e-04 
 7.39878770e+01  1.82170474e-07  8.31374470e-04 
 7.56940175e+01  1.80757276e-07  8.14674846e-04 
 7.74395011e+01  1.79365170e-07  7.98150752e-04 
 7.92252350e+01  1.77993921e-07  7.81806636e-04 
 8.10521476e+01  1.76643292e-07  7.65646836e-04 
 8.29211882e+01  1.75313051e-07  7.49675571e-04 
 8.48333284e+01  1.74002965e-07  7.33896921e-04 
 8.67895620e+01  1.72712805e-07  7.18314808e-04 
 8.87909059e+01  1.71442342e-07  7.02932974e-04 
 9.08384002e+01  1.70191350e-07  6.87754981e-04 
 9.29331091e+01  1.68959604e-07  6.72784177e-04 
 9.50761215e+01  1.67746880e-07  6.58023694e-04 
 9.72685512e+01  1.66552958e-07  6.43476435e-04 
 9.95115377e+01  1.65377617e-07  6.29145067e-04 
 1.01806247e+02  1.64220638e-07  6.15032010e-04 
 1.04153871e+02  1.63081806e-07  6.01139431e-04 
 1.06555632e+02  1.61960903e-07  5.87469241e-04 
 1.09012776e+02  1.60857718e-07  5.74023086e-04 
 1.11526581e+02  1.59772037e-07  5.60802352e-04 
 1.14098354e+02  1.58703649e-07  5.47808161e-04 
 1.16729431e+02  1.57652346e-07  5.35041370e-04 
 1.19421180e+02  1.56617920e-07  5.22502575e-04 
 1.22175000e+02  1.55600163e-07  5.10192118e-04 
 1.24992323e+02  1.54598871e-07  4.98110083e-04 
 1.27874612e+02  1.53613842e-07  4.86256310e-04 
 1.30823366e+02  1.52644871e-07  4.74630397e-04 
 1.33840117e+02  1.51691760e-07  4.63231706e-04 
 1.36926434e+02  1.50754308e-07  4.52059372e-04 
 1.40083921e+02  1.49832319e-07  4.41112315e-04 
 1.43314218e+02  1.48925594e-07  4.30389246e-04 
 1.46619005e+02  1.48033940e-07  4.19888677e-04 
 1.50000000e+02  1.47157163e-07  4.09608930e-04 
 1.53458959e+02  1.46295070e-07  3.99548151e-04 
 1.56997682e+02  1.45447470e-07  3.89704315e-04 
 1.60618006e+02  1.44614175e-07  3.80075243e-04 
 1.64321814e+02  1.43794995e-07  3.70658608e-04 
 1.68111030e+02  1.42989744e-07  3.61451946e-04 
 1.71987625e+02  1.42198236e-07  3.52452671e-04 
 1.75953613e+02  1.41420288e-07  3.43658079e-04 
 1.80011056e+02  1.40655717e-07  3.35065366e-04 
 1.84162062e+02  1.39904342e-07  3.26671628e-04 
 1.88408790e+02  1.39165982e-07  3.18473884e-04 
 1.92753446e+02  1.38440459e-07  3.10469073e-04 
 1.97198288e+02  1.37727596e-07  3.02654073e-04 
 2.01745627e+02  1.37027217e-07  2.95025700e-04 
 2.06397827e+02  1.36339147e-07  2.87580728e-04 
 2.11157305e+02  1.35663214e-07  2.80315889e-04 
 2.16026535e+02  1.34999246e-07  2.73227883e-04 
