 time            v(vind)         v(vout)         v(vinp)         v(vinn)         v(voutp)        v(voutn)       
 0.00000000e+00  0.00000000e+00 -2.70825469e-05  7.50000000e-01  7.50000000e-01  7.36832692e-01  7.36859774e-01 
 1.00000000e-08  3.14159265e-09 -2.70824051e-05  7.50000002e-01  7.49999998e-01  7.36832692e-01  7.36859774e-01 
 2.00000000e-08  6.28318530e-09 -2.70822856e-05  7.50000003e-01  7.49999997e-01  7.36832692e-01  7.36859774e-01 
 4.00000000e-08  1.25663706e-08 -2.70820994e-05  7.50000006e-01  7.49999994e-01  7.36832692e-01  7.36859774e-01 
 8.00000000e-08  2.51327410e-08 -2.70819655e-05  7.50000013e-01  7.49999987e-01  7.36832692e-01  7.36859774e-01 
 1.60000000e-07  5.02654803e-08 -2.70825982e-05  7.50000025e-01  7.49999975e-01  7.36832691e-01  7.36859774e-01 
 3.20000000e-07  1.00530948e-07 -2.70868319e-05  7.50000050e-01  7.49999950e-01  7.36832689e-01  7.36859775e-01 
 6.40000000e-07  2.01061794e-07 -2.71015698e-05  7.50000101e-01  7.49999899e-01  7.36832681e-01  7.36859782e-01 
 1.28000000e-06  4.02122776e-07 -2.71093527e-05  7.50000201e-01  7.49999799e-01  7.36832678e-01  7.36859787e-01 
 2.28000000e-06  7.16277000e-07 -2.68717285e-05  7.50000358e-01  7.49999642e-01  7.36832799e-01  7.36859671e-01 
 3.28000000e-06  1.03042415e-06 -2.60948188e-05  7.50000515e-01  7.49999485e-01  7.36833196e-01  7.36859291e-01 
 4.28000000e-06  1.34456114e-06 -2.45707244e-05  7.50000672e-01  7.49999328e-01  7.36833971e-01  7.36858542e-01 
 5.28000000e-06  1.65868485e-06 -2.21548418e-05  7.50000829e-01  7.49999171e-01  7.36835193e-01  7.36857348e-01 
 6.28000000e-06  1.97279220e-06 -1.87618791e-05  7.50000986e-01  7.49999014e-01  7.36836891e-01  7.36855652e-01 
 7.28000000e-06  2.28688007e-06 -1.43599949e-05  7.50001143e-01  7.49998857e-01  7.36839081e-01  7.36853441e-01 
 8.28000000e-06  2.60094537e-06 -8.95527526e-06  7.50001300e-01  7.49998700e-01  7.36841770e-01  7.36850725e-01 
 9.28000000e-06  2.91498501e-06 -2.57210860e-06  7.50001457e-01  7.49998543e-01  7.36844949e-01  7.36847521e-01 
 1.02800000e-05  3.22899587e-06  4.76279585e-06  7.50001614e-01  7.49998386e-01  7.36848613e-01  7.36843850e-01 
 1.12800000e-05  3.54297486e-06  1.30256433e-05  7.50001771e-01  7.49998229e-01  7.36852748e-01  7.36839722e-01 
 1.22800000e-05  3.85691889e-06  2.21942757e-05  7.50001928e-01  7.49998072e-01  7.36857347e-01  7.36835152e-01 
 1.32800000e-05  4.17082485e-06  3.22586020e-05  7.50002085e-01  7.49997915e-01  7.36862394e-01  7.36830135e-01 
