 frequency       v(PSRR_dB)     
 1.00000000e-01  6.59460195e+01 
 1.02305973e-01  6.59460195e+01 
 1.04665121e-01  6.59460195e+01 
 1.07078670e-01  6.59460195e+01 
 1.09547876e-01  6.59460194e+01 
 1.12074020e-01  6.59460194e+01 
 1.14658417e-01  6.59460194e+01 
 1.17302409e-01  6.59460194e+01 
 1.20007371e-01  6.59460194e+01 
 1.22774708e-01  6.59460193e+01 
 1.25605860e-01  6.59460193e+01 
 1.28502297e-01  6.59460193e+01 
 1.31465525e-01  6.59460192e+01 
 1.34497085e-01  6.59460192e+01 
 1.37598551e-01  6.59460192e+01 
 1.40771537e-01  6.59460192e+01 
 1.44017690e-01  6.59460191e+01 
 1.47338699e-01  6.59460191e+01 
 1.50736290e-01  6.59460191e+01 
 1.54212228e-01  6.59460190e+01 
 1.57768320e-01  6.59460190e+01 
 1.61406415e-01  6.59460189e+01 
 1.65128404e-01  6.59460189e+01 
 1.68936220e-01  6.59460188e+01 
 1.72831844e-01  6.59460188e+01 
 1.76817299e-01  6.59460187e+01 
 1.80894658e-01  6.59460187e+01 
 1.85066040e-01  6.59460186e+01 
 1.89333613e-01  6.59460186e+01 
 1.93699595e-01  6.59460185e+01 
 1.98166255e-01  6.59460185e+01 
 2.02735916e-01  6.59460184e+01 
 2.07410951e-01  6.59460183e+01 
 2.12193792e-01  6.59460182e+01 
 2.17086923e-01  6.59460182e+01 
 2.22092889e-01  6.59460181e+01 
 2.27214291e-01  6.59460180e+01 
 2.32453791e-01  6.59460179e+01 
 2.37814113e-01  6.59460178e+01 
 2.43298042e-01  6.59460177e+01 
 2.48908429e-01  6.59460176e+01 
 2.54648190e-01  6.59460175e+01 
 2.60520309e-01  6.59460174e+01 
 2.66527837e-01  6.59460173e+01 
 2.72673897e-01  6.59460172e+01 
 2.78961683e-01  6.59460171e+01 
 2.85394464e-01  6.59460169e+01 
 2.91975583e-01  6.59460168e+01 
 2.98708461e-01  6.59460166e+01 
 3.05596598e-01  6.59460165e+01 
 3.12643573e-01  6.59460163e+01 
 3.19853049e-01  6.59460162e+01 
 3.27228774e-01  6.59460160e+01 
 3.34774581e-01  6.59460158e+01 
 3.42494392e-01  6.59460156e+01 
 3.50392221e-01  6.59460154e+01 
 3.58472171e-01  6.59460152e+01 
 3.66738442e-01  6.59460150e+01 
 3.75195331e-01  6.59460148e+01 
 3.83847234e-01  6.59460145e+01 
 3.92698648e-01  6.59460143e+01 
 4.01754173e-01  6.59460140e+01 
 4.11018515e-01  6.59460138e+01 
 4.20496491e-01  6.59460135e+01 
 4.30193027e-01  6.59460132e+01 
 4.40113162e-01  6.59460129e+01 
 4.50262052e-01  6.59460125e+01 
 4.60644974e-01  6.59460122e+01 
 4.71267322e-01  6.59460118e+01 
 4.82134619e-01  6.59460115e+01 
 4.93252513e-01  6.59460111e+01 
 5.04626783e-01  6.59460107e+01 
 5.16263340e-01  6.59460102e+01 
 5.28168234e-01  6.59460098e+01 
 5.40347650e-01  6.59460093e+01 
 5.52807921e-01  6.59460088e+01 
 5.65555523e-01  6.59460083e+01 
 5.78597080e-01  6.59460078e+01 
 5.91939372e-01  6.59460072e+01 
 6.05589334e-01  6.59460066e+01 
 6.19554061e-01  6.59460060e+01 
 6.33840810e-01  6.59460054e+01 
 6.48457008e-01  6.59460047e+01 
 6.63410251e-01  6.59460040e+01 
 6.78708313e-01  6.59460032e+01 
 6.94359143e-01  6.59460025e+01 
 7.10370877e-01  6.59460016e+01 
 7.26751838e-01  6.59460008e+01 
 7.43510539e-01  6.59459999e+01 
 7.60655691e-01  6.59459990e+01 
 7.78196206e-01  6.59459980e+01 
 7.96141200e-01  6.59459970e+01 
 8.14500001e-01  6.59459959e+01 
 8.33282151e-01  6.59459948e+01 
 8.52497412e-01  6.59459936e+01 
 8.72155772e-01  6.59459924e+01 
 8.92267449e-01  6.59459911e+01 
 9.12842895e-01  6.59459898e+01 
 9.33892805e-01  6.59459884e+01 
 9.55428121e-01  6.59459869e+01 
 9.77460036e-01  6.59459854e+01 
 1.00000000e+00  6.59459837e+01 
 1.02305973e+00  6.59459821e+01 
 1.04665121e+00  6.59459803e+01 
 1.07078670e+00  6.59459785e+01 
 1.09547876e+00  6.59459765e+01 
 1.12074020e+00  6.59459745e+01 
 1.14658417e+00  6.59459724e+01 
 1.17302409e+00  6.59459702e+01 
 1.20007371e+00  6.59459678e+01 
 1.22774708e+00  6.59459654e+01 
 1.25605860e+00  6.59459629e+01 
 1.28502297e+00  6.59459602e+01 
 1.31465525e+00  6.59459574e+01 
 1.34497085e+00  6.59459545e+01 
 1.37598551e+00  6.59459515e+01 
 1.40771537e+00  6.59459483e+01 
 1.44017690e+00  6.59459449e+01 
 1.47338699e+00  6.59459415e+01 
 1.50736290e+00  6.59459378e+01 
 1.54212228e+00  6.59459340e+01 
 1.57768320e+00  6.59459300e+01 
 1.61406415e+00  6.59459258e+01 
 1.65128404e+00  6.59459214e+01 
 1.68936220e+00  6.59459168e+01 
 1.72831844e+00  6.59459120e+01 
 1.76817299e+00  6.59459069e+01 
 1.80894658e+00  6.59459017e+01 
 1.85066040e+00  6.59458961e+01 
 1.89333613e+00  6.59458904e+01 
 1.93699595e+00  6.59458843e+01 
 1.98166255e+00  6.59458780e+01 
 2.02735916e+00  6.59458714e+01 
 2.07410951e+00  6.59458645e+01 
 2.12193792e+00  6.59458572e+01 
 2.17086923e+00  6.59458496e+01 
 2.22092889e+00  6.59458417e+01 
 2.27214291e+00  6.59458334e+01 
 2.32453791e+00  6.59458247e+01 
 2.37814113e+00  6.59458156e+01 
 2.43298042e+00  6.59458060e+01 
 2.48908429e+00  6.59457961e+01 
 2.54648190e+00  6.59457856e+01 
 2.60520309e+00  6.59457747e+01 
 2.66527837e+00  6.59457633e+01 
 2.72673897e+00  6.59457513e+01 
 2.78961683e+00  6.59457388e+01 
 2.85394464e+00  6.59457256e+01 
 2.91975583e+00  6.59457119e+01 
 2.98708461e+00  6.59456976e+01 
 3.05596598e+00  6.59456825e+01 
 3.12643573e+00  6.59456668e+01 
 3.19853049e+00  6.59456503e+01 
 3.27228774e+00  6.59456331e+01 
 3.34774581e+00  6.59456150e+01 
 3.42494392e+00  6.59455961e+01 
 3.50392221e+00  6.59455764e+01 
 3.58472171e+00  6.59455557e+01 
 3.66738442e+00  6.59455340e+01 
 3.75195331e+00  6.59455114e+01 
 3.83847234e+00  6.59454877e+01 
 3.92698648e+00  6.59454628e+01 
 4.01754173e+00  6.59454368e+01 
 4.11018515e+00  6.59454096e+01 
 4.20496491e+00  6.59453812e+01 
 4.30193027e+00  6.59453514e+01 
 4.40113162e+00  6.59453202e+01 
 4.50262052e+00  6.59452876e+01 
 4.60644974e+00  6.59452534e+01 
 4.71267322e+00  6.59452177e+01 
 4.82134619e+00  6.59451802e+01 
 4.93252513e+00  6.59451411e+01 
 5.04626783e+00  6.59451001e+01 
 5.16263340e+00  6.59450572e+01 
 5.28168234e+00  6.59450123e+01 
 5.40347650e+00  6.59449653e+01 
 5.52807921e+00  6.59449161e+01 
 5.65555523e+00  6.59448646e+01 
 5.78597080e+00  6.59448107e+01 
 5.91939372e+00  6.59447543e+01 
 6.05589334e+00  6.59446953e+01 
 6.19554061e+00  6.59446335e+01 
 6.33840810e+00  6.59445688e+01 
 6.48457008e+00  6.59445011e+01 
 6.63410251e+00  6.59444303e+01 
 6.78708313e+00  6.59443562e+01 
 6.94359143e+00  6.59442786e+01 
 7.10370877e+00  6.59441974e+01 
 7.26751838e+00  6.59441124e+01 
 7.43510539e+00  6.59440234e+01 
 7.60655691e+00  6.59439303e+01 
 7.78196206e+00  6.59438332e+01 
 7.96141200e+00  6.59437312e+01 
 8.14500001e+00  6.59436244e+01 
 8.33282151e+00  6.59435127e+01 
 8.52497412e+00  6.59433958e+01 
 8.72155772e+00  6.59432734e+01 
 8.92267449e+00  6.59431453e+01 
 9.12842895e+00  6.59430112e+01 
 9.33892805e+00  6.59428709e+01 
 9.55428121e+00  6.59427240e+01 
 9.77460036e+00  6.59425703e+01 
 1.00000000e+01  6.59424095e+01 
 1.02305973e+01  6.59422411e+01 
