 v-sweep         v(Vbias)        v(Ix)           v(Iout)        
 0.00000000e+00 -6.43647629e-02 -2.09167768e-06  2.93814581e-12 
 5.00000000e-03 -6.29510840e-02 -2.03142446e-06  3.15351229e-12 
 1.00000000e-02 -6.15343366e-02 -1.97222610e-06  3.38853766e-12 
 1.50000000e-02 -6.01140631e-02 -1.91408294e-06  3.64614887e-12 
 2.00000000e-02 -5.86902428e-02 -1.85698957e-06  3.92714884e-12 
 2.50000000e-02 -5.72612140e-02 -1.80096047e-06  4.23641121e-12 
 3.00000000e-02 -5.58256682e-02 -1.74600448e-06  4.57648950e-12 
 3.50000000e-02 -5.43854191e-02 -1.69209278e-06  4.95125832e-12 
 4.00000000e-02 -5.29373375e-02 -1.63925491e-06  5.36567566e-12 
 4.50000000e-02 -5.14824129e-02 -1.58747123e-06  5.82382001e-12 
 5.00000000e-02 -5.00177978e-02 -1.53676549e-06  6.33236910e-12 
 5.50000000e-02 -4.85428951e-02 -1.48713454e-06  6.89749597e-12 
 6.00000000e-02 -4.70564931e-02 -1.43858130e-06  7.52693545e-12 
 6.50000000e-02 -4.55576734e-02 -1.39110460e-06  8.22740113e-12 
 7.00000000e-02 -4.40428946e-02 -1.34472952e-06  9.00871539e-12 
 7.50000000e-02 -4.25116645e-02 -1.29944749e-06  9.88364936e-12 
 8.00000000e-02 -4.09612102e-02 -1.25527216e-06  1.08588120e-11 
 8.50000000e-02 -3.93892996e-02 -1.21220972e-06  1.19499290e-11 
 9.00000000e-02 -3.77907675e-02 -1.17029260e-06  1.31761127e-11 
 9.50000000e-02 -3.61653827e-02 -1.12950327e-06  1.45431572e-11 
 1.00000000e-01 -3.45073759e-02 -1.08987472e-06  1.60765905e-11 
 1.05000000e-01 -3.28120681e-02 -1.05142592e-06  1.78027289e-11 
 1.10000000e-01 -3.10753977e-02 -1.01416715e-06  1.97392957e-11 
 1.15000000e-01 -2.92927777e-02 -9.78110450e-07  2.19080341e-11 
 1.20000000e-01 -2.74580670e-02 -9.43277927e-07  2.43397375e-11 
 1.25000000e-01 -2.55614733e-02 -9.09717680e-07  2.70876263e-11 
 1.30000000e-01 -2.35962491e-02 -8.77447100e-07  3.01822953e-11 
 1.35000000e-01 -2.15570183e-02 -8.46468819e-07  3.36587716e-11 
 1.40000000e-01 -1.94388996e-02 -8.16778936e-07  3.75508029e-11 
 1.45000000e-01 -1.72197851e-02 -7.88501577e-07  4.19790477e-11 
 1.50000000e-01 -1.49123762e-02 -7.61490540e-07  4.69072188e-11 
 1.55000000e-01 -1.24821279e-02 -7.35951613e-07  5.25323795e-11 
 1.60000000e-01 -9.93534660e-03 -7.11781341e-07  5.88683276e-11 
 1.65000000e-01 -7.25688381e-03 -6.89032165e-07  6.60537939e-11 
 1.70000000e-01 -4.45488927e-03 -6.67590790e-07  7.41289125e-11 
 1.75000000e-01 -1.52498089e-03 -6.47435086e-07  8.32241735e-11 
 1.80000000e-01  1.54919938e-03 -6.28622359e-07  9.35587996e-11 
 1.85000000e-01  4.77200285e-03 -6.11126945e-07  1.05334302e-10 
 1.90000000e-01  8.09070618e-03 -5.94560525e-07  1.18475248e-10 
 1.95000000e-01  1.15322360e-02 -5.79058833e-07  1.33372448e-10 
 2.00000000e-01  1.50705458e-02 -5.64421592e-07  1.50163986e-10 
 2.05000000e-01  1.86738338e-02 -5.50425172e-07  1.68959126e-10 
 2.10000000e-01  2.23382541e-02 -5.37026476e-07  1.90072777e-10 
 2.15000000e-01  2.60537254e-02 -5.24147593e-07  2.13815608e-10 
 2.20000000e-01  2.98043672e-02 -5.11680899e-07  2.40476048e-10 
 2.25000000e-01  3.35469991e-02 -4.99368084e-07  2.70093715e-10 
 2.30000000e-01  3.73068721e-02 -4.87352263e-07  3.03343091e-10 
 2.35000000e-01  4.10771720e-02 -4.75589544e-07  3.40657717e-10 
 2.40000000e-01  4.47942382e-02 -4.63726955e-07  3.81791259e-10 
 2.45000000e-01  4.85082732e-02 -4.52047192e-07  4.27832684e-10 
 2.50000000e-01  5.21800341e-02 -4.40341190e-07  4.78778427e-10 
 2.55000000e-01  5.58452601e-02 -4.28804576e-07  5.35757861e-10 
 2.60000000e-01  5.94328115e-02 -4.17072366e-07  5.98095665e-10 
 2.65000000e-01  6.29924545e-02 -4.05413884e-07  6.67231688e-10 
 2.70000000e-01  6.65135216e-02 -3.93781546e-07  7.43591270e-10 
 2.75000000e-01  7.00058988e-02 -3.82231337e-07  8.28105809e-10 
 2.80000000e-01  7.34380889e-02 -3.70618233e-07  9.20633037e-10 
 2.85000000e-01  7.68552361e-02 -3.59166250e-07  1.02319074e-09 
 2.90000000e-01  8.02259036e-02 -3.47731983e-07  1.13568135e-09 
 2.95000000e-01  8.35044060e-02 -3.36120194e-07  1.25700623e-09 
 3.00000000e-01  8.67661350e-02 -3.24681989e-07  1.39070544e-09 
 3.05000000e-01  8.99813050e-02 -3.13289445e-07  1.53647580e-09 
 3.10000000e-01  9.31488073e-02 -3.01945825e-07  1.69508826e-09 
 3.15000000e-01  9.63124982e-02 -2.90837317e-07  1.86988807e-09 
 3.20000000e-01  9.93652862e-02 -2.79536141e-07  2.05550093e-09 
 3.25000000e-01  1.02441966e-01 -2.68589858e-07  2.26121752e-09 
 3.30000000e-01  1.05417549e-01 -2.57519525e-07  2.47946814e-09 
 3.35000000e-01  1.08391958e-01 -2.46715684e-07  2.71850198e-09 
 3.40000000e-01  1.11329942e-01 -2.36050926e-07  2.97687472e-09 
 3.45000000e-01  1.14169904e-01 -2.25324176e-07  3.24943211e-09 
 3.50000000e-01  1.17027253e-01 -2.14943100e-07  3.54835744e-09 
 3.55000000e-01  1.19805738e-01 -2.04592076e-07  3.86465119e-09 
 3.60000000e-01  1.22547677e-01 -1.94422218e-07  4.20359498e-09 
 3.65000000e-01  1.25249044e-01 -1.84428646e-07  4.56559354e-09 
 3.70000000e-01  1.27897603e-01 -1.74584790e-07  4.94960369e-09 
 3.75000000e-01  1.30478452e-01 -1.64862202e-07  5.35352987e-09 
 3.80000000e-01  1.33003270e-01 -1.55307820e-07  5.77908360e-09 
 3.85000000e-01  1.35432549e-01 -1.45836557e-07  6.21881233e-09 
 3.90000000e-01  1.37780755e-01 -1.36508537e-07  6.67389571e-09 
 3.95000000e-01  1.39978659e-01 -1.27190762e-07  7.12817394e-09 
 4.00000000e-01  1.41987556e-01 -1.17848255e-07  7.56855409e-09 
 4.05000000e-01  1.43727485e-01 -1.08385596e-07  7.97037363e-09 
 4.10000000e-01  1.45151054e-01 -9.88088211e-08  8.31354972e-09 
 4.15000000e-01  1.46213398e-01 -8.91553575e-08  8.57815388e-09 
 4.20000000e-01  1.46966185e-01 -7.96363924e-08  8.76990601e-09 
 4.25000000e-01  1.47487891e-01 -7.04686734e-08  8.90463593e-09 
 4.30000000e-01  1.47853896e-01 -6.18157243e-08  8.99989683e-09 
 4.35000000e-01  1.48115540e-01 -5.37667182e-08  9.06818342e-09 
 4.40000000e-01  1.48308924e-01 -4.63631687e-08  9.11867760e-09 
 4.45000000e-01  1.48457126e-01 -3.96126722e-08  9.15731181e-09 
 4.50000000e-01  1.48573262e-01 -3.35009501e-08  9.18751435e-09 
 4.55000000e-01  1.48665634e-01 -2.80022774e-08  9.21145266e-09 
 4.60000000e-01  1.48739604e-01 -2.30840593e-08  9.23054408e-09 
 4.65000000e-01  1.48799170e-01 -1.87098296e-08  9.24583720e-09 
 4.70000000e-01  1.48847686e-01 -1.48408343e-08  9.25823356e-09 
 4.75000000e-01  1.48888084e-01 -1.14370327e-08  9.26852320e-09 
 4.80000000e-01  1.48923252e-01 -8.45799481e-09  9.27748486e-09 
 4.85000000e-01  1.48953888e-01 -5.86321836e-09  9.28527571e-09 
 4.90000000e-01  1.48982503e-01 -3.61374213e-09  9.29260243e-09 
 4.95000000e-01  1.49010152e-01 -1.67194576e-09  9.29973169e-09 
 5.00000000e-01  1.49035933e-01 -2.33272721e-12  9.30641028e-09 
 5.05000000e-01  1.49060883e-01  1.42795193e-09  9.31293762e-09 
 5.10000000e-01  1.49084915e-01  2.64913185e-09  9.31924209e-09 
 5.15000000e-01  1.49108965e-01  3.68873822e-09  9.32560005e-09 
 5.20000000e-01  1.49131476e-01  4.57130339e-09  9.33159488e-09 
 5.25000000e-01  1.49154316e-01  5.31902287e-09  9.33769291e-09 
 5.30000000e-01  1.49176780e-01  5.95124262e-09  9.34374073e-09 
 5.35000000e-01  1.49198634e-01  6.48493243e-09  9.34964524e-09 
 5.40000000e-01  1.49220136e-01  6.93493725e-09  9.35546721e-09 
 5.45000000e-01  1.49241088e-01  7.31401976e-09  9.36118037e-09 
 5.50000000e-01  1.49262327e-01  7.63337095e-09  9.36695318e-09 
 5.55000000e-01  1.49282610e-01  7.90214826e-09  9.37250103e-09 
 5.60000000e-01  1.49303647e-01  8.12877535e-09  9.37827690e-09 
 5.65000000e-01  1.49323487e-01  8.31962090e-09  9.38370866e-09 
 5.70000000e-01  1.49344356e-01  8.48099254e-09  9.38946161e-09 
 5.75000000e-01  1.49362323e-01  8.61678950e-09  9.39441912e-09 
 5.80000000e-01  1.49382623e-01  8.73241726e-09  9.40002561e-09 
 5.85000000e-01  1.49402653e-01  8.83067121e-09  9.40553013e-09 
 5.90000000e-01  1.49421379e-01  8.91416204e-09  9.41071726e-09 
 5.95000000e-01  1.49439634e-01  8.98550947e-09  9.41577005e-09 
 6.00000000e-01  1.49459172e-01  9.04718371e-09  9.42118537e-09 
 6.05000000e-01  1.49477573e-01  9.10021214e-09  9.42630267e-09 
 6.10000000e-01  1.49496509e-01  9.14641056e-09  9.43155433e-09 
 6.15000000e-01  1.49513219e-01  9.18615725e-09  9.43619713e-09 
 6.20000000e-01  1.49532772e-01  9.22171628e-09  9.44164404e-09 
 6.25000000e-01  1.49550160e-01  9.25244496e-09  9.44645406e-09 
 6.30000000e-01  1.49569486e-01  9.28000372e-09  9.45185555e-09 
 6.35000000e-01  1.49586816e-01  9.30532274e-09  9.45667140e-09 
 6.40000000e-01  1.49602992e-01  9.32431402e-09  9.46118719e-09 
 6.45000000e-01  1.49621600e-01  9.34306360e-09  9.46636608e-09 
 6.50000000e-01  1.49637980e-01  9.35919604e-09  9.47094442e-09 
 6.55000000e-01  1.49655616e-01  9.37483737e-09  9.47586555e-09 
 6.60000000e-01  1.49673045e-01  9.38803719e-09  9.48073674e-09 
 6.65000000e-01  1.49689459e-01  9.40095014e-09  9.48531715e-09 
 6.70000000e-01  1.49706268e-01  9.41355292e-09  9.49000140e-09 
 6.75000000e-01  1.49722269e-01  9.42568135e-09  9.49448388e-09 
 6.80000000e-01  1.49739896e-01  9.43811109e-09  9.49940902e-09 
 6.85000000e-01  1.49756182e-01  9.45008195e-09  9.50397063e-09 
 6.90000000e-01  1.49772295e-01  9.46195162e-09  9.50848742e-09 
 6.95000000e-01  1.49789614e-01  9.47412309e-09  9.51333752e-09 
 7.00000000e-01  1.49803741e-01  9.48538303e-09  9.51729491e-09 
 7.05000000e-01  1.49820124e-01  9.49725120e-09  9.52188325e-09 
 7.10000000e-01  1.49836302e-01  9.50904551e-09  9.52641874e-09 
 7.15000000e-01  1.49851565e-01  9.52056685e-09  9.53069084e-09 
 7.20000000e-01  1.49866854e-01  9.53208646e-09  9.53498288e-09 
 7.25000000e-01  1.49882026e-01  9.54353311e-09  9.53923383e-09 
 7.30000000e-01  1.49897979e-01  9.55519749e-09  9.54371130e-09 
 7.35000000e-01  1.49911914e-01  9.56624952e-09  9.54762325e-09 
 7.40000000e-01  1.49926862e-01  9.57757063e-09  9.55183992e-09 
 7.45000000e-01  1.49942696e-01  9.58911329e-09  9.55627417e-09 
 7.50000000e-01  1.49957283e-01  9.60027612e-09  9.56037468e-09 
 7.55000000e-01  1.49972257e-01  9.61151704e-09  9.56458160e-09 
 7.60000000e-01  1.49986752e-01  9.62259051e-09  9.56865217e-09 
 7.65000000e-01  1.50000659e-01  9.63346443e-09  9.57256994e-09 
 7.70000000e-01  1.50015715e-01  9.64462857e-09  9.57680195e-09 
 7.75000000e-01  1.50029974e-01  9.65553199e-09  9.58081189e-09 
 7.80000000e-01  1.50043458e-01  9.66617902e-09  9.58460738e-09 
 7.85000000e-01  1.50057915e-01  9.67706489e-09  9.58867107e-09 
 7.90000000e-01  1.50071503e-01  9.68766653e-09  9.59250570e-09 
 7.95000000e-01  1.50085526e-01  9.69837225e-09  9.59645512e-09 
 8.00000000e-01  1.50100895e-01  9.70938426e-09  9.60079176e-09 
 8.05000000e-01  1.50113784e-01  9.71967024e-09  9.60442606e-09 
 8.10000000e-01  1.50128241e-01  9.73036389e-09  9.60849756e-09 
 8.15000000e-01  1.50141554e-01  9.74069139e-09  9.61224827e-09 
 8.20000000e-01  1.50154951e-01  9.75100282e-09  9.61602298e-09 
 8.25000000e-01  1.50168410e-01  9.76129195e-09  9.61981965e-09 
 8.30000000e-01  1.50181194e-01  9.77134736e-09  9.62343156e-09 
 8.35000000e-01  1.50193206e-01  9.78116152e-09  9.62681709e-09 
 8.40000000e-01  1.50208381e-01  9.79180183e-09  9.63110367e-09 
 8.45000000e-01  1.50220635e-01  9.80160460e-09  9.63455494e-09 
 8.50000000e-01  1.50233109e-01  9.81138927e-09  9.63808559e-09 
 8.55000000e-01  1.50247560e-01  9.82174280e-09  9.64216730e-09 
 8.60000000e-01  1.50259007e-01  9.83117237e-09  9.64538873e-09 
 8.65000000e-01  1.50271072e-01  9.84071877e-09  9.64880520e-09 
 8.70000000e-01  1.50285785e-01  9.85101018e-09  9.65295783e-09 
 8.75000000e-01  1.50296860e-01  9.86021148e-09  9.65609311e-09 
 8.80000000e-01  1.50309478e-01  9.86981925e-09  9.65964609e-09 
 8.85000000e-01  1.50324606e-01  9.88011504e-09  9.66394458e-09 
 8.90000000e-01  1.50334847e-01  9.88895669e-09  9.66682067e-09 
 8.95000000e-01  1.50347020e-01  9.89831921e-09  9.67026715e-09 
 9.00000000e-01  1.50358489e-01  9.90743899e-09  9.67350790e-09 
 9.05000000e-01  1.50371434e-01  9.91694901e-09  9.67717265e-09 
 9.10000000e-01  1.50382089e-01  9.92577488e-09  9.68018598e-09 
 9.15000000e-01  1.50395822e-01  9.93542041e-09  9.68406894e-09 
