 v-sweep         v(Vbiasc)       v(Vbias)        v(Ix)           v(Iout)         v(Iref)        
 0.00000000e+00 -6.91078290e-02 -4.27717291e-02 -2.25786106e-06  2.84579581e-12 -3.39165228e-11 
 5.00000000e-03 -6.73732289e-02 -4.15224192e-02 -2.19491501e-06  3.03173690e-12 -3.25342396e-11 
 1.00000000e-02 -6.56336268e-02 -4.02809283e-02 -2.13295695e-06  3.23608567e-12 -3.11237076e-11 
 1.50000000e-02 -6.38899188e-02 -3.90482878e-02 -2.07197247e-06  3.46296026e-12 -2.96876528e-11 
 2.00000000e-02 -6.21427957e-02 -3.78245242e-02 -2.01195712e-06  3.71292355e-12 -2.82197125e-11 
 2.50000000e-02 -6.03934818e-02 -3.66108687e-02 -1.95289446e-06  3.98877146e-12 -2.67192110e-11 
 3.00000000e-02 -5.86415857e-02 -3.54062499e-02 -1.89479469e-06  4.29491871e-12 -2.51847755e-11 
 3.50000000e-02 -5.68881964e-02 -3.42121386e-02 -1.83764083e-06  4.63603319e-12 -2.36173159e-11 
 4.00000000e-02 -5.51339152e-02 -3.30287342e-02 -1.78142879e-06  5.01467917e-12 -2.20118900e-11 
 4.50000000e-02 -5.33782543e-02 -3.18547565e-02 -1.72617057e-06  5.43542801e-12 -2.03638310e-11 
 5.00000000e-02 -5.16222203e-02 -3.06918556e-02 -1.67184928e-06  5.90368482e-12 -1.86716264e-11 
 5.50000000e-02 -4.98643699e-02 -2.95378811e-02 -1.61848700e-06  6.42700018e-12 -1.69303360e-11 
 6.00000000e-02 -4.81056442e-02 -2.83944479e-02 -1.56606747e-06  7.01089971e-12 -1.51357379e-11 
 6.50000000e-02 -4.63444977e-02 -2.72593012e-02 -1.51461257e-06  7.66213472e-12 -1.32795069e-11 
 7.00000000e-02 -4.45812580e-02 -2.61335952e-02 -1.46411167e-06  8.38792491e-12 -1.13561587e-11 
 7.50000000e-02 -4.28135106e-02 -2.50154749e-02 -1.41458571e-06  9.20193053e-12 -9.35934876e-12 
 8.00000000e-02 -4.10404932e-02 -2.39042017e-02 -1.36604000e-06  1.01110507e-11 -7.27795132e-12 
 8.50000000e-02 -3.92607853e-02 -2.27992228e-02 -1.31848045e-06  1.11263344e-11 -5.10208215e-12 
 9.00000000e-02 -3.74719725e-02 -2.16988161e-02 -1.27192319e-06  1.22601718e-11 -2.81952232e-12 
 9.50000000e-02 -3.56709406e-02 -2.06015725e-02 -1.22638322e-06  1.35309621e-11 -4.18016343e-13 
 1.00000000e-01 -3.38569206e-02 -1.95072407e-02 -1.18185824e-06  1.49460205e-11  2.11826117e-12 
 1.05000000e-01 -3.20242048e-02 -1.84124210e-02 -1.13838143e-06  1.65315250e-11  4.80626991e-12 
 1.10000000e-01 -3.01693800e-02 -1.73155505e-02 -1.09596380e-06  1.83057542e-11  7.66565745e-12 
 1.15000000e-01 -2.82908253e-02 -1.62158263e-02 -1.05460399e-06  2.02786897e-11  1.07169332e-11 
 1.20000000e-01 -2.63818536e-02 -1.51100003e-02 -1.01432983e-06  2.24828822e-11  1.39845965e-11 
 1.25000000e-01 -2.44374587e-02 -1.39956016e-02 -9.75155671e-07  2.49426800e-11  1.74956873e-11 
 1.30000000e-01 -2.24554522e-02 -1.28715067e-02 -9.37077066e-07  2.76708946e-11  2.12759772e-11 
 1.35000000e-01 -2.04182449e-02 -1.17296698e-02 -9.00170954e-07  3.07510891e-11  2.53740954e-11 
 1.40000000e-01 -1.83370125e-02 -1.05753198e-02 -8.64352493e-07  3.41372920e-11  2.98023682e-11 
 1.45000000e-01 -1.61925997e-02 -9.39950641e-03 -8.29700366e-07  3.79209871e-11  3.46196141e-11 
