 time            v(VDD)          v(Vbias)        v(bias_en)      v(Vsu)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 2.50000000e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 5.00000000e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 2.00000000e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 4.00000000e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 8.00000000e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.60000000e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 3.20000000e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 5.70000000e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 8.20000000e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.02500000e-06  3.75000000e-04  2.30806759e-08  3.75000000e-04  1.25072030e-05 
 1.07500000e-06  1.12500000e-03  7.12678606e-08  1.12500000e-03  3.77780952e-05 
 1.17500000e-06  2.62500000e-03  1.83554555e-07  2.62500000e-03  8.97861350e-05 
 1.37500000e-06  5.62500000e-03  4.94982440e-07  5.62500000e-03  1.98980813e-04 
 1.62500000e-06  9.37500000e-03  1.06922327e-06  9.37500000e-03  3.43763740e-04 
 1.87500000e-06  1.31250000e-02  1.84204354e-06  1.31250000e-02  4.96250988e-04 
 2.12500000e-06  1.68750000e-02  2.78152605e-06  1.68750000e-02  6.55368397e-04 
 2.37500000e-06  2.06250000e-02  3.85302551e-06  2.06250000e-02  8.20421696e-04 
 2.62500000e-06  2.43750000e-02  5.02772385e-06  2.43750000e-02  9.90930084e-04 
 2.87500000e-06  2.81250000e-02  6.28358981e-06  2.81250000e-02  1.16657923e-03 
 3.12500000e-06  3.18750000e-02  7.60440437e-06  3.18750000e-02  1.34718783e-03 
 3.37500000e-06  3.56250000e-02  8.97846496e-06  3.56250000e-02  1.53268363e-03 
 3.62500000e-06  3.93750000e-02  1.03974401e-05  3.93750000e-02  1.72308655e-03 
 3.87500000e-06  4.31250000e-02  1.18554680e-05  4.31250000e-02  1.91849758e-03 
 4.12500000e-06  4.68750000e-02  1.33484796e-05  4.68750000e-02  2.11909240e-03 
 4.37500000e-06  5.06250000e-02  1.48736998e-05  5.06250000e-02  2.32511896e-03 
 4.62500000e-06  5.43750000e-02  1.64292847e-05  5.43750000e-02  2.53689852e-03 
 4.87500000e-06  5.81250000e-02  1.80140596e-05  5.81250000e-02  2.75482989e-03 
 5.12500000e-06  6.18750000e-02  1.96273300e-05  6.18750000e-02  2.97939686e-03 
 5.37500000e-06  6.56250000e-02  2.12687492e-05  6.56250000e-02  3.21117881e-03 
 5.62500000e-06  6.93750000e-02  2.29382248e-05  6.93750000e-02  3.45086505e-03 
 5.87500000e-06  7.31250000e-02  2.46358578e-05  7.31250000e-02  3.69927314e-03 
 6.12500000e-06  7.68750000e-02  2.63619048e-05  7.68750000e-02  3.95737206e-03 
 6.37500000e-06  8.06250000e-02  2.81167597e-05  8.06250000e-02  4.22631118e-03 
 6.62500000e-06  8.43750000e-02  2.99009529e-05  8.43750000e-02  4.50745615e-03 
 6.87500000e-06  8.81250000e-02  3.17151646e-05  8.81250000e-02  4.80243337e-03 
 7.12500000e-06  9.18750000e-02  3.35602526e-05  9.18750000e-02  5.11318489e-03 
 7.37500000e-06  9.56250000e-02  3.54372970e-05  9.56250000e-02  5.44203620e-03 
 7.62500000e-06  9.93750000e-02  3.73476598e-05  9.93750000e-02  5.79177979e-03 
 7.87500000e-06  1.03125000e-01  3.92930657e-05  1.03125000e-01  6.16577791e-03 
 8.12500000e-06  1.06875000e-01  4.12757044e-05  1.06875000e-01  6.56808871e-03 
 8.37500000e-06  1.10625000e-01  4.32983610e-05  1.10625000e-01  7.00362008e-03 
 8.62500000e-06  1.14375000e-01  4.53645775e-05  1.14375000e-01  7.47831601e-03 
 8.87500000e-06  1.18125000e-01  4.74788521e-05  1.18125000e-01  7.99937929e-03 
 9.12500000e-06  1.21875000e-01  4.96468812e-05  1.21875000e-01  8.57553292e-03 
 9.37500000e-06  1.25625000e-01  5.18758464e-05  1.25625000e-01  9.21731846e-03 
 9.62500000e-06  1.29375000e-01  5.41747472e-05  1.29375000e-01  9.93742195e-03 
 9.87500000e-06  1.33125000e-01  5.65547722e-05  1.33125000e-01  1.07510056e-02 
 1.01250000e-05  1.36875000e-01  5.90296911e-05  1.36875000e-01  1.16760047e-02 
 1.03750000e-05  1.40625000e-01  6.16162311e-05  1.40625000e-01  1.27333248e-02 
 1.06250000e-05  1.44375000e-01  6.43343902e-05  1.44375000e-01  1.39468461e-02 
 1.08750000e-05  1.48125000e-01  6.72076183e-05  1.48125000e-01  1.53431223e-02 
 1.11250000e-05  1.51875000e-01  7.02628066e-05  1.51875000e-01  1.69506656e-02 
 1.13750000e-05  1.55625000e-01  7.35300544e-05  1.55625000e-01  1.87987622e-02 
 1.16250000e-05  1.59375000e-01  7.70489635e-05  1.59375000e-01  2.09256392e-02 
 1.18750000e-05  1.63125000e-01  8.08561256e-05  1.63125000e-01  2.33557747e-02 
 1.21250000e-05  1.66875000e-01  8.49839432e-05  1.66875000e-01  2.60990834e-02 
 1.23750000e-05  1.70625000e-01  8.94732056e-05  1.70625000e-01  2.91701933e-02 
 1.26250000e-05  1.74375000e-01  9.43682130e-05  1.74375000e-01  3.25758945e-02 
 1.28750000e-05  1.78125000e-01  9.97177544e-05  1.78125000e-01  3.63124162e-02 
 1.31250000e-05  1.81875000e-01  1.05575668e-04  1.81875000e-01  4.03604948e-02 
 1.33750000e-05  1.85625000e-01  1.11998904e-04  1.85625000e-01  4.46762314e-02 
 1.36250000e-05  1.89375000e-01  1.19039562e-04  1.89375000e-01  4.91757615e-02 
 1.38750000e-05  1.93125000e-01  1.26726514e-04  1.93125000e-01  5.37155303e-02 
 1.41250000e-05  1.96875000e-01  1.35036281e-04  1.96875000e-01  5.80821684e-02 
 1.43750000e-05  2.00625000e-01  1.43867445e-04  2.00625000e-01  6.20224775e-02 
 1.46250000e-05  2.04375000e-01  1.53049436e-04  2.04375000e-01  6.53326856e-02 
 1.48750000e-05  2.08125000e-01  1.62401214e-04  2.08125000e-01  6.79589762e-02 
 1.51250000e-05  2.11875000e-01  1.71802708e-04  2.11875000e-01  7.00141594e-02 
 1.53750000e-05  2.15625000e-01  1.81222608e-04  2.15625000e-01  7.17096928e-02 
 1.56250000e-05  2.19375000e-01  1.90682738e-04  2.19375000e-01  7.31987287e-02 
 1.58750000e-05  2.23125000e-01  2.00235222e-04  2.23125000e-01  7.45710392e-02 
 1.61250000e-05  2.26875000e-01  2.09949043e-04  2.26875000e-01  7.59041724e-02 
 1.63750000e-05  2.30625000e-01  2.19879899e-04  2.30625000e-01  7.72241313e-02 
 1.66250000e-05  2.34375000e-01  2.30067599e-04  2.34375000e-01  7.85357237e-02 
 1.68750000e-05  2.38125000e-01  2.40540969e-04  2.38125000e-01  7.98393383e-02 
 1.71250000e-05  2.41875000e-01  2.51322177e-04  2.41875000e-01  8.11352841e-02 
 1.73750000e-05  2.45625000e-01  2.62429504e-04  2.45625000e-01  8.24240752e-02 
 1.76250000e-05  2.49375000e-01  2.73878997e-04  2.49375000e-01  8.37062372e-02 
 1.78750000e-05  2.53125000e-01  2.85685508e-04  2.53125000e-01  8.49822539e-02 
 1.81250000e-05  2.56875000e-01  2.97863344e-04  2.56875000e-01  8.62525645e-02 
 1.83750000e-05  2.60625000e-01  3.10426652e-04  2.60625000e-01  8.75175588e-02 
 1.86250000e-05  2.64375000e-01  3.23389660e-04  2.64375000e-01  8.87775760e-02 
 1.88750000e-05  2.68125000e-01  3.36766803e-04  2.68125000e-01  9.00329070e-02 
 1.91250000e-05  2.71875000e-01  3.50572810e-04  2.71875000e-01  9.12837988e-02 
 1.93750000e-05  2.75625000e-01  3.64822751e-04  2.75625000e-01  9.25304591e-02 
 1.96250000e-05  2.79375000e-01  3.79532067e-04  2.79375000e-01  9.37730611e-02 
 1.98750000e-05  2.83125000e-01  3.94716596e-04  2.83125000e-01  9.50117483e-02 
 2.01250000e-05  2.86875000e-01  4.10392592e-04  2.86875000e-01  9.62466378e-02 
 2.03750000e-05  2.90625000e-01  4.26576732e-04  2.90625000e-01  9.74778241e-02 
 2.06250000e-05  2.94375000e-01  4.43286135e-04  2.94375000e-01  9.87053818e-02 
 2.08750000e-05  2.98125000e-01  4.60538365e-04  2.98125000e-01  9.99293681e-02 
 2.11250000e-05  3.01875000e-01  4.78351443e-04  3.01875000e-01  1.01149825e-01 
 2.13750000e-05  3.05625000e-01  4.96743855e-04  3.05625000e-01  1.02366781e-01 
