 temp-sweep      v(Vbias)        v(Ix)          
 0.00000000e+00  1.51954958e-01  9.23955854e-09 
 1.00000000e+00  1.51108599e-01  9.26997499e-09 
 2.00000000e+00  1.50261736e-01  9.30059985e-09 
 3.00000000e+00  1.49415174e-01  9.33168407e-09 
 4.00000000e+00  1.48566656e-01  9.36252131e-09 
 5.00000000e+00  1.47713839e-01  9.39238083e-09 
 6.00000000e+00  1.46862989e-01  9.42321550e-09 
 7.00000000e+00  1.46002534e-01  9.45141672e-09 
 8.00000000e+00  1.45144271e-01  9.48066085e-09 
 9.00000000e+00  1.44283538e-01  9.50949288e-09 
 1.00000000e+01  1.43423626e-01  9.53893634e-09 
 1.10000000e+01  1.42563878e-01  9.56513945e-09 
 1.20000000e+01  1.41688396e-01  9.59408477e-09 
 1.30000000e+01  1.40820111e-01  9.62197226e-09 
 1.40000000e+01  1.39956124e-01  9.64790674e-09 
 1.50000000e+01  1.39070668e-01  9.67477517e-09 
 1.60000000e+01  1.38199582e-01  9.70280646e-09 
 1.70000000e+01  1.37321462e-01  9.72898399e-09 
 1.80000000e+01  1.36441161e-01  9.75480704e-09 
 1.90000000e+01  1.35558368e-01  9.78017235e-09 
 2.00000000e+01  1.34677234e-01  9.80635576e-09 
 2.10000000e+01  1.33788113e-01  9.83036689e-09 
 2.20000000e+01  1.32901974e-01  9.85558536e-09 
 2.30000000e+01  1.32010525e-01  9.87943962e-09 
 2.40000000e+01  1.31116979e-01  9.90291065e-09 
 2.50000000e+01  1.30224749e-01  9.92703743e-09 
 2.60000000e+01  1.29325891e-01  9.94935873e-09 
 2.70000000e+01  1.28429396e-01  9.97262877e-09 
 2.80000000e+01  1.27528170e-01  9.99464993e-09 
 2.90000000e+01  1.26626730e-01  1.00167948e-08 
 3.00000000e+01  1.25726578e-01  1.00395090e-08 
 3.10000000e+01  1.24819917e-01  1.00603818e-08 
 3.20000000e+01  1.23908829e-01  1.00800392e-08 
 3.30000000e+01  1.23001362e-01  1.01009313e-08 
 3.40000000e+01  1.22093165e-01  1.01217096e-08 
 3.50000000e+01  1.21181226e-01  1.01414360e-08 
 3.60000000e+01  1.20265928e-01  1.01602168e-08 
 3.70000000e+01  1.19349447e-01  1.01787046e-08 
 3.80000000e+01  1.18426115e-01  1.01951580e-08 
 3.90000000e+01  1.17506034e-01  1.02126506e-08 
 4.00000000e+01  1.16591806e-01  1.02319632e-08 
 4.10000000e+01  1.15663054e-01  1.02468761e-08 
 4.20000000e+01  1.14738913e-01  1.02632132e-08 
 4.30000000e+01  1.13806564e-01  1.02770662e-08 
 4.40000000e+01  1.12880045e-01  1.02926970e-08 
 4.50000000e+01  1.11949517e-01  1.03071078e-08 
 4.60000000e+01  1.11015985e-01  1.03205986e-08 
 4.70000000e+01  1.10085963e-01  1.03315035e-08 
 4.80000000e+01  1.09135717e-01  1.03435314e-08 
 4.90000000e+01  1.08197660e-01  1.03555899e-08 
 5.00000000e+01  1.07252176e-01  1.03653692e-08 
 5.10000000e+01  1.06300124e-01  1.03731269e-08 
 5.20000000e+01  1.05355830e-01  1.03831767e-08 
 5.30000000e+01  1.04405403e-01  1.03913197e-08 
 5.40000000e+01  1.03446811e-01  1.03969424e-08 
 5.50000000e+01  1.02492455e-01  1.04037652e-08 
 5.60000000e+01  1.01533686e-01  1.04091795e-08 
 5.70000000e+01  1.00566074e-01  1.04118504e-08 
 5.80000000e+01  9.96081197e-02  1.04173067e-08 
 5.90000000e+01  9.86381337e-02  1.04190496e-08 
 6.00000000e+01  9.76674710e-02  1.04204627e-08 
 6.10000000e+01  9.66980917e-02  1.04221193e-08 
 6.20000000e+01  9.57204075e-02  1.04211493e-08 
 6.30000000e+01  9.47407685e-02  1.04194340e-08 
 6.40000000e+01  9.37631280e-02  1.04181320e-08 
 6.50000000e+01  9.27804961e-02  1.04151555e-08 
 6.60000000e+01  9.17963652e-02  1.04115245e-08 
 6.70000000e+01  9.08092074e-02  1.04067746e-08 
 6.80000000e+01  8.98146166e-02  1.03995942e-08 
 6.90000000e+01  8.88258158e-02  1.03938625e-08 
 7.00000000e+01  8.78372783e-02  1.03879302e-08 
