 v-sweep         v(Vbiasc)       v(Vbias)        v(Ix)           v(Iout)        
 0.00000000e+00 -8.01583185e-02 -4.80458030e-02 -2.15552212e-06  2.58486254e-12 
 5.00000000e-03 -7.78531527e-02 -4.65210821e-02 -2.09931635e-06  2.72782940e-12 
 1.00000000e-02 -7.55648930e-02 -4.50168276e-02 -2.04373159e-06  2.90020955e-12 
 1.50000000e-02 -7.32929467e-02 -4.35326559e-02 -1.98878135e-06  3.10695319e-12 
 2.00000000e-02 -7.10365837e-02 -4.20677439e-02 -1.93448291e-06  3.35323235e-12 
 2.50000000e-02 -6.87955052e-02 -4.06226228e-02 -1.88084050e-06  3.64559725e-12 
 3.00000000e-02 -6.65671329e-02 -3.91942935e-02 -1.82789605e-06  3.99149691e-12 
 3.50000000e-02 -6.43506609e-02 -3.77830098e-02 -1.77565679e-06  4.39945897e-12 
 4.00000000e-02 -6.21441191e-02 -3.63870957e-02 -1.72414927e-06  4.87831734e-12 
 4.50000000e-02 -5.99420168e-02 -3.49986521e-02 -1.67301299e-06  5.39554835e-12 
 5.00000000e-02 -5.77496115e-02 -3.36298147e-02 -1.62303007e-06  6.04111788e-12 
 5.50000000e-02 -5.55590969e-02 -3.22710312e-02 -1.57386329e-06  6.79256209e-12 
 6.00000000e-02 -5.33673287e-02 -3.09209908e-02 -1.52553389e-06  7.66462177e-12 
 6.50000000e-02 -5.11697319e-02 -2.95766208e-02 -1.47808098e-06  8.67482840e-12 
 7.00000000e-02 -4.89619866e-02 -2.82357815e-02 -1.43153302e-06  9.84148629e-12 
 7.50000000e-02 -4.67393870e-02 -2.68962136e-02 -1.38591848e-06  1.11858147e-11 
 8.00000000e-02 -4.44963587e-02 -2.55548602e-02 -1.34127182e-06  1.27300807e-11 
 8.50000000e-02 -4.22121283e-02 -2.42057194e-02 -1.29813154e-06  1.46200730e-11 
 9.00000000e-02 -3.99068406e-02 -2.28505915e-02 -1.25552738e-06  1.66582419e-11 
 9.50000000e-02 -3.75610824e-02 -2.14841479e-02 -1.21398705e-06  1.89841720e-11 
 1.00000000e-01 -3.51697885e-02 -2.01044384e-02 -1.17352251e-06  2.16243595e-11 
 1.05000000e-01 -3.27239741e-02 -1.87072224e-02 -1.13417050e-06  2.46198856e-11 
 1.10000000e-01 -3.02188802e-02 -1.72907465e-02 -1.09593408e-06  2.79978924e-11 
 1.15000000e-01 -2.76430414e-02 -1.58497549e-02 -1.05885659e-06  3.18140219e-11 
 1.20000000e-01 -2.49929735e-02 -1.43833922e-02 -1.02292482e-06  3.60964115e-11 
 1.25000000e-01 -2.22567470e-02 -1.28862282e-02 -9.88176356e-07  4.09079193e-11 
 1.30000000e-01 -1.94791440e-02 -1.13747149e-02 -9.53996778e-07  4.59832500e-11 
 1.35000000e-01 -1.65056045e-02 -9.79199581e-03 -9.22192265e-07  5.22820681e-11 
 1.40000000e-01 -1.35264440e-02 -8.20691061e-03 -8.90391789e-07  5.86213077e-11 
 1.45000000e-01 -1.03046763e-02 -6.52986625e-03 -8.61051688e-07  6.64959731e-11 
 1.50000000e-01 -7.00972810e-03 -4.82441612e-03 -8.32320600e-07  7.48690834e-11 
 1.55000000e-01 -3.53613156e-03 -3.04617817e-03 -8.04999488e-07  8.43664084e-11 
 1.60000000e-01  1.22459775e-04 -1.19253412e-03 -7.79054222e-07  9.50899655e-11 
 1.65000000e-01  4.08988368e-03  7.95342222e-04 -7.55018277e-07  1.07700785e-10 
 1.70000000e-01  8.38634951e-03  2.92618656e-03 -7.32880238e-07  1.22455764e-10 
 1.75000000e-01  1.32156790e-02  5.29585084e-03 -7.13471713e-07  1.40574279e-10 
 1.80000000e-01  1.88459649e-02  8.02937202e-03 -6.97836140e-07  1.63850395e-10 
 1.85000000e-01  2.56787019e-02  1.13135013e-02 -6.87525606e-07  1.95275166e-10 
 1.90000000e-01  3.41402818e-02  1.53453409e-02 -6.84116883e-07  2.38992929e-10 
 1.95000000e-01  4.45366653e-02  2.02657636e-02 -6.88655037e-07  3.00161417e-10 
 2.00000000e-01  5.64491703e-02  2.58786713e-02 -6.99153260e-07  3.81005468e-10 
 2.05000000e-01  6.92093137e-02  3.18740263e-02 -7.12691057e-07  4.82092369e-10 
 2.10000000e-01  8.20883197e-02  3.79146839e-02 -7.26163573e-07  6.02024753e-10 
 2.15000000e-01  9.48147904e-02  4.38769046e-02 -7.38447172e-07  7.41811613e-10 
 2.20000000e-01  1.07250356e-01  4.96985933e-02 -7.48988873e-07  9.03022681e-10 
 2.25000000e-01  1.19335610e-01  5.53535391e-02 -7.57570382e-07  1.08771234e-09 
 2.30000000e-01  1.31105309e-01  6.08596404e-02 -7.64379288e-07  1.29935710e-09 
 2.35000000e-01  1.42513845e-01  6.61966522e-02 -7.69256550e-07  1.54005962e-09 
 2.40000000e-01  1.53593509e-01  7.13804036e-02 -7.72375884e-07  1.81346322e-09 
 2.45000000e-01  1.64320936e-01  7.64004572e-02 -7.73673210e-07  2.12188485e-09 
 2.50000000e-01  1.74714278e-01  8.12654382e-02 -7.73260511e-07  2.46865099e-09 
 2.55000000e-01  1.84741189e-01  8.59602391e-02 -7.71037542e-07  2.85506375e-09 
 2.60000000e-01  1.94392821e-01  9.04805278e-02 -7.67006099e-07  3.28250346e-09 
 2.65000000e-01  2.03677763e-01  9.48299974e-02 -7.61242329e-07  3.75257446e-09 
 2.70000000e-01  2.12511431e-01  9.89688915e-02 -7.53445562e-07  4.26062765e-09 
 2.75000000e-01  2.20796068e-01  1.02851261e-01 -7.43280382e-07  4.79777026e-09 
 2.80000000e-01  2.28394330e-01  1.06412902e-01 -7.30282791e-07  5.34783061e-09 
 2.85000000e-01  2.35262546e-01  1.09633425e-01 -7.14398403e-07  5.89713068e-09 
 2.90000000e-01  2.41473883e-01  1.12547080e-01 -6.96048472e-07  6.44049298e-09 
 2.95000000e-01  2.47175149e-01  1.15222641e-01 -6.75924976e-07  6.98162456e-09 
 3.00000000e-01  2.52494940e-01  1.17720341e-01 -6.54618682e-07  7.52629702e-09 
 3.05000000e-01  2.57515673e-01  1.20078709e-01 -6.32516218e-07  8.07815417e-09 
 3.10000000e-01  2.62388436e-01  1.22368095e-01 -6.10046028e-07  8.63238515e-09 
 3.15000000e-01  2.66744941e-01  1.24416843e-01 -5.86515333e-07  9.19703338e-09 
