 time            v(VDD)          v(Vbias)        v(Vbiasc)       v(bias_en)      v(Vsu)          v(Vres)        
 0.00000000e+00  0.00000000e+00 -4.73705273e-02 -7.97487254e-02  0.00000000e+00 -6.33350332e-05 -2.78161896e-02 
 1.00000000e-13  0.00000000e+00 -4.73705246e-02 -7.97487253e-02  0.00000000e+00 -6.33349678e-05 -2.78139761e-02 
 2.00000000e-13  0.00000000e+00 -4.73705211e-02 -7.97487250e-02  0.00000000e+00 -6.33348797e-05 -2.78110743e-02 
 4.00000000e-13  0.00000000e+00 -4.73705131e-02 -7.97487244e-02  0.00000000e+00 -6.33346763e-05 -2.78044529e-02 
 8.00000000e-13  0.00000000e+00 -4.73704947e-02 -7.97487229e-02  0.00000000e+00 -6.33342011e-05 -2.77892463e-02 
 1.60000000e-12  0.00000000e+00 -4.73704573e-02 -7.97487197e-02  0.00000000e+00 -6.33332281e-05 -2.77582983e-02 
 3.20000000e-12  0.00000000e+00 -4.73703776e-02 -7.97487130e-02  0.00000000e+00 -6.33311606e-05 -2.76924353e-02 
 6.40000000e-12  0.00000000e+00 -4.73701671e-02 -7.97486954e-02  0.00000000e+00 -6.33256991e-05 -2.75182640e-02 
 1.00000000e-11  0.00000000e+00 -4.73699127e-02 -7.97486740e-02  0.00000000e+00 -6.33190864e-05 -2.73076361e-02 
 1.06400000e-11  0.00000000e+00 -4.73699050e-02 -7.97486732e-02  0.00000000e+00 -6.33188717e-05 -2.73012335e-02 
 1.19200000e-11  0.00000000e+00 -4.73699001e-02 -7.97486727e-02  0.00000000e+00 -6.33187354e-05 -2.72971558e-02 
 1.44800000e-11  0.00000000e+00 -4.73698881e-02 -7.97486717e-02  0.00000000e+00 -6.33184313e-05 -2.72872544e-02 
 1.96000000e-11  0.00000000e+00 -4.73698358e-02 -7.97486672e-02  0.00000000e+00 -6.33170681e-05 -2.72438808e-02 
 2.98400000e-11  0.00000000e+00 -4.73697245e-02 -7.97486577e-02  0.00000000e+00 -6.33141782e-05 -2.71516445e-02 
 5.03200000e-11  0.00000000e+00 -4.73695037e-02 -7.97486386e-02  0.00000000e+00 -6.33084354e-05 -2.69686037e-02 
 9.12800000e-11  0.00000000e+00 -4.73690889e-02 -7.97486024e-02  0.00000000e+00 -6.32976522e-05 -2.66246397e-02 
 1.73200000e-10  0.00000000e+00 -4.73683389e-02 -7.97485352e-02  0.00000000e+00 -6.32781326e-05 -2.60011108e-02 
 3.37040000e-10  0.00000000e+00 -4.73671227e-02 -7.97484203e-02  0.00000000e+00 -6.32464379e-05 -2.49876547e-02 
 6.64720000e-10  0.00000000e+00 -4.73654956e-02 -7.97482473e-02  0.00000000e+00 -6.32038645e-05 -2.36261014e-02 
 1.32008000e-09  0.00000000e+00 -4.73640149e-02 -7.97480349e-02  0.00000000e+00 -6.31646015e-05 -2.23751363e-02 
 2.63080000e-09  0.00000000e+00 -4.73634114e-02 -7.97478270e-02  0.00000000e+00 -6.31471328e-05 -2.18608150e-02 
 5.25224000e-09  0.00000000e+00 -4.73634572e-02 -7.97476591e-02  0.00000000e+00 -6.31449163e-05 -2.19019407e-02 
 9.62049254e-09  0.00000000e+00 -4.73634092e-02 -7.97475890e-02  0.00000000e+00 -6.31384948e-05 -2.18841179e-02 
 1.83569976e-08  0.00000000e+00 -4.73633360e-02 -7.97476263e-02  0.00000000e+00 -6.31268286e-05 -2.18961833e-02 
 3.58300078e-08  0.00000000e+00 -4.73631117e-02 -7.97476960e-02  0.00000000e+00 -6.31022952e-05 -2.18862370e-02 
 7.07760281e-08  0.00000000e+00 -4.73626651e-02 -7.97476722e-02  0.00000000e+00 -6.30552673e-05 -2.18954509e-02 
 1.40668069e-07  0.00000000e+00 -4.73617620e-02 -7.97474780e-02  0.00000000e+00 -6.29660479e-05 -2.18866777e-02 
 2.65668069e-07  0.00000000e+00 -4.73603464e-02 -7.97470190e-02  0.00000000e+00 -6.28199353e-05 -2.18948457e-02 
 3.90668069e-07  0.00000000e+00 -4.73590898e-02 -7.97464751e-02  0.00000000e+00 -6.26811958e-05 -2.18856170e-02 
 5.15668069e-07  0.00000000e+00 -4.73579910e-02 -7.97458793e-02  0.00000000e+00 -6.25426682e-05 -2.18928026e-02 
 6.40668069e-07  0.00000000e+00 -4.73569841e-02 -7.97452586e-02  0.00000000e+00 -6.23951195e-05 -2.18832592e-02 
 7.65668069e-07  0.00000000e+00 -4.73560890e-02 -7.97446265e-02  0.00000000e+00 -6.22310725e-05 -2.18897004e-02 
 8.90668069e-07  0.00000000e+00 -4.73552537e-02 -7.97439945e-02  0.00000000e+00 -6.20414849e-05 -2.18799935e-02 
 1.00000000e-06  0.00000000e+00 -4.73545972e-02 -7.97434467e-02  0.00000000e+00 -6.18500380e-05 -2.18860656e-02 
 1.01250000e-06  1.87500000e-04 -4.73512049e-02 -7.96524451e-02  1.87500000e-04 -5.48318011e-05 -2.18820837e-02 
 1.03750000e-06  5.62500000e-04 -4.73397680e-02 -7.94425167e-02  5.62500000e-04 -4.02628931e-05 -2.18812432e-02 
 1.08750000e-06  1.31250000e-03 -4.73031474e-02 -7.89749731e-02  1.31250000e-03 -8.67519914e-06 -2.18803152e-02 
