 frequency       v(CMRR_dB)      v(CMRR_arg)    
 1.00000000e-02  8.22234555e+01  1.22723950e+01 
 1.02305973e-02  8.22368575e+01  1.25390970e+01 
 1.04665121e-02  8.22508388e+01  1.28108633e+01 
 1.07078670e-02  8.22654223e+01  1.30877413e+01 
 1.09547876e-02  8.22806317e+01  1.33697756e+01 
 1.12074020e-02  8.22964914e+01  1.36570076e+01 
 1.14658417e-02  8.23130266e+01  1.39494752e+01 
 1.17302409e-02  8.23303272e+01  1.42472050e+01 
 1.20007371e-02  8.23482919e+01  1.45502414e+01 
 1.22774708e-02  8.23670121e+01  1.48586027e+01 
 1.25605860e-02  8.23865159e+01  1.51723096e+01 
 1.28502297e-02  8.24068322e+01  1.54913778e+01 
 1.31465525e-02  8.24279907e+01  1.58158176e+01 
 1.34497085e-02  8.24500217e+01  1.61456331e+01 
 1.37598551e-02  8.24730201e+01  1.64808142e+01 
 1.40771537e-02  8.24968899e+01  1.68213694e+01 
 1.44017690e-02  8.25217274e+01  1.71672751e+01 
 1.47338699e-02  8.25475658e+01  1.75185091e+01 
 1.50736290e-02  8.25744387e+01  1.78750407e+01 
 1.54212228e-02  8.26024444e+01  1.82368223e+01 
 1.57768320e-02  8.26314897e+01  1.86038260e+01 
 1.61406415e-02  8.26616741e+01  1.89759866e+01 
 1.65128404e-02  8.26930335e+01  1.93532391e+01 
 1.68936220e-02  8.27256681e+01  1.97354986e+01 
 1.72831844e-02  8.27594866e+01  2.01227010e+01 
 1.76817299e-02  8.27945900e+01  2.05147407e+01 
 1.80894658e-02  8.28310155e+01  2.09115120e+01 
 1.85066040e-02  8.28688646e+01  2.13128864e+01 
 1.89333613e-02  8.29081108e+01  2.17187460e+01 
 1.93699595e-02  8.29487279e+01  2.21289627e+01 
 1.98166255e-02  8.29908813e+01  2.25433600e+01 
 2.02735916e-02  8.30344805e+01  2.29617976e+01 
 2.07410951e-02  8.30796267e+01  2.33840859e+01 
 2.12193792e-02  8.31264209e+01  2.38100214e+01 
 2.17086923e-02  8.31747717e+01  2.42394270e+01 
 2.22092889e-02  8.32248429e+01  2.46720594e+01 
 2.27214291e-02  8.32765422e+01  2.51077168e+01 
 2.32453791e-02  8.33300320e+01  2.55461277e+01 
 2.37814113e-02  8.33852184e+01  2.59870650e+01 
 2.43298042e-02  8.34422622e+01  2.64302294e+01 
 2.48908429e-02  8.35010674e+01  2.68753688e+01 
 2.54648190e-02  8.35617924e+01  2.73221561e+01 
 2.60520309e-02  8.36243389e+01  2.77703148e+01 
 2.66527837e-02  8.36888627e+01  2.82194907e+01 
 2.72673897e-02  8.37553264e+01  2.86693667e+01 
