 frequency       v(PSRR_dB)     
 1.00000000e-02  1.22291952e+02 
 1.02305973e-02  1.22474307e+02 
 1.04665121e-02  1.22657347e+02 
 1.07078670e-02  1.22841023e+02 
 1.09547876e-02  1.23025322e+02 
 1.12074020e-02  1.23203836e+02 
 1.14658417e-02  1.23389334e+02 
 1.17302409e-02  1.23575379e+02 
 1.20007371e-02  1.23761969e+02 
 1.22774708e-02  1.23949083e+02 
 1.25605860e-02  1.24136688e+02 
 1.28502297e-02  1.24324783e+02 
 1.31465525e-02  1.24513336e+02 
 1.34497085e-02  1.24702335e+02 
 1.37598551e-02  1.24891775e+02 
 1.40771537e-02  1.25081609e+02 
 1.44017690e-02  1.25271853e+02 
 1.47338699e-02  1.25462487e+02 
 1.50736290e-02  1.25653489e+02 
 1.54212228e-02  1.25838617e+02 
 1.57768320e-02  1.26030343e+02 
 1.61406415e-02  1.26222411e+02 
 1.65128404e-02  1.26414803e+02 
 1.68936220e-02  1.26607506e+02 
 1.72831844e-02  1.26800507e+02 
 1.76817299e-02  1.26993793e+02 
 1.80894658e-02  1.27187366e+02 
 1.85066040e-02  1.27375116e+02 
 1.89333613e-02  1.27569267e+02 
 1.93699595e-02  1.27763665e+02 
 1.98166255e-02  1.27958317e+02 
 2.02735916e-02  1.28153204e+02 
 2.07410951e-02  1.28348323e+02 
 2.12193792e-02  1.28537717e+02 
 2.17086923e-02  1.28733340e+02 
 2.22092889e-02  1.28929169e+02 
 2.27214291e-02  1.29125197e+02 
 2.32453791e-02  1.29321422e+02 
 2.37814113e-02  1.29512073e+02 
 2.43298042e-02  1.29708766e+02 
 2.48908429e-02  1.29905638e+02 
 2.54648190e-02  1.30102659e+02 
 2.60520309e-02  1.30294266e+02 
 2.66527837e-02  1.30491739e+02 
 2.72673897e-02  1.30689354e+02 
 2.78961683e-02  1.30881643e+02 
 2.85394464e-02  1.31079693e+02 
 2.91975583e-02  1.31277852e+02 
 2.98708461e-02  1.31470849e+02 
 3.05596598e-02  1.31669424e+02 
 3.12643573e-02  1.31868077e+02 
 3.19853049e-02  1.32061816e+02 
 3.27228774e-02  1.32260852e+02 
 3.34774581e-02  1.32455042e+02 
 3.42494392e-02  1.32654418e+02 
 3.50392221e-02  1.32849079e+02 
 3.58472171e-02  1.33048780e+02 
 3.66738442e-02  1.33243939e+02 
 3.75195331e-02  1.33439250e+02 
 3.83847234e-02  1.33639574e+02 
 3.92698648e-02  1.33835429e+02 
 4.01754173e-02  1.34035878e+02 
 4.11018515e-02  1.34232284e+02 
 4.20496491e-02  1.34428893e+02 
 4.30193027e-02  1.34625723e+02 
 4.40113162e-02  1.34826746e+02 
 4.50262052e-02  1.35024107e+02 
 4.60644974e-02  1.35221693e+02 
 4.71267322e-02  1.35419514e+02 
 4.82134619e-02  1.35617566e+02 
 4.93252513e-02  1.35815845e+02 
 5.04626783e-02  1.36014322e+02 
 5.16263340e-02  1.36212988e+02 
 5.28168234e-02  1.36411777e+02 
 5.40347650e-02  1.36608279e+02 
 5.52807921e-02  1.36807711e+02 
 5.65555523e-02  1.37007124e+02 
 5.78597080e-02  1.37204602e+02 
 5.91939372e-02  1.37404455e+02 
 6.05589334e-02  1.37602524e+02 
 6.19554061e-02  1.37802498e+02 
 6.33840810e-02  1.38001250e+02 
 6.48457008e-02  1.38200149e+02 
 6.63410251e-02  1.38399802e+02 
 6.78708313e-02  1.38599086e+02 
 6.94359143e-02  1.38798398e+02 
