 frequency       v(Amag_dB)      v(Aarg)        
 1.00000000e-02  1.02415423e+01  8.81082540e+01 
 1.02305973e-02  1.04393414e+01  8.80646636e+01 
 1.04665121e-02  1.06371302e+01  8.80200704e+01 
 1.07078670e-02  1.08349082e+01  8.79744513e+01 
 1.09547876e-02  1.10326749e+01  8.79277830e+01 
 1.12074020e-02  1.12304298e+01  8.78800413e+01 
 1.14658417e-02  1.14281724e+01  8.78312018e+01 
 1.17302409e-02  1.16259021e+01  8.77812393e+01 
 1.20007371e-02  1.18236183e+01  8.77301282e+01 
 1.22774708e-02  1.20213204e+01  8.76778422e+01 
 1.25605860e-02  1.22190076e+01  8.76243545e+01 
 1.28502297e-02  1.24166793e+01  8.75696377e+01 
 1.31465525e-02  1.26143349e+01  8.75136638e+01 
 1.34497085e-02  1.28119735e+01  8.74564040e+01 
 1.37598551e-02  1.30095943e+01  8.73978290e+01 
 1.40771537e-02  1.32071966e+01  8.73379090e+01 
 1.44017690e-02  1.34047794e+01  8.72766133e+01 
 1.47338699e-02  1.36023419e+01  8.72139105e+01 
 1.50736290e-02  1.37998831e+01  8.71497688e+01 
 1.54212228e-02  1.39974020e+01  8.70841553e+01 
 1.57768320e-02  1.41948977e+01  8.70170368e+01 
 1.61406415e-02  1.43923689e+01  8.69483790e+01 
 1.65128404e-02  1.45898147e+01  8.68781470e+01 
 1.68936220e-02  1.47872337e+01  8.68063053e+01 
 1.72831844e-02  1.49846248e+01  8.67328172e+01 
 1.76817299e-02  1.51819866e+01  8.66576457e+01 
 1.80894658e-02  1.53793179e+01  8.65807527e+01 
 1.85066040e-02  1.55766172e+01  8.65020993e+01 
 1.89333613e-02  1.57738830e+01  8.64216459e+01 
 1.93699595e-02  1.59711137e+01  8.63393518e+01 
 1.98166255e-02  1.61683078e+01  8.62551757e+01 
 2.02735916e-02  1.63654635e+01  8.61690753e+01 
 2.07410951e-02  1.65625792e+01  8.60810073e+01 
 2.12193792e-02  1.67596528e+01  8.59909277e+01 
 2.17086923e-02  1.69566825e+01  8.58987915e+01 
 2.22092889e-02  1.71536663e+01  8.58045525e+01 
 2.27214291e-02  1.73506020e+01  8.57081640e+01 
 2.32453791e-02  1.75474874e+01  8.56095780e+01 
 2.37814113e-02  1.77443202e+01  8.55087455e+01 
 2.43298042e-02  1.79410980e+01  8.54056168e+01 
 2.48908429e-02  1.81378182e+01  8.53001407e+01 
 2.54648190e-02  1.83344782e+01  8.51922655e+01 
 2.60520309e-02  1.85310753e+01  8.50819380e+01 
 2.66527837e-02  1.87276064e+01  8.49691042e+01 
 2.72673897e-02  1.89240687e+01  8.48537089e+01 
 2.78961683e-02  1.91204589e+01  8.47356960e+01 
 2.85394464e-02  1.93167737e+01  8.46150081e+01 
 2.91975583e-02  1.95130097e+01  8.44915867e+01 
 2.98708461e-02  1.97091633e+01  8.43653723e+01 
 3.05596598e-02  1.99052306e+01  8.42363042e+01 
 3.12643573e-02  2.01012079e+01  8.41043205e+01 
 3.19853049e-02  2.02970908e+01  8.39693582e+01 
 3.27228774e-02  2.04928752e+01  8.38313533e+01 
 3.34774581e-02  2.06885566e+01  8.36902402e+01 
 3.42494392e-02  2.08841302e+01  8.35459527e+01 
 3.50392221e-02  2.10795912e+01  8.33984229e+01 
 3.58472171e-02  2.12749344e+01  8.32475821e+01 
 3.66738442e-02  2.14701545e+01  8.30933602e+01 
 3.75195331e-02  2.16652459e+01  8.29356859e+01 
 3.83847234e-02  2.18602028e+01  8.27744870e+01 
 3.92698648e-02  2.20550192e+01  8.26096897e+01 
 4.01754173e-02  2.22496886e+01  8.24412195e+01 
 4.11018515e-02  2.24442045e+01  8.22690002e+01 
 4.20496491e-02  2.26385600e+01  8.20929550e+01 
 4.30193027e-02  2.28327478e+01  8.19130056e+01 
 4.40113162e-02  2.30267605e+01  8.17290726e+01 
 4.50262052e-02  2.32205902e+01  8.15410757e+01 
 4.60644974e-02  2.34142288e+01  8.13489333e+01 
 4.71267322e-02  2.36076677e+01  8.11525628e+01 
 4.82134619e-02  2.38008980e+01  8.09518806e+01 
 4.93252513e-02  2.39939106e+01  8.07468022e+01 
 5.04626783e-02  2.41866958e+01  8.05372420e+01 
 5.16263340e-02  2.43792435e+01  8.03231134e+01 
 5.28168234e-02  2.45715433e+01  8.01043291e+01 
 5.40347650e-02  2.47635843e+01  7.98808009e+01 
 5.52807921e-02  2.49553552e+01  7.96524398e+01 
 5.65555523e-02  2.51468442e+01  7.94191563e+01 
 5.78597080e-02  2.53380390e+01  7.91808600e+01 
 5.91939372e-02  2.55289269e+01  7.89374599e+01 
 6.05589334e-02  2.57194946e+01  7.86888649e+01 
 6.19554061e-02  2.59097284e+01  7.84349830e+01 
 6.33840810e-02  2.60996138e+01  7.81757222e+01 
 6.48457008e-02  2.62891361e+01  7.79109903e+01 
 6.63410251e-02  2.64782797e+01  7.76406948e+01 
 6.78708313e-02  2.66670286e+01  7.73647435e+01 
 6.94359143e-02  2.68553661e+01  7.70830440e+01 
 7.10370877e-02  2.70432751e+01  7.67955046e+01 
 7.26751838e-02  2.72307374e+01  7.65020336e+01 
 7.43510539e-02  2.74177348e+01  7.62025401e+01 
 7.60655691e-02  2.76042477e+01  7.58969340e+01 
 7.78196206e-02  2.77902565e+01  7.55851260e+01 
 7.96141200e-02  2.79757403e+01  7.52670279e+01 
 8.14500001e-02  2.81606780e+01  7.49425528e+01 
 8.33282151e-02  2.83450475e+01  7.46116153e+01 
 8.52497412e-02  2.85288260e+01  7.42741318e+01 
 8.72155772e-02  2.87119900e+01  7.39300206e+01 
 8.92267449e-02  2.88945151e+01  7.35792020e+01 
 9.12842895e-02  2.90763764e+01  7.32215991e+01 
 9.33892805e-02  2.92575481e+01  7.28571373e+01 
 9.55428121e-02  2.94380034e+01  7.24857452e+01 
 9.77460036e-02  2.96177152e+01  7.21073548e+01 
 1.00000000e-01  2.97966552e+01  7.17219012e+01 
 1.02305973e-01  2.99747944e+01  7.13293238e+01 
 1.04665121e-01  3.01521032e+01  7.09295660e+01 
 1.07078670e-01  3.03285511e+01  7.05225756e+01 
