 frequency       v(Amag_dB)      v(Aarg)        
 1.00000000e-02 -9.75826259e+00  8.81330093e+01 
 1.02305973e-02 -9.56045783e+00  8.80899885e+01 
 1.04665121e-02 -9.36266308e+00  8.80459779e+01 
 1.07078670e-02 -9.16487883e+00  8.80009548e+01 
 1.09547876e-02 -8.96710554e+00  8.79548961e+01 
 1.12074020e-02 -8.76934375e+00  8.79077780e+01 
 1.14658417e-02 -8.57159397e+00  8.78595763e+01 
 1.17302409e-02 -8.37385677e+00  8.78102662e+01 
 1.20007371e-02 -8.17613274e+00  8.77598224e+01 
 1.22774708e-02 -7.97842248e+00  8.77082190e+01 
 1.25605860e-02 -7.78072664e+00  8.76554294e+01 
 1.28502297e-02 -7.58304588e+00  8.76014267e+01 
 1.31465525e-02 -7.38538092e+00  8.75461831e+01 
 1.34497085e-02 -7.18773248e+00  8.74896703e+01 
 1.37598551e-02 -6.99010133e+00  8.74318594e+01 
 1.40771537e-02 -6.79248827e+00  8.73727208e+01 
 1.44017690e-02 -6.59489414e+00  8.73122243e+01 
 1.47338699e-02 -6.39731983e+00  8.72503390e+01 
 1.50736290e-02 -6.19976626e+00  8.71870332e+01 
 1.54212228e-02 -6.00223438e+00  8.71222748e+01 
 1.57768320e-02 -5.80472520e+00  8.70560306e+01 
 1.61406415e-02 -5.60723978e+00  8.69882671e+01 
 1.65128404e-02 -5.40977922e+00  8.69189496e+01 
 1.68936220e-02 -5.21234467e+00  8.68480431e+01 
 1.72831844e-02 -5.01493734e+00  8.67755114e+01 
 1.76817299e-02 -4.81755849e+00  8.67013179e+01 
 1.80894658e-02 -4.62020944e+00  8.66254250e+01 
 1.85066040e-02 -4.42289157e+00  8.65477943e+01 
 1.89333613e-02 -4.22560633e+00  8.64683866e+01 
 1.93699595e-02 -4.02835522e+00  8.63871618e+01 
 1.98166255e-02 -3.83113982e+00  8.63040791e+01 
 2.02735916e-02 -3.63396180e+00  8.62190966e+01 
 2.07410951e-02 -3.43682286e+00  8.61321716e+01 
 2.12193792e-02 -3.23972483e+00  8.60432607e+01 
 2.17086923e-02 -3.04266959e+00  8.59523192e+01 
 2.22092889e-02 -2.84565912e+00  8.58593018e+01 
 2.27214291e-02 -2.64869549e+00  8.57641620e+01 
 2.32453791e-02 -2.45178085e+00  8.56668526e+01 
 2.37814113e-02 -2.25491747e+00  8.55673251e+01 
 2.43298042e-02 -2.05810770e+00  8.54655303e+01 
 2.48908429e-02 -1.86135403e+00  8.53614179e+01 
 2.54648190e-02 -1.66465903e+00  8.52549363e+01 
 2.60520309e-02 -1.46802539e+00  8.51460334e+01 
 2.66527837e-02 -1.27145595e+00  8.50346555e+01 
 2.72673897e-02 -1.07495365e+00  8.49207483e+01 
 2.78961683e-02 -8.78521583e-01  8.48042560e+01 
 2.85394464e-02 -6.82162959e-01  8.46851220e+01 
 2.91975583e-02 -4.85881150e-01  8.45632885e+01 
 2.98708461e-02 -2.89679677e-01  8.44386965e+01 
 3.05596598e-02 -9.35622161e-02  8.43112861e+01 
 3.12643573e-02  1.02467391e-01  8.41809960e+01 
 3.19853049e-02  2.98405129e-01  8.40477639e+01 
 3.27228774e-02  4.94246805e-01  8.39115264e+01 
 3.34774581e-02  6.89988038e-01  8.37722188e+01 
 3.42494392e-02  8.85624252e-01  8.36297752e+01 
 3.50392221e-02  1.08115067e+00  8.34841287e+01 
 3.58472171e-02  1.27656230e+00  8.33352112e+01 
 3.66738442e-02  1.47185393e+00  8.31829532e+01 
 3.75195331e-02  1.66702013e+00  8.30272842e+01 
 3.83847234e-02  1.86205521e+00  8.28681326e+01 
 3.92698648e-02  2.05695324e+00  8.27054253e+01 
 4.01754173e-02  2.25170804e+00  8.25390885e+01 
 4.11018515e-02  2.44631315e+00  8.23690467e+01 
 4.20496491e-02  2.64076183e+00  8.21952237e+01 
 4.30193027e-02  2.83504706e+00  8.20175419e+01 
 4.40113162e-02  3.02916151e+00  8.18359226e+01 
 4.50262052e-02  3.22309752e+00  8.16502860e+01 
 4.60644974e-02  3.41684713e+00  8.14605512e+01 
 4.71267322e-02  3.61040202e+00  8.12666363e+01 
 4.82134619e-02  3.80375353e+00  8.10684582e+01 
 4.93252513e-02  3.99689262e+00  8.08659329e+01 
 5.04626783e-02  4.18980989e+00  8.06589755e+01 
 5.16263340e-02  4.38249554e+00  8.04474999e+01 
 5.28168234e-02  4.57493935e+00  8.02314193e+01 
 5.40347650e-02  4.76713069e+00  8.00106460e+01 
 5.52807921e-02  4.95905849e+00  7.97850914e+01 
 5.65555523e-02  5.15071124e+00  7.95546664e+01 
 5.78597080e-02  5.34207693e+00  7.93192809e+01 
 5.91939372e-02  5.53314311e+00  7.90788444e+01 
 6.05589334e-02  5.72389679e+00  7.88332658e+01 
 6.19554061e-02  5.91432450e+00  7.85824537e+01 
 6.33840810e-02  6.10441222e+00  7.83263160e+01 
 6.48457008e-02  6.29414539e+00  7.80647607e+01 
 6.63410251e-02  6.48350887e+00  7.77976954e+01 
 6.78708313e-02  6.67248697e+00  7.75250278e+01 
 6.94359143e-02  6.86106339e+00  7.72466655e+01 
 7.10370877e-02  7.04922120e+00  7.69625164e+01 
 7.26751838e-02  7.23694287e+00  7.66724888e+01 
 7.43510539e-02  7.42421021e+00  7.63764915e+01 
 7.60655691e-02  7.61100437e+00  7.60744337e+01 
 7.78196206e-02  7.79730584e+00  7.57662257e+01 
 7.96141200e-02  7.98309441e+00  7.54517786e+01 
 8.14500001e-02  8.16834916e+00  7.51310049e+01 
 8.33282151e-02  8.35304847e+00  7.48038182e+01 
 8.52497412e-02  8.53716999e+00  7.44701339e+01 
 8.72155772e-02  8.72069062e+00  7.41298692e+01 
 8.92267449e-02  8.90358651e+00  7.37829431e+01 
 9.12842895e-02  9.08583306e+00  7.34292772e+01 
 9.33892805e-02  9.26740490e+00  7.30687955e+01 
 9.55428121e-02  9.44827589e+00  7.27014248e+01 
 9.77460036e-02  9.62841909e+00  7.23270950e+01 
 1.00000000e-01  9.80780681e+00  7.19457394e+01 
 1.02305973e-01  9.98641056e+00  7.15572951e+01 
 1.04665121e-01  1.01642011e+01  7.11617030e+01 
 1.07078670e-01  1.03411483e+01  7.07589083e+01 
 1.09547876e-01  1.05172214e+01  7.03488611e+01 
 1.12074020e-01  1.06923889e+01  6.99315162e+01 
 1.14658417e-01  1.08666184e+01  6.95068340e+01 
 1.17302409e-01  1.10398768e+01  6.90747804e+01 
 1.20007371e-01  1.12121305e+01  6.86353274e+01 
 1.22774708e-01  1.13833448e+01  6.81884535e+01 
 1.25605860e-01  1.15534847e+01  6.77341439e+01 
 1.28502297e-01  1.17225144e+01  6.72723910e+01 
 1.31465525e-01  1.18903975e+01  6.68031949e+01 
 1.34497085e-01  1.20570972e+01  6.63265634e+01 
 1.37598551e-01  1.22225758e+01  6.58425127e+01 
 1.40771537e-01  1.23867955e+01  6.53510676e+01 
 1.44017690e-01  1.25497179e+01  6.48522621e+01 
 1.47338699e-01  1.27113043e+01  6.43461392e+01 
 1.50736290e-01  1.28715155e+01  6.38327520e+01 
 1.54212228e-01  1.30303124e+01  6.33121634e+01 
 1.57768320e-01  1.31876553e+01  6.27844467e+01 
 1.61406415e-01  1.33435048e+01  6.22496858e+01 
 1.65128404e-01  1.34978212e+01  6.17079753e+01 
 1.68936220e-01  1.36505651e+01  6.11594212e+01 
 1.72831844e-01  1.38016969e+01  6.06041407e+01 
 1.76817299e-01  1.39511776e+01  6.00422623e+01 
 1.80894658e-01  1.40989683e+01  5.94739264e+01 
 1.85066040e-01  1.42450307e+01  5.88992849e+01 
 1.89333613e-01  1.43893268e+01  5.83185015e+01 
 1.93699595e-01  1.45318195e+01  5.77317519e+01 
 1.98166255e-01  1.46724724e+01  5.71392233e+01 
 2.02735916e-01  1.48112497e+01  5.65411147e+01 
 2.07410951e-01  1.49481169e+01  5.59376366e+01 
