 frequency       v(Amag_dB)      v(Aarg)        
 1.00000000e-02  1.02411766e+01  8.80512330e+01 
 1.02305973e-02  1.04389754e+01  8.80063277e+01 
 1.04665121e-02  1.06367640e+01  8.79603893e+01 
 1.07078670e-02  1.08345418e+01  8.79133940e+01 
 1.09547876e-02  1.10323083e+01  8.78653177e+01 
 1.12074020e-02  1.12300630e+01  8.78161356e+01 
 1.14658417e-02  1.14278053e+01  8.77658225e+01 
 1.17302409e-02  1.16255348e+01  8.77143523e+01 
 1.20007371e-02  1.18232507e+01  8.76616988e+01 
 1.22774708e-02  1.20209524e+01  8.76078349e+01 
 1.25605860e-02  1.22186394e+01  8.75527329e+01 
 1.28502297e-02  1.24163108e+01  8.74963645e+01 
 1.31465525e-02  1.26139660e+01  8.74387009e+01 
 1.34497085e-02  1.28116042e+01  8.73797124e+01 
 1.37598551e-02  1.30092247e+01  8.73193690e+01 
 1.40771537e-02  1.32068266e+01  8.72576397e+01 
 1.44017690e-02  1.34044090e+01  8.71944930e+01 
 1.47338699e-02  1.36019711e+01  8.71298966e+01 
 1.50736290e-02  1.37995119e+01  8.70638175e+01 
 1.54212228e-02  1.39970304e+01  8.69962221e+01 
 1.57768320e-02  1.41945255e+01  8.69270758e+01 
 1.61406415e-02  1.43919963e+01  8.68563436e+01 
 1.65128404e-02  1.45894415e+01  8.67839893e+01 
 1.68936220e-02  1.47868600e+01  8.67099763e+01 
 1.72831844e-02  1.49842505e+01  8.66342670e+01 
 1.76817299e-02  1.51816117e+01  8.65568230e+01 
 1.80894658e-02  1.53789424e+01  8.64776050e+01 
 1.85066040e-02  1.55762410e+01  8.63965731e+01 
 1.89333613e-02  1.57735061e+01  8.63136862e+01 
 1.93699595e-02  1.59707361e+01  8.62289026e+01 
 1.98166255e-02  1.61679295e+01  8.61421796e+01 
 2.02735916e-02  1.63650844e+01  8.60534736e+01 
 2.07410951e-02  1.65621992e+01  8.59627399e+01 
 2.12193792e-02  1.67592720e+01  8.58699331e+01 
 2.17086923e-02  1.69563008e+01  8.57750067e+01 
 2.22092889e-02  1.71532836e+01  8.56779134e+01 
 2.27214291e-02  1.73502183e+01  8.55786046e+01 
 2.32453791e-02  1.75471027e+01  8.54770310e+01 
 2.37814113e-02  1.77439344e+01  8.53731421e+01 
 2.43298042e-02  1.79407111e+01  8.52668864e+01 
 2.48908429e-02  1.81374301e+01  8.51582113e+01 
 2.54648190e-02  1.83340889e+01  8.50470632e+01 
 2.60520309e-02  1.85306846e+01  8.49333874e+01 
 2.66527837e-02  1.87272144e+01  8.48171281e+01 
 2.72673897e-02  1.89236753e+01  8.46982284e+01 
 2.78961683e-02  1.91200640e+01  8.45766302e+01 
 2.85394464e-02  1.93163772e+01  8.44522743e+01 
 2.91975583e-02  1.95126116e+01  8.43251004e+01 
 2.98708461e-02  1.97087635e+01  8.41950469e+01 
 3.05596598e-02  1.99048290e+01  8.40620512e+01 
 3.12643573e-02  2.01008044e+01  8.39260493e+01 
 3.19853049e-02  2.02966854e+01  8.37869763e+01 
 3.27228774e-02  2.04924677e+01  8.36447657e+01 
 3.34774581e-02  2.06880565e+01  8.34994158e+01 
 3.42494392e-02  2.08836279e+01  8.33507279e+01 
 3.50392221e-02  2.10790866e+01  8.31986963e+01 
 3.58472171e-02  2.12744274e+01  8.30432499e+01 
 3.66738442e-02  2.14696449e+01  8.28843162e+01 
 3.75195331e-02  2.16647337e+01  8.27218215e+01 
 3.83847234e-02  2.18596879e+01  8.25556910e+01 
 3.92698648e-02  2.20545014e+01  8.23858484e+01 
 4.01754173e-02  2.22491678e+01  8.22122165e+01 
 4.11018515e-02  2.24436805e+01  8.20347166e+01 
