 frequency       v(Tmb_dB)       v(Tmb_arg)     
 1.00000000e-02  3.40823428e+01  1.71049156e+00 
 1.02305973e-02  3.40825635e+01  1.74990183e+00 
 1.04665121e-02  3.40827945e+01  1.79021854e+00 
 1.07078670e-02  3.40830363e+01  1.83146242e+00 
 1.09547876e-02  3.40832893e+01  1.87365469e+00 
 1.12074020e-02  3.40835541e+01  1.91681701e+00 
 1.14658417e-02  3.40838312e+01  1.96097156e+00 
 1.17302409e-02  3.40841213e+01  2.00614100e+00 
 1.20007371e-02  3.40844248e+01  2.05234850e+00 
 1.22774708e-02  3.40847425e+01  2.09961774e+00 
 1.25605860e-02  3.40850750e+01  2.14797294e+00 
 1.28502297e-02  3.40854230e+01  2.19743886e+00 
 1.31465525e-02  3.40857871e+01  2.24804081e+00 
 1.34497085e-02  3.40861683e+01  2.29980464e+00 
 1.37598551e-02  3.40865671e+01  2.35275681e+00 
 1.40771537e-02  3.40869846e+01  2.40692434e+00 
 1.44017690e-02  3.40874215e+01  2.46233485e+00 
 1.47338699e-02  3.40878787e+01  2.51901657e+00 
 1.50736290e-02  3.40883572e+01  2.57699836e+00 
 1.54212228e-02  3.40888579e+01  2.63630971e+00 
 1.57768320e-02  3.40893820e+01  2.69698074e+00 
 1.61406415e-02  3.40899304e+01  2.75904224e+00 
 1.65128404e-02  3.40905043e+01  2.82252567e+00 
 1.68936220e-02  3.40911049e+01  2.88746318e+00 
 1.72831844e-02  3.40917335e+01  2.95388759e+00 
 1.76817299e-02  3.40923913e+01  3.02183246e+00 
 1.80894658e-02  3.40930796e+01  3.09133205e+00 
 1.85066040e-02  3.40938000e+01  3.16242136e+00 
 1.89333613e-02  3.40945538e+01  3.23513614e+00 
 1.93699595e-02  3.40953426e+01  3.30951291e+00 
 1.98166255e-02  3.40961681e+01  3.38558893e+00 
 2.02735916e-02  3.40970320e+01  3.46340229e+00 
 2.07410951e-02  3.40979359e+01  3.54299186e+00 
 2.12193792e-02  3.40988818e+01  3.62439730e+00 
 2.17086923e-02  3.40998716e+01  3.70765914e+00 
 2.22092889e-02  3.41009074e+01  3.79281872e+00 
 2.27214291e-02  3.41019912e+01  3.87991823e+00 
 2.32453791e-02  3.41031252e+01  3.96900074e+00 
 2.37814113e-02  3.41043119e+01  4.06011018e+00 
 2.43298042e-02  3.41055535e+01  4.15329138e+00 
 2.48908429e-02  3.41068527e+01  4.24859006e+00 
 2.54648190e-02  3.41082120e+01  4.34605286e+00 
 2.60520309e-02  3.41096343e+01  4.44572735e+00 
 2.66527837e-02  3.41111225e+01  4.54766200e+00 
 2.72673897e-02  3.41126795e+01  4.65190627e+00 
 2.78961683e-02  3.41143086e+01  4.75851053e+00 
 2.85394464e-02  3.41160130e+01  4.86752615e+00 
 2.91975583e-02  3.41177962e+01  4.97900544e+00 
 2.98708461e-02  3.41196617e+01  5.09300171e+00 
 3.05596598e-02  3.41216134e+01  5.20956925e+00 
 3.12643573e-02  3.41236553e+01  5.32876334e+00 
 3.19853049e-02  3.41257913e+01  5.45064027e+00 
 3.27228774e-02  3.41280258e+01  5.57525730e+00 
 3.34774581e-02  3.41303633e+01  5.70267273e+00 
 3.42494392e-02  3.41328085e+01  5.83294585e+00 
 3.50392221e-02  3.41353662e+01  5.96613695e+00 
 3.58472171e-02  3.41380417e+01  6.10230735e+00 
 3.66738442e-02  3.41408401e+01  6.24151934e+00 
 3.75195331e-02  3.41437671e+01  6.38383624e+00 
 3.83847234e-02  3.41468286e+01  6.52932235e+00 
 3.92698648e-02  3.41500305e+01  6.67804294e+00 
 4.01754173e-02  3.41533792e+01  6.83006428e+00 
 4.11018515e-02  3.41568813e+01  6.98545358e+00 
 4.20496491e-02  3.41605437e+01  7.14427901e+00 
 4.30193027e-02  3.41643736e+01  7.30660966e+00 
 4.40113162e-02  3.41683784e+01  7.47251552e+00 
 4.50262052e-02  3.41725661e+01  7.64206748e+00 
 4.60644974e-02  3.41769447e+01  7.81533727e+00 
 4.71267322e-02  3.41815228e+01  7.99239745e+00 
 4.82134619e-02  3.41863093e+01  8.17332137e+00 
 4.93252513e-02  3.41913132e+01  8.35818314e+00 
 5.04626783e-02  3.41965443e+01  8.54705757e+00 
 5.16263340e-02  3.42020126e+01  8.74002011e+00 
 5.28168234e-02  3.42077285e+01  8.93714687e+00 
 5.40347650e-02  3.42137028e+01  9.13851446e+00 
 5.52807921e-02  3.42199469e+01  9.34420000e+00 
 5.65555523e-02  3.42264725e+01  9.55428104e+00 
 5.78597080e-02  3.42332918e+01  9.76883547e+00 
 5.91939372e-02  3.42404177e+01  9.98794142e+00 
 6.05589334e-02  3.42478631e+01  1.02116772e+01 
 6.19554061e-02  3.42556421e+01  1.04401213e+01 
 6.33840810e-02  3.42637687e+01  1.06733521e+01 
 6.48457008e-02  3.42722579e+01  1.09114477e+01 
 6.63410251e-02  3.42811250e+01  1.11544863e+01 
 6.78708313e-02  3.42903861e+01  1.14025455e+01 
 6.94359143e-02  3.43000577e+01  1.16557024e+01 
 7.10370877e-02  3.43101571e+01  1.19140335e+01 
 7.26751838e-02  3.43207020e+01  1.21776145e+01 
 7.43510539e-02  3.43317109e+01  1.24465201e+01 
 7.60655691e-02  3.43432031e+01  1.27208239e+01 
 7.78196206e-02  3.43551982e+01  1.30005981e+01 
 7.96141200e-02  3.43677169e+01  1.32859134e+01 
 8.14500001e-02  3.43807803e+01  1.35768389e+01 
 8.33282151e-02  3.43944103e+01  1.38734416e+01 
 8.52497412e-02  3.44086296e+01  1.41757864e+01 
 8.72155772e-02  3.44234616e+01  1.44839357e+01 
 8.92267449e-02  3.44389304e+01  1.47979495e+01 
 9.12842895e-02  3.44550608e+01  1.51178845e+01 
 9.33892805e-02  3.44718786e+01  1.54437946e+01 
 9.55428121e-02  3.44894100e+01  1.57757298e+01 
 9.77460036e-02  3.45076823e+01  1.61137367e+01 
 1.00000000e-01  3.45267234e+01  1.64578576e+01 
 1.02305973e-01  3.45465620e+01  1.68081304e+01 
 1.04665121e-01  3.45672275e+01  1.71645884e+01 
 1.07078670e-01  3.45887501e+01  1.75272595e+01 
 1.09547876e-01  3.46111607e+01  1.78961665e+01 
 1.12074020e-01  3.46344911e+01  1.82713263e+01 
 1.14658417e-01  3.46587735e+01  1.86527496e+01 
 1.17302409e-01  3.46840412e+01  1.90404406e+01 
 1.20007371e-01  3.47103279e+01  1.94343966e+01 
 1.22774708e-01  3.47376679e+01  1.98346076e+01 
 1.25605860e-01  3.47660963e+01  2.02410558e+01 
 1.28502297e-01  3.47956487e+01  2.06537156e+01 
 1.31465525e-01  3.48263613e+01  2.10725527e+01 
 1.34497085e-01  3.48582706e+01  2.14975241e+01 
 1.37598551e-01  3.48914140e+01  2.19285775e+01 
 1.40771537e-01  3.49258287e+01  2.23656511e+01 
 1.44017690e-01  3.49615528e+01  2.28086730e+01 
 1.47338699e-01  3.49986244e+01  2.32575611e+01 
 1.50736290e-01  3.50370819e+01  2.37122227e+01 
 1.54212228e-01  3.50769638e+01  2.41725540e+01 
 1.57768320e-01  3.51183087e+01  2.46384399e+01 
 1.61406415e-01  3.51611553e+01  2.51097540e+01 
 1.65128404e-01  3.52055420e+01  2.55863577e+01 
 1.68936220e-01  3.52515072e+01  2.60681008e+01 
 1.72831844e-01  3.52990890e+01  2.65548204e+01 
 1.76817299e-01  3.53483251e+01  2.70463417e+01 
 1.80894658e-01  3.53992527e+01  2.75424770e+01 
 1.85066040e-01  3.54519085e+01  2.80430262e+01 
 1.89333613e-01  3.55063286e+01  2.85477765e+01 
 1.93699595e-01  3.55625481e+01  2.90565024e+01 
 1.98166255e-01  3.56206014e+01  2.95689659e+01 
 2.02735916e-01  3.56805218e+01  3.00849166e+01 
 2.07410951e-01  3.57423416e+01  3.06040916e+01 
 2.12193792e-01  3.58060916e+01  3.11262159e+01 
 2.17086923e-01  3.58718016e+01  3.16510028e+01 
 2.22092889e-01  3.59394996e+01  3.21781537e+01 
 2.27214291e-01  3.60092125e+01  3.27073592e+01 
 2.32453791e-01  3.60809650e+01  3.32382988e+01 
 2.37814113e-01  3.61547804e+01  3.37706419e+01 
 2.43298042e-01  3.62306801e+01  3.43040479e+01 
 2.48908429e-01  3.63086834e+01  3.48381671e+01 
 2.54648190e-01  3.63888077e+01  3.53726413e+01 
 2.60520309e-01  3.64710680e+01  3.59071041e+01 
 2.66527837e-01  3.65554775e+01  3.64411820e+01 
 2.72673897e-01  3.66420468e+01  3.69744950e+01 
 2.78961683e-01  3.67307843e+01  3.75066574e+01 
 2.85394464e-01  3.68216960e+01  3.80372785e+01 
 2.91975583e-01  3.69147855e+01  3.85659633e+01 
 2.98708461e-01  3.70100539e+01  3.90923140e+01 
 3.05596598e-01  3.71074999e+01  3.96159299e+01 
 3.12643573e-01  3.72071195e+01  4.01364091e+01 
 3.19853049e-01  3.73089064e+01  4.06533488e+01 
