 frequency       v(L_dB)         v(L_arg)        v(Tmb_dB)       v(Tmb_arg)      v(Ttian_dB)     v(Ttian_arg)   
 1.00000000e-02  9.16173135e+00  1.12238421e+02  3.40831514e+01  1.71050553e+00  3.40811319e+01  1.71223094e+00 
 1.02305973e-02  9.33645213e+00  1.11857869e+02  3.40833721e+01  1.74991611e+00  3.40813552e+01  1.75167752e+00 
 1.04665121e-02  9.51211634e+00  1.11485622e+02  3.40836031e+01  1.79023315e+00  3.40815888e+01  1.79203113e+00 
 1.07078670e-02  9.68869241e+00  1.11121662e+02  3.40838448e+01  1.83147737e+00  3.40818333e+01  1.83331250e+00 
 1.09547876e-02  9.86614957e+00  1.10765966e+02  3.40840978e+01  1.87366998e+00  3.40820892e+01  1.87554283e+00 
 1.12074020e-02  1.00444578e+01  1.10418505e+02  3.40843626e+01  1.91683266e+00  3.40823570e+01  1.91874380e+00 
 1.14658417e-02  1.02235880e+01  1.10079248e+02  3.40846398e+01  1.96098757e+00  3.40826373e+01  1.96293757e+00 
 1.17302409e-02  1.04035117e+01  1.09748160e+02  3.40849298e+01  2.00615738e+00  3.40829306e+01  2.00814679e+00 
 1.20007371e-02  1.05842015e+01  1.09425201e+02  3.40852334e+01  2.05236526e+00  3.40832375e+01  2.05439463e+00 
 1.22774708e-02  1.07656304e+01  1.09110330e+02  3.40855511e+01  2.09963488e+00  3.40835587e+01  2.10170476e+00 
 1.25605860e-02  1.09477727e+01  1.08803501e+02  3.40858836e+01  2.14799048e+00  3.40838948e+01  2.15010139e+00 
 1.28502297e-02  1.11306032e+01  1.08504669e+02  3.40862315e+01  2.19745681e+00  3.40842466e+01  2.19960927e+00 
 1.31465525e-02  1.13140977e+01  1.08213783e+02  3.40865957e+01  2.24805916e+00  3.40846147e+01  2.25025369e+00 
 1.34497085e-02  1.14982325e+01  1.07930793e+02  3.40869768e+01  2.29982342e+00  3.40850000e+01  2.30206050e+00 
 1.37598551e-02  1.16829851e+01  1.07655645e+02  3.40873757e+01  2.35277602e+00  3.40854031e+01  2.35505612e+00 
 1.40771537e-02  1.18683335e+01  1.07388285e+02  3.40877932e+01  2.40694399e+00  3.40858250e+01  2.40926758e+00 
 1.44017690e-02  1.20542567e+01  1.07128659e+02  3.40882300e+01  2.46235495e+00  3.40862665e+01  2.46472246e+00 
 1.47338699e-02  1.22407343e+01  1.06876710e+02  3.40886872e+01  2.51903714e+00  3.40867284e+01  2.52144898e+00 
 1.50736290e-02  1.24277466e+01  1.06632382e+02  3.40891657e+01  2.57701941e+00  3.40872119e+01  2.57947598e+00 
 1.54212228e-02  1.26152750e+01  1.06395616e+02  3.40896665e+01  2.63633124e+00  3.40877178e+01  2.63883290e+00 
 1.57768320e-02  1.28033014e+01  1.06166357e+02  3.40901905e+01  2.69700277e+00  3.40882471e+01  2.69954986e+00 
 1.61406415e-02  1.29918083e+01  1.05944545e+02  3.40907389e+01  2.75906478e+00  3.40888011e+01  2.76165761e+00 
 1.65128404e-02  1.31807792e+01  1.05730124e+02  3.40913129e+01  2.82254873e+00  3.40893807e+01  2.82518758e+00 
 1.68936220e-02  1.33701982e+01  1.05523037e+02  3.40919135e+01  2.88748676e+00  3.40899873e+01  2.89017188e+00 
 1.72831844e-02  1.35600500e+01  1.05323227e+02  3.40925421e+01  2.95391172e+00  3.40906219e+01  2.95664331e+00 
 1.76817299e-02  1.37503200e+01  1.05130637e+02  3.40931998e+01  3.02185714e+00  3.40912860e+01  3.02463538e+00 
 1.80894658e-02  1.39409945e+01  1.04945214e+02  3.40938882e+01  3.09135730e+00  3.40919810e+01  3.09418231e+00 
 1.85066040e-02  1.41320602e+01  1.04766901e+02  3.40946085e+01  3.16244720e+00  3.40927081e+01  3.16531906e+00 
 1.89333613e-02  1.43235045e+01  1.04595646e+02  3.40953624e+01  3.23516258e+00  3.40934689e+01  3.23808134e+00 
