 frequency       v(inoise_spectrum) v(onoise_spectrum)
 1.50000000e-01  2.09193651e-05  9.14746952e-04 
 1.53458959e-01  2.04123020e-05  9.08987871e-04 
 1.56997682e-01  1.99184803e-05  9.03155489e-04 
 1.60618006e-01  1.94375260e-05  8.97247257e-04 
 1.64321814e-01  1.89690763e-05  8.91260767e-04 
 1.68111030e-01  1.85127796e-05  8.85193757e-04 
 1.71987625e-01  1.80682950e-05  8.79044129e-04 
 1.75953613e-01  1.76352921e-05  8.72809953e-04 
 1.80011056e-01  1.72134506e-05  8.66489485e-04 
 1.84162062e-01  1.68024597e-05  8.60081173e-04 
 1.88408790e-01  1.64020183e-05  8.53583671e-04 
 1.92753446e-01  1.60118343e-05  8.46995848e-04 
 1.97198288e-01  1.56316243e-05  8.40316798e-04 
 2.01745627e-01  1.52611137e-05  8.33545849e-04 
 2.06397827e-01  1.49000358e-05  8.26682572e-04 
 2.11157305e-01  1.45481321e-05  8.19726789e-04 
 2.16026535e-01  1.42051518e-05  8.12678578e-04 
 2.21008049e-01  1.38708516e-05  8.05538283e-04 
 2.26104435e-01  1.35449954e-05  7.98306514e-04 
 2.31318342e-01  1.32273539e-05  7.90984156e-04 
 2.36652481e-01  1.29177049e-05  7.83572366e-04 
 2.42109623e-01  1.26158325e-05  7.76072579e-04 
 2.47692605e-01  1.23215273e-05  7.68486505e-04 
 2.53404330e-01  1.20345861e-05  7.60816128e-04 
 2.59247765e-01  1.17548113e-05  7.53063705e-04 
 2.65225949e-01  1.14820114e-05  7.45231757e-04 
 2.71341987e-01  1.12160005e-05  7.37323071e-04 
 2.77599060e-01  1.09565977e-05  7.29340683e-04 
 2.84000420e-01  1.07036277e-05  7.21287879e-04 
 2.90549393e-01  1.04569202e-05  7.13168178e-04 
 2.97249383e-01  1.02163097e-05  7.04985323e-04 
 3.04103874e-01  9.98163552e-06  6.96743269e-04 
 3.11116427e-01  9.75274148e-06  6.88446170e-04 
 3.18290688e-01  9.52947596e-06  6.80098363e-04 
 3.25630385e-01  9.31169163e-06  6.71704349e-04 
 3.33139333e-01  9.09924532e-06  6.63268785e-04 
 3.40821437e-01  8.89199793e-06  6.54796459e-04 
 3.48680687e-01  8.68981426e-06  6.46292272e-04 
 3.56721169e-01  8.49256295e-06  6.37761228e-04 
 3.64947063e-01  8.30011630e-06  6.29208405e-04 
 3.73362644e-01  8.11235019e-06  6.20638943e-04 
 3.81972285e-01  7.92914397e-06  6.12058024e-04 
 3.90780463e-01  7.75038035e-06  6.03470850e-04 
 3.99791755e-01  7.57594528e-06  5.94882630e-04 
 4.09010845e-01  7.40572788e-06  5.86298556e-04 
 4.18442524e-01  7.23962032e-06  5.77723790e-04 
 4.28091696e-01  7.07751777e-06  5.69163447e-04 
 4.37963375e-01  6.91931823e-06  5.60622575e-04 
 4.48062692e-01  6.76492254e-06  5.52106142e-04 
 4.58394897e-01  6.61423420e-06  5.43619023e-04 
 4.68965359e-01  6.46715938e-06  5.35165982e-04 
 4.79779574e-01  6.32360678e-06  5.26751666e-04 
 4.90843161e-01  6.18348757e-06  5.18380585e-04 
 5.02161872e-01  6.04671533e-06  5.10057110e-04 
 5.13741589e-01  5.91320596e-06  5.01785458e-04 
 5.25588331e-01  5.78287763e-06  4.93569684e-04 
 5.37708256e-01  5.65565068e-06  4.85413678e-04 
 5.50107663e-01  5.53144762e-06  4.77321155e-04 
 5.62792997e-01  5.41019299e-06  4.69295651e-04 
 5.75770852e-01  5.29181335e-06  4.61340520e-04 
 5.89047972e-01  5.17623721e-06  4.53458929e-04 
 6.02631259e-01  5.06339497e-06  4.45653860e-04 
 6.16527773e-01  4.95321887e-06  4.37928105e-04 
 6.30744737e-01  4.84564293e-06  4.30284267e-04 
 6.45289540e-01  4.74060290e-06  4.22724761e-04 
 6.60169743e-01  4.63803623e-06  4.15251816e-04 
 6.75393078e-01  4.53788198e-06  4.07867477e-04 
 6.90967460e-01  4.44008082e-06  4.00573606e-04 
 7.06900983e-01  4.34457495e-06  3.93371887e-04 
 7.23201929e-01  4.25130808e-06  3.86263830e-04 
 7.39878770e-01  4.16022537e-06  3.79250776e-04 
 7.56940175e-01  4.07127339e-06  3.72333896e-04 
 7.74395011e-01  3.98440012e-06  3.65514207e-04 
 7.92252350e-01  3.89955483e-06  3.58792565e-04 
 8.10521476e-01  3.81668812e-06  3.52169681e-04 
 8.29211882e-01  3.73575186e-06  3.45646120e-04 
 8.48333284e-01  3.65669912e-06  3.39222309e-04 
 8.67895620e-01  3.57948420e-06  3.32898545e-04 
 8.87909059e-01  3.50406255e-06  3.26674999e-04 
 9.08384002e-01  3.43039073e-06  3.20551720e-04 
 9.29331091e-01  3.35842642e-06  3.14528648e-04 
 9.50761215e-01  3.28812838e-06  3.08605611e-04 
 9.72685512e-01  3.21945639e-06  3.02782340e-04 
 9.95115377e-01  3.15237124e-06  2.97058469e-04 
 1.01806247e+00  3.08683473e-06  2.91433542e-04 
 1.04153871e+00  3.02280958e-06  2.85907019e-04 
 1.06555632e+00  2.96025948e-06  2.80478284e-04 
 1.09012776e+00  2.89914901e-06  2.75146646e-04 
 1.11526581e+00  2.83944363e-06  2.69911349e-04 
 1.14098354e+00  2.78110966e-06  2.64771572e-04 
 1.16729431e+00  2.72411426e-06  2.59726439e-04 
 1.19421180e+00  2.66842540e-06  2.54775019e-04 
 1.22175000e+00  2.61401186e-06  2.49916336e-04 
 1.24992323e+00  2.56084316e-06  2.45149367e-04 
 1.27874612e+00  2.50888960e-06  2.40473052e-04 
 1.30823366e+00  2.45812220e-06  2.35886293e-04 
 1.33840117e+00  2.40851268e-06  2.31387963e-04 
 1.36926434e+00  2.36003348e-06  2.26976904e-04 
 1.40083921e+00  2.31265770e-06  2.22651935e-04 
 1.43314218e+00  2.26635909e-06  2.18411853e-04 
 1.46619005e+00  2.22111206e-06  2.14255436e-04 
 1.50000000e+00  2.17689164e-06  2.10181447e-04 
 1.53458959e+00  2.13367345e-06  2.06188635e-04 
 1.56997682e+00  2.09143373e-06  2.02275741e-04 
 1.60618006e+00  2.05014927e-06  1.98441496e-04 
 1.64321814e+00  2.00979745e-06  1.94684624e-04 
 1.68111030e+00  1.97035618e-06  1.91003849e-04 
 1.71987625e+00  1.93180391e-06  1.87397889e-04 
 1.75953613e+00  1.89411961e-06  1.83865467e-04 
 1.80011056e+00  1.85728276e-06  1.80405302e-04 
 1.84162062e+00  1.82127333e-06  1.77016122e-04 
 1.88408790e+00  1.78607177e-06  1.73696655e-04 
 1.92753446e+00  1.75165902e-06  1.70445639e-04 
 1.97198288e+00  1.71801646e-06  1.67261816e-04 
 2.01745627e+00  1.68512592e-06  1.64143939e-04 
 2.06397827e+00  1.65296966e-06  1.61090769e-04 
 2.11157305e+00  1.62153038e-06  1.58101079e-04 
 2.16026535e+00  1.59079119e-06  1.55173651e-04 
 2.21008049e+00  1.56073560e-06  1.52307280e-04 
 2.26104435e+00  1.53134751e-06  1.49500775e-04 
 2.31318342e+00  1.50261121e-06  1.46752957e-04 
 2.36652481e+00  1.47451137e-06  1.44062662e-04 
