 time            v(vind)         v(vinp)         v(vinn)         v(voutp)        v(voutn)        v(vout)         v(Vbias)        v(Vbiasc)      
 0.00000000e+00  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38863521e-01  7.38844889e-01  1.86326142e-05  1.28378160e-01  2.75139642e-01 
 1.25000000e-09  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38863503e-01  7.38844871e-01  1.86326457e-05  1.28378160e-01  2.75139643e-01 
 2.50000000e-09  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38863485e-01  7.38844852e-01  1.86326774e-05  1.28378161e-01  2.75139645e-01 
 5.00000000e-09  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38863448e-01  7.38844815e-01  1.86327394e-05  1.28378163e-01  2.75139647e-01 
 1.00000000e-08  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38863375e-01  7.38844742e-01  1.86328605e-05  1.28378166e-01  2.75139653e-01 
 2.00000000e-08  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38863228e-01  7.38844595e-01  1.86331093e-05  1.28378173e-01  2.75139665e-01 
 4.00000000e-08  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38862935e-01  7.38844302e-01  1.86336217e-05  1.28378186e-01  2.75139688e-01 
 8.00000000e-08  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38862350e-01  7.38843715e-01  1.86346138e-05  1.28378212e-01  2.75139734e-01 
 1.60000000e-07  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38861178e-01  7.38842542e-01  1.86365654e-05  1.28378264e-01  2.75139827e-01 
 2.85000000e-07  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38859350e-01  7.38840711e-01  1.86395342e-05  1.28378345e-01  2.75139971e-01 
 4.10000000e-07  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38857523e-01  7.38838880e-01  1.86425464e-05  1.28378426e-01  2.75140115e-01 
 5.35000000e-07  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38855697e-01  7.38837052e-01  1.86454264e-05  1.28378507e-01  2.75140259e-01 
 6.60000000e-07  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38853872e-01  7.38835224e-01  1.86482151e-05  1.28378588e-01  2.75140403e-01 
 7.85000000e-07  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38852050e-01  7.38833399e-01  1.86510079e-05  1.28378669e-01  2.75140547e-01 
 9.10000000e-07  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38850228e-01  7.38831574e-01  1.86537797e-05  1.28378750e-01  2.75140690e-01 
 1.03500000e-06  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38848407e-01  7.38829751e-01  1.86564552e-05  1.28378831e-01  2.75140834e-01 
