 v-sweep         v(vinp)         v(voutp)       
 0.00000000e+00  0.00000000e+00  2.17082339e-01 
 1.00000000e-03  1.00000000e-03  2.17065178e-01 
 2.00000000e-03  2.00000000e-03  2.17097276e-01 
 3.00000000e-03  3.00000000e-03  2.17063535e-01 
 4.00000000e-03  4.00000000e-03  2.17109433e-01 
 5.00000000e-03  5.00000000e-03  2.17069615e-01 
 6.00000000e-03  6.00000000e-03  2.17110861e-01 
 7.00000000e-03  7.00000000e-03  2.17072552e-01 
 8.00000000e-03  8.00000000e-03  2.17080759e-01 
 9.00000000e-03  9.00000000e-03  2.17073915e-01 
 1.00000000e-02  1.00000000e-02  2.17102145e-01 
 1.10000000e-02  1.10000000e-02  2.17087205e-01 
 1.20000000e-02  1.20000000e-02  2.17086059e-01 
 1.30000000e-02  1.30000000e-02  2.17072790e-01 
 1.40000000e-02  1.40000000e-02  2.17114757e-01 
 1.50000000e-02  1.50000000e-02  2.17119428e-01 
 1.60000000e-02  1.60000000e-02  2.17104269e-01 
 1.70000000e-02  1.70000000e-02  2.17105365e-01 
 1.80000000e-02  1.80000000e-02  2.17125667e-01 
 1.90000000e-02  1.90000000e-02  2.17092525e-01 
 2.00000000e-02  2.00000000e-02  2.17099779e-01 
 2.10000000e-02  2.10000000e-02  2.17104230e-01 
 2.20000000e-02  2.20000000e-02  2.17081246e-01 
 2.30000000e-02  2.30000000e-02  2.17129346e-01 
 2.40000000e-02  2.40000000e-02  2.17115377e-01 
 2.50000000e-02  2.50000000e-02  2.17102220e-01 
 2.60000000e-02  2.60000000e-02  2.17106259e-01 
 2.70000000e-02  2.70000000e-02  2.17088433e-01 
 2.80000000e-02  2.80000000e-02  2.17116629e-01 
 2.90000000e-02  2.90000000e-02  2.17105877e-01 
 3.00000000e-02  3.00000000e-02  2.17110273e-01 
 3.10000000e-02  3.10000000e-02  2.17145825e-01 
 3.20000000e-02  3.20000000e-02  2.17126676e-01 
 3.30000000e-02  3.30000000e-02  2.17132543e-01 
 3.40000000e-02  3.40000000e-02  2.17114724e-01 
 3.50000000e-02  3.50000000e-02  2.17092930e-01 
 3.60000000e-02  3.60000000e-02  2.17107903e-01 
 3.70000000e-02  3.70000000e-02  2.17125696e-01 
 3.80000000e-02  3.80000000e-02  2.17126429e-01 
 3.90000000e-02  3.90000000e-02  2.17110301e-01 
 4.00000000e-02  4.00000000e-02  2.17144360e-01 
 4.10000000e-02  4.10000000e-02  2.17111223e-01 
 4.20000000e-02  4.20000000e-02  2.17090804e-01 
 4.30000000e-02  4.30000000e-02  2.17139869e-01 
