 frequency       v(inoise_spectrum) v(onoise_spectrum)
 1.50000000e-01  8.48002433e-06  3.91647799e-04 
 1.53458959e-01  8.38395049e-06  3.87210653e-04 
 1.56997682e-01  8.28896603e-06  3.82823819e-04 
 1.60618006e-01  8.19505861e-06  3.78486729e-04 
 1.64321814e-01  8.10221604e-06  3.74198818e-04 
 1.68111030e-01  8.01042625e-06  3.69959529e-04 
 1.71987625e-01  7.91967731e-06  3.65768312e-04 
 1.75953613e-01  7.82995743e-06  3.61624622e-04 
 1.80011056e-01  7.74125495e-06  3.57527920e-04 
 1.84162062e-01  7.65355834e-06  3.53477674e-04 
 1.88408790e-01  7.56685622e-06  3.49473358e-04 
 1.92753446e-01  7.48113732e-06  3.45514452e-04 
 1.97198288e-01  7.39639049e-06  3.41600441e-04 
 2.01745627e-01  7.31260472e-06  3.37730816e-04 
 2.06397827e-01  7.22976914e-06  3.33905076e-04 
 2.11157305e-01  7.14787297e-06  3.30122721e-04 
 2.16026535e-01  7.06690558e-06  3.26383262e-04 
 2.21008049e-01  6.98685643e-06  3.22686213e-04 
 2.26104435e-01  6.90771514e-06  3.19031092e-04 
 2.31318342e-01  6.82947142e-06  3.15417425e-04 
 2.36652481e-01  6.75211510e-06  3.11844743e-04 
 2.42109623e-01  6.67563613e-06  3.08312581e-04 
 2.47692605e-01  6.60002458e-06  3.04820480e-04 
 2.53404330e-01  6.52527061e-06  3.01367986e-04 
 2.59247765e-01  6.45136451e-06  2.97954652e-04 
 2.65225949e-01  6.37829669e-06  2.94580033e-04 
 2.71341987e-01  6.30605765e-06  2.91243690e-04 
 2.77599060e-01  6.23463799e-06  2.87945191e-04 
 2.84000420e-01  6.16402845e-06  2.84684107e-04 
 2.90549393e-01  6.09421984e-06  2.81460014e-04 
 2.97249383e-01  6.02520309e-06  2.78272493e-04 
 3.04103874e-01  5.95696925e-06  2.75121129e-04 
 3.11116427e-01  5.88950943e-06  2.72005515e-04 
 3.18290688e-01  5.82281488e-06  2.68925243e-04 
 3.25630385e-01  5.75687693e-06  2.65879915e-04 
 3.33139333e-01  5.69168702e-06  2.62869135e-04 
 3.40821437e-01  5.62723666e-06  2.59892511e-04 
 3.48680687e-01  5.56351749e-06  2.56949657e-04 
 3.56721169e-01  5.50052122e-06  2.54040190e-04 
 3.64947063e-01  5.43823968e-06  2.51163733e-04 
 3.73362644e-01  5.37666476e-06  2.48319911e-04 
 3.81972285e-01  5.31578848e-06  2.45508354e-04 
 3.90780463e-01  5.25560291e-06  2.42728699e-04 
 3.99791755e-01  5.19610024e-06  2.39980582e-04 
 4.09010845e-01  5.13727273e-06  2.37263649e-04 
 4.18442524e-01  5.07911275e-06  2.34577544e-04 
 4.28091696e-01  5.02161273e-06  2.31921920e-04 
 4.37963375e-01  4.96476520e-06  2.29296431e-04 
 4.48062692e-01  4.90856278e-06  2.26700736e-04 
 4.58394897e-01  4.85299816e-06  2.24134498e-04 
 4.68965359e-01  4.79806413e-06  2.21597383e-04 
 4.79779574e-01  4.74375354e-06  2.19089062e-04 
 4.90843161e-01  4.69005935e-06  2.16609208e-04 
 5.02161872e-01  4.63697456e-06  2.14157500e-04 
 5.13741589e-01  4.58449229e-06  2.11733619e-04 
 5.25588331e-01  4.53260571e-06  2.09337250e-04 
 5.37708256e-01  4.48130808e-06  2.06968082e-04 
 5.50107663e-01  4.43059274e-06  2.04625807e-04 
 5.62792997e-01  4.38045310e-06  2.02310119e-04 
 5.75770852e-01  4.33088264e-06  2.00020720e-04 
 5.89047972e-01  4.28187493e-06  1.97757310e-04 
 6.02631259e-01  4.23342358e-06  1.95519597e-04 
 6.16527773e-01  4.18552232e-06  1.93307288e-04 
 6.30744737e-01  4.13816490e-06  1.91120098e-04 
 6.45289540e-01  4.09134519e-06  1.88957740e-04 
 6.60169743e-01  4.04505709e-06  1.86819936e-04 
 6.75393078e-01  3.99929459e-06  1.84706406e-04 
 6.90967460e-01  3.95405175e-06  1.82616876e-04 
 7.06900983e-01  3.90932269e-06  1.80551075e-04 
 7.23201929e-01  3.86510158e-06  1.78508734e-04 
 7.39878770e-01  3.82138270e-06  1.76489588e-04 
 7.56940175e-01  3.77816036e-06  1.74493374e-04 
 7.74395011e-01  3.73542893e-06  1.72519833e-04 
 7.92252350e-01  3.69318288e-06  1.70568709e-04 
 8.10521476e-01  3.65141670e-06  1.68639748e-04 
 8.29211882e-01  3.61012498e-06  1.66732699e-04 
 8.48333284e-01  3.56930234e-06  1.64847315e-04 
 8.67895620e-01  3.52894348e-06  1.62983351e-04 
 8.87909059e-01  3.48904317e-06  1.61140564e-04 
 9.08384002e-01  3.44959620e-06  1.59318716e-04 
 9.29331091e-01  3.41059747e-06  1.57517568e-04 
 9.50761215e-01  3.37204189e-06  1.55736888e-04 
 9.72685512e-01  3.33392447e-06  1.53976443e-04 
 9.95115377e-01  3.29624024e-06  1.52236006e-04 
 1.01806247e+00  3.25898432e-06  1.50515349e-04 
 1.04153871e+00  3.22215185e-06  1.48814250e-04 
 1.06555632e+00  3.18573806e-06  1.47132487e-04 
 1.09012776e+00  3.14973821e-06  1.45469842e-04 
 1.11526581e+00  3.11414762e-06  1.43826099e-04 
 1.14098354e+00  3.07896167e-06  1.42201044e-04 
 1.16729431e+00  3.04417579e-06  1.40594465e-04 
 1.19421180e+00  3.00978546e-06  1.39006156e-04 
 1.22175000e+00  2.97578621e-06  1.37435907e-04 
 1.24992323e+00  2.94217362e-06  1.35883517e-04 
 1.27874612e+00  2.90894332e-06  1.34348783e-04 
 1.30823366e+00  2.87609099e-06  1.32831505e-04 
 1.33840117e+00  2.84361237e-06  1.31331487e-04 
 1.36926434e+00  2.81150324e-06  1.29848533e-04 
 1.40083921e+00  2.77975942e-06  1.28382451e-04 
 1.43314218e+00  2.74837679e-06  1.26933051e-04 
 1.46619005e+00  2.71735127e-06  1.25500144e-04 
 1.50000000e+00  2.68667883e-06  1.24083543e-04 
 1.53458959e+00  2.65635548e-06  1.22683065e-04 
 1.56997682e+00  2.62637728e-06  1.21298528e-04 
 1.60618006e+00  2.59674034e-06  1.19929752e-04 
 1.64321814e+00  2.56744081e-06  1.18576559e-04 
 1.68111030e+00  2.53847488e-06  1.17238772e-04 
 1.71987625e+00  2.50983878e-06  1.15916219e-04 
 1.75953613e+00  2.48152880e-06  1.14608728e-04 
 1.80011056e+00  2.45354125e-06  1.13316128e-04 
 1.84162062e+00  2.42587250e-06  1.12038252e-04 
 1.88408790e+00  2.39851895e-06  1.10774933e-04 
 1.92753446e+00  2.37147705e-06  1.09526007e-04 
 1.97198288e+00  2.34474329e-06  1.08291312e-04 
 2.01745627e+00  2.31831418e-06  1.07070688e-04 
 2.06397827e+00  2.29218630e-06  1.05863976e-04 
 2.11157305e+00  2.26635625e-06  1.04671019e-04 
 2.16026535e+00  2.24082067e-06  1.03491662e-04 
 2.21008049e+00  2.21557625e-06  1.02325752e-04 
 2.26104435e+00  2.19061971e-06  1.01173138e-04 
 2.31318342e+00  2.16594779e-06  1.00033669e-04 
 2.36652481e+00  2.14155730e-06  9.89071969e-05 
 2.42109623e+00  2.11744507e-06  9.77935763e-05 
 2.47692605e+00  2.09360796e-06  9.66926620e-05 
 2.53404330e+00  2.07004287e-06  9.56043110e-05 
 2.59247765e+00  2.04674675e-06  9.45283818e-05 
 2.65225949e+00  2.02371656e-06  9.34647346e-05 
 2.71341987e+00  2.00094931e-06  9.24132312e-05 
 2.77599060e+00  1.97844205e-06  9.13737349e-05 
 2.84000420e+00  1.95619184e-06  9.03461106e-05 
 2.90549393e+00  1.93419580e-06  8.93302248e-05 
 2.97249383e+00  1.91245107e-06  8.83259454e-05 
 3.04103874e+00  1.89095482e-06  8.73331420e-05 
 3.11116427e+00  1.86970425e-06  8.63516853e-05 
 3.18290688e+00  1.84869661e-06  8.53814480e-05 
 3.25630385e+00  1.82792917e-06  8.44223040e-05 
 3.33139333e+00  1.80739922e-06  8.34741284e-05 
 3.40821437e+00  1.78710411e-06  8.25367982e-05 
