 time            v(vind)         v(vout)         v(vinp)         v(vinn)         v(voutp)        v(voutn)       
 0.00000000e+00  0.00000000e+00 -1.31561428e-13  3.45000000e-01  3.45000000e-01  7.49141722e-01  7.49141722e-01 
 3.00000000e-07  9.42477790e-07  1.08001351e-07  3.45000471e-01  3.44999529e-01  7.49141776e-01  7.49141668e-01 
 6.00000000e-07  1.88495555e-06  3.52619214e-07  3.45000942e-01  3.44999058e-01  7.49141899e-01  7.49141547e-01 
 1.20000000e-06  3.76991083e-06  1.12383040e-06  3.45001885e-01  3.44998115e-01  7.49142286e-01  7.49141162e-01 
 2.40000000e-06  7.53981951e-06  4.35600833e-06  3.45003770e-01  3.44996230e-01  7.49143899e-01  7.49139543e-01 
 4.80000000e-06  1.50796219e-05  1.74732946e-05  3.45007540e-01  3.44992460e-01  7.49150420e-01  7.49132946e-01 
 9.60000000e-06  3.01591066e-05  6.94641959e-05  3.45015080e-01  3.44984920e-01  7.49176249e-01  7.49106785e-01 
 1.92000000e-05  6.03171159e-05  2.70037361e-04  3.45030159e-01  3.44969841e-01  7.49276396e-01  7.49006359e-01 
 3.84000000e-05  1.20625454e-04  1.01154715e-03  3.45060313e-01  3.44939687e-01  7.49648236e-01  7.48636689e-01 
 6.84000000e-05  2.14818794e-04  2.90911623e-03  3.45107409e-01  3.44892591e-01  7.50600995e-01  7.47691879e-01 
 9.84000000e-05  3.08935810e-04  5.49856247e-03  3.45154468e-01  3.44845532e-01  7.51899578e-01  7.46401016e-01 
 1.28400000e-04  4.02943063e-04  8.58336288e-03  3.45201472e-01  3.44798528e-01  7.53445498e-01  7.44862135e-01 
 1.58400000e-04  4.96807152e-04  1.20220327e-02  3.45248404e-01  3.44751596e-01  7.55169173e-01  7.43147140e-01 
 1.88400000e-04  5.90494728e-04  1.57125920e-02  3.45295247e-01  3.44704753e-01  7.57018755e-01  7.41306163e-01 
 2.18400000e-04  6.83972504e-04  1.95814103e-02  3.45341986e-01  3.44658014e-01  7.58957179e-01  7.39375768e-01 
 2.48400000e-04  7.77207268e-04  2.35752048e-02  3.45388604e-01  3.44611396e-01  7.60957006e-01  7.37381802e-01 
 2.78400000e-04  8.70165893e-04  2.76552979e-02  3.45435083e-01  3.44564917e-01  7.62999167e-01  7.35343869e-01 
 3.08400000e-04  9.62815353e-04  3.17934950e-02  3.45481408e-01  3.44518592e-01  7.65071260e-01  7.33277765e-01 
 3.38400000e-04  1.05512273e-03  3.59691271e-02  3.45527561e-01  3.44472439e-01  7.67163002e-01  7.31193875e-01 
 3.68400000e-04  1.14705523e-03  4.01669408e-02  3.45573528e-01  3.44426472e-01  7.69264916e-01  7.29097975e-01 
 3.98400000e-04  1.23858018e-03  4.43755479e-02  3.45619290e-01  3.44380710e-01  7.71371318e-01  7.26995771e-01 
 4.28400000e-04  1.32966507e-03  4.85863413e-02  3.45664833e-01  3.44335167e-01  7.73479518e-01  7.24893177e-01 
 4.58400000e-04  1.42027754e-03  5.27927152e-02  3.45710139e-01  3.44289861e-01  7.75585152e-01  7.22792437e-01 
 4.88400000e-04  1.51038539e-03  5.69895123e-02  3.45755193e-01  3.44244807e-01  7.77685538e-01  7.20696026e-01 
 5.18400000e-04  1.59995660e-03  6.11726205e-02  3.45799978e-01  3.44200022e-01  7.79780082e-01  7.18607462e-01 
 5.48400000e-04  1.68895936e-03  6.53386748e-02  3.45844480e-01  3.44155520e-01  7.81865962e-01  7.16527288e-01 
 5.78400000e-04  1.77736204e-03  6.94848142e-02  3.45888681e-01  3.44111319e-01  7.83939824e-01  7.14455010e-01 
 6.08400000e-04  1.86513324e-03  7.36085688e-02  3.45932567e-01  3.44067433e-01  7.86000510e-01  7.12391941e-01 
 6.38400000e-04  1.95224176e-03  7.77077835e-02  3.45976121e-01  3.44023879e-01  7.88049598e-01  7.10341814e-01 
 6.68400000e-04  2.03865665e-03  8.17805149e-02  3.46019328e-01  3.43980672e-01  7.90087496e-01  7.08306981e-01 
 6.98400000e-04  2.12434723e-03  8.58249549e-02  3.46062174e-01  3.43937826e-01  7.92111858e-01  7.06286903e-01 
 7.28400000e-04  2.20928303e-03  8.98393711e-02  3.46104642e-01  3.43895358e-01  7.94120424e-01  7.04281053e-01 
 7.58400000e-04  2.29343388e-03  9.38221483e-02  3.46146717e-01  3.43853283e-01  7.96113372e-01  7.02291224e-01 
 7.88400000e-04  2.37676989e-03  9.77717685e-02  3.46188385e-01  3.43811615e-01  7.98090498e-01  7.00318729e-01 
 8.18400000e-04  2.45926144e-03  1.01686723e-01  3.46229631e-01  3.43770369e-01  8.00049649e-01  6.98362926e-01 
 8.48400000e-04  2.54087923e-03  1.05565509e-01  3.46270440e-01  3.43729560e-01  8.01989917e-01  6.96424407e-01 
 8.78400000e-04  2.62159426e-03  1.09406701e-01  3.46310797e-01  3.43689203e-01  8.03911528e-01  6.94504827e-01 
 9.08400000e-04  2.70137785e-03  1.13208932e-01  3.46350689e-01  3.43649311e-01  8.05814064e-01  6.92605132e-01 
 9.38400000e-04  2.78020165e-03  1.16970800e-01  3.46390101e-01  3.43609899e-01  8.07695290e-01  6.90724490e-01 
 9.68400000e-04  2.85803765e-03  1.20690939e-01  3.46429019e-01  3.43570981e-01  8.09554210e-01  6.88863271e-01 
 9.98400000e-04  2.93485821e-03  1.24368032e-01  3.46467429e-01  3.43532571e-01  8.11392768e-01  6.87024736e-01 
 1.02840000e-03  3.01063603e-03  1.28000737e-01  3.46505318e-01  3.43494682e-01  8.13210860e-01  6.85210123e-01 
 1.05840000e-03  3.08534419e-03  1.31587774e-01  3.46542672e-01  3.43457328e-01  8.15007006e-01  6.83419232e-01 
 1.08840000e-03  3.15895613e-03  1.35127909e-01  3.46579478e-01  3.43420522e-01  8.16780792e-01  6.81652883e-01 
 1.11840000e-03  3.23144572e-03  1.38619855e-01  3.46615723e-01  3.43384277e-01  8.18529910e-01  6.79910055e-01 
 1.14840000e-03  3.30278719e-03  1.42062364e-01  3.46651394e-01  3.43348606e-01  8.20253360e-01  6.78190996e-01 
 1.17840000e-03  3.37295519e-03  1.45454225e-01  3.46686478e-01  3.43313522e-01  8.21952430e-01  6.76498205e-01 
 1.20840000e-03  3.44192480e-03  1.48794209e-01  3.46720962e-01  3.43279038e-01  8.23626730e-01  6.74832522e-01 
 1.23840000e-03  3.50967151e-03  1.52081156e-01  3.46754836e-01  3.43245164e-01  8.25274150e-01  6.73192994e-01 
 1.26840000e-03  3.57617124e-03  1.55313908e-01  3.46788086e-01  3.43211914e-01  8.26893424e-01  6.71579516e-01 
 1.29840000e-03  3.64140039e-03  1.58491289e-01  3.46820700e-01  3.43179300e-01  8.28484242e-01  6.69992952e-01 
 1.32840000e-03  3.70533576e-03  1.61612175e-01  3.46852668e-01  3.43147332e-01  8.30046431e-01  6.68434256e-01 
 1.35840000e-03  3.76795464e-03  1.64675462e-01  3.46883977e-01  3.43116023e-01  8.31580045e-01  6.66904583e-01 
 1.38840000e-03  3.82923478e-03  1.67680059e-01  3.46914617e-01  3.43085383e-01  8.33084253e-01  6.65404194e-01 
 1.41840000e-03  3.88915442e-03  1.70624910e-01  3.46944577e-01  3.43055423e-01  8.34558259e-01  6.63933349e-01 
 1.44840000e-03  3.94769226e-03  1.73509011e-01  3.46973846e-01  3.43026154e-01  8.36002303e-01  6.62493292e-01 
 1.47840000e-03  4.00482750e-03  1.76331336e-01  3.47002414e-01  3.42997586e-01  8.37416916e-01  6.61085580e-01 
 1.50840000e-03  4.06053985e-03  1.79090904e-01  3.47030270e-01  3.42969730e-01  8.38801129e-01  6.59710225e-01 
 1.53840000e-03  4.11480950e-03  1.81786756e-01  3.47057405e-01  3.42942595e-01  8.40153349e-01  6.58366593e-01 
 1.56840000e-03  4.16761719e-03  1.84417914e-01  3.47083809e-01  3.42916191e-01  8.41471882e-01  6.57053968e-01 
 1.59840000e-03  4.21894414e-03  1.86983421e-01  3.47109472e-01  3.42890528e-01  8.42755692e-01  6.55772272e-01 
 1.62840000e-03  4.26877211e-03  1.89482373e-01  3.47134386e-01  3.42865614e-01  8.44006325e-01  6.54523953e-01 
 1.65840000e-03  4.31708342e-03  1.91913922e-01  3.47158542e-01  3.42841458e-01  8.45224764e-01  6.53310842e-01 
 1.68840000e-03  4.36386088e-03  1.94277240e-01  3.47181930e-01  3.42818070e-01  8.46409629e-01  6.52132389e-01 
 1.71840000e-03  4.40908789e-03  1.96571491e-01  3.47204544e-01  3.42795456e-01  8.47559152e-01  6.50987661e-01 
 1.74840000e-03  4.45274836e-03  1.98795843e-01  3.47226374e-01  3.42773626e-01  8.48672621e-01  6.49876777e-01 
 1.77840000e-03  4.49482680e-03  2.00949505e-01  3.47247413e-01  3.42752587e-01  8.49750712e-01  6.48801207e-01 
 1.80840000e-03  4.53530825e-03  2.03031740e-01  3.47267654e-01  3.42732346e-01  8.50793646e-01  6.47761906e-01 
 1.83840000e-03  4.57417832e-03  2.05041836e-01  3.47287089e-01  3.42712911e-01  8.51800357e-01  6.46758521e-01 
 1.86840000e-03  4.61142321e-03  2.06979075e-01  3.47305712e-01  3.42694288e-01  8.52770322e-01  6.45791247e-01 
