 frequency       v(Cinp)         v(Cinp)         v(Cinn)         v(Cinn)        
 1.00000000e+00  2.00184156e-13  0.00000000e+00  2.52560270e-12  0.00000000e+00 
 1.02305973e+00  1.95671835e-13  0.00000000e+00  2.46869613e-12  0.00000000e+00 
 1.04665121e+00  1.91261494e-13  0.00000000e+00  2.41307282e-12  0.00000000e+00 
 1.07078670e+00  1.86950306e-13  0.00000000e+00  2.35870380e-12  0.00000000e+00 
 1.09547876e+00  1.82736552e-13  0.00000000e+00  2.30556052e-12  0.00000000e+00 
 1.12074020e+00  1.78617532e-13  0.00000000e+00  2.25361585e-12  0.00000000e+00 
 1.14658417e+00  1.74591604e-13  0.00000000e+00  2.20284224e-12  0.00000000e+00 
 1.17302409e+00  1.70656186e-13  0.00000000e+00  2.15321401e-12  0.00000000e+00 
 1.20007371e+00  1.66809711e-13  0.00000000e+00  2.10470460e-12  0.00000000e+00 
 1.22774708e+00  1.63049713e-13  0.00000000e+00  2.05728923e-12  0.00000000e+00 
 1.25605860e+00  1.59374472e-13  0.00000000e+00  2.01094299e-12  0.00000000e+00 
 1.28502297e+00  1.55782294e-13  0.00000000e+00  1.96564221e-12  0.00000000e+00 
 1.31465525e+00  1.52270666e-13  0.00000000e+00  1.92136307e-12  0.00000000e+00 
 1.34497085e+00  1.48838613e-13  0.00000000e+00  1.87808272e-12  0.00000000e+00 
 1.37598551e+00  1.45483720e-13  0.00000000e+00  1.83577821e-12  0.00000000e+00 
 1.40771537e+00  1.42204454e-13  0.00000000e+00  1.79442794e-12  0.00000000e+00 
 1.44017690e+00  1.38999110e-13  0.00000000e+00  1.75401055e-12  0.00000000e+00 
 1.47338699e+00  1.35866209e-13  0.00000000e+00  1.71450479e-12  0.00000000e+00 
 1.50736290e+00  1.32803743e-13  0.00000000e+00  1.67588991e-12  0.00000000e+00 
 1.54212228e+00  1.29810312e-13  0.00000000e+00  1.63814651e-12  0.00000000e+00 
 1.57768320e+00  1.26884361e-13  0.00000000e+00  1.60125422e-12  0.00000000e+00 
 1.61406415e+00  1.24024368e-13  0.00000000e+00  1.56519433e-12  0.00000000e+00 
 1.65128404e+00  1.21228678e-13  0.00000000e+00  1.52994789e-12  0.00000000e+00 
 1.68936220e+00  1.18496178e-13  0.00000000e+00  1.49549686e-12  0.00000000e+00 
 1.72831844e+00  1.15825276e-13  0.00000000e+00  1.46182310e-12  0.00000000e+00 
 1.76817299e+00  1.13214583e-13  0.00000000e+00  1.42890891e-12  0.00000000e+00 
 1.80894658e+00  1.10662589e-13  0.00000000e+00  1.39673760e-12  0.00000000e+00 
 1.85066040e+00  1.08168128e-13  0.00000000e+00  1.36529224e-12  0.00000000e+00 
 1.89333613e+00  1.05730049e-13  0.00000000e+00  1.33455642e-12  0.00000000e+00 
 1.93699595e+00  1.03346788e-13  0.00000000e+00  1.30451440e-12  0.00000000e+00 
 1.98166255e+00  1.01017536e-13  0.00000000e+00  1.27515036e-12  0.00000000e+00 
 2.02735916e+00  9.87405158e-14  0.00000000e+00  1.24644899e-12  0.00000000e+00 
 2.07410951e+00  9.65148304e-14  0.00000000e+00  1.21839570e-12  0.00000000e+00 
 2.12193792e+00  9.43393222e-14  0.00000000e+00  1.19097546e-12  0.00000000e+00 
 2.17086923e+00  9.22128602e-14  0.00000000e+00  1.16417434e-12  0.00000000e+00 
 2.22092889e+00  9.01342145e-14  0.00000000e+00  1.13797834e-12  0.00000000e+00 
 2.27214291e+00  8.81025561e-14  0.00000000e+00  1.11237377e-12  0.00000000e+00 
 2.32453791e+00  8.61168202e-14  0.00000000e+00  1.08734726e-12  0.00000000e+00 
 2.37814113e+00  8.41756181e-14  0.00000000e+00  1.06288610e-12  0.00000000e+00 
 2.43298042e+00  8.22781834e-14  0.00000000e+00  1.03897736e-12  0.00000000e+00 
 2.48908429e+00  8.04236406e-14  0.00000000e+00  1.01560854e-12  0.00000000e+00 
 2.54648190e+00  7.86108009e-14  0.00000000e+00  9.92767554e-13  0.00000000e+00 
 2.60520309e+00  7.68388353e-14  0.00000000e+00  9.70442652e-13  0.00000000e+00 
 2.66527837e+00  7.51069259e-14  0.00000000e+00  9.48622253e-13  0.00000000e+00 
 2.72673897e+00  7.34138615e-14  0.00000000e+00  9.27294726e-13  0.00000000e+00 
 2.78961683e+00  7.17590725e-14  0.00000000e+00  9.06449311e-13  0.00000000e+00 
 2.85394464e+00  7.01414982e-14  0.00000000e+00  8.86074887e-13  0.00000000e+00 
 2.91975583e+00  6.85604933e-14  0.00000000e+00  8.66161070e-13  0.00000000e+00 
 2.98708461e+00  6.70150443e-14  0.00000000e+00  8.46697418e-13  0.00000000e+00 
 3.05596598e+00  6.55044443e-14  0.00000000e+00  8.27673907e-13  0.00000000e+00 
 3.12643573e+00  6.40279961e-14  0.00000000e+00  8.09080552e-13  0.00000000e+00 
 3.19853049e+00  6.25846668e-14  0.00000000e+00  7.90907682e-13  0.00000000e+00 
 3.27228774e+00  6.11739711e-14  0.00000000e+00  7.73145844e-13  0.00000000e+00 
 3.34774581e+00  5.97950043e-14  0.00000000e+00  7.55785872e-13  0.00000000e+00 
 3.42494392e+00  5.84471358e-14  0.00000000e+00  7.38818724e-13  0.00000000e+00 
 3.50392221e+00  5.71297434e-14  0.00000000e+00  7.22235554e-13  0.00000000e+00 
 3.58472171e+00  5.58419053e-14  0.00000000e+00  7.06027794e-13  0.00000000e+00 
 3.66738442e+00  5.45831884e-14  0.00000000e+00  6.90186983e-13  0.00000000e+00 
 3.75195331e+00  5.33527119e-14  0.00000000e+00  6.74704852e-13  0.00000000e+00 
 3.83847234e+00  5.21501337e-14  0.00000000e+00  6.59573314e-13  0.00000000e+00 
 3.92698648e+00  5.09745372e-14  0.00000000e+00  6.44784676e-13  0.00000000e+00 
 4.01754173e+00  4.98254580e-14  0.00000000e+00  6.30331126e-13  0.00000000e+00 
 4.11018515e+00  4.87023656e-14  0.00000000e+00  6.16205099e-13  0.00000000e+00 
 4.20496491e+00  4.76045397e-14  0.00000000e+00  6.02399397e-13  0.00000000e+00 
 4.30193027e+00  4.65314139e-14  0.00000000e+00  5.88906713e-13  0.00000000e+00 
 4.40113162e+00  4.54824969e-14  0.00000000e+00  5.75720097e-13  0.00000000e+00 
 4.50262052e+00  4.44572432e-14  0.00000000e+00  5.62832745e-13  0.00000000e+00 
 4.60644974e+00  4.34550593e-14  0.00000000e+00  5.50237760e-13  0.00000000e+00 
 4.71267322e+00  4.24754866e-14  0.00000000e+00  5.37928817e-13  0.00000000e+00 
 4.82134619e+00  4.15180152e-14  0.00000000e+00  5.25899371e-13  0.00000000e+00 
 4.93252513e+00  4.05820911e-14  0.00000000e+00  5.14143253e-13  0.00000000e+00 
 5.04626783e+00  3.96672311e-14  0.00000000e+00  5.02654256e-13  0.00000000e+00 
 5.16263340e+00  3.87730163e-14  0.00000000e+00  4.91426475e-13  0.00000000e+00 
 5.28168234e+00  3.78990337e-14  0.00000000e+00  4.80454076e-13  0.00000000e+00 
 5.40347650e+00  3.70446713e-14  0.00000000e+00  4.69731298e-13  0.00000000e+00 
 5.52807921e+00  3.62095417e-14  0.00000000e+00  4.59252609e-13  0.00000000e+00 
 5.65555523e+00  3.53933111e-14  0.00000000e+00  4.49012493e-13  0.00000000e+00 
 5.78597080e+00  3.45954558e-14  0.00000000e+00  4.39005700e-13  0.00000000e+00 
 5.91939372e+00  3.38155639e-14  0.00000000e+00  4.29226996e-13  0.00000000e+00 
 6.05589334e+00  3.30532324e-14  0.00000000e+00  4.19671302e-13  0.00000000e+00 
 6.19554061e+00  3.23081123e-14  0.00000000e+00  4.10333560e-13  0.00000000e+00 
 6.33840810e+00  3.15797719e-14  0.00000000e+00  4.01209041e-13  0.00000000e+00 
 6.48457008e+00  3.08678349e-14  0.00000000e+00  3.92292895e-13  0.00000000e+00 
 6.63410251e+00  3.01719752e-14  0.00000000e+00  3.83580548e-13  0.00000000e+00 
 6.78708313e+00  2.94917897e-14  0.00000000e+00  3.75067393e-13  0.00000000e+00 
 6.94359143e+00  2.88269268e-14  0.00000000e+00  3.66749085e-13  0.00000000e+00 
 7.10370877e+00  2.81770818e-14  0.00000000e+00  3.58621168e-13  0.00000000e+00 
 7.26751838e+00  2.75418403e-14  0.00000000e+00  3.50679517e-13  0.00000000e+00 
 7.43510539e+00  2.69209506e-14  0.00000000e+00  3.42919896e-13  0.00000000e+00 
 7.60655691e+00  2.63140168e-14  0.00000000e+00  3.35338383e-13  0.00000000e+00 
 7.78196206e+00  2.57207985e-14  0.00000000e+00  3.27930879e-13  0.00000000e+00 
 7.96141200e+00  2.51409518e-14  0.00000000e+00  3.20693621e-13  0.00000000e+00 
 8.14500001e+00  2.45741430e-14  0.00000000e+00  3.13622814e-13  0.00000000e+00 
 8.33282151e+00  2.40201143e-14  0.00000000e+00  3.06714708e-13  0.00000000e+00 
 8.52497412e+00  2.34786116e-14  0.00000000e+00  2.99965795e-13  0.00000000e+00 
 8.72155772e+00  2.29492892e-14  0.00000000e+00  2.93372472e-13  0.00000000e+00 
 8.92267449e+00  2.24319064e-14  0.00000000e+00  2.86931305e-13  0.00000000e+00 
 9.12842895e+00  2.19261954e-14  0.00000000e+00  2.80638958e-13  0.00000000e+00 
 9.33892805e+00  2.14318649e-14  0.00000000e+00  2.74492069e-13  0.00000000e+00 
 9.55428121e+00  2.09486900e-14  0.00000000e+00  2.68487493e-13  0.00000000e+00 
 9.77460036e+00  2.04764205e-14  0.00000000e+00  2.62622025e-13  0.00000000e+00 
 1.00000000e+01  2.00147844e-14  0.00000000e+00  2.56892639e-13  0.00000000e+00 
 1.02305973e+01  1.95635443e-14  0.00000000e+00  2.51296309e-13  0.00000000e+00 
 1.04665121e+01  1.91224685e-14  0.00000000e+00  2.45830067e-13  0.00000000e+00 
 1.07078670e+01  1.86913818e-14  0.00000000e+00  2.40491081e-13  0.00000000e+00 
 1.09547876e+01  1.82699834e-14  0.00000000e+00  2.35276518e-13  0.00000000e+00 
 1.12074020e+01  1.78581076e-14  0.00000000e+00  2.30183601e-13  0.00000000e+00 
