 time            v(clk)          v(vs)           v(vctail)       v(vcpp)         v(vcpn)         v(voutp)        v(voutn)       
 0.00000000e+00  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 4.00000000e-13  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 8.00000000e-13  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.60000000e-12  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 3.20000000e-12  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 6.40000000e-12  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.28000000e-11  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 2.56000000e-11  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 5.12000000e-11  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 9.12000000e-11  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.31200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.71200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 2.11200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 2.51200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 2.91200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 3.31200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 3.71200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 4.11200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 4.51200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 4.91200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 5.31200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 5.71200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 6.11200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 6.51200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 6.91200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 7.31200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 7.71200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 8.11200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 8.51200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 8.91200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 9.31200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 9.71200000e-10  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.01120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.05120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.09120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.13120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
 1.17120000e-09  0.00000000e+00  6.98620298e-01  4.50637843e-08  1.49999996e+00  1.49999995e+00  1.42407448e-07  1.42407442e-07 
