 time            v(clk)          v(voutp)        v(voutn)        v(vinp)         v(vinn)        
 0.00000000e+00  0.00000000e+00  1.42407438e-07  1.42407452e-07  7.25000000e-01  7.50000000e-01 
 2.00000000e-11  0.00000000e+00  1.42407438e-07  1.42407451e-07  7.25000000e-01  7.50000000e-01 
 4.00000000e-11  0.00000000e+00  1.42407438e-07  1.42407451e-07  7.25000000e-01  7.50000000e-01 
 8.00000000e-11  0.00000000e+00  1.42407438e-07  1.42407451e-07  7.25000000e-01  7.50000000e-01 
 1.60000000e-10  0.00000000e+00  1.42407438e-07  1.42407452e-07  7.25000000e-01  7.50000000e-01 
 3.20000000e-10  0.00000000e+00  1.42407438e-07  1.42407452e-07  7.25000000e-01  7.50000000e-01 
 6.40000000e-10  0.00000000e+00  1.42407438e-07  1.42407452e-07  7.25000000e-01  7.50000000e-01 
 1.28000000e-09  0.00000000e+00  1.42407438e-07  1.42407452e-07  7.25000000e-01  7.50000000e-01 
 2.00000000e-09  0.00000000e+00  1.42407438e-07  1.42407452e-07  7.25000000e-01  7.50000000e-01 
 2.00100000e-09  1.50000000e-01 -7.15102459e-03 -7.15102436e-03  7.25000005e-01  7.50000000e-01 
 2.00300000e-09  4.50000000e-01 -2.26178915e-02 -2.26178912e-02  7.25000015e-01  7.50000000e-01 
 2.00700000e-09  1.05000000e+00 -5.48344704e-02 -5.48344711e-02  7.25000035e-01  7.50000000e-01 
 2.01000000e-09  1.50000000e+00 -7.28689624e-02 -7.28689653e-02  7.25000050e-01  7.50000000e-01 
 2.01041868e-09  1.50000000e+00 -7.32858077e-02 -7.32858113e-02  7.25000052e-01  7.50000000e-01 
 2.01125605e-09  1.50000000e+00 -7.33147356e-02 -7.33147500e-02  7.25000056e-01  7.50000000e-01 
 2.01293078e-09  1.50000000e+00 -7.30515018e-02 -7.30517130e-02  7.25000065e-01  7.50000000e-01 
 2.01628023e-09  1.50000000e+00 -7.28400047e-02 -7.28418576e-02  7.25000081e-01  7.50000000e-01 
 2.02177021e-09  1.50000000e+00 -7.28128895e-02 -7.28192867e-02  7.25000109e-01  7.50000000e-01 
 2.02726673e-09  1.50000000e+00 -7.28662263e-02 -7.28779696e-02  7.25000136e-01  7.50000000e-01 
 2.03776923e-09  1.50000000e+00 -7.29473172e-02 -7.29693675e-02  7.25000189e-01  7.50000000e-01 
 2.05638366e-09  1.50000000e+00 -7.30524523e-02 -7.30924071e-02  7.25000282e-01  7.50000000e-01 
 2.09361250e-09  1.50000000e+00 -7.32455680e-02 -7.33205884e-02  7.25000468e-01  7.50000000e-01 
 2.16807018e-09  1.50000000e+00 -7.36143302e-02 -7.37571398e-02  7.25000840e-01  7.50000000e-01 
 2.31698554e-09  1.50000000e+00 -7.42827936e-02 -7.45524591e-02  7.25001585e-01  7.50000000e-01 
 2.61481626e-09  1.50000000e+00 -7.53970087e-02 -7.58892173e-02  7.25003074e-01  7.50000000e-01 
 3.19927364e-09  1.50000000e+00 -7.69888952e-02 -7.78065269e-02  7.25005996e-01  7.50000000e-01 
 3.87144556e-09  1.50000000e+00 -7.81428009e-02 -7.91222090e-02  7.25009357e-01  7.50000000e-01 
 4.89925474e-09  1.50000000e+00 -7.89329581e-02 -7.94452570e-02  7.25014496e-01  7.50000000e-01 
 6.15211576e-09  1.50000000e+00 -7.85713990e-02 -7.65261869e-02  7.25020761e-01  7.50000000e-01 
 8.03308756e-09  1.50000000e+00 -7.54559913e-02 -6.28449457e-02  7.25030165e-01  7.50000000e-01 
 1.04985294e-08  1.50000000e+00 -6.67979623e-02 -2.39300028e-02  7.25042493e-01  7.50000000e-01 
 1.42355850e-08  1.50000000e+00 -4.46177998e-02  8.20688741e-02  7.25061178e-01  7.50000000e-01 
 1.94438445e-08  1.50000000e+00  3.58676864e-04  3.00792774e-01  7.25087219e-01  7.50000000e-01 
