 v-sweep         i(Vout)         i(Vibias)      
 0.00000000e+00  3.18239113e-07  3.98918179e-08 
 1.50000000e-02  3.18233984e-07  3.98911584e-08 
 3.00000000e-02  3.18230886e-07  3.98908149e-08 
 4.50000000e-02  3.18239472e-07  3.98918837e-08 
 6.00000000e-02  3.18257417e-07  3.98941549e-08 
 7.50000000e-02  3.18244569e-07  3.98925895e-08 
 9.00000000e-02  3.18257027e-07  3.98941844e-08 
 1.05000000e-01  3.18218853e-07  3.98893691e-08 
 1.20000000e-01  3.18229870e-07  3.98907649e-08 
 1.35000000e-01  3.18232691e-07  3.98911731e-08 
 1.50000000e-01  3.18238785e-07  3.98919587e-08 
 1.65000000e-01  3.18231701e-07  3.98910646e-08 
 1.80000000e-01  3.18242725e-07  3.98924402e-08 
 1.95000000e-01  3.18238155e-07  3.98919304e-08 
 2.10000000e-01  3.18243145e-07  3.98925262e-08 
 2.25000000e-01  3.18253462e-07  3.98938562e-08 
 2.40000000e-01  3.18241180e-07  3.98923344e-08 
 2.55000000e-01  3.18245696e-07  3.98928677e-08 
 2.70000000e-01  3.18246381e-07  3.98929567e-08 
 2.85000000e-01  3.18244789e-07  3.98928217e-08 
 3.00000000e-01  3.18226128e-07  3.98904913e-08 
 3.15000000e-01  3.18243755e-07  3.98927097e-08 
 3.30000000e-01  3.18253449e-07  3.98939170e-08 
 3.45000000e-01  3.18250096e-07  3.98935170e-08 
 3.60000000e-01  3.18220738e-07  3.98898632e-08 
 3.75000000e-01  3.18240787e-07  3.98924080e-08 
 3.90000000e-01  3.18217494e-07  3.98894820e-08 
 4.05000000e-01  3.18257173e-07  3.98944993e-08 
 4.20000000e-01  3.18233449e-07  3.98915277e-08 
 4.35000000e-01  3.18236667e-07  3.98919600e-08 
 4.50000000e-01  3.18241975e-07  3.98925835e-08 
 4.65000000e-01  3.18237561e-07  3.98920638e-08 
 4.80000000e-01  3.18230504e-07  3.98911777e-08 
 4.95000000e-01  3.18241433e-07  3.98925832e-08 
 5.10000000e-01  3.18254925e-07  3.98942918e-08 
 5.25000000e-01  3.18248905e-07  3.98935059e-08 
 5.40000000e-01  3.18234884e-07  3.98917573e-08 
 5.55000000e-01  3.18251319e-07  3.98938606e-08 
 5.70000000e-01  3.18230528e-07  3.98912482e-08 
 5.85000000e-01  3.18252840e-07  3.98940653e-08 
 6.00000000e-01  3.18235339e-07  3.98918759e-08 
 6.15000000e-01  3.18226028e-07  3.98907509e-08 
 6.30000000e-01  3.18232306e-07  3.98915755e-08 
 6.45000000e-01  3.18235539e-07  3.98919455e-08 
 6.60000000e-01  3.18251698e-07  3.98939881e-08 
 6.75000000e-01  3.18244715e-07  3.98931223e-08 
 6.90000000e-01  3.18254240e-07  3.98943501e-08 
 7.05000000e-01  3.18246459e-07  3.98933974e-08 
 7.20000000e-01  3.18245979e-07  3.98933857e-08 
 7.35000000e-01  3.18239215e-07  3.98925209e-08 
 7.50000000e-01  3.18235226e-07  3.98920294e-08 
 7.65000000e-01  3.18223726e-07  3.98906422e-08 
 7.80000000e-01  3.18243330e-07  3.98930501e-08 
