 time            v(a_1V5)        v(b_3V3)        v(x1t)          v(a_3V3)        v(b_1V5)        v(x2t)         
 0.00000000e+00  0.00000000e+00  1.11353528e-09  3.30000001e+00  0.00000000e+00  1.25448659e-07  1.49999949e+00 
 1.00000000e-12  1.50000000e-03  1.78618973e-08  3.30000915e+00  3.30000000e-03  1.86200509e-07  1.50003100e+00 
 2.00000000e-12  3.00000000e-03  3.20826603e-08  3.30001681e+00  6.60000000e-03  2.20822774e-07  1.50004663e+00 
 4.00000000e-12  6.00000000e-03  5.45920417e-08  3.30002893e+00  1.32000000e-02  2.59850153e-07  1.50006391e+00 
 8.00000000e-12  1.20000000e-02  7.34903569e-08  3.30003915e+00  2.64000000e-02  2.74598490e-07  1.50007124e+00 
 1.60000000e-11  2.40000000e-02  6.67968683e-08  3.30003570e+00  5.28000000e-02  2.60456609e-07  1.50006519e+00 
 3.20000000e-11  4.80000000e-02  2.62144103e-08  3.30001406e+00  1.05600000e-01  1.73488384e-07  1.50002519e+00 
 6.40000000e-11  9.60000000e-02 -1.20314759e-08  3.29999352e+00  2.11200000e-01  8.48997349e-08  1.49998350e+00 
 1.28000000e-10  1.92000000e-01 -1.32265532e-08  3.29999259e+00  4.22400000e-01  9.30162699e-08  1.49998529e+00 
 2.28000000e-10  3.42000000e-01 -3.92184127e-09  3.29999730e+00  7.52400000e-01  1.10601620e-07  1.49999153e+00 
 3.28000000e-10  4.92000000e-01 -9.93609879e-08  3.29994413e+00  1.08240000e+00  2.11631780e-08  1.49994369e+00 
 4.28000000e-10  6.42000000e-01 -4.22632266e-07  3.29976140e+00  1.41240000e+00  8.38340270e-09  1.49992796e+00 
 5.28000000e-10  7.92000000e-01 -1.61092296e-06  3.29908790e+00  1.74240000e+00 -8.49912750e-08  1.49986885e+00 
 6.28000000e-10  9.42000000e-01 -6.19952021e-06  3.29648801e+00  2.07240000e+00 -6.03862404e-07  1.49958063e+00 
 7.28000000e-10  1.09200000e+00  5.11029796e-06  3.30256873e+00  2.40240000e+00  5.65494141e-06  1.50277245e+00 
 7.94218006e-10  1.19132701e+00 -8.15373019e-04  2.85219516e+00  2.62091942e+00  2.69736544e-05  1.51387670e+00 
 8.68502131e-10  1.30275320e+00 -1.38597341e-03  1.94354376e+00  2.86605703e+00  1.56726000e-02  4.20343149e-01 
 9.38848637e-10  1.40827296e+00  5.26856931e-03  1.21104166e+00  3.09820050e+00  6.96901061e-02 -8.87788076e-04 
 1.00000000e-09  1.50000000e+00  2.16733736e-02  4.68243664e-01  3.30000000e+00  1.34442453e-01  1.18841821e-02 
 1.00656360e-09  1.50000000e+00  2.43118325e-02  3.79157219e-01  3.30000000e+00  1.41331676e-01  3.54767130e-03 
 1.01969081e-09  1.50000000e+00  2.99684881e-02  2.31641127e-01  3.30000000e+00  1.55148313e-01  2.31732044e-03 
 1.04594521e-09  1.50000000e+00  4.28883253e-02  8.37584148e-02  3.30000000e+00  1.82691690e-01  2.81370203e-03 
 1.08907296e-09  1.50000000e+00  6.60227015e-02  2.28601481e-02  3.30000000e+00  2.27654595e-01  2.59778496e-04 
 1.13263156e-09  1.50000000e+00  9.00319042e-02  6.04588917e-03  3.30000000e+00  2.72691337e-01  1.08239465e-03 
 1.19295094e-09  1.50000000e+00  1.23508304e-01  6.05151018e-04  3.30000000e+00  3.34309616e-01 -4.37410530e-04 
 1.25599322e-09  1.50000000e+00  1.58522147e-01  5.49499832e-04  3.30000000e+00  3.97746780e-01  6.85061077e-04 
 1.35599322e-09  1.50000000e+00  2.13971801e-01  6.59124649e-05  3.30000000e+00  4.96042073e-01 -4.88772623e-04 
 1.45599322e-09  1.50000000e+00  2.69302300e-01  2.89534786e-04  3.30000000e+00  5.91172554e-01  6.25900908e-04 
 1.55599322e-09  1.50000000e+00  3.24500227e-01  1.38993190e-04  3.30000000e+00  6.82730363e-01 -4.59856585e-04 
 1.65599322e-09  1.50000000e+00  3.79563221e-01  2.46393388e-04  3.30000000e+00  7.70263462e-01  5.90680046e-04 
 1.75599322e-09  1.50000000e+00  4.34482462e-01  1.72548858e-04  3.30000000e+00  8.53222737e-01 -4.33792870e-04 
 1.85599322e-09  1.50000000e+00  4.89252921e-01  2.26800401e-04  3.30000000e+00  9.31094391e-01  5.55516284e-04 
 1.95599322e-09  1.50000000e+00  5.43866223e-01  1.90593427e-04  3.30000000e+00  1.00334632e+00 -4.11474134e-04 
 2.05599322e-09  1.50000000e+00  5.98315620e-01  2.18664090e-04  3.30000000e+00  1.06958427e+00  5.19761842e-04 
 2.15599322e-09  1.50000000e+00  6.52592434e-01  2.01285245e-04  3.30000000e+00  1.12951308e+00 -3.93000553e-04 
 2.25599322e-09  1.50000000e+00  7.06688527e-01  2.16416306e-04  3.30000000e+00  1.18306604e+00  4.83643648e-04 
 2.35599322e-09  1.50000000e+00  7.60594496e-01  2.08587255e-04  3.30000000e+00  1.23033188e+00 -3.77412970e-04 
 2.45599322e-09  1.50000000e+00  8.14300902e-01  2.17362150e-04  3.30000000e+00  1.27161368e+00  4.48436328e-04 
 2.55599322e-09  1.50000000e+00  8.67797340e-01  2.14477752e-04  3.30000000e+00  1.30731687e+00 -3.63080639e-04 
