 v-sweep         v(vinp)         v(voutp)       
 0.00000000e+00  0.00000000e+00  3.45443427e-02 
 1.00000000e-03  1.00000000e-03  3.45456571e-02 
 2.00000000e-03  2.00000000e-03  3.45456976e-02 
 3.00000000e-03  3.00000000e-03  3.45468061e-02 
 4.00000000e-03  4.00000000e-03  3.45468464e-02 
 5.00000000e-03  5.00000000e-03  3.45473978e-02 
 6.00000000e-03  6.00000000e-03  3.45478696e-02 
 7.00000000e-03  7.00000000e-03  3.45485705e-02 
 8.00000000e-03  8.00000000e-03  3.45492293e-02 
 9.00000000e-03  9.00000000e-03  3.45497528e-02 
 1.00000000e-02  1.00000000e-02  3.45501998e-02 
 1.10000000e-02  1.10000000e-02  3.45515821e-02 
 1.20000000e-02  1.20000000e-02  3.45517914e-02 
 1.30000000e-02  1.30000000e-02  3.45523147e-02 
 1.40000000e-02  1.40000000e-02  3.45538820e-02 
 1.50000000e-02  1.50000000e-02  3.45536679e-02 
 1.60000000e-02  1.60000000e-02  3.45553051e-02 
 1.70000000e-02  1.70000000e-02  3.45554883e-02 
 1.80000000e-02  1.80000000e-02  3.45566751e-02 
 1.90000000e-02  1.90000000e-02  3.45578137e-02 
 2.00000000e-02  2.00000000e-02  3.45584715e-02 
 2.10000000e-02  2.10000000e-02  3.45590454e-02 
 2.20000000e-02  2.20000000e-02  3.45609807e-02 
 2.30000000e-02  2.30000000e-02  3.45611109e-02 
 2.40000000e-02  2.40000000e-02  3.45623264e-02 
 2.50000000e-02  2.50000000e-02  3.45635149e-02 
 2.60000000e-02  2.60000000e-02  3.45644857e-02 
 2.70000000e-02  2.70000000e-02  3.45660290e-02 
 2.80000000e-02  2.80000000e-02  3.45668860e-02 
 2.90000000e-02  2.90000000e-02  3.45680070e-02 
 3.00000000e-02  3.00000000e-02  3.45691090e-02 
 3.10000000e-02  3.10000000e-02  3.45712319e-02 
 3.20000000e-02  3.20000000e-02  3.45714675e-02 
 3.30000000e-02  3.30000000e-02  3.45736978e-02 
 3.40000000e-02  3.40000000e-02  3.45742788e-02 
 3.50000000e-02  3.50000000e-02  3.45771299e-02 
 3.60000000e-02  3.60000000e-02  3.45775783e-02 
 3.70000000e-02  3.70000000e-02  3.45801869e-02 
 3.80000000e-02  3.80000000e-02  3.45811616e-02 
 3.90000000e-02  3.90000000e-02  3.45827411e-02 
 4.00000000e-02  4.00000000e-02  3.45850049e-02 
