 frequency       v(inoise_spectrum) v(onoise_spectrum)
 1.50000000e-01  9.32978351e-06  7.54056958e-04 
 1.53458959e-01  9.22407188e-06  7.45513074e-04 
 1.56997682e-01  9.11955880e-06  7.37066059e-04 
 1.60618006e-01  9.01623069e-06  7.28714817e-04 
 1.64321814e-01  8.91407412e-06  7.20458262e-04 
 1.68111030e-01  8.81307582e-06  7.12295321e-04 
 1.71987625e-01  8.71322266e-06  7.04224933e-04 
 1.75953613e-01  8.61450168e-06  6.96246051e-04 
 1.80011056e-01  8.51690004e-06  6.88357637e-04 
 1.84162062e-01  8.42040506e-06  6.80558666e-04 
 1.88408790e-01  8.32500421e-06  6.72848124e-04 
 1.92753446e-01  8.23068508e-06  6.65225011e-04 
 1.97198288e-01  8.13743542e-06  6.57688335e-04 
 2.01745627e-01  8.04524312e-06  6.50237118e-04 
 2.06397827e-01  7.95409620e-06  6.42870390e-04 
 2.11157305e-01  7.86398280e-06  6.35587195e-04 
 2.16026535e-01  7.77489123e-06  6.28386586e-04 
 2.21008049e-01  7.68680991e-06  6.21267629e-04 
 2.26104435e-01  7.59972739e-06  6.14229396e-04 
 2.31318342e-01  7.51363236e-06  6.07270975e-04 
 2.36652481e-01  7.42851362e-06  6.00391461e-04 
 2.42109623e-01  7.34436013e-06  5.93589961e-04 
 2.47692605e-01  7.26116094e-06  5.86865589e-04 
 2.53404330e-01  7.17890524e-06  5.80217473e-04 
 2.59247765e-01  7.09758235e-06  5.73644749e-04 
 2.65225949e-01  7.01718170e-06  5.67146563e-04 
 2.71341987e-01  6.93769285e-06  5.60722070e-04 
 2.77599060e-01  6.85910545e-06  5.54370436e-04 
 2.84000420e-01  6.78140931e-06  5.48090835e-04 
 2.90549393e-01  6.70459433e-06  5.41882451e-04 
 2.97249383e-01  6.62865052e-06  5.35744478e-04 
 3.04103874e-01  6.55356802e-06  5.29676118e-04 
 3.11116427e-01  6.47933707e-06  5.23676582e-04 
 3.18290688e-01  6.40594802e-06  5.17745092e-04 
 3.25630385e-01  6.33339135e-06  5.11880876e-04 
 3.33139333e-01  6.26165762e-06  5.06083172e-04 
 3.40821437e-01  6.19073751e-06  5.00351227e-04 
 3.48680687e-01  6.12062181e-06  4.94684296e-04 
 3.56721169e-01  6.05130140e-06  4.89081643e-04 
 3.64947063e-01  5.98276728e-06  4.83542540e-04 
 3.73362644e-01  5.91501055e-06  4.78066267e-04 
 3.81972285e-01  5.84802239e-06  4.72652113e-04 
 3.90780463e-01  5.78179411e-06  4.67299373e-04 
 3.99791755e-01  5.71631710e-06  4.62007353e-04 
 4.09010845e-01  5.65158285e-06  4.56775365e-04 
 4.18442524e-01  5.58758294e-06  4.51602729e-04 
 4.28091696e-01  5.52430908e-06  4.46488773e-04 
 4.37963375e-01  5.46175302e-06  4.41432832e-04 
 4.48062692e-01  5.39990665e-06  4.36434250e-04 
 4.58394897e-01  5.33876193e-06  4.31492376e-04 
 4.68965359e-01  5.27831091e-06  4.26606570e-04 
 4.79779574e-01  5.21854574e-06  4.21776195e-04 
 4.90843161e-01  5.15945865e-06  4.17000625e-04 
 5.02161872e-01  5.10104196e-06  4.12279239e-04 
 5.13741589e-01  5.04328809e-06  4.07611423e-04 
 5.25588331e-01  4.98618953e-06  4.02996570e-04 
 5.37708256e-01  4.92973886e-06  3.98434082e-04 
 5.50107663e-01  4.87392875e-06  3.93923365e-04 
 5.62792997e-01  4.81875194e-06  3.89463833e-04 
 5.75770852e-01  4.76420126e-06  3.85054907e-04 
 5.89047972e-01  4.71026963e-06  3.80696014e-04 
 6.02631259e-01  4.65695003e-06  3.76386588e-04 
 6.16527773e-01  4.60423555e-06  3.72126067e-04 
 6.30744737e-01  4.55211932e-06  3.67913900e-04 
 6.45289540e-01  4.50059459e-06  3.63749538e-04 
 6.60169743e-01  4.44965465e-06  3.59632441e-04 
 6.75393078e-01  4.39929288e-06  3.55562073e-04 
 6.90967460e-01  4.34950274e-06  3.51537906e-04 
 7.06900983e-01  4.30027776e-06  3.47559417e-04 
