 time            v(vind)         v(vout)         v(vinp)         v(vinn)         v(voutp)        v(voutn)       
 0.00000000e+00  0.00000000e+00  1.52822745e-06  3.45000000e-01  3.45000000e-01  7.49710949e-01  7.49709420e-01 
 1.00000000e-07  3.14159265e-07  1.53541409e-06  3.45000157e-01  3.44999843e-01  7.49710952e-01  7.49709417e-01 
 2.00000000e-07  6.28318529e-07  1.55534301e-06  3.45000314e-01  3.44999686e-01  7.49710962e-01  7.49709407e-01 
 4.00000000e-07  1.25663705e-06  1.63210438e-06  3.45000628e-01  3.44999372e-01  7.49711001e-01  7.49709369e-01 
 8.00000000e-07  2.51327402e-06  1.98097867e-06  3.45001257e-01  3.44998743e-01  7.49711179e-01  7.49709198e-01 
 1.60000000e-06  5.02654740e-06  3.57551625e-06  3.45002513e-01  3.44997487e-01  7.49711979e-01  7.49708404e-01 
 3.20000000e-06  1.00530897e-05  1.08527044e-05  3.45005027e-01  3.44994973e-01  7.49715626e-01  7.49704774e-01 
 6.40000000e-06  2.01061388e-05  4.36042496e-05  3.45010053e-01  3.44989947e-01  7.49732040e-01  7.49688436e-01 
 1.28000000e-05  4.02119525e-05  1.84901246e-04  3.45020106e-01  3.44979894e-01  7.49802733e-01  7.49617831e-01 
 2.28000000e-05  7.16258625e-05  5.99826785e-04  3.45035813e-01  3.44964187e-01  7.50010159e-01  7.49410332e-01 
 3.28000000e-05  1.03036945e-04  1.23347652e-03  3.45051518e-01  3.44948482e-01  7.50326898e-01  7.49093421e-01 
 4.28000000e-05  1.34443960e-04  2.06458479e-03  3.45067222e-01  3.44932778e-01  7.50742448e-01  7.48677863e-01 
 5.28000000e-05  1.65845667e-04  3.07307966e-03  3.45082923e-01  3.44917077e-01  7.51246753e-01  7.48173673e-01 
 6.28000000e-05  1.97240826e-04  4.24087355e-03  3.45098620e-01  3.44901380e-01  7.51830706e-01  7.47589833e-01 
 7.28000000e-05  2.28628200e-04  5.55119968e-03  3.45114314e-01  3.44885686e-01  7.52486061e-01  7.46934862e-01 
 8.28000000e-05  2.60006547e-04  6.98917738e-03  3.45130003e-01  3.44869997e-01  7.53205247e-01  7.46216069e-01 
 9.28000000e-05  2.91374629e-04  8.54144860e-03  3.45145687e-01  3.44854313e-01  7.53981606e-01  7.45440158e-01 
 1.02800000e-04  3.22731209e-04  1.01961030e-02  3.45161366e-01  3.44838634e-01  7.54809174e-01  7.44613071e-01 
 1.12800000e-04  3.54075048e-04  1.19422259e-02  3.45177038e-01  3.44822962e-01  7.55682523e-01  7.43740297e-01 
 1.22800000e-04  3.85404908e-04  1.37703748e-02  3.45192702e-01  3.44807298e-01  7.56596950e-01  7.42826575e-01 
 1.32800000e-04  4.16719553e-04  1.56718193e-02  3.45208360e-01  3.44791640e-01  7.57548126e-01  7.41876307e-01 
 1.42800000e-04  4.48017747e-04  1.76387948e-02  3.45224009e-01  3.44775991e-01  7.58532309e-01  7.40893514e-01 
 1.52800000e-04  4.79298254e-04  1.96642841e-02  3.45239649e-01  3.44760351e-01  7.59545874e-01  7.39881590e-01 
 1.62800000e-04  5.10559839e-04  2.17420701e-02  3.45255280e-01  3.44744720e-01  7.60585580e-01  7.38843510e-01 
 1.72800000e-04  5.41801268e-04  2.38665808e-02  3.45270901e-01  3.44729099e-01  7.61648684e-01  7.37782103e-01 
 1.82800000e-04  5.73021308e-04  2.60325603e-02  3.45286511e-01  3.44713489e-01  7.62732559e-01  7.36699999e-01 
 1.92800000e-04  6.04218726e-04  2.82356643e-02  3.45302109e-01  3.44697891e-01  7.63835080e-01  7.35599415e-01 
 2.02800000e-04  6.35392290e-04  3.04719818e-02  3.45317696e-01  3.44682304e-01  7.64954384e-01  7.34482403e-01 
 2.12800000e-04  6.66540770e-04  3.27375516e-02  3.45333270e-01  3.44666730e-01  7.66088456e-01  7.33350904e-01 
 2.22800000e-04  6.97662936e-04  3.50292301e-02  3.45348831e-01  3.44651169e-01  7.67235713e-01  7.32206483e-01 
 2.32800000e-04  7.28757560e-04  3.73441365e-02  3.45364379e-01  3.44635621e-01  7.68394740e-01  7.31050604e-01 
 2.42800000e-04  7.59823414e-04  3.96796661e-02  3.45379912e-01  3.44620088e-01  7.69564195e-01  7.29884528e-01 
 2.52800000e-04  7.90859271e-04  4.20332383e-02  3.45395430e-01  3.44604570e-01  7.70742708e-01  7.28709470e-01 
 2.62800000e-04  8.21863906e-04  4.44028263e-02  3.45410932e-01  3.44589068e-01  7.71929326e-01  7.27526500e-01 
 2.72800000e-04  8.52836095e-04  4.67865279e-02  3.45426418e-01  3.44573582e-01  7.73123227e-01  7.26336699e-01 
 2.82800000e-04  8.83774616e-04  4.91825958e-02  3.45441887e-01  3.44558113e-01  7.74323606e-01  7.25141011e-01 
 2.92800000e-04  9.14678247e-04  5.15893054e-02  3.45457339e-01  3.44542661e-01  7.75529467e-01  7.23940161e-01 
 3.02800000e-04  9.45545769e-04  5.40053504e-02  3.45472773e-01  3.44527227e-01  7.76740219e-01  7.22734868e-01 
 3.12800000e-04  9.76375961e-04  5.64294749e-02  3.45488188e-01  3.44511812e-01  7.77955193e-01  7.21525719e-01 
 3.22800000e-04  1.00716761e-03  5.88604593e-02  3.45503584e-01  3.44496416e-01  7.79173735e-01  7.20313276e-01 
 3.32800000e-04  1.03791949e-03  6.12973703e-02  3.45518960e-01  3.44481040e-01  7.80395424e-01  7.19098054e-01 
 3.42800000e-04  1.06863040e-03  6.37391278e-02  3.45534315e-01  3.44465685e-01  7.81619688e-01  7.17880560e-01 
 3.52800000e-04  1.09929913e-03  6.61848714e-02  3.45549650e-01  3.44450350e-01  7.82846097e-01  7.16661225e-01 
 3.62800000e-04  1.12992445e-03  6.86338827e-02  3.45564962e-01  3.44435038e-01  7.84074353e-01  7.15440471e-01 
 3.72800000e-04  1.16050517e-03  7.10853982e-02  3.45580253e-01  3.44419747e-01  7.85304172e-01  7.14218773e-01 
 3.82800000e-04  1.19104007e-03  7.35387159e-02  3.45595520e-01  3.44404480e-01  7.86535092e-01  7.12996376e-01 
 3.92800000e-04  1.22152795e-03  7.59933629e-02  3.45610764e-01  3.44389236e-01  7.87766785e-01  7.11773422e-01 
 4.02800000e-04  1.25196761e-03  7.84487363e-02  3.45625984e-01  3.44374016e-01  7.88998976e-01  7.10550240e-01 
 4.12800000e-04  1.28235784e-03  8.09044952e-02  3.45641179e-01  3.44358821e-01  7.90231495e-01  7.09327000e-01 
 4.22800000e-04  1.31269745e-03  8.33600230e-02  3.45656349e-01  3.44343651e-01  7.91464136e-01  7.08104114e-01 
 4.32800000e-04  1.34298523e-03  8.58149878e-02  3.45671493e-01  3.44328507e-01  7.92696653e-01  7.06881665e-01 
 4.42800000e-04  1.37322000e-03  8.82689516e-02  3.45686610e-01  3.44313390e-01  7.93928782e-01  7.05659831e-01 
 4.52800000e-04  1.40340055e-03  9.07214964e-02  3.45701700e-01  3.44298300e-01  7.95160502e-01  7.04439006e-01 
 4.62800000e-04  1.43352570e-03  9.31723884e-02  3.45716763e-01  3.44283237e-01  7.96391602e-01  7.03219214e-01 
 4.72800000e-04  1.46359426e-03  9.56213298e-02  3.45731797e-01  3.44268203e-01  7.97621910e-01  7.02000580e-01 
 4.82800000e-04  1.49360503e-03  9.80679369e-02  3.45746803e-01  3.44253197e-01  7.98851230e-01  7.00783293e-01 
 4.92800000e-04  1.52355684e-03  1.00511955e-01  3.45761778e-01  3.44238222e-01  8.00079497e-01  6.99567543e-01 
 5.02800000e-04  1.55344851e-03  1.02953166e-01  3.45776724e-01  3.44223276e-01  8.01306527e-01  6.98353361e-01 
 5.12800000e-04  1.58327884e-03  1.05391522e-01  3.45791639e-01  3.44208361e-01  8.02532234e-01  6.97140712e-01 
 5.22800000e-04  1.61304667e-03  1.07826707e-01  3.45806523e-01  3.44193477e-01  8.03756539e-01  6.95929832e-01 
 5.32800000e-04  1.64275082e-03  1.10258513e-01  3.45821375e-01  3.44178625e-01  8.04979306e-01  6.94720792e-01 
 5.42800000e-04  1.67239012e-03  1.12686593e-01  3.45836195e-01  3.44163805e-01  8.06200332e-01  6.93513739e-01 
 5.52800000e-04  1.70196340e-03  1.15110854e-01  3.45850982e-01  3.44149018e-01  8.07419659e-01  6.92308805e-01 
 5.62800000e-04  1.73146948e-03  1.17531191e-01  3.45865735e-01  3.44134265e-01  8.08637219e-01  6.91106028e-01 
 5.72800000e-04  1.76090721e-03  1.19947335e-01  3.45880454e-01  3.44119546e-01  8.09852939e-01  6.89905604e-01 
 5.82800000e-04  1.79027542e-03  1.22359214e-01  3.45895138e-01  3.44104862e-01  8.11066665e-01  6.88707451e-01 
 5.92800000e-04  1.81957295e-03  1.24766800e-01  3.45909786e-01  3.44090214e-01  8.12278291e-01  6.87511491e-01 
 6.02800000e-04  1.84879865e-03  1.27169813e-01  3.45924399e-01  3.44075601e-01  8.13487806e-01  6.86317994e-01 
 6.12800000e-04  1.87795136e-03  1.29567992e-01  3.45938976e-01  3.44061024e-01  8.14695011e-01  6.85127019e-01 
 6.22800000e-04  1.90702994e-03  1.31961235e-01  3.45953515e-01  3.44046485e-01  8.15899964e-01  6.83938728e-01 
 6.32800000e-04  1.93603323e-03  1.34349575e-01  3.45968017e-01  3.44031983e-01  8.17102606e-01  6.82753031e-01 
 6.42800000e-04  1.96496008e-03  1.36732819e-01  3.45982480e-01  3.44017520e-01  8.18302773e-01  6.81569954e-01 
 6.52800000e-04  1.99380937e-03  1.39110913e-01  3.45996905e-01  3.44003095e-01  8.19500491e-01  6.80389579e-01 
 6.62800000e-04  2.02257994e-03  1.41483592e-01  3.46011290e-01  3.43988710e-01  8.20695696e-01  6.79212104e-01 
 6.72800000e-04  2.05127066e-03  1.43850752e-01  3.46025635e-01  3.43974365e-01  8.21888278e-01  6.78037527e-01 
 6.82800000e-04  2.07988040e-03  1.46212398e-01  3.46039940e-01  3.43960060e-01  8.23078226e-01  6.76865828e-01 
 6.92800000e-04  2.10840804e-03  1.48568445e-01  3.46054204e-01  3.43945796e-01  8.24265461e-01  6.75697016e-01 
 7.02800000e-04  2.13685243e-03  1.50918756e-01  3.46068426e-01  3.43931574e-01  8.25450027e-01  6.74531271e-01 
 7.12800000e-04  2.16521247e-03  1.53262979e-01  3.46082606e-01  3.43917394e-01  8.26631711e-01  6.73368731e-01 
 7.22800000e-04  2.19348703e-03  1.55601252e-01  3.46096744e-01  3.43903256e-01  8.27810598e-01  6.72209346e-01 
 7.32800000e-04  2.22167499e-03  1.57933382e-01  3.46110837e-01  3.43889163e-01  8.28986553e-01  6.71053170e-01 
 7.42800000e-04  2.24977525e-03  1.60258999e-01  3.46124888e-01  3.43875112e-01  8.30159339e-01  6.69900340e-01 
 7.52800000e-04  2.27778668e-03  1.62578372e-01  3.46138893e-01  3.43861107e-01  8.31329165e-01  6.68750794e-01 
 7.62800000e-04  2.30570820e-03  1.64891552e-01  3.46152854e-01  3.43847146e-01  8.32496067e-01  6.67604516e-01 
 7.72800000e-04  2.33353869e-03  1.67198165e-01  3.46166769e-01  3.43833231e-01  8.33659698e-01  6.66461533e-01 
 7.82800000e-04  2.36127705e-03  1.69498036e-01  3.46180639e-01  3.43819361e-01  8.34820134e-01  6.65322098e-01 
 7.92800000e-04  2.38892220e-03  1.71791119e-01  3.46194461e-01  3.43805539e-01  8.35977378e-01  6.64186258e-01 
 8.02800000e-04  2.41647303e-03  1.74077456e-01  3.46208237e-01  3.43791763e-01  8.37131396e-01  6.63053940e-01 
 8.12800000e-04  2.44392847e-03  1.76356987e-01  3.46221964e-01  3.43778036e-01  8.38282159e-01  6.61925173e-01 
 8.22800000e-04  2.47128743e-03  1.78629539e-01  3.46235644e-01  3.43764356e-01  8.39429604e-01  6.60800065e-01 
 8.32800000e-04  2.49854882e-03  1.80894965e-01  3.46249274e-01  3.43750726e-01  8.40573605e-01  6.59678640e-01 
 8.42800000e-04  2.52571157e-03  1.83153123e-01  3.46262856e-01  3.43737144e-01  8.41714033e-01  6.58560910e-01 
 8.52800000e-04  2.55277462e-03  1.85403807e-01  3.46276387e-01  3.43723613e-01  8.42850880e-01  6.57447073e-01 
 8.62800000e-04  2.57973688e-03  1.87647215e-01  3.46289868e-01  3.43710132e-01  8.43984146e-01  6.56336931e-01 
 8.72800000e-04  2.60659730e-03  1.89883132e-01  3.46303299e-01  3.43696701e-01  8.45113748e-01  6.55230617e-01 
 8.82800000e-04  2.63335482e-03  1.92111446e-01  3.46316677e-01  3.43683323e-01  8.46239690e-01  6.54128245e-01 
 8.92800000e-04  2.66000838e-03  1.94332043e-01  3.46330004e-01  3.43669996e-01  8.47361886e-01  6.53029843e-01 
 9.02800000e-04  2.68655692e-03  1.96544903e-01  3.46343278e-01  3.43656722e-01  8.48480376e-01  6.51935472e-01 
 9.12800000e-04  2.71299940e-03  1.98749918e-01  3.46356500e-01  3.43643500e-01  8.49595132e-01  6.50845215e-01 
 9.22800000e-04  2.73933478e-03  2.00947061e-01  3.46369667e-01  3.43630333e-01  8.50706014e-01  6.49758953e-01 
 9.32800000e-04  2.76556202e-03  2.03136246e-01  3.46382781e-01  3.43617219e-01  8.51813015e-01  6.48676769e-01 
 9.42800000e-04  2.79168007e-03  2.05317271e-01  3.46395840e-01  3.43604160e-01  8.52916093e-01  6.47598822e-01 
 9.52800000e-04  2.81768792e-03  2.07490030e-01  3.46408844e-01  3.43591156e-01  8.54015134e-01  6.46525104e-01 
 9.62800000e-04  2.84358452e-03  2.09654497e-01  3.46421792e-01  3.43578208e-01  8.55110096e-01  6.45455599e-01 
 9.72800000e-04  2.86936887e-03  2.11810742e-01  3.46434684e-01  3.43565316e-01  8.56200988e-01  6.44390246e-01 
 9.82800000e-04  2.89503994e-03  2.13958345e-01  3.46447520e-01  3.43552480e-01  8.57287596e-01  6.43329252e-01 
 9.92800000e-04  2.92059672e-03  2.16097403e-01  3.46460298e-01  3.43539702e-01  8.58370107e-01  6.42272704e-01 
 1.00280000e-03  2.94603819e-03  2.18227894e-01  3.46473019e-01  3.43526981e-01  8.59448430e-01  6.41220536e-01 
