 time            v(Vcmfb)        v(Voutp)        v(Voutn)       
 0.00000000e+00  8.46539936e-01  6.00000000e-01  8.00000000e-01 
 1.00000000e-13  8.46540360e-01  6.00000000e-01  8.00000000e-01 
 2.00000000e-13  8.46540731e-01  6.00000000e-01  8.00000000e-01 
 4.00000000e-13  8.46541371e-01  6.00000000e-01  8.00000000e-01 
 8.00000000e-13  8.46542457e-01  6.00000000e-01  8.00000000e-01 
 1.60000000e-12  8.46544666e-01  6.00000000e-01  8.00000000e-01 
 3.20000000e-12  8.46549117e-01  6.00000000e-01  8.00000000e-01 
 6.35624537e-12  8.46557444e-01  6.00000000e-01  8.00000000e-01 
 1.00000000e-11  8.46565741e-01  6.00000000e-01  8.00000000e-01 
 1.04690519e-11  8.46565123e-01  6.00000000e-01  8.00000000e-01 
 1.14071557e-11  8.46564216e-01  6.00000000e-01  8.00000000e-01 
 1.32833634e-11  8.46562625e-01  6.00000000e-01  8.00000000e-01 
 1.67357970e-11  8.46559549e-01  6.00000000e-01  8.00000000e-01 
 2.34796399e-11  8.46552984e-01  6.00000000e-01  8.00000000e-01 
 3.29656353e-11  8.46545510e-01  6.00000000e-01  8.00000000e-01 
 4.38939655e-11  8.46538481e-01  6.00000000e-01  8.00000000e-01 
 6.57506259e-11  8.46533064e-01  6.00000000e-01  8.00000000e-01 
 9.03549364e-11  8.46533947e-01  6.00000000e-01  8.00000000e-01 
 1.26265864e-10  8.46536729e-01  6.00000000e-01  8.00000000e-01 
 1.64648124e-10  8.46538387e-01  6.00000000e-01  8.00000000e-01 
 2.41412645e-10  8.46539725e-01  6.00000000e-01  8.00000000e-01 
 3.94941687e-10  8.46539950e-01  6.00000000e-01  8.00000000e-01 
 7.01999769e-10  8.46539951e-01  6.00000000e-01  8.00000000e-01 
 1.31611594e-09  8.46539920e-01  6.00000000e-01  8.00000000e-01 
 2.54434827e-09  8.46539960e-01  6.00000000e-01  8.00000000e-01 
 5.00081293e-09  8.46539917e-01  6.00000000e-01  8.00000000e-01 
 9.91374226e-09  8.46539961e-01  6.00000000e-01  8.00000000e-01 
 1.97396009e-08  8.46539916e-01  6.00000000e-01  8.00000000e-01 
 3.93913182e-08  8.46539962e-01  6.00000000e-01  8.00000000e-01 
 7.86947528e-08  8.46539916e-01  6.00000000e-01  8.00000000e-01 
 1.57301622e-07  8.46539962e-01  6.00000000e-01  8.00000000e-01 
 3.14515360e-07  8.46539916e-01  6.00000000e-01  8.00000000e-01 
 6.28942837e-07  8.46539962e-01  6.00000000e-01  8.00000000e-01 
 1.25779779e-06  8.46539916e-01  6.00000000e-01  8.00000000e-01 
 2.51550770e-06  8.46539962e-01  6.00000000e-01  8.00000000e-01 
 5.03092751e-06  8.46539916e-01  6.00000000e-01  8.00000000e-01 
 7.87501000e-06  8.46539962e-01  6.00000000e-01  8.00000000e-01 
 7.87501100e-06  8.46533918e-01  6.00000000e-01  8.00000000e-01 
 7.87501300e-06  8.46523107e-01  6.00000000e-01  8.00000000e-01 
 7.87501700e-06  8.46507559e-01  6.00000000e-01  8.00000000e-01 
 7.87502000e-06  8.46500802e-01  6.00000000e-01  8.00000000e-01 
 7.87502059e-06  8.46501939e-01  6.00000000e-01  8.00000000e-01 
 7.87502176e-06  8.46503625e-01  6.00000000e-01  8.00000000e-01 
 7.87502410e-06  8.46506502e-01  6.00000000e-01  8.00000000e-01 
 7.87502878e-06  8.46511811e-01  6.00000000e-01  8.00000000e-01 
 7.87503814e-06  8.46520116e-01  6.00000000e-01  8.00000000e-01 
 7.87505687e-06  8.46531888e-01  6.00000000e-01  8.00000000e-01 
 7.87508945e-06  8.46544796e-01  6.00000000e-01  8.00000000e-01 
 7.87513057e-06  8.46548125e-01  6.00000000e-01  8.00000000e-01 
 7.87517392e-06  8.46546580e-01  6.00000000e-01  8.00000000e-01 
 7.87525052e-06  8.46542579e-01  6.00000000e-01  8.00000000e-01 
 7.87532859e-06  8.46540455e-01  6.00000000e-01  8.00000000e-01 
 7.87547117e-06  8.46539887e-01  6.00000000e-01  8.00000000e-01 
 7.87560169e-06  8.46539930e-01  6.00000000e-01  8.00000000e-01 
 7.87586274e-06  8.46539957e-01  6.00000000e-01  8.00000000e-01 
 7.87638482e-06  8.46539925e-01  6.00000000e-01  8.00000000e-01 
 7.87742900e-06  8.46539958e-01  6.00000000e-01  8.00000000e-01 
 7.87951735e-06  8.46539925e-01  6.00000000e-01  8.00000000e-01 
 7.88369406e-06  8.46539958e-01  6.00000000e-01  8.00000000e-01 
 7.89204747e-06  8.46539925e-01  6.00000000e-01  8.00000000e-01 
 7.90875429e-06  8.46539958e-01  6.00000000e-01  8.00000000e-01 
 7.94216793e-06  8.46539925e-01  6.00000000e-01  8.00000000e-01 
 8.00000000e-06  8.46539958e-01  6.00000000e-01  8.00000000e-01 
 8.00000100e-06  8.46656424e-01  6.00000000e-01  8.00000000e-01 
 8.00000300e-06  8.46905070e-01  6.00000000e-01  8.00000000e-01 
 8.00000700e-06  8.47413836e-01  6.00000000e-01  8.00000000e-01 
 8.00001000e-06  8.48251851e-01  6.00000000e-01  8.00000000e-01 
 8.00001065e-06  8.48296262e-01  6.00000000e-01  8.00000000e-01 
 8.00001195e-06  8.48318842e-01  6.00000000e-01  8.00000000e-01 
 8.00001456e-06  8.48329909e-01  6.00000000e-01  8.00000000e-01 
 8.00001820e-06  8.48351703e-01  6.00000000e-01  8.00000000e-01 
 8.00002549e-06  8.48336104e-01  6.00000000e-01  8.00000000e-01 
 8.00003745e-06  8.48241191e-01  6.00000000e-01  8.00000000e-01 
 8.00004993e-06  8.47868670e-01  6.00000000e-01  8.00000000e-01 
 8.00007489e-06  8.46636606e-01  6.00000000e-01  8.00000000e-01 
 8.00009886e-06  8.45530883e-01  6.00000000e-01  8.00000000e-01 
 8.00013658e-06  8.44187777e-01  6.00000000e-01  8.00000000e-01 
 8.00018562e-06  8.42840594e-01  6.00000000e-01  8.00000000e-01 
 8.00028304e-06  8.40773281e-01  6.00000000e-01  8.00000000e-01 
 8.00042868e-06  8.38454633e-01  6.00000000e-01  8.00000000e-01 
 8.00071081e-06  8.35571541e-01  6.00000000e-01  8.00000000e-01 
 8.00102203e-06  8.33855766e-01  6.00000000e-01  8.00000000e-01 
 8.00155204e-06  8.32525201e-01  6.00000000e-01  8.00000000e-01 
 8.00225788e-06  8.31996252e-01  6.00000000e-01  8.00000000e-01 
