 time            v(Vb)           v(Voutp)        v(Voutn)        v(Vbias)        v(Vcmref)      
 0.00000000e+00  8.46540068e-01  7.50000000e-01  7.50000000e-01  7.50000000e-01  7.50000000e-01 
 1.00000000e-13  8.46540381e-01  7.50000000e-01  7.50000000e-01  7.50000000e-01  7.50000000e-01 
 2.00000000e-13  8.46540678e-01  7.50000000e-01  7.50000000e-01  7.50000000e-01  7.50000000e-01 
 4.00000000e-13  8.46541208e-01  7.50000000e-01  7.50000000e-01  7.50000000e-01  7.50000000e-01 
 8.00000000e-13  8.46542141e-01  7.50000000e-01  7.50000000e-01  7.50000000e-01  7.50000000e-01 
 1.60000000e-12  8.46544046e-01  7.50000000e-01  7.50000000e-01  7.50000000e-01  7.50000000e-01 
 3.20000000e-12  8.46547885e-01  7.50000000e-01  7.50000000e-01  7.50000001e-01  7.50000000e-01 
 6.40000000e-12  8.46555577e-01  7.50000000e-01  7.50000000e-01  7.50000002e-01  7.50000000e-01 
 9.61016763e-12  8.46570149e-01  7.50000000e-01  7.50000000e-01  7.50000002e-01  7.50000000e-01 
 1.00000000e-11  8.46572661e-01  7.50000000e-01  7.50000000e-01  7.50000002e-01  7.50000000e-01 
 1.02209735e-11  8.46572417e-01  7.50000000e-01  7.50000000e-01  7.50000003e-01  7.50000000e-01 
 1.06629206e-11  8.46571630e-01  7.50000000e-01  7.50000000e-01  7.50000003e-01  7.50000000e-01 
 1.15468148e-11  8.46570154e-01  7.50000000e-01  7.50000000e-01  7.50000003e-01  7.50000000e-01 
 1.33146031e-11  8.46567351e-01  7.50000000e-01  7.50000000e-01  7.50000003e-01  7.50000000e-01 
 1.64139255e-11  8.46562551e-01  7.50000000e-01  7.50000000e-01  7.50000004e-01  7.50000000e-01 
 2.26125704e-11  8.46553975e-01  7.50000000e-01  7.50000000e-01  7.50000006e-01  7.50000000e-01 
 3.50098602e-11  8.46541264e-01  7.50000000e-01  7.50000000e-01  7.50000009e-01  7.50000000e-01 
 5.98044398e-11  8.46530222e-01  7.50000000e-01  7.50000000e-01  7.50000015e-01  7.50000000e-01 
 1.09393599e-10  8.46530180e-01  7.50000000e-01  7.50000000e-01  7.50000027e-01  7.50000000e-01 
 1.76595633e-10  8.46536715e-01  7.50000000e-01  7.50000000e-01  7.50000044e-01  7.50000000e-01 
 2.49282769e-10  8.46539720e-01  7.50000000e-01  7.50000000e-01  7.50000062e-01  7.50000000e-01 
 3.67417481e-10  8.46540156e-01  7.50000000e-01  7.50000000e-01  7.50000092e-01  7.50000000e-01 
 5.01216443e-10  8.46540138e-01  7.50000000e-01  7.50000000e-01  7.50000125e-01  7.50000000e-01 
 7.64300760e-10  8.46540036e-01  7.50000000e-01  7.50000000e-01  7.50000191e-01  7.50000000e-01 
 1.18318061e-09  8.46540090e-01  7.50000000e-01  7.50000000e-01  7.50000296e-01  7.50000000e-01 
 2.02094030e-09  8.46540049e-01  7.50000000e-01  7.50000000e-01  7.50000505e-01  7.50000000e-01 
 3.69645969e-09  8.46540085e-01  7.50000000e-01  7.50000000e-01  7.50000924e-01  7.50000000e-01 
 7.04749847e-09  8.46540052e-01  7.50000000e-01  7.50000000e-01  7.50001762e-01  7.50000000e-01 
 1.37495760e-08  8.46540084e-01  7.50000000e-01  7.50000000e-01  7.50003437e-01  7.50000000e-01 
 2.71537311e-08  8.46540052e-01  7.50000000e-01  7.50000000e-01  7.50006788e-01  7.50000000e-01 
 5.39620414e-08  8.46540084e-01  7.50000000e-01  7.50000000e-01  7.50013491e-01  7.50000000e-01 
 1.07578662e-07  8.46540052e-01  7.50000000e-01  7.50000000e-01  7.50026895e-01  7.50000000e-01 
 2.14811903e-07  8.46540084e-01  7.50000000e-01  7.50000000e-01  7.50053703e-01  7.50000000e-01 
 4.29278385e-07  8.46540052e-01  7.50000000e-01  7.50000000e-01  7.50107320e-01  7.50000000e-01 
 8.58211348e-07  8.46540084e-01  7.50000000e-01  7.50000000e-01  7.50214553e-01  7.50000000e-01 
 1.71607728e-06  8.46540052e-01  7.50000000e-01  7.50000000e-01  7.50429019e-01  7.50000000e-01 
 3.43180913e-06  8.46540084e-01  7.50000000e-01  7.50000000e-01  7.50857952e-01  7.50000000e-01 
 6.86327284e-06  8.46540051e-01  7.50000000e-01  7.50000000e-01  7.51715818e-01  7.50000000e-01 
 7.87501000e-06  8.46540083e-01  7.50000000e-01  7.50000000e-01  7.51968752e-01  7.50000000e-01 
 7.87501100e-06  8.46533656e-01  7.50000000e-01  7.50000000e-01  7.51968753e-01  7.50000000e-01 
 7.87501300e-06  8.46522016e-01  7.50000000e-01  7.50000000e-01  7.51968753e-01  7.50000000e-01 
 7.87501700e-06  8.46506919e-01  7.50000000e-01  7.50000000e-01  7.51968754e-01  7.50000000e-01 
 7.87502000e-06  8.46501112e-01  7.50000000e-01  7.50000000e-01  7.51968755e-01  7.50000000e-01 
 7.87502061e-06  8.46501978e-01  7.50000000e-01  7.50000000e-01  7.51968755e-01  7.50000000e-01 
 7.87502182e-06  8.46503360e-01  7.50000000e-01  7.50000000e-01  7.51968755e-01  7.50000000e-01 
 7.87502426e-06  8.46505830e-01  7.50000000e-01  7.50000000e-01  7.51968756e-01  7.50000000e-01 
 7.87502912e-06  8.46510606e-01  7.50000000e-01  7.50000000e-01  7.51968757e-01  7.50000000e-01 
 7.87503885e-06  8.46518748e-01  7.50000000e-01  7.50000000e-01  7.51968760e-01  7.50000000e-01 
 7.87505830e-06  8.46530997e-01  7.50000000e-01  7.50000000e-01  7.51968765e-01  7.50000000e-01 
 7.87509720e-06  8.46543910e-01  7.50000000e-01  7.50000000e-01  7.51968774e-01  7.50000000e-01 
 7.87517502e-06  8.46550495e-01  7.50000000e-01  7.50000000e-01  7.51968794e-01  7.50000000e-01 
 7.87533064e-06  8.46545938e-01  7.50000000e-01  7.50000000e-01  7.51968833e-01  7.50000000e-01 
 7.87553930e-06  8.46541499e-01  7.50000000e-01  7.50000000e-01  7.51968885e-01  7.50000000e-01 
 7.87580897e-06  8.46540211e-01  7.50000000e-01  7.50000000e-01  7.51968952e-01  7.50000000e-01 
 7.87613716e-06  8.46540125e-01  7.50000000e-01  7.50000000e-01  7.51969034e-01  7.50000000e-01 
 7.87662078e-06  8.46540029e-01  7.50000000e-01  7.50000000e-01  7.51969155e-01  7.50000000e-01 
 7.87737480e-06  8.46540102e-01  7.50000000e-01  7.50000000e-01  7.51969344e-01  7.50000000e-01 
 7.87888285e-06  8.46540034e-01  7.50000000e-01  7.50000000e-01  7.51969721e-01  7.50000000e-01 
 7.88189895e-06  8.46540100e-01  7.50000000e-01  7.50000000e-01  7.51970475e-01  7.50000000e-01 
 7.88793115e-06  8.46540035e-01  7.50000000e-01  7.50000000e-01  7.51971983e-01  7.50000000e-01 
 7.89999556e-06  8.46540100e-01  7.50000000e-01  7.50000000e-01  7.51974999e-01  7.50000000e-01 
 7.92412436e-06  8.46540035e-01  7.50000000e-01  7.50000000e-01  7.51981031e-01  7.50000000e-01 
 7.97238196e-06  8.46540100e-01  7.50000000e-01  7.50000000e-01  7.51993095e-01  7.50000000e-01 
 8.00000000e-06  8.46540035e-01  7.50000000e-01  7.50000000e-01  7.52000000e-01  7.50000000e-01 
 8.00000100e-06  8.46647253e-01  7.50000000e-01  7.50000000e-01  7.52000000e-01  7.50000000e-01 
 8.00000300e-06  8.46876879e-01  7.50000000e-01  7.50000000e-01  7.52000001e-01  7.50000000e-01 
 8.00000700e-06  8.47354806e-01  7.50000000e-01  7.50000000e-01  7.52000002e-01  7.50000000e-01 
 8.00001000e-06  8.48184601e-01  7.50000000e-01  7.50000000e-01  7.52000002e-01  7.50000000e-01 
 8.00001080e-06  8.48235632e-01  7.50000000e-01  7.50000000e-01  7.52000003e-01  7.50000000e-01 
 8.00001240e-06  8.48268743e-01  7.50000000e-01  7.50000000e-01  7.52000003e-01  7.50000000e-01 
 8.00001560e-06  8.48304892e-01  7.50000000e-01  7.50000000e-01  7.52000004e-01  7.50000000e-01 
 8.00002038e-06  8.48367270e-01  7.50000000e-01  7.50000000e-01  7.52000005e-01  7.50000000e-01 
 8.00002993e-06  8.48452389e-01  7.50000000e-01  7.50000000e-01  7.52000007e-01  7.50000000e-01 
 8.00004903e-06  8.48565479e-01  7.50000000e-01  7.50000000e-01  7.52000012e-01  7.50000000e-01 
 8.00008725e-06  8.47849324e-01  7.50000000e-01  7.50000000e-01  7.52000022e-01  7.50000000e-01 
 8.00013043e-06  8.46525360e-01  7.50000000e-01  7.50000000e-01  7.52000033e-01  7.50000000e-01 
 8.00020292e-06  8.44871717e-01  7.50000000e-01  7.50000000e-01  7.52000051e-01  7.50000000e-01 
 8.00027450e-06  8.43802789e-01  7.50000000e-01  7.50000000e-01  7.52000069e-01  7.50000000e-01 
 8.00041765e-06  8.42216147e-01  7.50000000e-01  7.50000000e-01  7.52000104e-01  7.50000000e-01 
 8.00060154e-06  8.40804683e-01  7.50000000e-01  7.50000000e-01  7.52000150e-01  7.50000000e-01 
 8.00096931e-06  8.39057152e-01  7.50000000e-01  7.50000000e-01  7.52000242e-01  7.50000000e-01 
 8.00170485e-06  8.37729548e-01  7.50000000e-01  7.50000000e-01  7.52000426e-01  7.50000000e-01 
 8.00248745e-06  8.37469688e-01  7.50000000e-01  7.50000000e-01  7.52000622e-01  7.50000000e-01 
 8.00367631e-06  8.37428913e-01  7.50000000e-01  7.50000000e-01  7.52000919e-01  7.50000000e-01 
 8.00531096e-06  8.37423966e-01  7.50000000e-01  7.50000000e-01  7.52001328e-01  7.50000000e-01 
 8.00858027e-06  8.37430689e-01  7.50000000e-01  7.50000000e-01  7.52002145e-01  7.50000000e-01 
 8.01511887e-06  8.37423745e-01  7.50000000e-01  7.50000000e-01  7.52003780e-01  7.50000000e-01 
 8.02819609e-06  8.37430720e-01  7.50000000e-01  7.50000000e-01  7.52007049e-01  7.50000000e-01 
 8.05435052e-06  8.37423676e-01  7.50000000e-01  7.50000000e-01  7.52013588e-01  7.50000000e-01 
