 time            v(vin)          v(vout_buf)     v(vout_st)     
 0.00000000e+00  0.00000000e+00  1.11355078e-09  1.11355086e-09 
 5.00000000e-08  1.65000000e-04  1.11506423e-09  1.11957527e-09 
 1.00000000e-07  3.30000000e-04  1.11355181e-09  1.11356767e-09 
 2.00000000e-07  6.60000000e-04  1.11354977e-09  1.11353395e-09 
 4.00000000e-07  1.32000000e-03  1.11355207e-09  1.11356764e-09 
 8.00000000e-07  2.64000000e-03  1.11354982e-09  1.11353407e-09 
 1.60000000e-06  5.28000000e-03  1.11355193e-09  1.11356729e-09 
 3.20000000e-06  1.05600000e-02  1.11354968e-09  1.11353412e-09 
 6.40000000e-06  2.11200000e-02  1.11355197e-09  1.11356734e-09 
 1.14000000e-05  3.76200000e-02  1.11354970e-09  1.11353415e-09 
 1.64000000e-05  5.41200000e-02  1.11355173e-09  1.11356732e-09 
 2.14000000e-05  7.06200000e-02  1.11354957e-09  1.11353409e-09 
 2.64000000e-05  8.71200000e-02  1.11355165e-09  1.11356735e-09 
 3.14000000e-05  1.03620000e-01  1.11354947e-09  1.11353378e-09 
 3.64000000e-05  1.20120000e-01  1.11355141e-09  1.11356701e-09 
 4.14000000e-05  1.36620000e-01  1.11354888e-09  1.11353347e-09 
 4.64000000e-05  1.53120000e-01  1.11355056e-09  1.11356631e-09 
 5.14000000e-05  1.69620000e-01  1.11354766e-09  1.11353264e-09 
 5.64000000e-05  1.86120000e-01  1.11354856e-09  1.11356501e-09 
 6.14000000e-05  2.02620000e-01  1.11354184e-09  1.11352888e-09 
 6.64000000e-05  2.19120000e-01  1.11354392e-09  1.11356210e-09 
 7.14000000e-05  2.35620000e-01  1.11353271e-09  1.11352314e-09 
 7.64000000e-05  2.52120000e-01  1.11352895e-09  1.11355363e-09 
 8.14000000e-05  2.68620000e-01  1.11350871e-09  1.11351449e-09 
 8.64000000e-05  2.85120000e-01  1.11349048e-09  1.11358438e-09 
 9.14000000e-05  3.01620000e-01  1.11344720e-09  1.11361025e-09 
 9.64000000e-05  3.18120000e-01  1.11339188e-09  1.11347548e-09 
 1.01400000e-04  3.34620000e-01  1.11328855e-09  1.11363628e-09 
 1.06400000e-04  3.51120000e-01  1.11313651e-09  1.11345846e-09 
 1.11400000e-04  3.67620000e-01  1.11287729e-09  1.11364926e-09 
 1.16400000e-04  3.84120000e-01  1.11247303e-09  1.11344699e-09 
 1.21400000e-04  4.00620000e-01  1.11180663e-09  1.11365971e-09 
 1.26400000e-04  4.17120000e-01  1.11074579e-09  1.11343730e-09 
 1.31400000e-04  4.33620000e-01  1.10902136e-09  1.11366898e-09 
 1.36400000e-04  4.50120000e-01  1.10626232e-09  1.11342778e-09 
 1.41400000e-04  4.66620000e-01  1.10183054e-09  1.11367824e-09 
 1.46400000e-04  4.83120000e-01  1.09480588e-09  1.11341849e-09 
 1.51400000e-04  4.99620000e-01  1.08378520e-09  1.11368761e-09 
 1.56400000e-04  5.16120000e-01  1.06690566e-09  1.11340911e-09 
 1.61400000e-04  5.32620000e-01  1.04186220e-09  1.11369650e-09 
 1.66400000e-04  5.49120000e-01  1.00640337e-09  1.11339953e-09 
 1.71400000e-04  5.65620000e-01  9.58914538e-10  1.11370557e-09 
 1.76400000e-04  5.82120000e-01  8.99070560e-10  1.11338971e-09 
 1.81400000e-04  5.98620000e-01  8.27780564e-10  1.11371470e-09 
 1.86400000e-04  6.15120000e-01  7.46792057e-10  1.11338029e-09 
 1.91400000e-04  6.31620000e-01  6.57998447e-10  1.11372425e-09 
 1.96400000e-04  6.48120000e-01  5.63135951e-10  1.11337088e-09 
 2.01400000e-04  6.64620000e-01  4.63558409e-10  1.11373409e-09 
 2.06400000e-04  6.81120000e-01  3.60346360e-10  1.11336149e-09 
 2.11400000e-04  6.97620000e-01  2.54295170e-10  1.11374407e-09 
 2.16400000e-04  7.14120000e-01  1.46080848e-10  1.11335182e-09 
