 time            v(vin)          v(vout_buf)     v(vout_st)     
 0.00000000e+00  0.00000000e+00  1.11355078e-09  1.11355086e-09 
 1.00000000e-08  2.20224409e-03  1.61716718e-09  3.10172459e-09 
 2.00000000e-08  4.40448818e-03  1.11574530e-09  1.14271050e-09 
 4.00000000e-08  8.80897637e-03  1.11183332e-09  1.08696062e-09 
 8.00000000e-08  1.76179527e-02  1.11572952e-09  1.14167353e-09 
 1.60000000e-07  3.52359055e-02  1.11184344e-09  1.08747967e-09 
 3.20000000e-07  7.04718109e-02  1.11572813e-09  1.14145837e-09 
 6.40000000e-07  1.40943622e-01  1.11180996e-09  1.08763972e-09 
 1.00000000e-06  2.20224409e-01  1.11526537e-09  1.14114962e-09 
 1.06400000e-06  2.14125943e-01  9.94880584e-10  6.40117473e-10 
 1.19200000e-06  2.01929009e-01  1.23285417e-09  1.58629713e-09 
 1.44800000e-06  1.77535143e-01  9.94742108e-10  6.42531332e-10 
 1.96000000e-06  1.28747409e-01  1.23248175e-09  1.58448908e-09 
 2.00000000e-06  1.24935868e-01  9.95186788e-10  6.49739232e-10 
 2.08000000e-06  8.59274959e-02  9.98229837e-10  6.53200352e-10 
 2.24000000e-06  7.91075210e-03  1.23222223e-09  1.58602524e-09 
 2.56000000e-06 -1.48122736e-01  9.97206459e-10  6.50940322e-10 
 3.00000000e-06 -3.62668782e-01  1.23189224e-09  1.58369320e-09 
 3.06400000e-06 -3.23344395e-01  1.48242826e-09  2.58371974e-09 
 3.19200000e-06 -2.44695620e-01  7.48166938e-10 -3.38233186e-10 
 3.44800000e-06 -8.73980708e-02  1.48206780e-09  2.57550064e-09 
 3.96000000e-06  2.27197028e-01  7.48494420e-10 -3.31667785e-10 
 4.00000000e-06  2.51774772e-01  1.47683653e-09  2.55140680e-09 
 4.08000000e-06  2.75260133e-01  1.01308614e-09  7.27577494e-10 
 4.24000001e-06  3.22230854e-01  1.19659617e-09  1.48958918e-09 
 4.56000003e-06  4.16172298e-01  8.59288479e-10  6.33498396e-10 
 5.00000000e-06  5.45341765e-01 -3.73666763e-09  1.62472720e-09 
 5.06400000e-06  5.34951522e-01  5.28808093e-09  6.29314417e-10 
 5.19200001e-06  5.14171034e-01  2.89450840e-09  1.59501020e-09 
 5.44800003e-06  4.72610060e-01  2.00585422e-09  6.32676418e-10 
 5.96000005e-06  3.89488111e-01  7.58220144e-10  1.59313709e-09 
 6.00000000e-06  3.82994218e-01  1.58350884e-09  6.45354589e-10 
 6.07999989e-06  3.80253323e-01  1.16487726e-09  1.25767202e-09 
 6.23999967e-06  3.74771534e-01  1.08145283e-09  9.58616411e-10 
 6.55999923e-06  3.63807956e-01  1.16081703e-09  1.26826636e-09 
 7.00000000e-06  3.48732988e-01  1.07677580e-09  9.58974322e-10 
 7.06399991e-06  3.21074514e-01  9.96276276e-10  5.21302893e-10 
 7.19199973e-06  2.65757564e-01  1.25688332e-09  1.72042378e-09 
 7.44799938e-06  1.55123666e-01  9.75466593e-10  5.13150097e-10 
 7.95999867e-06 -6.61441316e-02  1.25359855e-09  1.71930509e-09 
 8.00000000e-06 -8.34312757e-02  9.75782306e-10  5.22740603e-10 
 8.08000265e-06 -6.34287106e-02  1.30514578e-09  1.87095892e-09 
 8.24000796e-06 -2.34235796e-02  9.23505168e-10  3.59376162e-10 
 8.50775237e-06  4.35188889e-02  1.30410177e-09  1.86616408e-09 
 9.00000000e-06  1.66592498e-01  9.23604113e-10  3.63486603e-10 
 9.05354888e-06  1.67937860e-01  1.01347031e-09  7.13573584e-10 
 9.16064665e-06  1.70628583e-01  1.21343733e-09  1.51117762e-09 
 9.37484218e-06  1.76010030e-01  1.01369533e-09  7.16911082e-10 
 9.80323324e-06  1.86772923e-01  1.21333195e-09  1.50958775e-09 
 1.00000000e-05  1.91716490e-01  1.01376871e-09  7.18602011e-10 
 1.00856782e-05  1.95364298e-01  1.11832768e-09  1.13227190e-09 
 1.02570346e-05  2.02659914e-01  1.10866391e-09  1.09483503e-09 
 1.05997475e-05  2.17251147e-01  1.11828364e-09  1.13215016e-09 
 1.10000000e-05  2.34292170e-01  1.10849002e-09  1.09480179e-09 
 1.10685426e-05  2.43092966e-01  1.14326704e-09  1.23385116e-09 
 1.12056277e-05  2.60694559e-01  1.08204573e-09  9.93391694e-10 
 1.14797980e-05  2.95897744e-01  1.14088886e-09  1.23148083e-09 
 1.20000000e-05  3.62691154e-01  1.06566175e-09  9.84707701e-10 
 1.20548341e-05  3.35346984e-01  8.92301460e-10  2.25532840e-11 
 1.21645022e-05  2.80658642e-01  1.37933599e-09  2.23994741e-09 
 1.23838384e-05  1.71281958e-01  8.56177604e-10  8.11206736e-12 
 1.28225108e-05 -4.74714096e-02  1.37356932e-09  2.23022527e-09 
 1.30000000e-05 -1.35980166e-01  8.56077530e-10  1.06139926e-11 
 1.30877345e-05 -1.23234814e-01  1.27718126e-09  1.76033962e-09 
 1.32632035e-05 -9.77441082e-02  9.50233514e-10  4.64656977e-10 
 1.36141414e-05 -4.67626970e-02  1.27699612e-09  1.76023391e-09 
 1.40000000e-05  9.29169770e-03  9.50360729e-10  4.67807681e-10 
 1.40701876e-05  2.85056478e-02  1.15572762e-09  1.28022766e-09 
 1.42105628e-05  6.69335482e-02  1.07232583e-09  9.50627297e-10 
 1.44913131e-05  1.43789349e-01  1.15545058e-09  1.27881346e-09 
 1.50000000e-05  2.83043081e-01  1.06997680e-09  9.50084914e-10 
 1.50561501e-05  2.79203723e-01  9.65541774e-10  5.19733266e-10 
 1.51684502e-05  2.71525006e-01  1.26355289e-09  1.70638991e-09 
 1.53930505e-05  2.56167572e-01  9.65188589e-10  5.23506617e-10 
 1.58422511e-05  2.25452703e-01  1.26271717e-09  1.70362579e-09 
 1.60000000e-05  2.14666348e-01  9.65075209e-10  5.26257249e-10 
 1.60898401e-05  2.13839658e-01  1.12932142e-09  1.17579504e-09 
 1.62695203e-05  2.12186279e-01  1.09783945e-09  1.05153680e-09 
 1.66288808e-05  2.08879520e-01  1.12930344e-09  1.17550310e-09 
 1.70000000e-05  2.05464559e-01  1.09784610e-09  1.05172936e-09 
 1.70718721e-05  2.24872557e-01  1.20629885e-09  1.48469993e-09 
 1.72156163e-05  2.63688552e-01  1.01846902e-09  7.46467387e-10 
 1.75031047e-05  3.41320544e-01  1.18816992e-09  1.47013968e-09 
 1.80000000e-05  4.75499797e-01  3.93866940e-10  7.02953208e-10 
