 v-sweep         v(vinp)         v(voutp)       
 5.00000000e-01  5.00000000e-01  6.00862233e-03 
 5.01000000e-01  5.01000000e-01  6.00985651e-03 
 5.02000000e-01  5.02000000e-01  6.01114322e-03 
 5.03000000e-01  5.03000000e-01  6.01246761e-03 
 5.04000000e-01  5.04000000e-01  6.01382757e-03 
 5.05000000e-01  5.05000000e-01  6.01523302e-03 
 5.06000000e-01  5.06000000e-01  6.01667145e-03 
 5.07000000e-01  5.07000000e-01  6.01816382e-03 
 5.08000000e-01  5.08000000e-01  6.01969533e-03 
 5.09000000e-01  5.09000000e-01  6.02127800e-03 
 5.10000000e-01  5.10000000e-01  6.02289684e-03 
 5.11000000e-01  5.11000000e-01  6.02457354e-03 
 5.12000000e-01  5.12000000e-01  6.02629986e-03 
 5.13000000e-01  5.13000000e-01  6.02807662e-03 
 5.14000000e-01  5.14000000e-01  6.02991376e-03 
 5.15000000e-01  5.15000000e-01  6.03180377e-03 
 5.16000000e-01  5.16000000e-01  6.03375272e-03 
 5.17000000e-01  5.17000000e-01  6.03575914e-03 
 5.18000000e-01  5.18000000e-01  6.03783308e-03 
 5.19000000e-01  5.19000000e-01  6.03996130e-03 
 5.20000000e-01  5.20000000e-01  6.04216392e-03 
 5.21000000e-01  5.21000000e-01  6.04443459e-03 
 5.22000000e-01  5.22000000e-01  6.04676810e-03 
 5.23000000e-01  5.23000000e-01  6.04918941e-03 
 5.24000000e-01  5.24000000e-01  6.05167593e-03 
 5.25000000e-01  5.25000000e-01  6.05424157e-03 
 5.26000000e-01  5.26000000e-01  6.05689193e-03 
 5.27000000e-01  5.27000000e-01  6.05962586e-03 
 5.28000000e-01  5.28000000e-01  6.06244319e-03 
 5.29000000e-01  5.29000000e-01  6.06535396e-03 
 5.30000000e-01  5.30000000e-01  6.06835932e-03 
 5.31000000e-01  5.31000000e-01  6.07145001e-03 
 5.32000000e-01  5.32000000e-01  6.07465271e-03 
 5.33000000e-01  5.33000000e-01  6.07794708e-03 
 5.34000000e-01  5.34000000e-01  6.08134831e-03 
 5.35000000e-01  5.35000000e-01  6.08486302e-03 
 5.36000000e-01  5.36000000e-01  6.08848811e-03 
 5.37000000e-01  5.37000000e-01  6.09223119e-03 
 5.38000000e-01  5.38000000e-01  6.09609919e-03 
 5.39000000e-01  5.39000000e-01  6.10009031e-03 
 5.40000000e-01  5.40000000e-01  6.10420341e-03 
 5.41000000e-01  5.41000000e-01  6.10846046e-03 
 5.42000000e-01  5.42000000e-01  6.11285141e-03 
 5.43000000e-01  5.43000000e-01  6.11737526e-03 
 5.44000000e-01  5.44000000e-01  6.12206559e-03 
 5.45000000e-01  5.45000000e-01  6.12688908e-03 
 5.46000000e-01  5.46000000e-01  6.13188365e-03 
 5.47000000e-01  5.47000000e-01  6.13703456e-03 
 5.48000000e-01  5.48000000e-01  6.14234444e-03 
 5.49000000e-01  5.49000000e-01  6.14784928e-03 
 5.50000000e-01  5.50000000e-01  6.15351600e-03 
 5.51000000e-01  5.51000000e-01  6.15938285e-03 
 5.52000000e-01  5.52000000e-01  6.16542576e-03 
 5.53000000e-01  5.53000000e-01  6.17168376e-03 
 5.54000000e-01  5.54000000e-01  6.17813373e-03 
 5.55000000e-01  5.55000000e-01  6.18480687e-03 
 5.56000000e-01  5.56000000e-01  6.19168739e-03 
 5.57000000e-01  5.57000000e-01  6.19880785e-03 
 5.58000000e-01  5.58000000e-01  6.20615905e-03 
