 frequency       v(inoise_spectrum) v(onoise_spectrum)
 1.50000000e-01  3.34848643e-06  2.84262691e-04 
 1.53458959e-01  3.31056934e-06  2.81043800e-04 
 1.56997682e-01  3.27308242e-06  2.77861427e-04 
 1.60618006e-01  3.23602079e-06  2.74715158e-04 
 1.64321814e-01  3.19937965e-06  2.71604585e-04 
 1.68111030e-01  3.16315422e-06  2.68529304e-04 
 1.71987625e-01  3.12733979e-06  2.65488914e-04 
 1.75953613e-01  3.09193173e-06  2.62483021e-04 
 1.80011056e-01  3.05692543e-06  2.59511234e-04 
 1.84162062e-01  3.02231633e-06  2.56573168e-04 
 1.88408790e-01  2.98809994e-06  2.53668440e-04 
 1.92753446e-01  2.95427181e-06  2.50796673e-04 
 1.97198288e-01  2.92082756e-06  2.47957493e-04 
 2.01745627e-01  2.88776283e-06  2.45150532e-04 
 2.06397827e-01  2.85507332e-06  2.42375426e-04 
 2.11157305e-01  2.82275480e-06  2.39631813e-04 
 2.16026535e-01  2.79080306e-06  2.36919337e-04 
 2.21008049e-01  2.75921394e-06  2.34237645e-04 
 2.26104435e-01  2.72798335e-06  2.31586390e-04 
 2.31318342e-01  2.69710722e-06  2.28965226e-04 
 2.36652481e-01  2.66658155e-06  2.26373814e-04 
 2.42109623e-01  2.63640236e-06  2.23811815e-04 
 2.47692605e-01  2.60656574e-06  2.21278898e-04 
 2.53404330e-01  2.57706781e-06  2.18774734e-04 
 2.59247765e-01  2.54790474e-06  2.16298996e-04 
 2.65225949e-01  2.51907273e-06  2.13851363e-04 
 2.71341987e-01  2.49056804e-06  2.11431518e-04 
 2.77599060e-01  2.46238697e-06  2.09039145e-04 
 2.84000420e-01  2.43452585e-06  2.06673934e-04 
 2.90549393e-01  2.40698107e-06  2.04335578e-04 
 2.97249383e-01  2.37974904e-06  2.02023772e-04 
 3.04103874e-01  2.35282623e-06  1.99738217e-04 
 3.11116427e-01  2.32620914e-06  1.97478615e-04 
 3.18290688e-01  2.29989431e-06  1.95244673e-04 
 3.25630385e-01  2.27387832e-06  1.93036100e-04 
 3.33139333e-01  2.24815778e-06  1.90852610e-04 
