 time            v(vind)         v(vout)         v(vinp)         v(vinn)         v(voutp)        v(voutn)       
 0.00000000e+00  0.00000000e+00  9.10382880e-15  7.50000000e-01  7.50000000e-01  3.47057540e-01  3.47057540e-01 
 1.00000000e-07  6.28318530e-08  2.38625952e-10  7.50000031e-01  7.49999969e-01  3.47057540e-01  3.47057540e-01 
 2.00000000e-07  1.25663706e-07  2.09330803e-09  7.50000063e-01  7.49999937e-01  3.47057541e-01  3.47057539e-01 
 4.00000000e-07  2.51327410e-07  1.35166967e-08  7.50000126e-01  7.49999874e-01  3.47057546e-01  3.47057532e-01 
 8.00000000e-07  5.02654803e-07  9.45638371e-08  7.50000251e-01  7.49999749e-01  3.47057585e-01  3.47057491e-01 
 1.60000000e-06  1.00530948e-06  5.37051827e-07  7.50000503e-01  7.49999497e-01  3.47057803e-01  3.47057266e-01 
 3.20000000e-06  2.01061794e-06  2.59820298e-06  7.50001005e-01  7.49998995e-01  3.47058832e-01  3.47056234e-01 
 6.40000000e-06  4.02122776e-06  1.13215105e-05  7.50002011e-01  7.49997989e-01  3.47063175e-01  3.47051854e-01 
 1.28000000e-05  8.04239049e-06  4.62761152e-05  7.50004021e-01  7.49995979e-01  3.47080601e-01  3.47034325e-01 
 2.28000000e-05  1.43251725e-05  1.44083694e-04  7.50007163e-01  7.49992837e-01  3.47129411e-01  3.46985328e-01 
 3.28000000e-05  2.06073890e-05  2.89827043e-04  7.50010304e-01  7.49989696e-01  3.47202117e-01  3.46912289e-01 
 4.28000000e-05  2.68887919e-05  4.78596155e-04  7.50013444e-01  7.49986556e-01  3.47296142e-01  3.46817546e-01 
 5.28000000e-05  3.31691333e-05  7.05656406e-04  7.50016585e-01  7.49983415e-01  3.47409377e-01  3.46703720e-01 
 6.28000000e-05  3.94481653e-05  9.66776806e-04  7.50019724e-01  7.49980276e-01  3.47539533e-01  3.46572756e-01 
 7.28000000e-05  4.57256399e-05  1.25822458e-03  7.50022863e-01  7.49977137e-01  3.47684806e-01  3.46426581e-01 
 8.28000000e-05  5.20013093e-05  1.57661421e-03  7.50026001e-01  7.49973999e-01  3.47843449e-01  3.46266834e-01 
 9.28000000e-05  5.82749259e-05  1.91887794e-03  7.50029137e-01  7.49970863e-01  3.48014039e-01  3.46095161e-01 
 1.02800000e-04  6.45462418e-05  2.28234097e-03  7.50032273e-01  7.49967727e-01  3.48195236e-01  3.45912895e-01 
 1.12800000e-04  7.08150095e-05  2.66463395e-03  7.50035408e-01  7.49964592e-01  3.48385975e-01  3.45721341e-01 
 1.22800000e-04  7.70809816e-05  3.06363306e-03  7.50038540e-01  7.49961460e-01  3.48585312e-01  3.45521679e-01 
 1.32800000e-04  8.33439107e-05  3.47740901e-03  7.50041672e-01  7.49958328e-01  3.48792049e-01  3.45314640e-01 
 1.42800000e-04  8.96035495e-05  3.90433824e-03  7.50044802e-01  7.49955198e-01  3.49005186e-01  3.45100848e-01 
 1.52800000e-04  9.58596509e-05  4.34292577e-03  7.50047930e-01  7.49952070e-01  3.49224131e-01  3.44881205e-01 
 1.62800000e-04  1.02111968e-04  4.79177496e-03  7.50051056e-01  7.49948944e-01  3.49448286e-01  3.44656511e-01 
 1.72800000e-04  1.08360254e-04  5.24970552e-03  7.50054180e-01  7.49945820e-01  3.49677032e-01  3.44427326e-01 
 1.82800000e-04  1.14604262e-04  5.71575926e-03  7.50057302e-01  7.49942698e-01  3.49910031e-01  3.44194271e-01 
 1.92800000e-04  1.20843745e-04  6.18889057e-03  7.50060422e-01  7.49939578e-01  3.50146525e-01  3.43957634e-01 
 2.02800000e-04  1.27078458e-04  6.66826920e-03  7.50063539e-01  7.49936461e-01  3.50385997e-01  3.43717727e-01 
 2.12800000e-04  1.33308154e-04  7.15322652e-03  7.50066654e-01  7.49933346e-01  3.50628239e-01  3.43475013e-01 
 2.22800000e-04  1.39532587e-04  7.64305605e-03  7.50069766e-01  7.49930234e-01  3.50872971e-01  3.43229915e-01 
