 v-sweep         v(Ileak_lv_w_dummy) v(Ileak_hv_w_dummy) v(Ileak_lv_wo_dummy) v(Ileak_hv_wo_dummy)
 0.00000000e+00 -4.65232594e-11 -2.18439789e-15 -4.38621345e-11 -1.72813234e-15 
 1.00000000e-02 -3.43195635e-11 -2.16439789e-15 -3.16584387e-11 -1.70813234e-15 
 2.00000000e-02 -2.54821571e-11 -2.14439789e-15 -2.28210323e-11 -1.68813234e-15 
 3.00000000e-02 -1.90832414e-11 -2.12439789e-15 -1.64221166e-11 -1.66813234e-15 
 4.00000000e-02 -1.44505304e-11 -2.10439789e-15 -1.17894055e-11 -1.64813234e-15 
 5.00000000e-02 -1.10969374e-11 -2.08439789e-15 -8.43581260e-12 -1.62813234e-15 
 6.00000000e-02 -8.25613672e-12 -2.06439789e-15 -5.59501190e-12 -1.60813234e-15 
 7.00000000e-02 -6.61355270e-12 -2.04439789e-15 -3.95242788e-12 -1.58813234e-15 
 8.00000000e-02 -5.42502360e-12 -2.02439789e-15 -2.76389878e-12 -1.56813234e-15 
 9.00000000e-02 -4.56515083e-12 -2.00439789e-15 -1.90402601e-12 -1.54813234e-15 
 1.00000000e-01 -3.94313731e-12 -1.98439789e-15 -1.28201249e-12 -1.52813234e-15 
 1.10000000e-01 -3.49324786e-12 -1.96439789e-15 -8.32123041e-13 -1.50813234e-15 
 1.20000000e-01 -3.16789715e-12 -1.94439789e-15 -5.06772337e-13 -1.48813234e-15 
 1.30000000e-01 -2.93264334e-12 -1.92439789e-15 -2.71518526e-13 -1.46813234e-15 
 1.40000000e-01 -2.76256033e-12 -1.90439789e-15 -1.01435512e-13 -1.44813234e-15 
 1.50000000e-01 -2.63961158e-12 -1.88439789e-15  2.15132387e-14 -1.42813234e-15 
 1.60000000e-01 -2.55074726e-12 -1.86439789e-15  1.10377556e-13 -1.40813234e-15 
 1.70000000e-01 -2.48652708e-12 -1.84439789e-15  1.74597739e-13 -1.38813234e-15 
 1.80000000e-01 -2.44012256e-12 -1.82439789e-15  2.21002255e-13 -1.36813234e-15 
 1.90000000e-01 -2.40659549e-12 -1.80439789e-15  2.54529330e-13 -1.34813234e-15 
 2.00000000e-01 -2.38237483e-12 -1.78439789e-15  2.78749992e-13 -1.32813234e-15 
