Vinp,Vout,dVout
7.500000000000000000e+02,0.000000000000000000e+00,5.849590530000000028e-06
7.500040000000000191e+02,4.260871659999999624e-12,1.136801920000000045e-07
7.500080000000000382e+02,4.740461359999999834e-12,1.263988319999999919e-07
7.500120000000000573e+02,5.273967930000000252e-12,1.407030669999999909e-07
7.500159999999999627e+02,5.867717419999999846e-12,1.564770249999999903e-07
7.500199999999999818e+02,6.528300120000000192e-12,1.741073879999999899e-07
7.500240000000000009e+02,7.263085689999999757e-12,1.937539200000000034e-07
7.500280000000000200e+02,8.080702770000000640e-12,2.154943369999999888e-07
7.500320000000000391e+02,8.990286290000000256e-12,2.397682939999999879e-07
7.500360000000000582e+02,1.000226570000000029e-11,2.667556389999999973e-07
7.500400000000000773e+02,1.112800520000000001e-11,2.968338649999999831e-07
7.500440000000000964e+02,1.238070759999999989e-11,3.301559190000000058e-07
7.500480000000000018e+02,1.377424620000000003e-11,3.673573260000000165e-07
7.500520000000000209e+02,1.532477260000000063e-11,4.087487259999999883e-07
7.500559999999999263e+02,1.704982819999999963e-11,4.547094809999999967e-07
7.500599999999999454e+02,1.896888869999999841e-11,5.058908170000000378e-07
7.500639999999999645e+02,2.110411179999999885e-11,5.628253459999999703e-07
7.500679999999999836e+02,2.347974259999999936e-11,6.262324900000000492e-07
7.500720000000000027e+02,2.612255749999999908e-11,6.967139989999999973e-07
7.500760000000000218e+02,2.906314080000000136e-11,7.750553319999999611e-07
7.500799999999999272e+02,3.233453729999999851e-11,8.623900059999999506e-07
7.500839999999999463e+02,3.597421249999999826e-11,9.593947500000000948e-07
7.500879999999999654e+02,4.002358670000000042e-11,1.067424039999999897e-06
7.500919999999999845e+02,4.452883170000000119e-11,1.187539239999999895e-06
7.500960000000000036e+02,4.954119340000000162e-11,1.321263600000000050e-06
7.501000000000000227e+02,5.511769259999999865e-11,1.469950509999999948e-06
7.501040000000000418e+02,6.132187870000000331e-11,1.635460519999999989e-06
7.501079999999999472e+02,6.822446829999999578e-11,1.819526859999999927e-06
7.501119999999999663e+02,7.590406079999999601e-11,2.024316669999999949e-06
7.501159999999999854e+02,8.444805970000000421e-11,2.252152560000000082e-06
7.501200000000000045e+02,9.395386690000000205e-11,2.505694989999999823e-06
7.501240000000000236e+02,1.045295980000000005e-10,2.787776330000000127e-06
7.501280000000000427e+02,1.162958690000000016e-10,3.101681179999999798e-06
7.501320000000000618e+02,1.293864770000000070e-10,3.450622540000000073e-06
7.501360000000000809e+02,1.439505740000000126e-10,3.839205629999999902e-06
7.501399999999999864e+02,1.601541809999999877e-10,4.271284229999999842e-06
7.501440000000000055e+02,1.781816630000000089e-10,4.752051280000000082e-06
7.501480000000000246e+02,1.982383700000000077e-10,5.286970700000000389e-06
7.501520000000000437e+02,2.205526889999999984e-10,5.882130980000000124e-06
7.501560000000000628e+02,2.453788170000000184e-10,6.544244549999999989e-06
7.501600000000000819e+02,2.729995210000000151e-10,7.280874279999999909e-06
7.501640000000001010e+02,3.037292619999999949e-10,8.100444579999999912e-06
7.501679999999998927e+02,3.379180650000000216e-10,9.012254720000000165e-06
7.501719999999999118e+02,3.759552849999999987e-10,1.002669120000000034e-05
7.501759999999999309e+02,4.182740820000000109e-10,1.115523009999999986e-05
7.501799999999999500e+02,4.653564180000000222e-10,1.241092770000000015e-05
7.501839999999999691e+02,5.177384230000000400e-10,1.380798900000000052e-05
7.501879999999999882e+02,5.760169010000000319e-10,1.536223860000000032e-05
7.501920000000000073e+02,6.408551179999999840e-10,1.709149079999999941e-05
7.501960000000000264e+02,7.129920099999999953e-10,1.901535230000000112e-05
7.501999999999999318e+02,7.932486779999999485e-10,2.115580330000000134e-05
7.502039999999999509e+02,8.825394729999999835e-10,2.353720249999999905e-05
7.502079999999999700e+02,9.818810970000000320e-10,2.618649320000000151e-05
7.502119999999999891e+02,1.092404839999999921e-09,2.913425880000000120e-05
7.502160000000000082e+02,1.215369539999999928e-09,3.241369769999999736e-05
7.502200000000000273e+02,1.352175740000000026e-09,3.606230240000000053e-05
7.502240000000000464e+02,1.504381159999999925e-09,4.012159220000000021e-05
7.502279999999999518e+02,1.673719219999999923e-09,4.463784860000000242e-05
7.502319999999999709e+02,1.862118800000000007e-09,4.966239969999999924e-05
7.502359999999999900e+02,2.071724999999999895e-09,5.525252209999999839e-05
7.502400000000000091e+02,2.304925170000000012e-09,6.147202710000000247e-05
7.502440000000000282e+02,2.564375360000000206e-09,6.839142359999999632e-05
7.502480000000000473e+02,2.853029950000000005e-09,7.608978649999999753e-05
7.502520000000000664e+02,3.174176570000000119e-09,8.465473600000000636e-05
7.502560000000000855e+02,3.531472440000000123e-09,9.418379229999999729e-05
7.502599999999999909e+02,4.035169289999999768e-09,1.593108660000000000e-04
7.502640000000000100e+02,4.489381380000000006e-09,1.197310569999999986e-04
7.502680000000000291e+02,4.994721249999999876e-09,1.332082389999999963e-04
7.502720000000000482e+02,5.556943659999999805e-09,1.482026929999999973e-04
7.502760000000000673e+02,6.182451689999999760e-09,1.648849569999999865e-04
7.502799999999999727e+02,6.878369209999999685e-09,1.834449770000000000e-04
7.502839999999999918e+02,7.652621399999999193e-09,2.040940770000000053e-04
7.502880000000000109e+02,8.514025930000000496e-09,2.270677010000000039e-04
7.502919999999999163e+02,9.472393050000000767e-09,2.526272300000000082e-04
7.502959999999999354e+02,1.053863729999999947e-08,2.810635349999999924e-04
7.502999999999999545e+02,1.172490140000000077e-08,3.127011000000000070e-04
7.503039999999999736e+02,1.304469549999999923e-08,3.478998210000000101e-04
7.503079999999999927e+02,1.451305000000000005e-08,3.870604190000000036e-04
7.503120000000000118e+02,1.614668739999999855e-08,4.306295629999999999e-04
7.503160000000000309e+02,1.796421239999999947e-08,4.791027590000000247e-04
7.503199999999999363e+02,1.998632399999999849e-08,5.330317780000000350e-04
7.503239999999999554e+02,2.223605129999999954e-08,5.930317420000000110e-04
7.503279999999999745e+02,2.473901550000000068e-08,6.597854549999999972e-04
7.503319999999999936e+02,2.752372150000000105e-08,7.340526790000000091e-04
7.503360000000000127e+02,3.062188350000000208e-08,8.166802169999999670e-04
7.503400000000000318e+02,3.406878480000000307e-08,9.086086370000000419e-04
7.503440000000000509e+02,3.790368089999999900e-08,1.010884749999999910e-03
7.503480000000000700e+02,4.217024559999999863e-08,1.124673390000000038e-03
7.503519999999999754e+02,4.691706910000000301e-08,1.251270529999999907e-03
7.503559999999999945e+02,5.219821080000000296e-08,1.392118049999999932e-03
7.503600000000000136e+02,5.807381539999999849e-08,1.548818509999999897e-03
7.503640000000000327e+02,6.461079770000000532e-08,1.723158910000000075e-03
7.503680000000000518e+02,7.188360439999999665e-08,1.917123649999999966e-03
7.503720000000000709e+02,7.997506250000000152e-08,2.132920249999999823e-03
7.503760000000000900e+02,8.897732189999999832e-08,2.373010809999999849e-03
7.503799999999999955e+02,9.899290569999999650e-08,2.640123309999999925e-03
7.503840000000000146e+02,1.101358770000000048e-07,2.937304720000000115e-03
7.503880000000000337e+02,1.225331380000000004e-07,3.267937979999999826e-03
7.503919999999999391e+02,1.363258749999999958e-07,3.635788379999999823e-03
7.503959999999999582e+02,1.516711699999999900e-07,4.045042310000000058e-03
7.503999999999999773e+02,1.687437809999999918e-07,4.500366379999999784e-03
7.504039999999999964e+02,1.877381419999999956e-07,5.006943130000000158e-03
7.504080000000000155e+02,2.088705709999999970e-07,5.570542000000000375e-03
7.504119999999999209e+02,2.323817359999999912e-07,6.197581550000000154e-03
7.504159999999999400e+02,2.585393950000000133e-07,6.895197680000000363e-03
7.504199999999999591e+02,2.876414470000000081e-07,7.671344820000000272e-03
