time,Vclk,Vs,Vcpp,Vcpn,Voutp,Voutn
0.000000000000000000e+00,0.000000000000000000e+00,6.986201300000000058e-01,1.499999960000000021e+00,1.499999950000000082e+00,1.424074479999999965e-07,1.424074420000000012e-07
5.120000000000000245e-02,0.000000000000000000e+00,6.986201300000000058e-01,1.499999960000000021e+00,1.499999950000000082e+00,1.424074479999999965e-07,1.424074420000000012e-07
3.712000000000000299e-01,0.000000000000000000e+00,6.986201300000000058e-01,1.499999960000000021e+00,1.499999950000000082e+00,1.424074479999999965e-07,1.424074420000000012e-07
6.911999999999999256e-01,0.000000000000000000e+00,6.986201300000000058e-01,1.499999960000000021e+00,1.499999950000000082e+00,1.424074479999999965e-07,1.424074420000000012e-07
1.011199999999999877e+00,0.000000000000000000e+00,6.986201300000000058e-01,1.499999960000000021e+00,1.499999950000000082e+00,1.424074479999999965e-07,1.424074420000000012e-07
1.331199999999999939e+00,0.000000000000000000e+00,6.986201300000000058e-01,1.499999960000000021e+00,1.499999950000000082e+00,1.424074479999999965e-07,1.424074420000000012e-07
1.651200000000000001e+00,0.000000000000000000e+00,6.986201300000000058e-01,1.499999960000000021e+00,1.499999950000000082e+00,1.424074479999999965e-07,1.424074420000000012e-07
1.971200000000000063e+00,0.000000000000000000e+00,6.986201300000000058e-01,1.499999960000000021e+00,1.499999950000000082e+00,1.424074479999999965e-07,1.424074420000000012e-07
2.015600000000000058e+00,1.500000000000000000e+00,7.053800490000000645e-02,1.503101510000000030e+00,1.503077549999999984e+00,-7.207189140000000438e-02,-7.207135509999999801e-02
2.244476810000000100e+00,1.500000000000000000e+00,5.870503929999999759e-02,1.464378729999999962e+00,1.461508220000000025e+00,-7.363473260000000242e-02,-7.353860939999999624e-02
2.564476809999999940e+00,1.500000000000000000e+00,5.769346570000000174e-02,1.410583989999999899e+00,1.403797879999999942e+00,-7.586273420000000378e-02,-7.563410310000000247e-02
2.884476810000000224e+00,1.500000000000000000e+00,5.703507249999999890e-02,1.357251369999999957e+00,1.346628179999999952e+00,-7.804104500000000333e-02,-7.769050449999999330e-02
3.204476810000000064e+00,1.500000000000000000e+00,5.647182240000000325e-02,1.304389500000000091e+00,1.290010080000000059e+00,-8.000169000000000030e-02,-7.958894539999999962e-02
3.524476809999999904e+00,1.500000000000000000e+00,5.592702880000000043e-02,1.252008299999999963e+00,1.233956969999999931e+00,-8.102608029999999739e-02,-8.086334400000000366e-02
3.844476810000000189e+00,1.500000000000000000e+00,5.537899439999999923e-02,1.200123019999999929e+00,1.178491170000000032e+00,-7.813588289999999492e-02,-7.971180890000000019e-02
4.164476810000000029e+00,1.500000000000000000e+00,5.482097570000000336e-02,1.148762690000000086e+00,1.123655159999999986e+00,-6.068120760000000197e-02,-6.973358570000000312e-02
4.484476810000000313e+00,1.500000000000000000e+00,5.425156810000000135e-02,1.097978640000000006e+00,1.069517959999999990e+00,-3.065225229999999929e-03,-3.363488669999999819e-02
4.804476809999999709e+00,1.500000000000000000e+00,5.367091689999999721e-02,1.047840780000000027e+00,1.016166619999999909e+00,1.296708960000000077e-01,5.733933029999999792e-02
5.124476809999999993e+00,1.500000000000000000e+00,5.307970719999999948e-02,9.984128869999999711e-01,9.636787300000000389e-01,3.632700879999999910e-01,2.293381929999999957e-01
5.444476810000000278e+00,1.500000000000000000e+00,5.247473450000000178e-02,9.493005279999999768e-01,9.120703169999999638e-01,6.811315279999999861e-01,3.208315820000000040e-01
5.764476809999999674e+00,1.500000000000000000e+00,5.184901659999999884e-02,8.992921019999999821e-01,8.614184270000000421e-01,1.068572199999999972e+00,7.659430870000000051e-03
6.084476809999999958e+00,1.500000000000000000e+00,5.121627179999999752e-02,8.506590330000000089e-01,8.118012279999999858e-01,1.467554770000000008e+00,1.057172589999999914e-03
6.404476810000000242e+00,1.500000000000000000e+00,5.056083930000000032e-02,8.027619839999999840e-01,7.616158549999999527e-01,1.498481809999999914e+00,1.666852379999999917e-04
6.724476809999999638e+00,1.500000000000000000e+00,4.988806679999999855e-02,7.555327600000000254e-01,7.119405659999999969e-01,1.498866660000000017e+00,9.962721030000000271e-05
7.044476809999999922e+00,1.500000000000000000e+00,4.919787569999999749e-02,7.089190950000000546e-01,6.629666140000000096e-01,1.498998550000000041e+00,7.812243999999999872e-05
7.364476810000000206e+00,1.500000000000000000e+00,4.848875679999999772e-02,6.629199180000000524e-01,6.147139569999999775e-01,1.499084599999999989e+00,6.780660880000000373e-05
7.684476810000000491e+00,1.500000000000000000e+00,4.775868610000000292e-02,6.175456070000000519e-01,5.672040529999999858e-01,1.499148300000000100e+00,6.159485159999999765e-05
8.004476809999999887e+00,1.500000000000000000e+00,4.700470899999999869e-02,5.728106760000000186e-01,5.204619249999999919e-01,1.499198899999999890e+00,5.716124159999999929e-05
8.324476810000000171e+00,1.500000000000000000e+00,4.622224550000000182e-02,5.287324340000000289e-01,4.745180929999999742e-01,1.499241080000000004e+00,5.359144410000000189e-05
8.644476810000000455e+00,1.500000000000000000e+00,4.540382510000000316e-02,4.853311299999999995e-01,4.294119949999999908e-01,1.499277619999999978e+00,5.049181640000000016e-05
8.964476809999998963e+00,1.500000000000000000e+00,4.453674109999999908e-02,4.426309310000000052e-01,3.851982569999999884e-01,1.499310359999999953e+00,4.768410899999999764e-05
9.284476810000001024e+00,1.500000000000000000e+00,4.359872979999999953e-02,4.006619169999999786e-01,3.419582529999999898e-01,1.499340789999999979e+00,4.508571089999999947e-05
9.604476810000001308e+00,1.500000000000000000e+00,4.254929140000000137e-02,3.594640150000000256e-01,2.998217630000000189e-01,1.499370370000000063e+00,4.261326999999999867e-05
9.924476809999999816e+00,1.500000000000000000e+00,4.132146290000000138e-02,3.190938409999999892e-01,2.590021650000000064e-01,1.499400779999999989e+00,4.033432969999999827e-05
1.024447680000000105e+01,1.500000000000000000e+00,3.980239029999999706e-02,2.796394939999999885e-01,2.198513890000000082e-01,1.499434270000000069e+00,3.823653810000000115e-05
1.056447679999999956e+01,1.500000000000000000e+00,3.783277780000000173e-02,2.412520860000000045e-01,1.829225280000000009e-01,1.499473669999999981e+00,3.631048670000000035e-05
1.088447679999999984e+01,1.500000000000000000e+00,3.524659000000000125e-02,2.042009800000000042e-01,1.489683709999999883e-01,1.499521120000000041e+00,3.469371090000000139e-05
1.120447680000000013e+01,1.500000000000000000e+00,3.195335559999999686e-02,1.689562789999999870e-01,1.188102999999999937e-01,1.499576809999999982e+00,3.344769610000000232e-05
1.152447679999999863e+01,1.500000000000000000e+00,2.802753079999999869e-02,1.362386839999999988e-01,9.305631139999999413e-02,1.499637579999999915e+00,3.260010539999999991e-05
1.184447680000000069e+01,1.500000000000000000e+00,2.372309779999999882e-02,1.069252269999999977e-01,7.185339599999999993e-02,1.499698240000000071e+00,3.203240569999999668e-05
1.216447680000000098e+01,1.500000000000000000e+00,1.937436169999999860e-02,8.178176830000000175e-02,5.488276739999999737e-02,1.499754330000000024e+00,3.144611969999999685e-05
1.248447679999999949e+01,1.500000000000000000e+00,1.532568169999999966e-02,6.117171080000000094e-02,4.155538889999999680e-02,1.499803259999999971e+00,3.056282749999999669e-05
1.280447679999999977e+01,1.500000000000000000e+00,1.180333719999999975e-02,4.495710669999999909e-02,3.122226189999999929e-02,1.499844350000000048e+00,2.925802780000000012e-05
1.312447680000000005e+01,1.500000000000000000e+00,8.901960509999999258e-03,3.261556320000000286e-02,2.329041280000000019e-02,1.499877899999999986e+00,2.758987209999999991e-05
1.344447679999999856e+01,1.500000000000000000e+00,6.608414780000000308e-03,2.345008560000000006e-02,1.725748540000000136e-02,1.499904729999999908e+00,2.570126319999999938e-05
1.376447680000000062e+01,1.500000000000000000e+00,4.848649560000000379e-03,1.675991859999999972e-02,1.270949499999999947e-02,1.499925809999999915e+00,2.373690889999999936e-05
1.408447680000000091e+01,1.500000000000000000e+00,3.526857799999999835e-03,1.193296469999999970e-02,9.309705539999999294e-03,1.499942169999999964e+00,2.180650450000000100e-05
1.440447679999999941e+01,1.500000000000000000e+00,2.548909829999999963e-03,8.476391740000000299e-03,6.787650630000000192e-03,1.499954720000000075e+00,1.997936169999999837e-05
1.472447679999999970e+01,1.500000000000000000e+00,1.833084409999999895e-03,6.012668359999999955e-03,4.929272410000000264e-03,1.499964290000000089e+00,1.829212789999999888e-05
1.504447679999999821e+01,1.500000000000000000e+00,1.313134940000000020e-03,4.261437970000000325e-03,3.567775740000000105e-03,1.499971549999999931e+00,1.675892930000000058e-05
1.536447680000000027e+01,1.500000000000000000e+00,9.375586780000000125e-04,3.018522080000000159e-03,2.575105739999999921e-03,1.499977040000000095e+00,1.537988500000000056e-05
1.568447680000000055e+01,1.500000000000000000e+00,6.673785909999999620e-04,2.137010260000000213e-03,1.854235450000000021e-03,1.499981199999999903e+00,1.414718310000000079e-05
1.600447679999999906e+01,1.500000000000000000e+00,4.736208899999999763e-04,1.511973389999999966e-03,1.332465809999999924e-03,1.499984360000000017e+00,1.304905460000000062e-05
1.632447679999999934e+01,1.500000000000000000e+00,3.350091499999999873e-04,1.068789689999999955e-03,9.558283119999999838e-04,1.499986770000000025e+00,1.207222040000000053e-05
1.664447679999999963e+01,1.500000000000000000e+00,2.360510359999999988e-04,7.545157309999999881e-04,6.845608240000000330e-04,1.499988609999999944e+00,1.120331719999999967e-05
1.696447679999999991e+01,1.500000000000000000e+00,1.655326900000000077e-04,5.316306989999999757e-04,4.895465110000000097e-04,1.499990039999999913e+00,1.042967280000000071e-05
1.728447680000000020e+01,1.500000000000000000e+00,1.153713420000000061e-04,3.735530910000000085e-04,3.495685570000000219e-04,1.499991159999999990e+00,9.739683060000000069e-06
1.760447680000000048e+01,1.500000000000000000e+00,7.975870330000000229e-05,2.614493919999999754e-04,2.492278769999999965e-04,1.499992039999999971e+00,9.122951219999999385e-06
1.792447679999999721e+01,1.500000000000000000e+00,5.453014950000000031e-05,1.819709530000000080e-04,1.773835179999999959e-04,1.499992739999999936e+00,8.570293580000000773e-06
1.824447680000000105e+01,1.500000000000000000e+00,3.670449389999999931e-05,1.256521439999999895e-04,1.259959909999999999e-04,1.499993319999999963e+00,8.073672670000000480e-06
1.856447680000000133e+01,1.500000000000000000e+00,2.415037949999999895e-05,8.577738510000000030e-05,8.927601149999999850e-05,1.499993789999999994e+00,7.626096289999999594e-06
1.888447679999999806e+01,1.500000000000000000e+00,1.534555129999999834e-05,5.757982519999999877e-05,6.306180250000000345e-05,1.499994180000000066e+00,7.221504160000000074e-06
1.920447680000000190e+01,1.500000000000000000e+00,9.203705969999999918e-06,3.767436970000000282e-05,4.436575469999999669e-05,1.499994519999999998e+00,6.854654629999999735e-06
1.952447679999999863e+01,1.500000000000000000e+00,4.950235219999999914e-06,2.365626809999999989e-05,3.104564599999999885e-05,1.499994800000000073e+00,6.521018180000000210e-06
