time,Vclk,Vs,Vctail,Vcpp,Vcpn,Voutp,Voutn
0.000000000000000000e+00,0.000000000000000000e+00,6.986202980000000284e-01,4.506378430000000144e-08,1.499999960000000021e+00,1.499999950000000082e+00,1.424074479999999965e-07,1.424074420000000012e-07
5.120000000000000245e-02,0.000000000000000000e+00,6.986202980000000284e-01,4.506378430000000144e-08,1.499999960000000021e+00,1.499999950000000082e+00,1.424074479999999965e-07,1.424074420000000012e-07
3.712000000000000299e-01,0.000000000000000000e+00,6.986202980000000284e-01,4.506378430000000144e-08,1.499999960000000021e+00,1.499999950000000082e+00,1.424074479999999965e-07,1.424074420000000012e-07
6.911999999999999256e-01,0.000000000000000000e+00,6.986202980000000284e-01,4.506378430000000144e-08,1.499999960000000021e+00,1.499999950000000082e+00,1.424074479999999965e-07,1.424074420000000012e-07
1.011199999999999877e+00,0.000000000000000000e+00,6.986202980000000284e-01,4.506378430000000144e-08,1.499999960000000021e+00,1.499999950000000082e+00,1.424074479999999965e-07,1.424074420000000012e-07
1.331199999999999939e+00,0.000000000000000000e+00,6.986202980000000284e-01,4.506378430000000144e-08,1.499999960000000021e+00,1.499999950000000082e+00,1.424074479999999965e-07,1.424074420000000012e-07
1.651200000000000001e+00,0.000000000000000000e+00,6.986202980000000284e-01,4.506378430000000144e-08,1.499999960000000021e+00,1.499999950000000082e+00,1.424074479999999965e-07,1.424074420000000012e-07
1.971200000000000063e+00,0.000000000000000000e+00,6.986202980000000284e-01,4.506378430000000144e-08,1.499999960000000021e+00,1.499999950000000082e+00,1.424074479999999965e-07,1.424074420000000012e-07
2.015095119999999795e+00,1.500000000000000000e+00,8.448164210000000396e-02,5.406046999999999762e-03,1.503166659999999988e+00,1.503147970000000111e+00,-7.208407299999999851e-02,-7.208366380000000295e-02
2.222730499999999942e+00,1.500000000000000000e+00,8.536174639999999370e-02,3.764027760000000083e-02,1.472361000000000031e+00,1.469962709999999895e+00,-7.330698019999999648e-02,-7.322676020000000452e-02
2.542730500000000227e+00,1.500000000000000000e+00,1.134817760000000064e-01,7.658695670000000011e-02,1.435051389999999927e+00,1.429546729999999988e+00,-7.486143139999999752e-02,-7.467615399999999459e-02
2.862730500000000067e+00,1.500000000000000000e+00,1.362556360000000133e-01,1.066509380000000007e-01,1.406337490000000079e+00,1.398253559999999895e+00,-7.605604840000000644e-02,-7.578524000000000371e-02
3.182730499999999907e+00,1.500000000000000000e+00,1.550506170000000017e-01,1.306246000000000074e-01,1.383501110000000089e+00,1.373234740000000009e+00,-7.698660920000000019e-02,-7.664887180000000411e-02
3.502730500000000191e+00,1.500000000000000000e+00,1.708400670000000121e-01,1.502481479999999980e-01,1.364853429999999923e+00,1.352708739999999965e+00,-7.770714280000000362e-02,-7.732262239999999898e-02
3.822730500000000031e+00,1.500000000000000000e+00,1.843110570000000004e-01,1.666532099999999961e-01,1.349299170000000103e+00,1.335513299999999903e+00,-7.824651000000000522e-02,-7.783898899999999732e-02
4.142730500000000760e+00,1.500000000000000000e+00,1.959622360000000119e-01,1.806071929999999992e-01,1.336097459999999959e+00,1.320858169999999943e+00,-7.861821219999999555e-02,-7.821678179999999592e-02
4.462730500000000156e+00,1.500000000000000000e+00,2.061560699999999968e-01,1.926476310000000136e-01,1.324730430000000014e+00,1.308188609999999974e+00,-7.882595330000000122e-02,-7.846631680000000497e-02
4.782730499999999552e+00,1.500000000000000000e+00,2.151627680000000042e-01,2.031622680000000070e-01,1.314825160000000048e+00,1.297103820000000018e+00,-7.886714470000000254e-02,-7.859259770000000256e-02
5.102730500000000724e+00,1.500000000000000000e+00,2.231866489999999870e-01,2.124370529999999868e-01,1.306106860000000092e+00,1.287307779999999902e+00,-7.873536509999999600e-02,-7.859737270000000109e-02
5.422730500000000120e+00,1.500000000000000000e+00,2.303878139999999963e-01,2.206895090000000059e-01,1.298366670000000056e+00,1.278575239999999891e+00,-7.842171820000000404e-02,-7.848037809999999781e-02
5.742730499999999516e+00,1.500000000000000000e+00,2.368920369999999997e-01,2.280874300000000077e-01,1.291443499999999966e+00,1.270732380000000106e+00,-7.791601360000000032e-02,-7.824019769999999985e-02
6.062730500000000688e+00,1.500000000000000000e+00,2.428002240000000089e-01,2.347628449999999978e-01,1.285210570000000052e+00,1.263642429999999983e+00,-7.720747460000000617e-02,-7.787480609999999914e-02
6.382730500000000085e+00,1.500000000000000000e+00,2.481943960000000116e-01,2.408212989999999887e-01,1.279566519999999930e+00,1.257196079999999938e+00,-7.628525569999999867e-02,-7.738192909999999647e-02
6.702730499999999481e+00,1.500000000000000000e+00,2.531420129999999991e-01,2.463483509999999932e-01,1.274429140000000071e+00,1.251304739999999915e+00,-7.513880500000000295e-02,-7.675927800000000023e-02
7.022730500000000653e+00,1.500000000000000000e+00,2.576991310000000257e-01,2.514142070000000007e-01,1.269730940000000086e+00,1.245895760000000019e+00,-7.375811470000000203e-02,-7.600469869999999795e-02
