time,vecg,vdac_upper,vdac_lower
0.000000000000000000e+00,5.957999999999999963e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000291e-10,5.958000009999999680e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-08,5.958000070000000203e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.960000000000000015e-08,5.958000140000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.732000000000000157e-07,5.958001200000000441e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.630799999999999867e-06,5.958018170000000113e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.195240000000000172e-05,5.958289690000000416e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.251699999999999792e-05,5.958431699999999775e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.252560000000000322e-05,5.958431749999999472e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.262159999999999688e-05,5.958432420000000507e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.415760000000000386e-05,5.958443020000000478e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.873359999999999353e-05,5.958612730000000246e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.250029999999999956e-04,5.958863180000000259e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.250124000000000027e-04,5.958863239999999672e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.250603999999999995e-04,5.958863570000000331e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.258284000000000030e-04,5.958868880000000035e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.381164000000000046e-04,5.958953729999999505e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.875109999999999874e-04,5.959294809999999831e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.875207999999999953e-04,5.959294880000000072e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.875447999999999937e-04,5.959295039999999988e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.879287999999999955e-04,5.959297700000000253e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.940727999999999963e-04,5.959340119999999574e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-04,5.959726309999999749e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500100000000000000e-04,5.959726379999999990e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500220000000000263e-04,5.959726459999999948e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.502140000000000137e-04,5.959727790000000081e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.532860000000000276e-04,5.959748999999999741e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.024379999999999799e-04,5.960088409999999559e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.125170000000000031e-04,5.960158009999999562e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.125255999999999542e-04,5.960158070000000086e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.126216000000000021e-04,5.960158730000000293e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.141575999999999549e-04,5.960169339999999982e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.387336000000000123e-04,5.960339040000000033e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.750030000000000008e-04,5.960589490000000046e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.750124000000000079e-04,5.960589549999999459e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.750604000000000047e-04,5.960589889999999835e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.758284000000000082e-04,5.960595189999999821e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.881163999999999556e-04,5.960680040000000401e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.375109999999999655e-04,5.961021119999999618e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.375208000000000005e-04,5.961021189999999859e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.375447999999999989e-04,5.961021359999999492e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.379287999999999736e-04,5.961024010000000040e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.440728000000000015e-04,5.961066430000000471e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-04,5.961452619999999536e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.000100000000000594e-04,5.961452689999999777e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.000200000000000001e-04,5.961452760000000017e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.000296000000000211e-04,5.961452830000000258e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.001832000000000326e-04,5.961453890000000255e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.026408000000000004e-04,5.961470859999999927e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.419624000000000273e-04,5.961742389999999947e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.625170000000000083e-04,5.961884320000000459e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.625256000000000136e-04,5.961884379999999872e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.626216000000000073e-04,5.961885040000000080e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.641576000000000143e-04,5.961895649999999769e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.887336000000000175e-04,5.962065349999999819e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.250030000000000602e-04,5.962315799999999832e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.250124000000000131e-04,5.962315870000000073e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.250604000000000099e-04,5.962316199999999622e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.258283999999999592e-04,5.962321499999999608e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.381164000000000150e-04,5.962406350000000188e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.875109999999999165e-04,5.962747440000000232e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.875208000000000057e-04,5.962747499999999645e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.875447999999999499e-04,5.962747670000000388e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.879288000000000330e-04,5.962750319999999826e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.940727999999999525e-04,5.962792749999999975e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000156e-04,5.963178940000000150e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500099999999999562e-04,5.963179010000000391e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500220000000000367e-04,5.963179090000000349e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.502140000000000241e-04,5.963180420000000481e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.532860000000000380e-04,5.963201630000000142e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.024380000000000445e-04,5.963541030000000243e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.125170000000000135e-04,5.963610630000000246e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.125255999999999104e-04,5.963610689999999659e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.126216000000000125e-04,5.963611359999999584e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.141576000000000195e-04,5.963621959999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.387336000000000227e-04,5.963791670000000433e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.750029999999999570e-04,5.964042109999999619e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.750124000000000183e-04,5.964042179999999860e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.750604000000000151e-04,5.964042510000000519e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.758284000000000728e-04,5.964047810000000505e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.881164000000000202e-04,5.964132669999999692e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.375110000000000301e-04,5.964473750000000019e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.375208000000000109e-04,5.964473820000000259e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.375448000000000635e-04,5.964473980000000175e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.379288000000000382e-04,5.964476629999999613e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.440727999999999577e-04,5.964519059999999762e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,5.964905249999999937e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000009999999999961e-03,5.964905320000000177e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000021999999999934e-03,5.964905400000000135e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000213999999999921e-03,5.964906730000000268e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.003285999999999935e-03,5.964927939999999928e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.052438000000000158e-03,5.965267349999999746e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.062517000000000019e-03,5.965336949999999749e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.062525600000000132e-03,5.965336999999999446e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.062621599999999909e-03,5.965337670000000481e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.064157600000000025e-03,5.965348270000000452e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.088733599999999919e-03,5.965517980000000220e-01,0.000000000000000000e+00,0.000000000000000000e+00
