time,vecg,vdac_upper,vdac_lower
1.000000000000000036e-10,5.957999999999999963e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.625200000000000556e-04,5.961884339999999893e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.126647599999999923e-03,5.965779780000000088e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.750010800000000033e-03,5.970084260000000365e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.315795999999999740e-03,5.973991149999999806e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.937522400000000273e-03,5.978284329999999924e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.501802760000000039e-03,5.982180820000000399e-01,2.083553280000000063e-01,1.852047360000000087e-01
4.128286000000000108e-03,5.984832570000000462e-01,8.477999999999999980e-01,7.536000000000000476e-01
4.838733599999999781e-03,5.984287480000000103e-01,8.477999999999999980e-01,7.536000000000000476e-01
5.575626399999999462e-03,5.983722099999999600e-01,8.477999999999999980e-01,7.536000000000000476e-01
6.250010000000000288e-03,5.983204680000000497e-01,8.477999999999999980e-01,7.536000000000000476e-01
6.937525600000000146e-03,5.982677180000000039e-01,8.477999999999999980e-01,7.536000000000000476e-01
7.687522400000000589e-03,5.982101749999999551e-01,8.477999999999999980e-01,7.536000000000000476e-01
8.250418800000000955e-03,5.988162500000000499e-01,8.477999999999999980e-01,7.536000000000000476e-01
8.927437999999999346e-03,5.997858769999999673e-01,8.477999999999999980e-01,7.536000000000000476e-01
9.562522400000000519e-03,6.006954450000000501e-01,8.477999999999999980e-01,7.536000000000000476e-01
1.018792880000000088e-02,6.015911520000000179e-01,8.477999999999999980e-01,7.536000000000000476e-01
1.086494799999999927e-02,6.025607790000000463e-01,8.477999999999999980e-01,7.536000000000000476e-01
1.156251299999999996e-02,6.035598309999999911e-01,8.477999999999999980e-01,7.536000000000000476e-01
1.212506040000000014e-02,6.044261020000000206e-01,8.477999999999999980e-01,7.536000000000000476e-01
1.274999999999999918e-02,6.054170370000000467e-01,8.477999999999999980e-01,7.536000000000000476e-01
1.337501559999999985e-02,6.064080929999999814e-01,8.477999999999999980e-01,7.536000000000000476e-01
1.400082840000000002e-02,6.074004139999999996e-01,8.477999999999999980e-01,7.536000000000000476e-01
1.468751000000000084e-02,6.084892499999999815e-01,8.477999999999999980e-01,7.536000000000000476e-01
1.531252560000000151e-02,6.094803060000000272e-01,8.477999999999999980e-01,7.536000000000000476e-01
1.593757040000000000e-02,6.103345479999999768e-01,8.477999999999999980e-01,7.536000000000000476e-01
1.656250999999999904e-02,6.110377930000000513e-01,8.477999999999999980e-01,7.536000000000000476e-01
1.712511159999999949e-02,6.116708880000000237e-01,8.477999999999999980e-01,7.536000000000000476e-01
1.775000100000000136e-02,6.123740760000000449e-01,8.477999999999999980e-01,7.536000000000000476e-01
1.831272399999999898e-02,6.130073080000000285e-01,8.477999999999999980e-01,7.536000000000000476e-01
1.893751299999999957e-02,6.137103830000000260e-01,8.477999999999999980e-01,7.536000000000000476e-01
1.956252240000000073e-02,6.144140179999999507e-01,8.477999999999999980e-01,7.536000000000000476e-01
2.013156280000000242e-02,6.150689120000000232e-01,8.477999999999999980e-01,7.536000000000000476e-01
2.081251700000000260e-02,6.158526060000000246e-01,8.477999999999999980e-01,7.536000000000000476e-01
