VDD,Vbiasc,Vbias,Iref,Iout
0.000000000000000000e+00,-6.910782899999999529e+01,-4.277172910000000172e+01,-3.391652280000000130e-02,2.845795809999999721e-03
1.000000000000000021e-02,-6.563362680000000182e+01,-4.028092829999999935e+01,-3.112370759999999806e-02,3.236085670000000015e-03
2.000000000000000042e-02,-6.214279570000000064e+01,-3.782452419999999904e+01,-2.821971250000000070e-02,3.712923550000000322e-03
2.999999999999999889e-02,-5.864158570000000026e+01,-3.540624989999999883e+01,-2.518477550000000273e-02,4.294918709999999765e-03
4.000000000000000083e-02,-5.513391520000000412e+01,-3.302873420000000237e+01,-2.201188999999999923e-02,5.014679169999999506e-03
5.000000000000000278e-02,-5.162222030000000217e+01,-3.069185560000000024e+01,-1.867162640000000207e-02,5.903684819999999514e-03
5.999999999999999778e-02,-4.810564420000000041e+01,-2.839444790000000296e+01,-1.513573790000000141e-02,7.010899709999999889e-03
7.000000000000000666e-02,-4.458125799999999828e+01,-2.613359520000000202e+01,-1.135615869999999882e-02,8.387924910000000428e-03
8.000000000000000167e-02,-4.104049320000000023e+01,-2.390420169999999800e+01,-7.277951320000000841e-03,1.011105070000000057e-02
8.999999999999999667e-02,-3.747197249999999968e+01,-2.169881610000000194e+01,-2.819522320000000110e-03,1.226017180000000054e-02
1.000000000000000056e-01,-3.385692060000000225e+01,-1.950724070000000054e+01,2.118261169999999943e-03,1.494602050000000057e-02
1.100000000000000006e-01,-3.016938000000000031e+01,-1.731555050000000051e+01,7.665657450000000137e-03,1.830575419999999967e-02
1.199999999999999956e-01,-2.638185360000000301e+01,-1.511000030000000116e+01,1.398459649999999992e-02,2.248288219999999837e-02
1.300000000000000044e-01,-2.245545219999999986e+01,-1.287150669999999941e+01,2.127597720000000067e-02,2.767089459999999904e-02
1.400000000000000133e-01,-1.833701250000000016e+01,-1.057531980000000082e+01,2.980236819999999842e-02,3.413729199999999964e-02
1.499999999999999944e-01,-1.397423030000000033e+01,-8.197258290000000613e+00,3.988034030000000424e-02,4.215765889999999877e-02
1.600000000000000033e-01,-9.308116319999999888e+00,-5.710658350000000105e+00,5.189743460000000030e-02,5.206598800000000055e-02
1.700000000000000122e-01,-4.227882479999999887e+00,-3.064800729999999973e+00,6.645749860000001175e-02,6.447555160000000007e-02
1.799999999999999933e-01,1.377180740000000014e+00,-2.093985640000000092e-01,8.432881429999999900e-02,8.008610210000000063e-02
1.900000000000000022e-01,7.627958439999999563e+00,2.910466780000000142e+00,1.065158370000000021e-01,9.978660419999998976e-02
2.000000000000000111e-01,1.477596680000000084e+01,6.411059840000000065e+00,1.348115189999999908e-01,1.253488420000000159e-01
2.099999999999999922e-01,2.309104010000000073e+01,1.041730339999999977e+01,1.717027640000000077e-01,1.591652169999999977e-01
2.200000000000000011e-01,3.284817689999999857e+01,1.505775120000000022e+01,2.205803829999999910e-01,2.045742039999999817e-01
2.300000000000000100e-01,4.407048520000000025e+01,2.034729079999999968e+01,2.846748210000000223e-01,2.648208340000000049e-01
2.399999999999999911e-01,5.650361069999999586e+01,2.617570019999999786e+01,3.665690779999999926e-01,3.426837629999999746e-01
2.500000000000000000e-01,6.988321399999999528e+01,3.242858530000000172e+01,4.696162640000000610e-01,4.418162749999999805e-01
2.600000000000000089e-01,8.361649590000000387e+01,3.883800099999999844e+01,5.949081459999999710e-01,5.633281519999999709e-01
2.700000000000000178e-01,9.749727580000001126e+01,4.531236820000000165e+01,7.463226319999999303e-01,7.111296670000000208e-01
2.800000000000000266e-01,1.113396510000000035e+02,5.176785600000000187e+01,9.280283590000000249e-01,8.893176449999999900e-01
