time,vind,vout_dac_upper,voutp1,voutn1,vout_comp_upper,vout_dac_lower,voutp2,voutn2,vout_comp_lower
0.000000000000000000e+00,0.000000000000000000e+00,3.732632590000000250e-08,8.904703010000000196e-01,8.904702639999999558e-01,7.489089150000000084e-01,-2.171822759999999875e-07,8.904697759999999906e-01,8.904699929999999597e-01,7.489089150000000084e-01
1.600000000000000033e-01,3.015926920000000164e-03,2.826700819999999892e-03,8.918836479999999733e-01,8.890569480000000135e-01,7.489089150000000084e-01,-2.826879870000000017e-03,8.890564290000000369e-01,8.918833080000000413e-01,7.489089150000000084e-01
2.500156000000000045e-01,4.712675280000000119e-03,4.414685280000000406e-03,8.926754660000000285e-01,8.882607810000000548e-01,7.480987940000000114e-01,-4.419293260000000181e-03,8.882579900000000528e-01,8.926772840000000153e-01,7.475729359999999657e-01
2.506919439999999999e-01,4.725423999999999770e-03,1.643266939999999954e-01,9.579417959999999566e-01,7.936151030000000439e-01,7.512438080000000129e-01,1.563928420000000041e-01,9.539909140000000232e-01,7.975980719999999913e-01,7.527109389999999678e-01
2.639824169999999692e-01,4.975942209999999720e-03,-2.981882610000000100e-03,7.459629760000000553e-01,7.489448579999999911e-01,7.489089169999999518e-01,-2.927963669999999931e-03,7.459752010000000322e-01,7.489031649999999818e-01,7.489089180000000345e-01
3.750109999999999832e-01,7.068764649999999955e-03,4.564705590000000011e-05,7.500213289999999589e-01,7.499756819999999768e-01,7.488398410000000061e-01,-4.557344439999999987e-05,7.499757160000000145e-01,7.500212889999999799e-01,7.487841079999999483e-01
3.750448000000000115e-01,7.069401759999999896e-03,5.189019809999999945e-05,7.500095500000000248e-01,7.499576599999999704e-01,7.490421879999999977e-01,-3.932142909999999686e-05,7.499639409999999673e-01,7.500032629999999756e-01,7.491263649999999608e-01
3.759605219999999637e-01,7.086662510000000213e-03,-1.770480600000000071e-01,6.616984249999999790e-01,8.387464850000000416e-01,7.466553999999999691e-01,-1.771692589999999956e-01,6.616378469999999457e-01,8.388071059999999690e-01,7.452407049999999478e-01
4.443325630000000137e-01,8.375427969999999986e-03,-1.745835749999999909e-01,6.626195030000000541e-01,8.372030769999999622e-01,7.489089150000000084e-01,-1.771173370000000136e-01,6.613542500000000324e-01,8.384715870000000182e-01,7.489089150000000084e-01
1.387879920000000045e+00,2.615959400000000129e-02,-1.567147100000000071e-01,6.721632149999999806e-01,8.288779250000000154e-01,7.489089150000000084e-01,-1.923029450000000029e-01,6.545118109999999989e-01,8.468147560000000018e-01,7.489089150000000084e-01
2.387879920000000045e+00,4.500372169999999894e-02,-1.384885070000000107e-01,6.815680250000000218e-01,8.200565319999999492e-01,7.489089150000000084e-01,-2.089698969999999878e-01,6.466851470000000157e-01,8.556550450000000030e-01,7.489089150000000084e-01
3.387879919999999601e+00,6.384074280000000268e-02,-1.205127950000000059e-01,6.907257580000000230e-01,8.112385530000000289e-01,7.489089150000000084e-01,-2.258463149999999919e-01,6.386452790000000102e-01,8.644915939999999743e-01,7.489089150000000084e-01
4.387879919999999601e+00,8.266768280000000302e-02,-1.026653470000000040e-01,6.997600899999999458e-01,8.024254370000000192e-01,7.489089150000000084e-01,-2.428209259999999925e-01,6.305016310000000068e-01,8.733225570000000548e-01,7.489089150000000084e-01
5.387879919999999601e+00,1.014815689999999937e-01,-8.489851869999999467e-02,7.087200860000000269e-01,7.936186050000000325e-01,7.489089150000000084e-01,-2.598451540000000226e-01,6.223007919999999915e-01,8.821459470000000413e-01,7.489089150000000084e-01
6.387879920000000489e+00,1.202794289999999933e-01,-6.718981779999999571e-02,7.176296559999999491e-01,7.848194739999999614e-01,7.489089150000000084e-01,-2.768924199999999725e-01,6.140672249999999943e-01,8.909596450000000223e-01,7.489089150000000084e-01
7.387879919999999601e+00,1.390582959999999979e-01,-4.952768049999999728e-02,7.265017820000000404e-01,7.760294620000000032e-01,7.489089150000000084e-01,-2.939458620000000022e-01,6.058155499999999805e-01,8.997614109999999554e-01,7.489089150000000084e-01
8.387879919999999601e+00,1.578152039999999867e-01,-3.190607270000000301e-02,7.353439189999999570e-01,7.672499919999999918e-01,7.489089150000000084e-01,-3.109935120000000275e-01,5.975553420000000449e-01,9.085488539999999613e-01,7.489089150000000084e-01
9.387879919999999601e+00,1.765471919999999917e-01,-1.432205639999999981e-02,7.441604419999999775e-01,7.584824980000000050e-01,7.489089150000000084e-01,-3.280260549999999831e-01,5.892933209999999811e-01,9.173193760000000196e-01,7.489089150000000084e-01
