time,a_3V3,x2t,b_1V5
0.000000000000000000e+00,0.000000000000000000e+00,1.499999489999999991e+00,1.254486590000000077e-07
1.000000000000000021e-03,3.299999999999999982e-03,1.500030999999999892e+00,1.862005090000000065e-07
2.000000000000000042e-03,6.599999999999999964e-03,1.500046629999999936e+00,2.208227739999999923e-07
4.000000000000000083e-03,1.319999999999999993e-02,1.500063909999999945e+00,2.598501530000000132e-07
8.000000000000000167e-03,2.639999999999999986e-02,1.500071240000000028e+00,2.745984900000000122e-07
1.600000000000000033e-02,5.279999999999999971e-02,1.500065189999999937e+00,2.604566090000000251e-07
3.200000000000000067e-02,1.055999999999999994e-01,1.500025189999999897e+00,1.734883839999999882e-07
6.400000000000000133e-02,2.111999999999999988e-01,1.499983499999999914e+00,8.489973489999999579e-08
1.280000000000000027e-01,4.223999999999999977e-01,1.499985289999999916e+00,9.301626989999999561e-08
2.279999999999999805e-01,7.523999999999999577e-01,1.499991529999999962e+00,1.106016199999999980e-07
3.280000000000000138e-01,1.082400000000000029e+00,1.499943690000000052e+00,2.116317799999999948e-08
4.280000000000000471e-01,1.412400000000000100e+00,1.499927959999999949e+00,8.383402700000000676e-09
5.280000000000000249e-01,1.742399999999999949e+00,1.499868849999999920e+00,-8.499127500000000148e-08
6.280000000000000027e-01,2.072400000000000020e+00,1.499580630000000081e+00,-6.038624040000000471e-07
7.279999999999999805e-01,2.402400000000000091e+00,1.502772449999999926e+00,5.654941409999999926e-06
7.942180060000000319e-01,2.620919419999999889e+00,1.513876699999999964e+00,2.697365439999999952e-05
8.685021309999999550e-01,2.866057029999999894e+00,4.203431490000000270e-01,1.567259999999999834e-02
9.388486369999999859e-01,3.098200499999999913e+00,-8.877880760000000536e-04,6.969010609999999606e-02
1.000000000000000000e+00,3.299999999999999822e+00,1.188418209999999968e-02,1.344424529999999895e-01
1.006563600000000003e+00,3.299999999999999822e+00,3.547671300000000173e-03,1.413316759999999894e-01
1.019690809999999948e+00,3.299999999999999822e+00,2.317320439999999860e-03,1.551483130000000099e-01
1.045945209999999959e+00,3.299999999999999822e+00,2.813702029999999837e-03,1.826916899999999899e-01
1.089072959999999979e+00,3.299999999999999822e+00,2.597784959999999751e-04,2.276545949999999874e-01
1.132631559999999871e+00,3.299999999999999822e+00,1.082394649999999982e-03,2.726913369999999781e-01
1.192950940000000015e+00,3.299999999999999822e+00,-4.374105299999999979e-04,3.343096159999999761e-01
1.255993219999999910e+00,3.299999999999999822e+00,6.850610769999999558e-04,3.977467800000000220e-01
1.355993219999999999e+00,3.299999999999999822e+00,-4.887726229999999521e-04,4.960420729999999723e-01
1.455993219999999866e+00,3.299999999999999822e+00,6.259009080000000388e-04,5.911725540000000167e-01
1.555993219999999955e+00,3.299999999999999822e+00,-4.598565850000000169e-04,6.827303630000000068e-01
1.655993220000000044e+00,3.299999999999999822e+00,5.906800460000000358e-04,7.702634619999999543e-01
1.755993219999999910e+00,3.299999999999999822e+00,-4.337928700000000031e-04,8.532227369999999533e-01
1.855993219999999999e+00,3.299999999999999822e+00,5.555162839999999887e-04,9.310943910000000212e-01
1.955993219999999866e+00,3.299999999999999822e+00,-4.114741340000000044e-04,1.003346319999999903e+00
2.055993219999999955e+00,3.299999999999999822e+00,5.197618419999999826e-04,1.069584270000000004e+00
2.155993220000000044e+00,3.299999999999999822e+00,-3.930005530000000246e-04,1.129513079999999947e+00
2.255993220000000132e+00,3.299999999999999822e+00,4.836436479999999764e-04,1.183066039999999930e+00
2.355993220000000221e+00,3.299999999999999822e+00,-3.774129700000000112e-04,1.230331880000000044e+00
2.455993220000000310e+00,3.299999999999999822e+00,4.484363280000000181e-04,1.271613679999999968e+00
2.555993219999999955e+00,3.299999999999999822e+00,-3.630806389999999945e-04,1.307316869999999964e+00
2.655993220000000044e+00,3.299999999999999822e+00,4.155516190000000266e-04,1.337964219999999926e+00
2.755993220000000132e+00,3.299999999999999822e+00,-3.487398230000000009e-04,1.364088919999999927e+00
2.855993220000000221e+00,3.299999999999999822e+00,3.857092149999999842e-04,1.386251230000000056e+00
2.955993220000000310e+00,3.299999999999999822e+00,-3.339049909999999908e-04,1.404961829999999967e+00
3.055993220000000399e+00,3.299999999999999822e+00,3.589315849999999896e-04,1.420712940000000035e+00
3.155993220000000044e+00,3.299999999999999822e+00,-3.186200840000000256e-04,1.433926969999999912e+00
3.255993220000000132e+00,3.299999999999999822e+00,3.348964150000000224e-04,1.444995580000000057e+00
3.355993219999999777e+00,3.299999999999999822e+00,-3.031272220000000208e-04,1.454242290000000049e+00
3.455993219999999866e+00,3.299999999999999822e+00,3.132004740000000269e-04,1.461962750000000089e+00
3.555993219999999955e+00,3.299999999999999822e+00,-2.876857800000000081e-04,1.468393959999999998e+00
3.655993220000000044e+00,3.299999999999999822e+00,2.934727730000000266e-04,1.473752560000000100e+00
3.755993219999999688e+00,3.299999999999999822e+00,-2.725094030000000051e-04,1.478207330000000042e+00
3.855993219999999777e+00,3.299999999999999822e+00,2.754051310000000152e-04,1.481914430000000005e+00
3.955993219999999866e+00,3.299999999999999822e+00,-2.577546429999999912e-04,1.484991659999999936e+00
4.055993220000000399e+00,3.299999999999999822e+00,2.587519840000000152e-04,1.487550649999999974e+00
4.155993220000000044e+00,3.299999999999999822e+00,-2.435267830000000010e-04,1.489672300000000060e+00
4.255993220000000576e+00,3.299999999999999822e+00,2.433209279999999999e-04,1.491436189999999939e+00
4.355993220000000221e+00,3.299999999999999822e+00,-2.298901819999999872e-04,1.492897069999999937e+00
4.455993220000000754e+00,3.299999999999999822e+00,2.289615730000000063e-04,1.494111779999999889e+00
4.555993220000000399e+00,3.299999999999999822e+00,-2.168786369999999952e-04,1.495116719999999955e+00
4.655993220000000044e+00,3.299999999999999822e+00,2.155554629999999986e-04,1.495952739999999892e+00
4.755993219999999688e+00,3.299999999999999822e+00,-2.045041250000000077e-04,1.496643560000000095e+00
4.855993219999999333e+00,3.299999999999999822e+00,2.030079290000000043e-04,1.497218769999999921e+00
4.955993219999999866e+00,3.299999999999999822e+00,-1.927635980000000067e-04,1.497693359999999974e+00
5.055993219999999511e+00,3.299999999999999822e+00,1.912418659999999895e-04,1.498089089999999901e+00
5.155993220000000044e+00,3.299999999999999822e+00,-1.816440130000000134e-04,1.498414960000000073e+00
5.255993219999999688e+00,3.299999999999999822e+00,1.801931450000000042e-04,1.498687230000000037e+00
5.355993220000000221e+00,3.299999999999999822e+00,-1.711259319999999882e-04,1.498910860000000067e+00
5.455993219999999866e+00,3.299999999999999822e+00,1.698072899999999888e-04,1.499098239999999915e+00
5.555993220000000399e+00,3.299999999999999822e+00,-1.611860560000000046e-04,1.499251609999999957e+00
5.655993220000000044e+00,3.299999999999999822e+00,1.600371039999999904e-04,1.499380630000000103e+00
5.755993220000000576e+00,3.299999999999999822e+00,-1.517989649999999921e-04,1.499485739999999900e+00
5.855993219999999333e+00,3.299999999999999822e+00,1.508409710000000088e-04,1.499574640000000070e+00
5.955993219999999866e+00,3.299999999999999822e+00,-1.429383069999999990e-04,1.499646590000000002e+00
6.055993219999999511e+00,3.299999999999999822e+00,1.421816419999999957e-04,1.499707909999999922e+00
6.155993220000000044e+00,3.299999999999999822e+00,-1.345775900000000099e-04,1.499757100000000065e+00
6.255993219999999688e+00,3.299999999999999822e+00,1.340253739999999879e-04,1.499799450000000034e+00
6.355993220000000221e+00,3.299999999999999822e+00,-1.266907030000000048e-04,1.499833020000000072e+00
6.455993219999999866e+00,3.299999999999999822e+00,1.263412980000000040e-04,1.499862330000000021e+00
6.555993220000000399e+00,3.299999999999999822e+00,-1.192522480000000011e-04,1.499885179999999929e+00
6.655993220000000044e+00,3.299999999999999822e+00,1.191009610000000037e-04,1.499905519999999992e+00
6.755993220000000576e+00,3.299999999999999822e+00,-1.122377409999999966e-04,1.499921009999999999e+00
6.855993220000000221e+00,3.299999999999999822e+00,1.122779850000000038e-04,1.499935180000000035e+00
6.955993220000000754e+00,3.299999999999999822e+00,-1.056237299999999985e-04,1.499945630000000030e+00
7.055993219999999511e+00,3.299999999999999822e+00,1.058478070000000058e-04,1.499955549999999915e+00
7.155993220000000044e+00,3.299999999999999822e+00,-9.938785189999999460e-05,1.499962550000000006e+00
7.255993219999999688e+00,3.299999999999999822e+00,9.978748139999999399e-05,1.499969539999999935e+00
7.355993220000000221e+00,3.299999999999999822e+00,-9.350884620000000404e-05,1.499974179999999935e+00
7.455993219999999866e+00,3.299999999999999822e+00,9.407552190000000611e-05,1.499979139999999989e+00
7.555993220000000399e+00,3.299999999999999822e+00,-8.796655050000000029e-05,1.499982170000000004e+00
7.655993220000000044e+00,3.299999999999999822e+00,8.869176949999999665e-05,1.499985740000000067e+00
7.755993219999999688e+00,3.299999999999999822e+00,-8.274187279999999762e-05,1.499987659999999945e+00
7.855993220000000221e+00,3.299999999999999822e+00,8.361728760000000399e-05,1.499990259999999909e+00
7.955993219999998978e+00,3.299999999999999822e+00,-7.781693969999999819e-05,1.499991440000000065e+00
8.055993219999999511e+00,3.299999999999999822e+00,7.883410679999999381e-05,1.499993359999999942e+00
8.155993219999999155e+00,3.299999999999999822e+00,-7.317430539999999508e-05,1.499994040000000028e+00
8.255993220000000576e+00,3.299999999999999822e+00,7.432581530000000167e-05,1.499995490000000098e+00
8.355993220000000221e+00,3.299999999999999822e+00,-6.879805769999999810e-05,1.499995830000000030e+00
8.455993219999999866e+00,3.299999999999999822e+00,7.007645870000000544e-05,1.499996950000000107e+00
8.555993219999999511e+00,3.299999999999999822e+00,-6.467299230000000195e-05,1.499997060000000104e+00
8.655993220000000932e+00,3.299999999999999822e+00,6.607118070000000520e-05,1.499997950000000024e+00
8.755993220000000576e+00,3.299999999999999822e+00,-6.078475759999999985e-05,1.499997910000000045e+00
8.855993219999998445e+00,3.299999999999999822e+00,6.229598550000000495e-05,1.499998630000000110e+00
8.955993219999999866e+00,3.299999999999999822e+00,-5.711981439999999958e-05,1.499998500000000012e+00
9.055993219999999511e+00,3.299999999999999822e+00,5.873768560000000035e-05,1.499999099999999919e+00
9.155993220000000932e+00,3.299999999999999822e+00,-5.366539230000000251e-05,1.499998900000000024e+00
9.255993219999998800e+00,3.299999999999999822e+00,5.538385270000000004e-05,1.499999410000000033e+00
9.355993220000000221e+00,3.299999999999999822e+00,-5.040944770000000205e-05,1.499999180000000099e+00
9.455993219999999866e+00,3.299999999999999822e+00,5.222277359999999993e-05,1.499999630000000028e+00
9.555993220000001287e+00,3.299999999999999822e+00,-4.734062340000000141e-05,1.499999379999999993e+00
9.655993219999999155e+00,3.299999999999999822e+00,4.924340710000000095e-05,1.499999770000000066e+00
9.755993220000000576e+00,3.299999999999999822e+00,-4.444820999999999977e-05,1.499999520000000031e+00
9.855993220000000221e+00,3.299999999999999822e+00,4.643534589999999998e-05,1.499999869999999902e+00
9.955993220000001642e+00,3.299999999999999822e+00,-4.172210990000000064e-05,1.499999609999999928e+00
1.005599319999999963e+01,3.299999999999999822e+00,4.378877899999999914e-05,1.499999939999999921e+00
1.015599319999999928e+01,3.299999999999999822e+00,-3.915280190000000284e-05,1.499999679999999946e+00
1.025599320000000070e+01,3.299999999999999822e+00,4.129445760000000114e-05,1.499999979999999900e+00
1.035599320000000034e+01,3.299999999999999822e+00,-3.673130940000000292e-05,1.499999730000000087e+00
1.045599319999999999e+01,3.299999999999999822e+00,3.894366280000000009e-05,1.500000000000000000e+00
1.055599319999999963e+01,3.299999999999999822e+00,-3.444916880000000077e-05,1.499999770000000066e+00
1.065599320000000105e+01,3.299999999999999822e+00,3.672817470000000196e-05,1.500000020000000100e+00
1.075599320000000070e+01,3.299999999999999822e+00,-3.229840080000000185e-05,1.499999789999999944e+00
1.085599319999999857e+01,3.299999999999999822e+00,3.464024419999999768e-05,1.500000030000000040e+00
1.095599319999999999e+01,3.299999999999999822e+00,-3.027148209999999879e-05,1.499999810000000044e+00
1.105599319999999963e+01,3.299999999999999822e+00,3.267256570000000174e-05,1.500000039999999979e+00
1.115599320000000105e+01,3.299999999999999822e+00,-2.836132000000000038e-05,1.499999829999999923e+00
1.125599319999999892e+01,3.299999999999999822e+00,3.081825189999999978e-05,1.500000039999999979e+00
1.135599320000000034e+01,3.299999999999999822e+00,-2.656122750000000098e-05,1.499999840000000084e+00
1.145599319999999999e+01,3.299999999999999822e+00,2.907080940000000062e-05,1.500000039999999979e+00
1.155599320000000141e+01,3.299999999999999822e+00,-2.486490039999999949e-05,1.499999850000000023e+00
1.165599319999999928e+01,3.299999999999999822e+00,2.742411680000000053e-05,1.500000039999999979e+00
1.175599320000000070e+01,3.299999999999999822e+00,-2.326639480000000117e-05,1.499999859999999963e+00
1.185599320000000034e+01,3.299999999999999822e+00,2.587240269999999988e-05,1.500000030000000040e+00
1.195599319999999999e+01,3.299999999999999822e+00,-2.176010729999999920e-05,1.499999859999999963e+00
1.205599319999999963e+01,3.299999999999999822e+00,2.441022610000000159e-05,1.500000030000000040e+00
1.215599319999999928e+01,3.299999999999999822e+00,-2.034075480000000050e-05,1.499999869999999902e+00
1.225599320000000070e+01,3.299999999999999822e+00,2.303245759999999879e-05,1.500000030000000040e+00
1.235599319999999857e+01,3.299999999999999822e+00,-1.900335680000000087e-05,1.499999880000000063e+00
1.245599319999999999e+01,3.299999999999999822e+00,2.173426090000000132e-05,1.500000020000000100e+00
1.255599319999999963e+01,3.299999999999999822e+00,-1.774321770000000090e-05,1.499999880000000063e+00
1.265599320000000105e+01,3.299999999999999822e+00,2.051107680000000140e-05,1.500000020000000100e+00
1.275599319999999892e+01,3.299999999999999822e+00,-1.655591050000000057e-05,1.499999880000000063e+00
1.285599320000000034e+01,3.299999999999999822e+00,1.935860700000000044e-05,1.500000020000000100e+00
1.295599319999999999e+01,3.299999999999999822e+00,-1.543726169999999997e-05,1.499999890000000002e+00
1.305599320000000141e+01,3.299999999999999822e+00,1.827279899999999954e-05,1.500000009999999939e+00
1.315599319999999928e+01,3.299999999999999822e+00,-1.438333659999999978e-05,1.499999890000000002e+00
1.325599319999999892e+01,3.299999999999999822e+00,1.724983250000000100e-05,1.500000009999999939e+00
1.335599320000000034e+01,3.299999999999999822e+00,-1.339042549999999948e-05,1.499999899999999942e+00
1.345599319999999999e+01,3.299999999999999822e+00,1.628610550000000155e-05,1.500000009999999939e+00
1.355599319999999963e+01,3.299999999999999822e+00,-1.245503139999999974e-05,1.499999899999999942e+00
1.365599319999999928e+01,3.299999999999999822e+00,1.537822240000000121e-05,1.500000009999999939e+00
1.375599320000000070e+01,3.299999999999999822e+00,-1.157385690000000020e-05,1.499999899999999942e+00
1.385599320000000034e+01,3.299999999999999822e+00,1.452298180000000059e-05,1.500000000000000000e+00
1.395599319999999999e+01,3.299999999999999822e+00,-1.074379380000000075e-05,1.499999899999999942e+00
1.405599319999999963e+01,3.299999999999999822e+00,1.371736560000000073e-05,1.500000000000000000e+00
1.415599320000000105e+01,3.299999999999999822e+00,-9.961911529999999547e-06,1.499999910000000103e+00
1.425599320000000070e+01,3.299999999999999822e+00,1.295852839999999936e-05,1.500000000000000000e+00
1.435599320000000034e+01,3.299999999999999822e+00,-9.225447290000000030e-06,1.499999910000000103e+00
1.445599319999999999e+01,3.299999999999999822e+00,1.224378760000000032e-05,1.500000000000000000e+00
1.455599319999999963e+01,3.299999999999999822e+00,-8.531796420000000347e-06,1.499999910000000103e+00
1.465599319999999928e+01,3.299999999999999822e+00,1.157061420000000050e-05,1.499999990000000061e+00
1.475599319999999892e+01,3.299999999999999822e+00,-7.878503349999999697e-06,1.499999910000000103e+00
1.485599320000000034e+01,3.299999999999999822e+00,1.093662400000000027e-05,1.499999990000000061e+00
1.495599319999999999e+01,3.299999999999999822e+00,-7.263253040000000313e-06,1.499999920000000042e+00
1.505599319999999963e+01,3.299999999999999822e+00,1.033956910000000022e-05,1.499999990000000061e+00
1.515599320000000105e+01,3.299999999999999822e+00,-6.683862950000000143e-06,1.499999920000000042e+00
1.525599319999999892e+01,3.299999999999999822e+00,9.777330400000000554e-06,1.499999990000000061e+00
1.535599320000000034e+01,3.299999999999999822e+00,-6.138275480000000158e-06,1.499999920000000042e+00
1.545599319999999999e+01,3.299999999999999822e+00,9.247910090000000820e-06,1.499999990000000061e+00
1.555599320000000141e+01,3.299999999999999822e+00,-5.624550799999999728e-06,1.499999920000000042e+00
1.565599319999999928e+01,3.299999999999999822e+00,8.749424650000000726e-06,1.499999979999999900e+00
1.575599320000000070e+01,3.299999999999999822e+00,-5.140860120000000373e-06,1.499999920000000042e+00
1.585599320000000034e+01,3.299999999999999822e+00,8.280098419999999492e-06,1.499999979999999900e+00
1.595599319999999821e+01,3.299999999999999822e+00,-4.685479329999999633e-06,1.499999920000000042e+00
1.605599319999999963e+01,3.299999999999999822e+00,7.838257360000000314e-06,1.499999979999999900e+00
1.615599320000000105e+01,3.299999999999999822e+00,-4.256783020000000292e-06,1.499999920000000042e+00
1.625599320000000247e+01,3.299999999999999822e+00,7.422323279999999815e-06,1.499999979999999900e+00
1.635599320000000034e+01,3.299999999999999822e+00,-3.853238830000000261e-06,1.499999929999999981e+00
1.645599319999999821e+01,3.299999999999999822e+00,7.030808310000000378e-06,1.499999979999999900e+00
1.655599319999999963e+01,3.299999999999999822e+00,-3.473402109999999886e-06,1.499999929999999981e+00
1.665599320000000105e+01,3.299999999999999822e+00,6.662309799999999697e-06,1.499999979999999900e+00
1.675599319999999892e+01,3.299999999999999822e+00,-3.115910930000000151e-06,1.499999929999999981e+00
1.685599320000000034e+01,3.299999999999999822e+00,6.315505350000000064e-06,1.499999979999999900e+00
1.695599320000000176e+01,3.299999999999999822e+00,-2.779481309999999992e-06,1.499999929999999981e+00
1.705599319999999963e+01,3.299999999999999822e+00,5.989148300000000264e-06,1.499999979999999900e+00
1.715599320000000105e+01,3.299999999999999822e+00,-2.462902800000000163e-06,1.499999929999999981e+00
1.725599319999999892e+01,3.299999999999999822e+00,5.682063360000000270e-06,1.499999969999999960e+00
1.735599320000000034e+01,3.299999999999999822e+00,-2.165034249999999963e-06,1.499999929999999981e+00
1.745599319999999821e+01,3.299999999999999822e+00,5.393142529999999990e-06,1.499999969999999960e+00
1.755599319999999963e+01,3.299999999999999822e+00,-1.884799850000000028e-06,1.499999929999999981e+00
