time,a_1V5,x1t,b_3V3
0.000000000000000000e+00,0.000000000000000000e+00,3.300000010000000206e+00,1.113535279999999925e-09
1.000000000000000021e-03,1.500000000000000031e-03,3.300009150000000169e+00,1.786189730000000009e-08
2.000000000000000042e-03,3.000000000000000062e-03,3.300016809999999801e+00,3.208266029999999940e-08
4.000000000000000083e-03,6.000000000000000125e-03,3.300028929999999860e+00,5.459204169999999848e-08
8.000000000000000167e-03,1.200000000000000025e-02,3.300039149999999921e+00,7.349035689999999461e-08
1.600000000000000033e-02,2.400000000000000050e-02,3.300035700000000016e+00,6.679686829999999526e-08
3.200000000000000067e-02,4.800000000000000100e-02,3.300014060000000082e+00,2.621441029999999912e-08
6.400000000000000133e-02,9.600000000000000200e-02,3.299993520000000125e+00,-1.203147589999999983e-08
1.280000000000000027e-01,1.920000000000000040e-01,3.299992590000000003e+00,-1.322655319999999977e-08
2.279999999999999805e-01,3.420000000000000262e-01,3.299997299999999800e+00,-3.921841269999999840e-09
3.280000000000000138e-01,4.919999999999999929e-01,3.299944130000000087e+00,-9.936098789999999992e-08
4.280000000000000471e-01,6.420000000000000151e-01,3.299761399999999956e+00,-4.226322659999999811e-07
5.280000000000000249e-01,7.920000000000000373e-01,3.299087899999999962e+00,-1.610922959999999966e-06
6.280000000000000027e-01,9.419999999999999485e-01,3.296488010000000024e+00,-6.199520209999999937e-06
7.279999999999999805e-01,1.092000000000000082e+00,3.302568729999999952e+00,5.110297960000000237e-06
7.942180060000000319e-01,1.191327009999999964e+00,2.852195159999999952e+00,-8.153730190000000200e-04
8.685021309999999550e-01,1.302753199999999945e+00,1.943543760000000065e+00,-1.385973410000000076e-03
9.388486369999999859e-01,1.408272959999999907e+00,1.211041660000000020e+00,5.268569310000000352e-03
1.000000000000000000e+00,1.500000000000000000e+00,4.682436640000000039e-01,2.167337360000000032e-02
1.006563600000000003e+00,1.500000000000000000e+00,3.791572189999999898e-01,2.431183250000000171e-02
1.019690809999999948e+00,1.500000000000000000e+00,2.316411270000000022e-01,2.996848809999999932e-02
1.045945209999999959e+00,1.500000000000000000e+00,8.375841480000000006e-02,4.288832530000000198e-02
1.089072959999999979e+00,1.500000000000000000e+00,2.286014810000000161e-02,6.602270150000000282e-02
1.132631559999999871e+00,1.500000000000000000e+00,6.045889169999999792e-03,9.003190419999999861e-02
1.192950940000000015e+00,1.500000000000000000e+00,6.051510179999999893e-04,1.235083039999999993e-01
1.255993219999999910e+00,1.500000000000000000e+00,5.494998319999999875e-04,1.585221470000000021e-01
