time,vin,vout_buf,vout_st
1.000000000000000082e-05,2.202244089999999977e-03,1.617167179999999959e-09,3.101724589999999888e-09
4.000000000000000327e-05,8.808976370000000736e-03,1.111833319999999979e-09,1.086960620000000009e-09
1.600000000000000131e-04,3.523590549999999766e-02,1.111843439999999979e-09,1.087479670000000031e-09
6.400000000000000524e-04,1.409436219999999906e-01,1.111809959999999935e-09,1.087639719999999972e-09
1.064000000000000059e-03,2.141259430000000130e-01,9.948805840000000593e-10,6.401174729999999908e-10
1.447999999999999851e-03,1.775351430000000064e-01,9.947421080000000224e-10,6.425313319999999708e-10
2.000000000000000042e-03,1.249358680000000055e-01,9.951867880000000362e-10,6.497392320000000447e-10
2.240000000000000237e-03,7.910752099999999662e-03,1.232222229999999915e-09,1.586025240000000046e-09
3.000000000000000062e-03,-3.626687820000000229e-01,1.231892240000000024e-09,1.583693199999999922e-09
3.191999999999999959e-03,-2.446956200000000026e-01,7.481669380000000417e-10,-3.382331859999999955e-10
3.959999999999999978e-03,2.271970279999999953e-01,7.484944200000000102e-10,-3.316677850000000108e-10
4.080000000000000293e-03,2.752601330000000179e-01,1.013086140000000035e-09,7.275774940000000491e-10
4.560000029999999697e-03,4.161722979999999961e-01,8.592884790000000458e-10,6.334983959999999625e-10
5.063999999999999925e-03,5.349515219999999571e-01,5.288080929999999597e-09,6.293144169999999804e-10
5.448000029999999598e-03,4.726100599999999985e-01,2.005854219999999831e-09,6.326764180000000193e-10
6.000000000000000125e-03,3.829942179999999974e-01,1.583508840000000048e-09,6.453545889999999798e-10
6.239999670000000338e-03,3.747715340000000173e-01,1.081452830000000016e-09,9.586164110000000227e-10
7.000000000000000146e-03,3.487329880000000215e-01,1.076775799999999982e-09,9.589743219999999470e-10
7.191999730000000687e-03,2.657575640000000017e-01,1.256883320000000010e-09,1.720423780000000026e-09
7.959998669999999305e-03,-6.614413160000000291e-02,1.253598550000000048e-09,1.719305089999999976e-09
8.080002649999999328e-03,-6.342871059999999339e-02,1.305145780000000005e-09,1.870958920000000069e-09
8.507752370000001493e-03,4.351888889999999677e-02,1.304101769999999897e-09,1.866164080000000076e-09
9.053548879999999757e-03,1.679378599999999944e-01,1.013470309999999950e-09,7.135735840000000504e-10
9.374842180000000566e-03,1.760100300000000118e-01,1.013695330000000005e-09,7.169110820000000003e-10
1.000000000000000021e-02,1.917164899999999894e-01,1.013768709999999946e-09,7.186020109999999835e-10
1.025703459999999928e-02,2.026599139999999966e-01,1.108663910000000021e-09,1.094835029999999900e-09
1.099999999999999936e-02,2.342921699999999940e-01,1.108490020000000053e-09,1.094801790000000099e-09
1.120562769999999993e-02,2.606945589999999924e-01,1.082045730000000005e-09,9.933916940000000802e-10
1.200000000000000025e-02,3.626911540000000156e-01,1.065661749999999957e-09,9.847077010000000409e-10
1.216450219999999985e-02,2.806586420000000137e-01,1.379335990000000040e-09,2.239947410000000151e-09
1.282251079999999904e-02,-4.747140960000000021e-02,1.373569319999999911e-09,2.230225269999999878e-09
1.308773449999999991e-02,-1.232348139999999981e-01,1.277181259999999956e-09,1.760339619999999903e-09
1.361414139999999988e-02,-4.676269699999999890e-02,1.276996119999999916e-09,1.760233910000000078e-09
1.407018760000000070e-02,2.850564779999999881e-02,1.155727620000000047e-09,1.280227659999999950e-09
1.449131310000000006e-02,1.437893490000000107e-01,1.155450580000000077e-09,1.278813459999999957e-09
1.505615010000000038e-02,2.792037230000000148e-01,9.655417739999999589e-10,5.197332660000000353e-10
1.539305050000000161e-02,2.561675720000000100e-01,9.651885890000000357e-10,5.235066169999999893e-10
1.600000000000000033e-02,2.146663480000000068e-01,9.650752089999999584e-10,5.262572490000000086e-10
1.626952029999999966e-02,2.121862790000000054e-01,1.097839450000000037e-09,1.051536800000000086e-09
1.700000000000000122e-02,2.054645589999999911e-01,1.097846100000000089e-09,1.051729360000000092e-09
1.721561630000000009e-02,2.636885520000000205e-01,1.018469020000000080e-09,7.464673870000000314e-10
1.800000000000000211e-02,4.754997970000000018e-01,3.938669400000000229e-10,7.029532079999999776e-10
1.817249300000000137e-02,3.579046289999999741e-01,4.392464950000000077e-10,2.345053469999999827e-09
1.886246509999999973e-02,-1.124760469999999957e-01,3.923207100000000048e-10,2.377703010000000142e-09
1.909199630000000050e-02,-1.760712969999999877e-01,1.355749949999999981e-09,2.066326390000000088e-09
1.962579139999999847e-02,-1.028148109999999990e-03,1.355529399999999986e-09,2.068030600000000132e-09
2.006996050000000101e-02,6.929568479999999309e-02,7.496448120000000206e-10,-3.376618850000000222e-10
2.048972359999999895e-02,-2.450286080000000088e-01,7.454295360000000211e-10,-3.464370260000000228e-10
2.105596839999999970e-02,-5.867986010000000308e-01,1.649945820000000068e-09,3.242778849999999886e-09
2.139177889999999832e-02,-3.448072799999999938e-01,1.649237579999999956e-09,3.237145360000000148e-09
2.199999999999999872e-02,9.348825199999999391e-02,1.649202019999999953e-09,3.230294419999999857e-09
2.226864840000000040e-02,8.567400569999999993e-02,1.309440419999999988e-09,1.889734609999999906e-09
2.299999999999999961e-02,6.440098360000000299e-02,1.309290020000000021e-09,1.887331049999999855e-09
2.321491869999999999e-02,2.942204979999999900e-03,1.197938289999999932e-09,1.447630429999999945e-09
2.400000000000000050e-02,-2.215619319999999892e-01,1.197819580000000099e-09,1.446488610000000049e-09
2.417193500000000203e-02,-2.119594969999999967e-01,9.831378919999999759e-10,5.953050580000000137e-10
2.485967479999999855e-02,-1.735497550000000000e-01,9.832524820000000666e-10,5.971295220000000055e-10
2.509169860000000016e-02,-1.365057040000000055e-01,1.177525449999999962e-09,1.368999290000000071e-09
2.564189050000000025e-02,3.873628509999999664e-02,1.177502509999999929e-09,1.368127959999999918e-09
2.607335889999999948e-02,1.634400460000000055e-01,1.057591929999999979e-09,8.905066090000000098e-10
2.651351239999999790e-02,2.272924630000000001e-01,1.057332099999999954e-09,8.920755739999999753e-10
2.705868709999999927e-02,3.196073729999999724e-01,1.194229190000000032e-09,1.483646950000000000e-09
2.741080989999999939e-02,4.500526369999999776e-01,6.560495710000000162e-10,1.259761389999999989e-09
2.800000000000000058e-02,6.683203909999999581e-01,-9.462080260000000396e-08,1.117754210000000005e-10
2.813200000000000076e-02,5.930114950000000551e-01,3.236307920000000210e-08,2.037699290000000047e-09
2.866000000000000145e-02,2.917759010000000042e-01,-4.866973549999999680e-09,2.035684149999999819e-09
2.907039999999999971e-02,9.872450900000000196e-02,1.311096709999999976e-09,1.880782489999999918e-09
2.949279999999999957e-02,1.042810359999999936e-01,1.310804809999999985e-09,1.880841379999999830e-09
