time,vin,vout_buf,vout_st
4.999999999999999562e-05,1.649999999999999991e-04,1.115064230000000101e-09,1.119575269999999997e-09
1.999999999999999825e-04,6.599999999999999964e-04,1.113549769999999954e-09,1.113533949999999998e-09
7.999999999999999299e-04,2.639999999999999986e-03,1.113549819999999970e-09,1.113534069999999912e-09
3.199999999999999720e-03,1.055999999999999994e-02,1.113549679999999966e-09,1.113534119999999928e-09
1.139999999999999868e-02,3.762000000000000066e-02,1.113549700000000055e-09,1.113534150000000062e-09
2.139999999999999888e-02,7.062000000000000222e-02,1.113549570000000097e-09,1.113534090000000001e-09
3.139999999999999736e-02,1.036200000000000038e-01,1.113549470000000065e-09,1.113533780000000068e-09
4.139999999999999930e-02,1.366199999999999914e-01,1.113548879999999918e-09,1.113533469999999927e-09
5.140000000000000124e-02,1.696199999999999930e-01,1.113547660000000067e-09,1.113532639999999952e-09
6.140000000000000319e-02,2.026199999999999946e-01,1.113541839999999990e-09,1.113528879999999953e-09
7.140000000000000513e-02,2.356199999999999961e-01,1.113532710000000057e-09,1.113523140000000026e-09
8.140000000000000013e-02,2.686200000000000254e-01,1.113508710000000058e-09,1.113514489999999957e-09
9.139999999999999514e-02,3.016199999999999992e-01,1.113447200000000055e-09,1.113610249999999918e-09
1.014000000000000040e-01,3.346199999999999730e-01,1.113288549999999940e-09,1.113636280000000068e-09
1.113999999999999990e-01,3.676200000000000023e-01,1.112877289999999909e-09,1.113649259999999987e-09
1.213999999999999940e-01,4.006199999999999761e-01,1.111806629999999991e-09,1.113659710000000010e-09
1.313999999999999890e-01,4.336200000000000054e-01,1.109021360000000022e-09,1.113668979999999945e-09
1.413999999999999979e-01,4.666199999999999792e-01,1.101830540000000037e-09,1.113678240000000043e-09
1.514000000000000068e-01,4.996200000000000085e-01,1.083785199999999956e-09,1.113687610000000011e-09
1.613999999999999879e-01,5.326199999999999823e-01,1.041862200000000038e-09,1.113696499999999908e-09
1.713999999999999968e-01,5.656200000000000117e-01,9.589145380000000222e-10,1.113705569999999987e-09
1.813999999999999779e-01,5.986200000000000410e-01,8.277805639999999993e-10,1.113714699999999920e-09
1.913999999999999868e-01,6.316199999999999593e-01,6.579984469999999914e-10,1.113724250000000069e-09
2.013999999999999957e-01,6.646199999999999886e-01,4.635584090000000055e-10,1.113734090000000062e-09
2.113999999999999768e-01,6.976200000000000179e-01,2.542951699999999810e-10,1.113744070000000059e-09
2.213999999999999857e-01,7.306200000000000472e-01,3.623256190000000277e-11,1.113753939999999979e-09
